,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2008-06-30,1793395.0,139264.0,60900.0,11822.0,27624.0,,,0.0,3287.0,0.0,230.0,,,,,,,3731.0,6669.0,,6114.0,1222750.0,29610.0,,1793395.0,581303.0,19409.0,20118.0,0.0,506079.0,-931.0,,0.0,0.0,0.0,28159.0,553242.0,,85872.0,4706.0,,0.0,,,,568272.0,8116.0,466699.08,,1230532.0,96164.0,,,,,,,193486.0,109115.0,0.0,,553242.0,,0.0,3.89e-05,931.0,0.0,7802.0,0.0,,,,40500.0,562863.0,5232.0,,,19460.0,3.89e-05
2008-09-30,1883732.0,182735.0,96321.0,25121.0,31413.0,,,0.0,5230.0,0.0,254.0,,,,,,,6183.0,6130.0,,6826.0,1263037.0,29838.0,,1883732.0,628953.0,22773.0,23698.0,0.0,538066.0,-1354.0,,0.0,0.0,0.0,30953.0,559741.0,,86618.0,4704.0,,0.0,,,,603716.0,4071.0,466699.08,,1285330.0,131703.0,,,,,,,209825.0,148874.0,0.0,,559741.0,,0.0,7.615e-05,1354.0,7185.0,8932.0,0.0,,,,64271.0,598402.0,4237.0,,,29498.0,7.615e-05
2008-12-31,1896575.0,143601.0,18706.0,9128.0,63065.0,,,0.0,3546.0,0.0,1371.0,,,,,,,6930.0,389.0,,2656.0,1338749.0,32488.0,,1896575.0,631721.0,25937.0,66033.0,0.0,463029.0,3179.0,,0.0,0.0,0.0,26311.0,581857.0,,91917.0,6387.0,,0.0,,,,584693.0,4564.0,466699.08,,1315471.0,114405.0,,,,,,,236358.0,94973.0,29619.0,,581857.0,,0.0,7.457000000000001e-05,-3179.0,0.0,11983.0,0.0,,,,70112.0,581104.0,-24049.0,,,34562.0,7.457000000000001e-05
2009-03-31,1921758.0,182189.0,55867.0,22337.0,61259.0,,,0.0,2773.0,0.0,1359.0,,,,,,,6743.0,332.0,,2108.0,1334410.0,31602.0,,1921758.0,610696.0,17206.0,46099.0,0.0,496430.0,0.0,,0.0,0.0,0.0,32283.0,576184.0,,89595.0,5872.0,,0.0,,,,639411.0,5078.0,466699.08,,1286361.0,168698.0,,,,,,,229812.0,107716.0,36995.0,,576184.0,,0.0,0.00011633,0.0,0.0,9881.0,0.0,,,,91655.0,635397.0,-5215.0,,,37408.0,0.00011633
2009-06-30,2635967.0,276576.0,154671.0,11396.0,71052.0,,,0.0,2794.0,0.0,1296.0,,,,,,,7959.0,0.0,,351.0,1371920.0,622182.0,,2635967.0,1208315.0,337838.0,60361.0,0.0,757636.0,0.0,,0.0,0.0,0.0,28970.0,513503.0,,243329.0,5804.0,,0.0,,,,665016.0,5093.0,466699.08,,1975146.0,194122.0,,,,,,,226652.0,121052.0,46055.0,,513503.0,,0.0,9.948e-05,0.0,0.0,10081.0,0.0,,,,79004.0,660821.0,-3923.0,,,33224.0,9.948e-05
2009-09-30,2603023.0,223500.0,0.0,23137.0,82480.0,,,0.0,7746.0,0.0,351.0,,,,,,,15189.0,0.0,,42.0,1401479.0,618755.0,,2603023.0,1264283.0,337616.0,73011.0,0.0,799456.0,0.0,,0.0,0.0,0.0,38136.0,513558.0,,165494.0,5429.0,,0.0,,,,654259.0,6652.0,466699.08,,1951908.0,184416.0,,,,,,,255535.0,0.0,45339.0,,513558.0,,0.0,8.231e-05,0.0,166.0,11967.0,0.0,,,,68233.0,651115.0,-6594.0,,,32186.0,8.231e-05
2009-12-31,2936946.9439999997,536735.0079999999,389524.0,0.0,136054.0,0.0,0.0,0.0,0.0,11157.0,17949.0,0.0,0.0,17949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1451755.0080000001,930508.032,0.0,2936946.9439999997,1123606.0159999998,0.0,82866.0,14481.0,613161.0160000001,3628.0,30136.0,365204.992,14129.0,0.0,1179661.0559999999,1087393.008,0.0,69888.0,0.0,0.0,22380.0,0.0,0.0,2789.0,630891.0079999999,466699.008,0.0,0.0,164192.0,0.0,0.0,0.0,0.0,0.0,313389.952,-22690.0,290700.032,-120328.0,170372.032,0.0,-50812.0,0.0,-859.0,20547.0,0.0,-49707.0,12134.0,-61841.0,0.0,0.0,0.0,89540.992,-37326.0,1546.0,-1809.0,0.0,1308.0,53260.0
2010-03-31,2963203.0719999997,561776.0,352312.992,0.0,175207.008,0.0,0.0,0.0,0.0,34256.0,21578.0,0.0,0.0,20375.0,0.0,0.0,0.0,0.0,1203.0,0.0,0.0,1463395.968,916452.9920000001,0.0,2963203.0719999997,1115056.0,0.0,72386.0,13277.0,615821.9839999999,2265.0,96864.0,301419.00800000003,13023.0,0.0,1214320.0,1120759.9840000002,0.0,70172.0,0.0,0.0,23388.0,0.0,0.0,3204.0,630622.976,466699.008,0.0,0.0,44203.0,119721.0,0.0,0.0,0.0,0.0,326935.00800000003,-23705.0,303230.016,-121232.0,181998.0,0.0,-31585.0,0.0,65469.0,0.0,0.0,-59901.0,9323.0,-69224.0,0.0,0.0,0.0,155980.992,-38030.0,2352.0,0.0,0.0,-582.0,119721.0
2010-06-30,3640493.0560000003,1186877.0559999999,1042161.984,0.0,135858.0,0.0,0.0,0.0,0.0,8857.0,19554.0,0.0,0.0,19554.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,1489974.0159999998,904088.0,0.0,3640493.0560000003,1030115.0079999999,0.0,77247.0,11700.0,693656.0,2869.0,26.0,229880.0,14737.0,0.0,1070137.024,976414.0079999999,0.0,70498.0,0.0,0.0,23225.0,0.0,0.0,4200.0,1536040.96,1310171.008,0.0,0.0,44203.0,181667.008,0.0,0.0,0.0,0.0,318740.99199999997,-23465.0,295276.0,-121178.0,174098.0,0.0,-28783.0,0.0,1035.0,-157.0,0.0,-47068.0,24392.0,-71460.0,0.0,0.0,0.0,99125.0,-35420.0,-762.0,0.0,0.0,-997.0,61946.0
2010-09-30,3711892.992,1240782.976,1030841.0240000001,0.0,199490.0,0.0,0.0,0.0,0.0,10452.0,22116.0,0.0,0.0,22116.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,1517297.024,891697.0240000001,0.0,3711892.992,1006195.968,0.0,90326.0,13406.0,736881.984,2383.0,26.0,145276.0,17897.0,0.0,1078102.0159999998,982851.968,0.0,70412.0,0.0,0.0,24838.0,0.0,0.0,4920.0,1622674.9440000001,1320548.992,115.0,0.0,44203.0,257808.0,0.0,0.0,0.0,0.0,346856.0,-26431.0,320424.99199999997,-129292.0,191132.992,0.0,-35744.0,0.0,359.0,-95.0,0.0,-29942.0,31085.0,-61027.0,0.0,0.0,0.0,125711.0,-50372.0,1522.0,0.0,0.0,-720.0,76141.0
