,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,6223552.0,1087156.0,19614.0,,0.0,6487.0,,22389.0,,1102010.0,938179.0,,,,,,,,,16435.0,72258.0,4702213.0,0.0,,6223552.0,874158.0,69131.0,213292.0,243751.0,134716.0,,165120.0,48148.0,8116.0,,1908207.0,1908207.0,,451716.0,45651.0,,0.0,,,0.0,2943820.0,2943820.0,,,0.0,498054.0,0.0,,0.0,
2002-03-31,6256904.0,1082716.0,3098.0,,0.0,6557.0,,14443.0,,329096.0,950610.0,,,,,,,,,40142.0,70903.0,4743824.0,0.0,,6256904.0,806946.0,67717.0,178401.0,206879.0,138127.0,,165120.0,50702.0,11507.0,,1949058.0,1949058.0,,460616.0,40812.0,,0.0,,,0.0,2999472.0,2999472.0,,,0.0,553706.0,0.0,,0.0,
2002-06-30,6688378.0,1427080.0,5568.0,,0.0,7125.0,,89883.0,,352459.0,981308.0,,,,,,,,,136774.0,64803.0,4828529.0,0.0,,6688378.0,1120351.0,70629.0,233540.0,32514.0,405436.0,,1026.0,377206.0,13178.0,,2181392.0,2181392.0,,462321.0,35732.0,,0.0,,,0.0,2888582.0,2888582.0,,,0.0,442816.0,0.0,,0.0,
2002-09-30,6974549.0,1628255.0,6097.0,,0.0,6862.0,,84661.0,,383803.0,1023079.0,,,,,,,,,232731.0,64259.0,4889737.0,0.0,,6974549.0,1239446.0,188975.0,247519.0,27546.0,443126.0,,1007.0,331273.0,14514.0,,2664035.0,2664035.0,,472368.0,10004.0,,0.0,,,0.0,2588696.0,2588696.0,,,0.0,142930.0,0.0,,0.0,
2002-12-31,6778396.0,1456228.0,164068.0,,0.0,8169.0,,68807.0,,309917.0,791070.0,,,,,,,,,197059.0,63628.0,4872512.0,0.0,,6778396.0,1122590.0,206290.0,181970.0,14287.0,496312.0,,0.0,223731.0,14993.0,,2430737.0,2430737.0,,455355.0,9415.0,,0.0,,,0.0,2760299.0,2760299.0,,,0.0,314533.0,0.0,,0.0,
2003-03-31,6790919.0,1520826.0,10077.0,,0.0,16147.0,,60820.0,,412301.0,656251.0,,,,,,,,,529484.0,61922.0,4831276.0,0.0,,6790919.0,1299938.0,185505.0,113731.0,38187.0,517482.0,,184360.0,240197.0,14837.0,,2331073.0,2331073.0,,479743.0,8853.0,,0.0,,,0.0,2671312.0,2671312.0,,,0.0,225546.0,0.0,,0.0,
2003-06-30,6226833.0,1025886.0,14307.0,,0.0,17538.0,,31863.0,,438888.0,673882.0,,,,,,,,,72636.0,60235.0,4793481.0,0.0,,6226833.0,785338.0,174047.0,107756.0,26897.0,252048.0,,1109.0,209865.0,7429.0,,2070138.0,2070138.0,,509516.0,8212.0,,0.0,,,0.0,2853629.0,2853629.0,,,0.0,407863.0,0.0,,0.0,
2003-09-30,6159797.0,965268.0,13052.0,,0.0,20231.0,,36588.0,,472092.0,248663.0,,,,,,,,,397221.0,58548.0,4790413.0,0.0,,6159797.0,783458.0,156208.0,93301.0,30649.0,276190.0,,124628.0,100456.0,7273.0,,2086869.0,2086869.0,,469686.0,7944.0,,0.0,,,0.0,2811840.0,2811840.0,,,0.0,366074.0,0.0,,0.0,
2003-12-31,6132309.0,925049.0,6357.0,,398625.0,13426.0,,22061.0,,507655.0,254905.0,,,,,,,,,340688.0,56861.0,4748995.0,0.0,,6132309.0,1054409.0,140610.0,88508.0,17220.0,266543.0,,441203.0,81231.0,30381.0,,2025555.0,2025555.0,,442811.0,7738.0,,0.0,,,0.0,2601796.0,2601796.0,,,0.0,156030.0,0.0,,0.0,
2004-03-31,6250513.0,1082061.0,10498.0,,400748.0,13455.0,,12118.0,,536678.0,257028.0,,,,,,,,,503281.0,1866.0,4703759.0,0.0,,6250513.0,1066903.0,133104.0,117578.0,46562.0,278989.0,,381291.0,91959.0,52465.0,,2000262.0,2000262.0,,447672.0,7563.0,,0.0,,,0.0,2728113.0,2728113.0,,,0.0,282347.0,0.0,,0.0,
2004-06-30,6069344.0,979908.0,7869.0,,467023.0,13983.0,,88381.0,,654458.0,323303.0,,,,,,,,,292477.0,1867.0,4627254.0,0.0,,6069344.0,699904.0,114633.0,152981.0,22619.0,292894.0,,2696.0,101033.0,82577.0,,1979400.0,1979400.0,,482293.0,7385.0,,0.0,,,0.0,2900362.0,2900362.0,,,0.0,454596.0,0.0,,0.0,
2004-09-30,6149329.0,1118930.0,2827.0,,459436.0,13352.0,,47440.0,,661866.0,318161.0,,,,,,,,,571410.0,1867.0,4582936.0,0.0,,6149329.0,669675.0,90911.0,135733.0,27549.0,293993.0,,2678.0,117349.0,82453.0,,1852776.0,1852776.0,,483979.0,7202.0,,0.0,,,0.0,3135697.0,3135697.0,,,0.0,689931.0,0.0,,0.0,
2004-12-31,6205152.0,1193414.0,7710.0,,412272.0,13610.0,,74707.0,,616929.0,280647.0,,,,,,,,,651704.0,85915.0,4536430.0,0.0,,6205152.0,1233257.0,88890.0,117286.0,75876.0,288770.0,,553045.0,109390.0,37987.0,,1693028.0,1693028.0,,484895.0,7016.0,,0.0,,,0.0,2786956.0,2786956.0,,,0.0,341190.0,0.0,,0.0,
2005-03-31,6348106.0,1365567.0,13242.0,,467178.0,13613.0,,14633.0,,589535.0,335553.0,,,,,,,,,853708.0,84779.0,4491942.0,0.0,,6348106.0,1236618.0,89109.0,130437.0,66973.0,299580.0,,553045.0,97474.0,38540.0,,1644259.0,1644259.0,,501221.0,6825.0,,0.0,,,0.0,2959183.0,2959183.0,,,0.0,513417.0,0.0,,0.0,
2005-06-30,5767610.0,845992.0,9166.0,,445362.0,16260.0,,21571.0,,637791.0,313737.0,,,,,,,,,341504.0,83317.0,4453931.0,0.0,,5767610.0,762315.0,81046.0,130670.0,62969.0,250550.0,,98438.0,138642.0,39530.0,,1380967.0,1380967.0,,548060.0,6631.0,,0.0,,,0.0,3069637.0,3069637.0,,,0.0,623871.0,0.0,,0.0,
2005-09-30,5913854.0,1028242.0,9940.0,,407992.0,16666.0,,39040.0,,621744.0,285493.0,,,,,,,,,538485.0,81430.0,4389449.0,0.0,,5913854.0,643472.0,74619.0,110034.0,32065.0,256539.0,,3408.0,166807.0,70365.0,,1308218.0,1308218.0,,578723.0,6433.0,,0.0,,,0.0,3377008.0,3377008.0,,,0.0,931242.0,0.0,,0.0,
2005-12-31,5705361.0,864311.0,12179.0,,427474.0,23512.0,,16719.0,,639751.0,304975.0,,,,,,,,,314385.0,43619.0,4353468.0,0.0,,5705361.0,1215167.0,172589.0,122125.0,47437.0,264506.0,,495487.0,113023.0,70516.0,,1249334.0,1249334.0,,548669.0,6230.0,,0.0,,,0.0,2685961.0,2685961.0,,,0.0,240195.0,0.0,,0.0,
2006-03-31,6013368.0,1158971.0,22786.0,,0.0,16699.0,,79610.0,,630440.0,962900.0,,,,,,,,,0.0,41931.0,4331462.0,0.0,,6013368.0,1190651.0,129929.0,142975.0,27716.0,277925.0,,495487.0,115082.0,10176.0,,1192168.0,1192168.0,,565105.0,6024.0,,0.0,,,0.0,3059420.0,3059420.0,,,0.0,613654.0,0.0,,0.0,
2006-06-30,5617109.0,803773.0,17127.0,,0.0,21046.0,,44787.0,,665349.0,683962.0,,,,,,,,,0.0,40245.0,4294947.0,0.0,,5617109.0,642271.0,106032.0,176825.0,31204.0,240026.0,,3192.0,83442.0,9864.0,,1137475.0,1137475.0,,583366.0,5815.0,,0.0,,,0.0,3248182.0,3248182.0,,,0.0,802416.0,0.0,,0.0,
2006-09-30,5924142.0,1114478.0,41138.0,,0.0,32937.0,,101021.0,,694837.0,901295.0,,,,,,,,,0.0,38558.0,4265018.0,0.0,,5924142.0,1137303.0,69816.0,211481.0,64688.0,270088.0,,424950.0,94710.0,11401.0,,1107484.0,1107484.0,,605818.0,5601.0,,0.0,,,0.0,3067936.0,3067936.0,,,0.0,622170.0,0.0,,0.0,
2006-12-31,5539109.0,792052.0,23593.0,,0.0,23623.0,,26707.0,,714906.0,670178.0,,,,,,,,,0.0,2116.0,4224920.0,36045.0,,5539109.0,1246812.0,60225.0,239319.0,45870.0,343913.0,,478043.0,79442.0,13124.0,,933595.0,933595.0,,557596.0,36535.0,,0.0,,,0.0,2764571.0,2764571.0,,,0.0,318805.0,0.0,,0.0,
2007-03-31,5784861.0,1053892.0,19602.0,,0.0,22975.0,,101789.0,,675548.0,351889.0,,,,,,,,,528762.0,63979.0,4177503.0,0.0,,5784861.0,1276216.0,61674.0,170285.0,145494.0,336339.0,,478043.0,84381.0,13342.0,,893704.0,893704.0,,603106.0,5161.0,,0.0,,,0.0,3006674.0,3006674.0,,,0.0,560908.0,0.0,,0.0,
2007-06-30,6082547.0,957810.0,19315.0,,0.0,20586.0,,55479.0,,731682.0,378664.0,,,,,,,,,452258.0,97252.0,4529028.0,0.0,,6082547.0,958014.0,62090.0,232100.0,180216.0,298041.0,,78250.0,107317.0,13963.0,,1352308.0,1352308.0,,616753.0,7251.0,,0.0,,,0.0,3148221.0,3148221.0,,,0.0,702455.0,0.0,,0.0,
2007-09-30,6537866.0,1351725.0,78545.0,,0.0,22879.0,,80720.0,,854360.0,361239.0,,,,,,,,,776644.0,96065.0,4579923.0,0.0,,6537866.0,1433133.0,61269.0,243878.0,274842.0,306634.0,,438296.0,108214.0,15920.0,,1401720.0,1401720.0,,632469.0,9477.0,,0.0,,,0.0,3061067.0,3061067.0,,,0.0,615301.0,0.0,,0.0,
2007-12-31,6598090.0,1264351.0,794091.0,,0.0,50068.0,,48185.0,,781837.0,349906.0,,,,,,,,,0.0,30812.0,4724611.0,72081.0,,6598090.0,1479796.0,108433.0,273911.0,341396.0,177584.0,,532997.0,43836.0,105498.0,,1635650.0,1635650.0,,629256.0,36535.0,,0.0,,,0.0,2816853.0,2816853.0,,,0.0,371087.0,0.0,,0.0,
2008-03-31,6897001.0,1528830.0,1378.0,,581813.0,42821.0,,24718.0,,951641.0,459239.0,,,,,,,,,976152.0,30812.0,4715623.0,86981.0,,6897001.0,1364686.0,122076.0,271456.0,250664.0,187493.0,,532997.0,0.0,109887.0,,1634173.0,1634173.0,,671961.0,16087.0,,1729.0,,,0.0,3208365.0,3208365.0,,,0.0,762599.0,0.0,,0.0,
2008-06-30,7635785.0,983573.0,15206.0,,506903.0,47221.0,,36772.0,,772901.0,384329.0,,,,,,,,,473066.0,30812.0,5973789.0,90815.0,,7635785.0,1280085.0,125652.0,240573.0,322742.0,588243.0,,2875.0,0.0,104029.0,,1892264.0,1892264.0,,1026830.0,7150.0,,1762.0,,,0.0,3427694.0,3427694.0,,,0.0,981928.0,0.0,,0.0,
2008-09-30,7995249.0,1355955.0,4369.0,,519444.0,54431.0,,48099.0,,850467.0,396870.0,,,,,,,,,827470.0,51206.0,5945086.0,90640.0,,7995249.0,1968772.0,132353.0,217267.0,406970.0,629021.0,,583161.0,0.0,101663.0,,1971970.0,1971970.0,,968316.0,8333.0,,1780.0,,,0.0,3076078.0,3076078.0,,,0.0,630312.0,0.0,,0.0,
2008-12-31,8341816.0,958237.0,420005.0,,510153.0,58788.0,,44483.0,,844013.0,387579.0,,,,,,,,,0.0,30812.0,6638263.0,126715.0,,8341816.0,1912434.0,129933.0,212367.0,625414.0,732504.0,,154497.0,55376.0,175151.0,,2246069.0,2246069.0,,959881.0,38135.0,,14509.0,,,0.0,3170788.0,3170788.0,,,0.0,725022.0,0.0,,0.0,
2009-03-31,8459349.0,1084434.0,23954.0,,572999.0,51955.0,,51586.0,,860256.0,450425.0,,,,,,,,,454971.0,30812.0,6631692.0,67475.0,,8459349.0,1828234.0,127805.0,269632.0,192462.0,1083864.0,,154471.0,0.0,170537.0,,2196870.0,2196870.0,,977158.0,38135.0,,14276.0,,,0.0,3404676.0,3404676.0,,,0.0,958910.0,0.0,,0.0,
2009-06-30,8764853.0,1034116.0,17706.0,,533369.0,45451.0,,68100.0,,835591.0,410795.0,,,,,,,,,409107.0,30812.0,6977128.0,123086.0,,8764853.0,1041166.0,133567.0,229749.0,296356.0,374277.0,,7217.0,0.0,167256.0,,2696092.0,2696092.0,,1298238.0,47146.0,,14272.0,,,0.0,3667939.0,3667939.0,,,0.0,1222173.0,0.0,,0.0,
