,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2002-12-31,3250884.0,728759.0,3542490.0,0.0,0.0,,,520696.0,,969455.0,0.0,0.0,,0.0,0.0,,,0.0,,,,2078974.0,-3383.0,,3250884.0,503193.0,0.0,195852.0,26879.0,92313.0,,0.0,57148.0,,,294907.0,294907.0,,2744390.0,,,0.0,,,,-291606.0,19549.0,-1261061.0,,168735.0,0.0,,,0.0,
2003-03-31,3219901.0,716198.0,3444593.0,0.0,0.0,,,453377.0,,969455.0,0.0,0.0,,0.0,0.0,,,0.0,,,,2078112.0,-1425.0,,3219901.0,460674.0,0.0,159624.0,21784.0,67303.0,,0.0,59056.0,,,265235.0,265235.0,,2718684.0,,,0.0,,,,-224692.0,15246.0,-1194147.0,,334828.0,0.0,,,0.0,
2003-06-30,3243192.0,755644.0,3234566.0,0.0,0.0,,,472538.0,,969455.0,0.0,0.0,,0.0,0.0,,,0.0,,,,2073725.0,-1976.0,,3243192.0,592831.0,0.0,169422.0,19481.0,70392.0,,0.0,57764.0,,,252444.0,252444.0,,2389291.0,,,0.0,,,,8626.0,18321.0,-960829.0,,154461.0,0.0,,,0.0,
2003-09-30,3265682.0,752509.0,3290627.0,0.0,0.0,,,415812.0,,969455.0,0.0,0.0,,0.0,0.0,,,0.0,,,,2080250.0,-1617.0,,3265682.0,621440.0,0.0,154611.0,26085.0,74946.0,,0.0,59820.0,,,239363.0,239363.0,,2429824.0,,,0.0,,,,-24945.0,19064.0,-994400.0,,456073.0,0.0,,,0.0,
2003-12-31,3476535.0,913659.0,3377368.0,0.0,0.0,,,434669.0,,969455.0,0.0,0.0,,0.0,0.0,,,0.0,,,,2099390.0,-1670.0,,3476535.0,748917.0,0.0,181396.0,32116.0,82778.0,,0.0,110273.0,,,260455.0,260455.0,,2367996.0,,,0.0,,,,99167.0,49428.0,-870288.0,,443332.0,0.0,,,0.0,
2004-03-31,3572673.0,1017133.0,3463701.0,0.0,0.0,,,444733.0,,969455.0,0.0,0.0,,0.0,0.0,,,0.0,,,,2089601.0,-1369.0,,3572673.0,864484.0,0.0,173542.0,27693.0,91142.0,,0.0,141045.0,,,268114.0,268114.0,,2331103.0,,,0.0,,,,108972.0,77790.0,-860483.0,,462145.0,0.0,,,0.0,
2004-06-30,3638470.0,1115380.0,3592770.0,0.0,0.0,,,467053.0,,969455.0,0.0,0.0,,0.0,0.0,,,0.0,,,,2081344.0,-1444.0,,3638470.0,1196064.0,0.0,171117.0,25970.0,141167.0,,0.0,155509.0,,,262044.0,262044.0,,2134662.0,,,0.0,,,,45700.0,105214.0,-923755.0,,533456.0,0.0,,,0.0,
2004-09-30,3652537.0,1184022.0,3471445.0,0.0,0.0,,,549986.0,,969455.0,0.0,0.0,,0.0,0.0,,,0.0,,,,2081360.0,-1989.0,,3652537.0,1341352.0,0.0,169723.0,26843.0,244316.0,,0.0,173965.0,,,142064.0,142064.0,,1988029.0,,,0.0,,,,181092.0,97014.0,-788363.0,,366674.0,0.0,,,0.0,
2004-12-31,3450507.0,1197441.0,3090475.0,0.0,0.0,,,597211.0,,969455.0,0.0,0.0,,0.0,0.0,,,0.0,,,,1869446.0,-1814.0,,3450507.0,1330237.0,0.0,183240.0,27078.0,235257.0,,0.0,148722.0,,,112130.0,112130.0,,1648108.0,,,0.0,,,,360032.0,129688.0,-609423.0,,319884.0,0.0,,,0.0,
2005-03-31,3525948.0,1325139.0,3096328.0,0.0,0.0,,,647006.0,,969455.0,0.0,0.0,,0.0,0.0,,,0.0,,,,1858556.0,-1829.0,,3525948.0,1378930.0,0.0,174087.0,23529.0,234689.0,,0.0,178545.0,,,64673.0,64673.0,,1652725.0,,,0.0,,,,429620.0,149025.0,-539835.0,,425105.0,0.0,,,0.0,
2005-06-30,3310240.0,1135494.0,2653923.0,0.0,0.0,,,675173.0,,969455.0,0.0,0.0,,0.0,0.0,,,0.0,,,,1868127.0,1873.0,,3310240.0,1336601.0,0.0,164097.0,25338.0,160780.0,,0.0,235072.0,,,55540.0,55540.0,,1261782.0,,,0.0,,,,656317.0,107747.0,-313138.0,,317106.0,0.0,,,0.0,
