,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2000-06-30,85975775000.0,7425361000.0,0.0,1304393000.0,2931454000.0,215404000.0,,236675000.0,,0.0,118996000.0,0.0,,0.0,71733000.0,863099000.0,,0.0,,,4071772000.0,66252795000.0,0.0,,85975775000.0,5684466000.0,,0.48923,0.0,1487830000.0,476156000.0,0.0,-337792000.0,2736257000.0,637399000.0,0.0,12807101000.0,,0.0,707585000.0,,0.0,,,266581000.0,60436012000.0,0.48923,408045000.0,,0.0,185614000.0,,,0.0,
2000-09-30,88669841000.0,8018057000.0,0.0,1618949000.0,3349429000.0,227641000.0,,298239000.0,,0.0,141165000.0,0.0,,0.0,75365000.0,1138202000.0,,0.0,,,4121649000.0,67686897000.0,0.0,,88669841000.0,6790083000.0,,0.61057,0.0,1941886000.0,471373000.0,0.0,-538142000.0,2840419000.0,1065166000.0,0.0,12724630000.0,,0.0,772873000.0,,0.0,,,266655000.0,61723486000.0,0.61057,297370000.0,,0.0,296694000.0,,,0.0,
2000-12-31,96755163000.0,9135693000.0,0.0,1808049000.0,3795775000.0,240951000.0,,218815000.0,,0.0,119659000.0,0.0,,0.0,809080000.0,1271120000.0,,0.0,,,3600792000.0,69178181000.0,0.0,,96755163000.0,8053383000.0,,0.98271,0.0,1919024000.0,471352000.0,0.0,-1020814000.0,3437069000.0,1142262000.0,0.0,18604663000.0,,0.0,1190097000.0,,0.0,,,259833000.0,62136331000.0,0.98271,313022000.0,,0.0,638550000.0,,,0.0,
2001-03-31,99953150000.0,9319098000.0,0.0,1906325000.0,3771913000.0,252706000.0,,305712000.0,,0.0,162889000.0,0.0,,0.0,861624000.0,1231383000.0,,0.0,,,3615510000.0,71113614000.0,0.0,,99953150000.0,8067401000.0,,1.0572,0.0,1865330000.0,491335000.0,0.0,-533167000.0,3282028000.0,1748489000.0,0.0,20055527000.0,,0.0,1609182000.0,,0.0,,,271130000.0,63416236000.0,1.0572,259750000.0,,0.0,737881000.0,,,0.0,
2001-06-30,102304043000.0,9797522000.0,0.0,2019953000.0,4071663000.0,324693000.0,,361403000.0,,0.0,205847000.0,0.0,,0.0,920904000.0,1443636000.0,,0.0,,,3642455000.0,72258870000.0,0.0,,102304043000.0,8634744000.0,,0.67075,0.0,1781079000.0,432698000.0,0.0,-568259000.0,3529604000.0,1025789000.0,0.0,20902982000.0,,0.0,1342560000.0,,0.0,,,267653000.0,64295678000.0,0.67075,607666000.0,,0.0,576541000.0,,,0.0,
2001-09-30,108696846000.0,11157662000.0,0.0,2339205000.0,4432899000.0,403482000.0,,336768000.0,,0.0,202375000.0,0.0,,0.0,958843000.0,1517143000.0,,0.0,,,3733049000.0,75901261000.0,0.0,,108696846000.0,9109406000.0,,1.43844,0.0,1824098000.0,521027000.0,0.0,-606445000.0,4136671000.0,2505186000.0,0.0,23935570000.0,,0.0,2141829000.0,,0.0,,,261721000.0,66034517000.0,1.43844,562754000.0,,0.0,628295000.0,,,0.0,
2001-12-31,104657881000.0,10537582000.0,0.0,2488439000.0,3632528000.0,276527000.0,,371104000.0,,0.0,87510000.0,0.0,,156146000.0,1488500000.0,3242783000.0,,0.0,,,0.0,72647082000.0,0.0,,104657881000.0,10551271000.0,,-0.14574,0.0,1939484000.0,547121000.0,0.0,-1844746000.0,5546224000.0,-907556000.0,0.0,21140887000.0,,0.0,1377333000.0,,0.0,,,305846000.0,64285524000.0,-0.14574,854384000.0,,0.0,772571000.0,,,0.0,
2002-03-31,104798675000.0,10825733000.0,0.0,2612678000.0,3129023000.0,490944000.0,,397228000.0,,0.0,171579000.0,0.0,,0.0,1465305000.0,3355790000.0,,0.0,,,0.0,72289178000.0,0.0,,104798675000.0,10197652000.0,,0.27804,0.0,1877465000.0,750418000.0,0.0,-250770000.0,3180083000.0,326122000.0,0.0,20925195000.0,,0.0,0.0,,0.0,,,295133000.0,64779617000.0,0.27804,621555000.0,,0.0,703491000.0,,,0.0,
2002-06-30,111870781000.0,11760826000.0,0.0,2705611000.0,4751419000.0,363162000.0,,462872000.0,,0.0,95041000.0,0.0,,36818000.0,0.0,3867264000.0,,0.0,,,0.0,77138872000.0,0.0,,111870781000.0,10478458000.0,,0.32532,0.0,1526434000.0,1061865000.0,0.0,93312000.0,5074237000.0,1460348000.0,0.0,25718990000.0,,0.0,0.0,,0.0,,,286028000.0,65336350000.0,0.32532,1004172000.0,,0.0,872464000.0,,,0.0,
2002-09-30,128011247000.0,13352077000.0,0.0,2941929000.0,3425218000.0,485281000.0,,531267000.0,,0.0,449620000.0,0.0,,0.0,1595000000.0,4076958000.0,,0.0,,,3101035000.0,87254912000.0,0.0,,128011247000.0,11384117000.0,,3.12392,0.0,1653806000.0,736122000.0,0.0,-387975000.0,4551188000.0,5343404000.0,0.0,33292871000.0,,0.0,4655472000.0,,0.0,,,311812000.0,69204168000.0,3.12392,930689000.0,,0.0,1244721000.0,,,0.0,
2002-12-31,121503383000.0,10987508000.0,0.0,3979650000.0,3262752000.0,421266000.0,,461816000.0,,0.0,139262000.0,0.0,,240731000.0,500618000.0,3464825000.0,,0.0,,,0.0,84007733000.0,0.0,,121503383000.0,9022342000.0,,-2.705,0.0,1423100000.0,1406742000.0,0.0,337714000.0,5607007000.0,-3386485000.0,0.0,31172398000.0,,0.0,4307640000.0,,0.0,,,298894000.0,66550862000.0,-2.705,0.0,,0.0,1686343000.0,,,0.0,
2003-03-31,121292672000.0,11409897000.0,0.0,4364327000.0,3580311000.0,439203000.0,,545434000.0,,0.0,235209000.0,0.0,,0.0,494709000.0,3125458000.0,,0.0,,,0.0,81818721000.0,0.0,,121292672000.0,8789077000.0,,-0.21153,0.0,1082018000.0,1431387000.0,0.0,-542864000.0,4348702000.0,-174414000.0,0.0,31121662000.0,,0.0,0.0,,0.0,,,297904000.0,66636671000.0,-0.21153,384446000.0,,0.0,906434000.0,,,0.0,
2003-06-30,116054529000.0,12246345000.0,0.0,4595251000.0,3451182000.0,489382000.0,,619110000.0,,0.0,154735000.0,0.0,,169675000.0,0.0,3456812000.0,,0.0,,,0.0,77887616000.0,0.0,,116054529000.0,8759544000.0,,-1.43444,0.0,1380632000.0,1386830000.0,0.0,-1198239000.0,4870043000.0,-2096327000.0,0.0,27474709000.0,,0.0,0.0,,0.0,,,301245000.0,65431535000.0,-1.43444,539677000.0,,0.0,1054619000.0,,,0.0,
