,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2010-03-31,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-30,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-30,1127390.976,328545.984,240362.0,0.0,87807.0,0.0,0.0,0.0,0.0,377.0,51142.0,0.0,0.0,51142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722131.0079999999,25572.0,0.0,1127390.976,218296.992,0.0,15260.0,29223.0,154458.0,0.0,2750.0,16468.0,138.0,0.0,326867.00800000003,228827.008,1357.0,0.0,0.0,0.0,96683.0,0.0,0.0,0.0,582227.0079999999,558196.9920000001,0.0,0.0,0.0,24030.0,0.0,0.0,0.0,0.0,47375.0,-10796.0,36579.0,-10567.0,26012.0,0.0,-3177.0,0.0,0.0,-1185.0,0.0,6407.0,2693.0,3714.0,0.0,0.0,0.0,28057.0,-4027.0,0.0,0.0,0.0,0.0,24030.0
2010-12-31,1054739.9679999999,221596.992,137224.992,0.0,82007.0,0.0,0.0,1156.0,0.0,1209.0,113650.0,0.0,110571.0,0.0,0.0,0.0,2861.0,0.0,0.0,218.0,0.0,713657.0240000001,5836.0,0.0,1054739.9679999999,148660.0,283.0,18999.0,22579.0,76330.0,1181.0,0.0,13734.0,15554.0,0.0,283776.99199999997,188692.0,0.0,0.0,0.0,0.0,95085.0,0.0,0.0,0.0,622302.976,620417.024,0.0,0.0,1886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105663.0,-46591.0,59072.0,0.0,-6936.0,0.0,0.0,-37859.0,0.0,3374.0,20007.0,-16633.0,0.0,0.0,0.0,17651.0,-5376.0,-710.0,0.0,0.0,0.0,11565.0
2011-03-31,2519590.912,1682008.96,1242473.9840000002,381982.016,50410.0,0.0,0.0,1271.0,4266.0,1606.0,128609.0,0.0,124769.0,0.0,0.0,0.0,3635.0,0.0,0.0,205.0,0.0,703059.968,5913.0,0.0,2519590.912,168366.0,19134.0,17731.0,23105.0,76179.0,2187.0,0.0,13559.0,16471.0,0.0,257858.0,164912.992,0.0,0.0,0.0,0.0,92945.0,0.0,0.0,0.0,2093367.04,2078115.968,0.0,0.0,1886.0,13365.0,0.0,0.0,0.0,0.0,0.0,0.0,71101.0,-26891.0,44210.0,0.0,-29511.0,0.0,277.0,-14907.0,0.0,22936.0,28699.0,-5763.0,0.0,0.0,0.0,23005.0,-12871.0,3231.0,0.0,0.0,0.0,13365.0
2011-06-30,2753018.1119999997,1619324.032,1215746.048,326041.984,57125.0,0.0,0.0,8452.0,0.0,11959.0,130685.0,0.0,128063.0,0.0,0.0,0.0,2417.0,0.0,0.0,205.0,0.0,720705.984,282303.00800000003,0.0,2753018.1119999997,361532.992,1981.0,271055.00800000003,15672.0,52281.0,970.0,0.0,13658.0,5916.0,0.0,238932.0,149844.0,0.0,0.0,0.0,0.0,89088.0,0.0,0.0,0.0,2152552.96,2078115.968,933.0,0.0,1780.0,71724.0,0.0,0.0,0.0,0.0,0.0,0.0,60817.0,-25505.0,35312.0,0.0,-10363.0,0.0,-1905.0,-2456.0,0.0,49516.0,55781.0,-6265.0,0.0,0.0,0.0,70104.0,-8070.0,-3675.0,0.0,0.0,0.0,58359.0
2011-09-30,2797928.96,1299819.008,1024841.0240000001,192955.008,56321.0,4922.0,0.0,10827.0,0.0,9953.0,142254.0,0.0,136939.008,0.0,0.0,0.0,5169.0,0.0,0.0,146.0,0.0,822824.0,533032.0,0.0,2797928.96,406835.008,1194.0,312099.00800000003,19253.0,52295.0,1159.0,0.0,14421.0,6414.0,0.0,240600.0,134775.008,0.0,0.0,0.0,0.0,105825.0,0.0,0.0,0.0,2150493.952,2078115.968,2332.0,0.0,1780.0,68266.0,0.0,0.0,0.0,0.0,0.0,0.0,74030.0,-32326.0,41704.0,0.0,-7861.0,0.0,0.0,-22246.0,0.0,-13440.0,45568.0,-59008.0,0.0,0.0,0.0,-1843.0,-4367.0,2752.0,0.0,0.0,0.0,-3458.0
2011-12-31,2729722.88,1258107.008,1021950.9759999999,130479.0,76140.0,5362.0,0.0,20698.0,0.0,3477.0,66986.0,0.0,60968.0,0.0,0.0,0.0,5800.0,0.0,0.0,218.0,0.0,869425.0240000001,535204.9920000001,0.0,2729722.88,395348.0,1453.0,292547.00800000003,24438.0,51992.0,500.0,0.0,18383.0,6035.0,0.0,158612.0,51565.0,0.0,0.0,0.0,0.0,107047.0,0.0,0.0,0.0,2175762.944,2078115.968,3731.0,0.0,93916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83059.008,-44000.0,39058.992,0.0,-16361.0,0.0,1628.0,-19723.0,0.0,25342.0,23228.0,2114.0,0.0,0.0,0.0,29945.0,-6705.0,631.0,0.0,0.0,0.0,23871.0
2012-03-31,2527166.976,1024172.032,815358.9759999999,100251.0,76838.0,5362.0,0.0,18865.0,0.0,7497.0,69558.0,0.0,62987.0,0.0,0.0,0.0,6353.0,0.0,0.0,218.0,0.0,897988.9920000001,535448.0,0.0,2527166.976,155215.008,4189.0,46821.0,31285.0,51867.0,512.0,0.0,13263.0,7278.0,0.0,125467.0,21485.0,0.0,0.0,0.0,0.0,103982.0,0.0,0.0,0.0,2246484.992,2078115.968,5207.0,0.0,93916.0,69246.0,0.0,0.0,0.0,0.0,0.0,0.0,95987.0,-38317.0,57670.0,0.0,-10677.0,0.0,0.0,-3037.0,0.0,39252.0,53177.0,-13925.0,0.0,0.0,0.0,83208.0,-14048.0,86.0,0.0,0.0,0.0,69246.0
2012-06-30,2377024.0,1028524.032,797745.984,97719.0,97956.0,5362.0,0.0,20358.0,0.0,9383.0,34701.0,0.0,16939.0,0.0,0.0,0.0,8289.0,0.0,0.0,9473.0,0.0,777992.0,535807.0079999999,0.0,2377024.0,117947.0,8961.0,48670.0,37259.0,0.0,968.0,0.0,13258.0,8831.0,0.0,115197.0,0.0,0.0,0.0,0.0,0.0,115197.0,0.0,0.0,0.0,2143879.9359999998,2078115.968,-1342.0,0.0,93916.0,-26810.0,0.0,0.0,0.0,0.0,0.0,0.0,123160.0,-45173.0,77987.0,0.0,-20371.0,0.0,0.0,-157370.0,0.0,7768.0,20072.0,-12304.0,0.0,0.0,0.0,-91986.0,-6472.0,2403.0,0.0,0.0,0.0,-96055.0
