,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2006-03-31,1516338.0,388827.0,0.0,0.0,43748.0,3305.0,,7764.0,,,0.0,527617.0,,0.0,0.0,,,,,0.0,54906.0,603507.0,0.0,,1516338.0,283163.0,0.0,116647.0,33651.0,0.0,,1139.0,0.0,0.0,,0.0,481229.0,,0.0,0.0,,51813.0,,,161834.0,536808.0,148007.0,0.0,,69056.0,698642.0,170635.0,,0.0,,,,182477.0,18831.0,0.0,0.0,1244.0,0.0,,-762.0,0.0,0.0,161834.0,242789.0,,,,33708.0,603507.0,28520.0,,,30393.0,9191.0
2006-06-30,1724634.0,560317.0,0.0,0.0,62258.0,2734.0,,20681.0,,,0.0,713217.0,,0.0,0.0,,,,,0.0,34685.0,638118.0,0.0,,1724634.0,257022.0,0.0,105815.0,35743.0,0.0,,53.0,0.0,0.0,,0.0,499355.0,,0.0,0.0,,51599.0,,,170597.0,742056.0,166068.0,0.0,,60045.0,912653.0,140056.0,,0.0,,,,191771.0,6873.0,0.0,0.0,1244.0,0.0,,-785.0,0.0,0.0,170597.0,241543.0,,,,24918.0,638118.0,27678.0,,,38478.0,20533.0
2006-09-30,1887583.0,627247.0,0.0,0.0,54763.0,4297.0,,25264.0,,,0.0,713217.0,,0.0,0.0,,,,,0.0,181897.0,671972.0,0.0,,1887583.0,315016.0,0.0,14582.0,36492.0,0.0,,53.0,0.0,0.0,,0.0,529323.0,,0.0,0.0,,50422.0,,,195525.0,793897.0,168050.0,0.0,,56728.0,989422.0,149171.0,,0.0,,,,260539.0,730.0,0.0,0.0,1244.0,0.0,,-2922.0,0.0,0.0,195525.0,240299.0,,,,89567.0,671972.0,36614.0,,,48891.0,48103.0
2006-12-31,1960427.0,660949.0,0.0,0.0,39851.0,8235.0,,19925.0,,,0.0,713217.0,,0.0,108.0,,,,,0.0,47044.0,724962.0,0.0,,1960427.0,476056.0,0.0,157579.0,45241.0,0.0,,164900.0,0.00011438,0.0,,0.0,549245.0,,0.0,0.0,,35285.0,,,157423.0,724537.0,130232.0,0.0,,41367.0,881960.0,168122.0,,0.0,,,,220809.0,9162.0,0.0,0.0,1246.0,0.0,,2034.0,0.0,0.0,157423.0,239055.0,,,,92611.0,724962.0,23598.0,,,11265.0,47583.0
2007-03-31,2253765.0,890015.0,0.0,0.0,32888.0,5462.0,,16978.0,,,0.0,713217.0,,0.0,0.0,,,,,0.0,47374.0,781126.0,0.0,,2253765.0,428716.0,0.0,103581.0,50953.0,0.0,,164900.0,0.0,-13503.0,,0.0,846639.0,,0.0,0.0,,33067.0,,,172508.0,755381.0,132997.0,0.0,,44930.0,927889.0,166624.0,,0.0,,,,195129.0,769.0,0.0,0.0,1281.0,0.0,,644.0,-13503.0,0.0,172508.0,237774.0,,,,62776.0,781126.0,32334.0,,,34772.0,30844.0
2007-06-30,1990656.0,660716.0,0.0,0.0,39164.0,6649.0,,21284.0,,,0.0,713217.0,,0.0,0.0,,,,,0.0,47071.0,724691.0,0.0,,1990656.0,259315.0,0.0,101314.0,24168.0,0.0,,52.0,0.0,-16590.0,,0.0,671107.0,,0.0,0.0,,33908.0,,,190818.0,788053.0,131440.0,0.0,,65426.0,978871.0,196043.0,,0.0,,,,206428.0,130.0,0.0,0.0,-456.0,0.0,,-1897.0,-16590.0,0.0,190818.0,238229.0,,,,73091.0,724691.0,51517.0,,,27121.0,34123.0
2007-09-30,2122236.0,708388.0,0.0,0.0,38266.0,6031.0,,18513.0,,,0.0,713217.0,,0.0,0.0,,,,,0.0,48992.0,797878.0,0.0,,2122236.0,284308.0,0.0,121089.0,17995.0,0.0,,127.0,0.0,-18080.0,,0.0,707853.0,,0.0,0.0,,32771.0,,,211077.0,827951.0,149743.0,0.0,,77592.0,1039028.0,223467.0,,0.0,,,,233874.0,3362.0,0.0,0.0,383.0,0.0,,-1788.0,-18080.0,-383.0,211077.0,237846.0,,,,82343.0,797878.0,48391.0,,,29049.0,39966.0
2007-12-31,2325075.0,825397.0,0.0,5277.0,-12016.0,4332.0,,71124.0,,,0.0,713217.0,,0.0,151.0,,,,,0.0,3476.0,830125.0,278684.0,,2325075.0,584984.0,0.0,172153.0,40673.0,0.0,,209541.0,4.374e-05,-14617.0,,0.0,743580.0,,89042.0,60783.0,,31184.0,,,177728.0,726816.0,186625.0,278684.0,,82740.0,904544.0,241807.0,,0.0,,,,244668.0,27912.0,0.0,475870.0,403.0,0.0,,3041.0,-14617.0,1208.0,177728.0,221.0,,,,61084.0,830125.0,61165.0,,,33993.0,49511.0
2008-03-31,4653216.0,1661245.0,16191.0,0.0,76933.0,7623.0,,137016.0,,,0.0,987029.0,,207325.0,0.0,,,,,27988.0,32784.0,0.0,0.0,,4653216.0,632946.0,0.0,235430.0,89933.0,0.0,,0.0,0.0,-31650.0,,0.0,1313888.0,,82338.0,134180.0,,408390.0,,,525752.0,1072408.0,428323.0,0.0,,123443.0,1598160.0,573109.0,,0.0,,,,562217.0,-11334.0,0.0,845695.0,-18614.0,5472.0,,0.0,-31650.0,18423.0,525752.0,3508.0,,,,133894.0,0.0,234673.0,,,63192.0,71472.0
2008-06-30,4626190.0,1595328.0,14855.0,0.0,79104.0,10431.0,,196471.0,,,0.0,987649.0,,213079.0,0.0,,,,,26219.0,32478.0,2079078.0,0.0,,4626190.0,694689.0,0.0,241871.0,98135.0,0.0,,585.0,0.0,-64389.0,,0.0,1370185.0,,37867.0,169264.0,,253077.0,,,585031.0,1148679.0,319292.0,0.0,,102187.0,1733710.0,563907.0,,0.0,,,,552491.0,-119179.0,0.0,903441.0,-4016.0,5835.0,,0.0,-64389.0,95.0,585031.0,3509.0,,,,233199.0,2079078.0,311187.0,,,60320.0,82294.0
