,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,773356000.0,147129000.0,28000.0,0.0,63374000.0,62391000.0,,,,0.0,6142000.0,,,0.0,65272000.0,,126383000.0,0.0,,254000.0,,467766000.0,0.0,,773356000.0,240860000.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,99974000.0,99974000.0,,0.0,14795000.0,,304845000.0,,,254000.0,304591000.0,-0.12289,76428000.0,468765000.0,,-52692000.0,1715000.0,0.0,0.0,
2002-03-31,757877000.0,137085000.0,0.0,0.0,59799000.0,64057000.0,,,,0.0,6225000.0,,,0.0,58918000.0,,142205000.0,0.0,,254000.0,,461784000.0,0.0,,757877000.0,251594000.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,80034000.0,80034000.0,,0.0,14795000.0,,298854000.0,,,254000.0,298600000.0,-0.05684,77278000.0,459277000.0,,-58683000.0,1271000.0,0.0,0.0,
2002-06-30,796750000.0,130723000.0,5599000.0,0.0,53905000.0,60229000.0,,,,0.0,4691000.0,,,0.0,54294000.0,,144992000.0,0.0,,254000.0,,458742000.0,0.0,,796750000.0,246923000.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,104533000.0,104533000.0,,0.0,14795000.0,,305684000.0,,,254000.0,305430000.0,0.07986,77296000.0,491320000.0,,-51853000.0,1769000.0,0.0,0.0,
2002-09-30,814206000.0,152350000.0,0.0,0.0,49892000.0,59412000.0,,,,0.0,5982000.0,,,0.0,57403000.0,,181455000.0,0.0,,254000.0,,456811000.0,0.0,,814206000.0,293144000.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,114490000.0,114490000.0,,0.0,14795000.0,,254287000.0,,,254000.0,254033000.0,-0.6009,77313000.0,560173000.0,,-103250000.0,1890000.0,0.0,0.0,
2002-12-31,791711000.0,141608000.0,-4267000.0,0.0,56327000.0,56299000.0,,,,0.0,5590000.0,,,0.0,65727000.0,,143803000.0,0.0,,254000.0,,446684000.0,0.0,,791711000.0,252675000.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,103242000.0,103242000.0,,0.0,14795000.0,,269795000.0,,,254000.0,269541000.0,0.18779,75884000.0,522170000.0,,-87742000.0,1904000.0,0.0,0.0,
2003-03-31,783172000.0,137332000.0,0.0,0.0,47392000.0,66705000.0,,,,0.0,5668000.0,,,0.0,61001000.0,,139214000.0,0.0,,254000.0,,441997000.0,0.0,,783172000.0,244614000.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,97932000.0,97932000.0,,0.0,14795000.0,,254025000.0,,,254000.0,253771000.0,-0.16933,76007000.0,529401000.0,,-103512000.0,1443000.0,0.0,0.0,
2003-06-30,793912000.0,157983000.0,0.0,0.0,77828000.0,58343000.0,,,,0.0,5376000.0,,,0.0,30549000.0,,120721000.0,0.0,,254000.0,,432763000.0,0.0,,793912000.0,196627000.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,83845000.0,83845000.0,,0.0,14795000.0,,260776000.0,,,254000.0,260522000.0,0.14997,76028000.0,533390000.0,,-96761000.0,1400000.0,0.0,0.0,
2003-09-30,825804000.0,191274000.0,0.0,0.0,112222000.0,49521000.0,,,,0.0,5592000.0,,,0.0,46987000.0,,127610000.0,0.0,,254000.0,,431459000.0,0.0,,825804000.0,227033000.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,82742000.0,82742000.0,,0.0,14778000.0,,244886000.0,,,254000.0,244632000.0,-0.18594,76073000.0,581172000.0,,-112651000.0,1828000.0,0.0,0.0,
2003-12-31,833535000.0,201390000.0,0.0,0.0,89642000.0,56085000.0,,,,0.0,5290000.0,,,0.0,45399000.0,,204961000.0,0.0,,254000.0,,430891000.0,0.0,,833535000.0,364926000.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,11212000.0,11212000.0,,0.0,14778000.0,,213418000.0,,,254000.0,213164000.0,-0.36774,76067000.0,620371000.0,,-144119000.0,1813000.0,0.0,0.0,
2004-03-31,853834000.0,224899000.0,0.0,0.0,85325000.0,60211000.0,,,,0.0,5765000.0,,,0.0,44346000.0,,214430000.0,0.0,,254000.0,,429332000.0,0.0,,853834000.0,377331000.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,8549000.0,8549000.0,,0.0,14778000.0,,195614000.0,,,254000.0,195360000.0,-0.20814,76072000.0,658474000.0,,-161923000.0,1117000.0,0.0,0.0,
