,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2007-03-31,802882.0,668592.0,0.0,,223274.0,227723.0,,66860.0,,0.0,46736.0,,,0.0,362474.0,,,,,23973.0,,96681.0,0.0,,802882.0,544829.0,-7823.0,358653.0,20363.0,108626.0,,,23291.0,,,0.0,42803.0,,5268.0,8.0,,3926.0,,,,246981.0,45300.0,,,,246981.0,0.0,,,
2007-06-30,1124110.0,970852.0,0.0,,229348.0,411545.0,,61395.0,,0.0,120119.0,,,0.0,387855.0,,,,,36693.0,,115649.0,0.0,,1124110.0,650133.0,-9482.0,430252.0,33695.0,68063.0,,,28848.0,,,0.0,43630.0,,596.0,7.0,,3946.0,,,,463476.0,45272.0,,,,463476.0,0.0,,,
2007-09-30,1368906.0,1178913.0,0.0,,299897.0,551132.0,,73359.0,,0.0,127107.0,,,0.0,679390.0,,,,,57530.0,,152941.0,0.0,,1368906.0,886526.0,-13129.0,588216.0,42759.0,107542.0,,,51848.0,,,0.0,66621.0,,9558.0,5.0,,4124.0,,,,472540.0,46551.0,,,,472540.0,0.0,,,
2007-12-31,1294723.0,1059299.0,0.0,,315345.0,539933.0,,54551.0,,24101.0,64552.0,,,0.0,831119.0,,,,,36568.0,,177839.0,7310.0,,1294723.0,791571.0,-14083.0,390813.0,63046.0,282336.0,,,47476.0,,,0.0,0.0,,1225.0,3.0,,1620.0,,,,492827.0,0.0,,,,492827.0,0.0,,,
2008-03-31,1356688.0,1085486.0,0.0,,330295.0,488186.0,,51052.0,,29460.0,99428.0,,,0.0,655861.0,,,,,50614.0,,216443.0,0.0,,1356689.0,828961.0,-13562.0,294272.0,88508.0,381253.0,,,50967.0,,,0.0,73024.0,,786.0,1194.0,,1913.0,,,,516631.0,68195.0,,,,516631.0,0.0,,,
2008-06-30,1959912.0,1625286.0,0.0,,308162.0,992819.0,,28961.0,,29788.0,178456.0,,,0.0,794127.0,,,,,40637.0,,279716.0,0.0,,1959912.0,1355573.0,-32130.0,627147.0,162748.0,469953.0,,,65776.0,,,0.0,76090.0,,13615.0,3058.0,,1931.0,,,,588897.0,68581.0,,,,588897.0,0.0,,,
2008-09-30,2624249.0,2271086.0,0.0,,463931.0,1345342.0,,152526.0,,100766.0,142648.0,,,0.0,1159991.0,,,,,317415.0,,324438.0,0.0,,2624249.0,2093784.0,-20070.0,1170457.0,73455.0,673867.0,,,83336.0,,,0.0,83346.0,,1429.0,1245.0,,1953.0,,,,516636.0,88249.0,,,,516636.0,0.0,,,
2008-12-31,1891585.0,1345880.0,0.0,,352375.0,533887.0,,113437.0,,54736.0,64779.0,,,0.0,914581.0,,,,,408222.0,,338679.0,3934.0,,1891585.0,1642559.0,-20810.0,846649.0,-211488.0,644823.0,,,81121.0,,,0.0,200817.0,,2443.0,16.0,,1976.0,,,,237258.0,134732.0,,,,237258.0,0.0,,,
2009-03-31,1848830.0,1381850.0,0.0,,356268.0,455609.0,,200038.0,,64420.0,88799.0,,,0.0,640469.0,,,,,38455.0,,329678.0,4381.0,,1848830.0,1595703.0,-13495.0,747963.0,-206619.0,692333.0,,,59315.0,,,0.0,196827.0,,988.0,10.0,,2068.0,,,,242127.0,146536.0,,,,242127.0,0.0,,,
2009-06-30,1761281.0,1290716.0,0.0,,255445.0,560517.0,,197325.0,,50883.0,141373.0,,,0.0,582311.0,,,,,83374.0,,338928.0,5716.0,,1761281.0,1449102.0,-14036.0,731393.0,-146548.0,504780.0,,,61219.0,,,0.0,0.0,,2268.0,10.0,,2016.0,,,,302198.0,0.0,,,,302198.0,0.0,,,
