,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2009-03-31,725141000.0,266521000.0,90134000.0,0.0,141534000.0,10622000.0,,13315000.0,,6468000.0,772000.0,,,30477000.0,,,,,,0.0,0.0,157267000.0,0.0,,725141000.0,160931000.0,61425000.0,44057000.0,11020000.0,0.0,,0.0,28282000.0,,,123395000.0,123395000.0,,0.0,3603000.0,,56175000.0,,,,293160000.0,224609000.0,61070000.0,,33930000.0,62251000.0,,,,
2009-06-30,735895000.0,274841000.0,96620000.0,0.0,143397000.0,9323000.0,,14950000.0,,7581000.0,191000.0,,,30383000.0,,,,,,0.0,0.0,150114000.0,0.0,,735895000.0,163013000.0,61150000.0,34679000.0,15405000.0,0.0,,0.0,36791000.0,,,107153000.0,107153000.0,,0.0,6045000.0,,56525000.0,,,,311403000.0,224609000.0,62514000.0,,36341000.0,80674000.0,,,,
2009-09-30,745309000.0,276338000.0,89930000.0,0.0,149362000.0,10196000.0,,16495000.0,,6316000.0,191000.0,,,31860000.0,,,,,,35000000.0,0.0,153068000.0,0.0,,745309000.0,207286000.0,64843000.0,35104000.0,15837000.0,0.0,,0.0,40668000.0,,,104356000.0,104356000.0,,0.0,3511000.0,,16052000.0,,,,300440000.0,224609000.0,63860000.0,,36437000.0,71438000.0,,,,
2009-09-30,745308.9920000001,276337.984,89930.0,0.0,149362.0,10196.0,0.0,0.0,0.0,26850.0,53840.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,53780.0,191.0,153068.0,261872.0,0.0,745308.9920000001,207286.0,0.0,35104.0,39860.0,40668.0,0.0,35000.0,56654.0,0.0,0.0,237583.008,104356.0,0.0,117175.0,0.0,0.0,16052.0,0.0,0.0,0.0,300440.0,224608.992,1.0,4393.0,71437.0,0.0,0.0,0.0,0.0,0.0
2009-12-31,1264468.992,730884.9920000001,527828.0,0.0,152596.0,12450.0,0.0,0.0,0.0,38011.0,57273.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,57210.0,246.0,158246.0,317819.00800000003,0.0,1264468.992,186635.008,0.0,44239.0,21242.0,39424.0,0.0,0.0,81730.0,0.0,0.0,231495.008,92834.0,0.0,121478.0,0.0,0.0,17183.0,0.0,0.0,0.0,846339.0079999999,750419.968,1.0,4107.0,91811.0,0.0,0.0,0.0,0.0,0.0
2009-12-31,1256131000.0,719668000.0,527828000.0,0.0,152596000.0,12450000.0,,16307000.0,,8650000.0,246000.0,,,47768000.0,,,,,,0.0,0.0,158246000.0,0.0,,1256131000.0,186045000.0,60540000.0,44239000.0,970000.0,0.0,,44000000.0,39424000.0,,,92834000.0,92834000.0,,0.0,13241000.0,,17183000.0,,,,838969000.0,750420000.0,0.0,,44456000.0,84442000.0,,,,
2010-03-31,1317873000.0,788915000.0,575764000.0,0.0,170823000.0,10097000.0,,17895000.0,,9989000.0,246000.0,,,40852000.0,,,,,,0.0,0.0,158533000.0,0.0,,1317873000.0,157020000.0,51152000.0,36382000.0,4448000.0,0.0,,0.0,49781000.0,,,80027000.0,80027000.0,,0.0,18055000.0,,7742000.0,,,,944081000.0,832058000.0,23342000.0,,32016000.0,108157000.0,,,,
2010-03-31,1326424.064,788915.0079999999,575763.968,0.0,170823.008,10097.0,0.0,0.0,0.0,32231.0,60616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60616.0,246.0,158630.0,318016.99199999997,0.0,1326424.064,157092.0,0.0,36382.0,24724.0,49781.0,0.0,0.0,46205.0,0.0,0.0,217740.0,80027.0,0.0,129971.0,0.0,0.0,7742.0,0.0,0.0,0.0,951592.0,832057.984,68.0,3866.0,91811.0,23789.0,0.0,0.0,0.0,0.0
2010-06-30,1321133000.0,784280000.0,568144000.0,0.0,172795000.0,9841000.0,,18516000.0,,12586000.0,246000.0,,,34249000.0,,,,,,0.0,0.0,165389000.0,0.0,,1321133000.0,141736000.0,51324000.0,41136000.0,5316000.0,0.0,,16288000.0,34122000.0,,,65332000.0,65332000.0,,0.0,23154000.0,,9194000.0,,,,975977000.0,832058000.0,24867000.0,,36887000.0,140336000.0,,,,
2010-06-30,1321133.0559999999,784280.0,568144.0,0.0,172795.008,9841.0,0.0,0.0,0.0,33500.0,48061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48061.0,246.0,165388.992,323156.99199999997,0.0,1321133.0559999999,141736.0,0.0,41136.0,18163.0,34122.0,0.0,0.0,48315.0,0.0,0.0,203420.0,65332.0,0.0,128894.0,0.0,0.0,9194.0,0.0,0.0,0.0,975977.0240000001,832057.984,483.0,3583.0,139852.992,0.0,0.0,0.0,0.0,0.0
2010-09-30,1353396000.0,811123000.0,572890000.0,0.0,198920000.0,8347000.0,,17566000.0,,11796000.0,246000.0,,,34522000.0,,,,,,0.0,0.0,169755000.0,0.0,,1353396000.0,150605000.0,55503000.0,41781000.0,9359000.0,0.0,,0.0,35838000.0,,,63897000.0,63897000.0,,0.0,28319000.0,,6435000.0,,,,1004434000.0,832058000.0,26604000.0,,43486000.0,169159000.0,,,,
2010-09-30,1353395.968,811123.0079999999,572889.9839999999,0.0,198920.0,8347.0,0.0,0.0,0.0,30966.0,48439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48439.0,246.0,169755.008,323832.99199999997,0.0,1353395.968,150604.992,0.0,41781.0,20484.0,35838.0,0.0,0.0,52502.0,0.0,0.0,198356.992,63897.0,0.0,128025.0,0.0,0.0,6435.0,0.0,0.0,0.0,1004433.984,832057.984,696.0,3217.0,168463.008,0.0,0.0,0.0,0.0,0.0
2010-12-31,1328167.936,783326.016,543451.0079999999,0.0,203380.0,9512.0,0.0,17379.0,0.0,9604.0,41171.0,0.0,0.0,0.0,0.0,0.0,28905.0,0.0,0.0,12266.0,246.0,179360.992,324064.0,0.0,1328167.936,133082.0,34318.0,41022.0,14232.0,35164.0,7427.0,0.0,919.0,0.0,0.0,183283.008,55243.0,22700.0,64265.0,33258.0,0.0,7817.0,0.0,0.0,0.0,1011803.0079999999,832057.984,1196.0,3142.0,175407.008,0.0,0.0,0.0,0.0,0.0
2011-03-31,1355470000.0,806560000.0,542383000.0,0.0,220040000.0,8153000.0,,21747000.0,,10542000.0,246000.0,,,23390000.0,,,,,,0.0,0.0,191355000.0,0.0,,1355470000.0,129532000.0,48057000.0,41811000.0,7868000.0,0.0,,0.0,24206000.0,,,54095000.0,54095000.0,,0.0,38510000.0,,9941000.0,,,,1039456000.0,832058000.0,29161000.0,,14995000.0,204514000.0,,,,
2011-03-31,1355469.9519999998,806560.0,542382.976,0.0,223728.0,8153.0,0.0,21747.0,0.0,10549.0,33461.0,0.0,0.0,0.0,0.0,0.0,23390.0,0.0,0.0,10071.0,246.0,191355.008,323848.0,0.0,1355469.9519999998,129532.0,34852.0,41811.0,21073.0,24206.0,6737.0,0.0,853.0,0.0,0.0,186482.0,54095.0,23645.0,60291.0,38510.0,0.0,9941.0,0.0,0.0,0.0,1039456.0,832057.984,1447.0,2884.0,203067.008,0.0,0.0,0.0,0.0,0.0
2011-06-30,1479238000.0,844508000.0,565297000.0,0.0,239800000.0,9931000.0,,17815000.0,,7595000.0,246000.0,,,23220000.0,,,,,,0.0,0.0,221611000.0,0.0,,1479238000.0,157870000.0,52198000.0,48878000.0,8464000.0,0.0,,0.0,24322000.0,,,95231000.0,95231000.0,,0.0,45004000.0,,13061000.0,,,,1072952000.0,832058000.0,31096000.0,,13948000.0,238223000.0,,,,
2011-06-30,1479238.0159999998,844508.032,565297.024,0.0,242028.992,9931.0,0.0,17815.0,0.0,9436.0,33947.0,0.0,0.0,0.0,0.0,0.0,23220.0,0.0,0.0,10727.0,246.0,221611.008,378926.016,0.0,1479238.0159999998,157870.0,37721.0,48878.0,22941.0,24322.0,23184.0,0.0,824.0,0.0,0.0,248416.0,95231.0,37624.0,57496.0,45004.0,0.0,13061.0,0.0,0.0,0.0,1072952.0,832057.984,1682.0,2671.0,236540.992,0.0,0.0,0.0,0.0,0.0
2011-09-30,2377886000.0,501363000.0,88075000.0,0.0,338167000.0,12430000.0,,45654000.0,,14434000.0,250000.0,,,66226000.0,,,,,,0.0,0.0,313656000.0,0.0,,2377886000.0,380418000.0,86571000.0,52917000.0,2850000.0,0.0,,0.0,34292000.0,,,114336000.0,114336000.0,,0.0,107293000.0,,39536000.0,,,,1628701000.0,832058000.0,34369000.0,,32631000.0,790794000.0,,,,
2011-09-30,2377885.952,501363.008,88075.0,0.0,340747.008,12430.0,0.0,45654.0,0.0,14457.0,90683.0,0.0,0.0,0.0,0.0,0.0,66226.0,0.0,0.0,24457.0,250.0,313656.0,1471933.9519999998,0.0,2377885.952,380417.984,54684.0,52917.0,34737.0,34292.0,201112.992,0.0,2675.0,0.0,0.0,368767.008,114336.0,37112.0,70490.0,107293.0,0.0,39536.0,0.0,0.0,0.0,1628701.0559999999,832057.984,548188.9920000001,2442.0,246012.0,0.0,0.0,0.0,0.0,0.0
2011-12-31,2841937000.0,838940000.0,486006000.0,0.0,284630000.0,17651000.0,,40100000.0,,7984000.0,251000.0,,,79176000.0,,,,,,0.0,0.0,375625000.0,0.0,,2841937000.0,380033000.0,70216000.0,75441000.0,1011000.0,0.0,,28000000.0,36115000.0,,,553382000.0,545696000.0,,0.0,113565000.0,,56374000.0,,,,1631881000.0,1378124000.0,0.0,,23611000.0,251521000.0,,,,
2011-12-31,2831720.96,873980.032,486006.016,0.0,312995.00800000003,17651.0,0.0,46775.0,0.0,10553.0,108230.0,0.0,0.0,0.0,0.0,0.0,75703.0,0.0,0.0,32527.0,251.0,375624.992,1473634.9440000001,0.0,2831720.96,380032.992,43000.0,75441.0,28227.0,36115.0,195734.0,0.0,1516.0,0.0,0.0,819806.9759999999,553382.0160000001,35104.0,71598.0,113565.0,0.0,46158.0,0.0,0.0,0.0,1631880.96,1378124.032,2561.0,2236.0,248960.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,2700925000.0,656590000.0,251537000.0,0.0,327193000.0,11209000.0,,47959000.0,,14053000.0,246000.0,,,86194000.0,,,,,,0.0,0.0,414068000.0,17407000.0,,2700925000.0,212412000.0,82383000.0,64679000.0,1012000.0,0.0,,0.0,46226000.0,,,548562000.0,543673000.0,,11359000.0,125248000.0,,55651000.0,,,,1664027000.0,1378124000.0,92277000.0,,13881000.0,283864000.0,,,,
2012-03-31,2700924.9280000003,656590.0160000001,251536.992,0.0,327192.99199999997,11209.0,0.0,47959.0,0.0,18692.0,114197.0,0.0,0.0,0.0,0.0,0.0,86194.0,0.0,0.0,28003.0,246.0,414068.0,1515824.0,0.0,2700924.9280000003,212412.0,51439.0,64679.0,31956.0,46226.0,14929.0,0.0,3183.0,0.0,0.0,824486.016,548561.9839999999,29150.0,65875.0,125248.0,0.0,55651.0,0.0,0.0,0.0,1664027.0080000001,1378124.032,2979.0,2039.0,280884.99199999997,0.0,0.0,0.0,0.0,0.0
2012-06-30,2728297000.0,663681000.0,235860000.0,0.0,325379000.0,10824000.0,,61485000.0,,25244000.0,246000.0,,,96665000.0,,,,,,0.0,0.0,420487000.0,20767000.0,,2728297000.0,265124000.0,93287000.0,61824000.0,276000.0,0.0,,0.0,89817000.0,,,482396000.0,482396000.0,,3668000.0,143163000.0,,54998000.0,,,,1698322000.0,1379747000.0,99701000.0,,12684000.0,316728000.0,,,,
2012-06-30,2728296.96,663681.024,235860.0,0.0,325379.00800000003,10824.0,0.0,61485.0,0.0,30133.0,117640.0,0.0,0.0,0.0,0.0,0.0,96665.0,0.0,0.0,20975.0,246.0,420487.008,1526242.9440000001,0.0,2728296.96,265124.0,59266.0,61824.0,34297.0,89817.0,18790.0,0.0,1130.0,0.0,0.0,764851.0079999999,482396.0,25844.0,58450.0,143163.008,0.0,54998.0,0.0,0.0,0.0,1698322.0480000002,1379746.9440000001,2802.0,1847.0,249959.008,63967.0,0.0,0.0,0.0,0.0
2012-09-30,2776765000.0,704601000.0,238736000.0,0.0,354994000.0,11613000.0,,70664000.0,,24161000.0,246000.0,,,98275000.0,,,,,,0.0,0.0,418492000.0,18195000.0,,2776765000.0,285591000.0,101294000.0,72154000.0,142000.0,0.0,,20000000.0,99967000.0,,,484326000.0,481327000.0,,2999000.0,161003000.0,,57065000.0,,,,1704862000.0,1379747000.0,63868000.0,,16463000.0,323491000.0,,,,
2012-09-30,2776764.9280000003,704601.0240000001,238736.0,0.0,354993.984,11613.0,0.0,70664.0,0.0,28594.0,123899.0,0.0,0.0,0.0,0.0,0.0,98275.0,0.0,0.0,25624.0,246.0,418492.0,1529527.04,0.0,2776764.9280000003,285591.00800000003,67643.0,72154.0,33793.0,99967.0,10898.0,0.0,1136.0,0.0,0.0,786312.0,484326.016,24289.0,59629.0,161003.008,0.0,57065.0,0.0,0.0,0.0,1704861.9519999998,1379746.9440000001,3199.0,1624.0,248960.0,71332.0,0.0,0.0,0.0,0.0
2012-12-31,2738159000.0,662858000.0,174354000.0,0.0,359043000.0,18838000.0,,79087000.0,,20984000.0,246000.0,,,99740000.0,,,,,,0.0,6444000.0,424288000.0,217164000.0,,2738159000.0,243624000.0,73565000.0,70997000.0,29000.0,0.0,,16000000.0,88332000.0,,,471731000.0,471731000.0,,0.0,182388000.0,,51524000.0,,,,1705908000.0,1379747000.0,72206000.0,,22506000.0,324685000.0,,,,
2012-12-31,2738159.104,662857.9839999999,180798.0,0.0,359043.008,18838.0,0.0,79087.0,0.0,25092.0,121469.0,0.0,0.0,0.0,0.0,0.0,99740.0,0.0,0.0,21729.0,246.0,424288.0,1529298.0480000002,0.0,2738159.104,243624.0,43102.0,70997.0,30492.0,88332.0,10574.0,0.0,127.0,0.0,0.0,788627.0079999999,471731.008,24746.0,58238.0,182388.0,0.0,51524.0,0.0,0.0,0.0,1705907.968,1379746.9440000001,3766.0,1476.0,320919.00800000003,0.0,0.0,0.0,0.0,0.0
2013-03-31,3300963000.0,1204315000.0,671547000.0,0.0,405907000.0,13612000.0,,81812000.0,,19802000.0,9567000.0,,,108472000.0,,,,,,0.0,4000000.0,427059000.0,21395000.0,,3300963000.0,274915000.0,81595000.0,83344000.0,0.0,50000.0,,0.0,100317000.0,,,971151000.0,971151000.0,,0.0,200019000.0,,52099000.0,,,,1728034000.0,1379747000.0,80578000.0,,12914000.0,346946000.0,,,,
2013-03-31,3300963.0719999997,1204315.008,675547.0079999999,0.0,405907.008,13612.0,0.0,81812.0,0.0,27437.0,129958.0,0.0,0.0,0.0,0.0,0.0,108472.0,0.0,0.0,21486.0,9567.0,427059.008,1530064.0,0.0,3300963.0719999997,274915.00800000003,51726.0,83344.0,29869.0,100317.0,9260.0,0.0,399.0,0.0,0.0,1298013.952,971150.9759999999,19077.0,55668.0,200019.008,0.0,52099.0,0.0,0.0,0.0,1728034.0480000002,1379746.9440000001,4334.0,1341.0,30499.0,312112.99199999997,0.0,0.0,0.0,0.0
2013-06-30,3280353.0239999997,1187478.0159999998,635420.032,0.0,428232.0,14015.0,0.0,89796.0,0.0,20015.0,128613.0,0.0,0.0,0.0,0.0,0.0,105842.0,0.0,0.0,22771.0,9927.0,427332.0,1527003.0080000001,0.0,3280353.0239999997,216652.992,61421.0,82259.0,29244.0,34043.0,9455.0,0.0,231.0,0.0,0.0,1312406.0159999998,968342.016,18460.0,53484.0,218290.0,0.0,53830.0,0.0,0.0,0.0,1751293.9519999998,1379746.9440000001,5506.0,1208.0,320919.00800000003,43914.0,0.0,0.0,0.0,0.0
2013-06-30,3280353000.0,1187478000.0,632579000.0,0.0,428232000.0,14015000.0,,89796000.0,,10984000.0,9927000.0,,,105842000.0,,,,,,0.0,2841000.0,427332000.0,23568000.0,,3280353000.0,216653000.0,90665000.0,82259000.0,0.0,91000.0,,0.0,34043000.0,,,968342000.0,968342000.0,,0.0,218290000.0,,53830000.0,,,,1751294000.0,1379747000.0,86839000.0,,14195000.0,370339000.0,,,,
