,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,147374000.0,68522000.0,0.0,147374000.0,35820000.0,12347000.0,,2520000.0,,,0.0,,,-41000.0,0.0,,0.0,0.0,,0.0,2028000.0,50376000.0,0.0,,76295000.0,35572000.0,0.0,8642000.0,8729000.0,0.0,,,7347000.0,0.0,,32937000.0,32937000.0,,0.0,0.0,,7041000.0,,0.0,0.0,71079000.0,71079000.0,-5461000.0,,33925000.0,,,,0.0,
2002-03-31,150808000.0,73176000.0,0.0,150808000.0,52046000.0,12832000.0,,0.0,,,0.0,,,-34000.0,0.0,,0.0,0.0,,0.0,0.0,48285000.0,0.0,,76260000.0,37884000.0,0.0,11248000.0,8279000.0,0.0,,,0.0,0.0,,30361000.0,30361000.0,,0.0,0.0,,1326000.0,,0.0,0.0,74548000.0,74548000.0,-5645000.0,,37394000.0,,,,0.0,
2002-06-30,175128000.0,95953000.0,0.0,175128000.0,73289000.0,14998000.0,,0.0,,,0.0,,,174000.0,0.0,,0.0,0.0,,0.0,0.0,48653000.0,0.0,,99374000.0,44121000.0,0.0,16727000.0,14748000.0,0.0,,,0.0,0.0,,46923000.0,46923000.0,,0.0,0.0,,1519000.0,,0.0,0.0,75754000.0,75754000.0,-5441000.0,,38600000.0,,,,0.0,
2002-09-30,203710000.0,108910000.0,0.0,203710000.0,83565000.0,16208000.0,,0.0,,,0.0,,,-53000.0,0.0,,0.0,0.0,,0.0,0.0,57235000.0,0.0,,122864000.0,53537000.0,0.0,24994000.0,36592000.0,0.0,,,0.0,0.0,,60649000.0,60649000.0,,0.0,0.0,,1740000.0,,0.0,0.0,80846000.0,80846000.0,-6011000.0,,43692000.0,,,,0.0,
2002-12-31,198926000.0,100252000.0,0.0,198926000.0,41074000.0,18074000.0,,3368000.0,,,0.0,,,-33000.0,0.0,,0.0,0.0,,0.0,2228000.0,59585000.0,0.0,,124644000.0,61179000.0,0.0,6906000.0,30995000.0,0.0,,,0.0,0.0,,44008000.0,44008000.0,,0.0,0.0,,18620000.0,,0.0,4000.0,74282000.0,74286000.0,-5391000.0,,9282000.0,,,,0.0,
2003-03-31,203022000.0,98818000.0,0.0,203022000.0,67078000.0,23146000.0,,0.0,,,0.0,,,9000.0,0.0,,0.0,0.0,,0.0,0.0,59211000.0,0.0,,122036000.0,62404000.0,0.0,8283000.0,8224000.0,0.0,,,0.0,0.0,,39597000.0,39597000.0,,0.0,0.0,,19202000.0,,0.0,0.0,80986000.0,80986000.0,-4707000.0,,15986000.0,,,,0.0,
2003-06-30,199252000.0,99966000.0,0.0,199252000.0,62804000.0,26149000.0,,0.0,,,0.0,,,961000.0,0.0,,0.0,0.0,,0.0,0.0,59516000.0,0.0,,115758000.0,54820000.0,0.0,11808000.0,20825000.0,0.0,,,0.0,0.0,,40830000.0,40830000.0,,0.0,0.0,,19275000.0,,0.0,0.0,83494000.0,83494000.0,-4191000.0,,18494000.0,,,,0.0,
2003-09-30,213408000.0,119660000.0,0.0,213408000.0,83283000.0,28075000.0,,0.0,,,0.0,,,2058000.0,0.0,,0.0,0.0,,0.0,0.0,59685000.0,0.0,,121236000.0,53060000.0,0.0,11240000.0,14031000.0,0.0,,,0.0,0.0,,41633000.0,41633000.0,,0.0,0.0,,8914000.0,,0.0,0.0,92172000.0,92172000.0,-4674000.0,,27172000.0,,,,0.0,
2003-12-31,218930000.0,116428000.0,0.0,218930000.0,44804000.0,24684000.0,,31693000.0,,,0.0,,,9000.0,0.0,,0.0,0.0,,0.0,0.0,64678000.0,0.0,,129864000.0,65775000.0,0.0,14190000.0,2319000.0,0.0,,,4603000.0,0.0,,37512000.0,37512000.0,,0.0,0.0,,8882000.0,,0.0,5000.0,89066000.0,89071000.0,-5286000.0,,24066000.0,,,,0.0,
2004-03-31,224379000.0,124611000.0,0.0,224379000.0,51103000.0,29818000.0,,22768000.0,,,0.0,,,-35000.0,0.0,,0.0,0.0,,0.0,0.0,65820000.0,0.0,,126352000.0,60744000.0,0.0,16079000.0,5876000.0,0.0,,,3271000.0,0.0,,37815000.0,37815000.0,,0.0,0.0,,10223000.0,,0.0,0.0,98027000.0,98027000.0,-6394000.0,,33027000.0,,,,0.0,
