,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2006-09-30,184500000.0,144500000.0,3.0375400000000004,0.0,40700000.0,20800000.0,,9700000.0,,53900000.0,0.0,,,,,,,51000.0,,,0.0,22500000.0,0.0,,184500000.0,81300000.0,65255000.0,35300000.0,10100000.0,26800000.0,,,1500000.0,0.0,,42300000.0,42300000.0,,0.0,,,100000.0,,,0.0,0.0,53900000.0,0.0,,-29788000.0,21900000.0,,0.0,,
2006-12-31,254021000.0,202748000.0,8.47095,0.0,78306000.0,42088000.0,,4692000.0,,59331000.0,785000.0,,,,,,,-324000.0,,,0.0,37650000.0,588000.0,,254021000.0,123208000.0,83101000.0,60716000.0,10724000.0,31905000.0,,,4440000.0,0.0,,61850000.0,61850000.0,,0.0,,,371000.0,,,1001000.0,0.0,60332000.0,7746000.0,,-37585000.0,27852000.0,,0.0,,
2007-03-31,294153000.0,238218000.0,-11.08198,0.0,97296000.0,69094000.0,,10093000.0,,38002000.0,820000.0,,,,,,,-139000.0,,,0.0,38508000.0,588000.0,,294153000.0,179531000.0,109351000.0,71470000.0,8093000.0,63435000.0,,,23551000.0,0.0,,69342000.0,69342000.0,,0.0,,,350000.0,,,269000.0,1450000.0,38271000.0,7859000.0,,-29198000.0,-6098000.0,,0.0,,
2007-06-30,574005000.0,498574000.0,-7.64381,0.0,109084000.0,95605000.0,,18828000.0,,332044000.0,1535000.0,,,,,,,30549000.0,,,0.0,51735000.0,3697000.0,,574005000.0,145211000.0,166140000.0,64022000.0,14295000.0,39107000.0,,,20416000.0,0.0,,90943000.0,90943000.0,,0.0,,,468000.0,,,233000.0,0.0,332277000.0,14492000.0,,-31338000.0,-14040000.0,,0.0,,
2007-09-30,612950000.0,500797000.0,8.28562,0.0,126901000.0,124704000.0,,20895000.0,,344455000.0,2055000.0,,,,,,,256000.0,,,0.0,65304000.0,7109000.0,,612950000.0,154893000.0,132336000.0,65287000.0,18151000.0,44135000.0,,,18130000.0,0.0,,108632000.0,108632000.0,,0.0,,,450000.0,,,-384000.0,0.0,344071000.0,20649000.0,,-40282000.0,-1328000.0,,0.0,,
2007-12-31,623253000.0,499048000.0,7.27695,0.0,148813000.0,114709000.0,,16077000.0,,353627000.0,1566000.0,,,,,,,-5127000.0,,,0.0,69744000.0,6878000.0,,623253000.0,145628000.0,155404000.0,63644000.0,19310000.0,42132000.0,,,10241000.0,32062000.0,,117485000.0,117485000.0,,0.0,,,448000.0,,,0.0,0.0,353627000.0,22401000.0,,-56075000.0,8138000.0,,0.0,,
2008-03-31,815901000.0,561306000.0,1.5076,0.0,236607000.0,163645000.0,,26447000.0,,355578000.0,1848000.0,,,,,,,-733000.0,,,0.0,111565000.0,10703000.0,,815901000.0,211202000.0,150756000.0,87173000.0,28953000.0,73865000.0,,,7443000.0,0.0,,219830000.0,219830000.0,,0.0,,,2246000.0,,,18374000.0,2824000.0,373952000.0,46438000.0,,-53252000.0,10378000.0,,0.0,,
2008-06-30,820729000.0,557683000.0,-3.54116,0.0,262743000.0,144711000.0,,18728000.0,,350994000.0,2143000.0,,,,,,,12966000.0,,,0.0,127228000.0,9162000.0,,820729000.0,200331000.0,231030000.0,79092000.0,35828000.0,64356000.0,,,12089000.0,0.0,,231959000.0,231959000.0,,0.0,,,2465000.0,,,22338000.0,4730000.0,373332000.0,38850000.0,,-56874000.0,5973000.0,,0.0,,
2008-09-30,852030000.0,552884000.0,4.8101,0.0,243670000.0,151952000.0,,19582000.0,,357220000.0,5137000.0,,,,,,,-15369000.0,,,0.0,144541000.0,12142000.0,,852030000.0,209387000.0,177446000.0,70793000.0,31441000.0,88662000.0,,,11315000.0,0.0,,235890000.0,235890000.0,,0.0,,,6929000.0,,,23438000.0,6330000.0,380658000.0,51727000.0,,-57969000.0,12398000.0,,0.0,,
2008-12-31,856522000.0,543329000.0,-70.69058000000003,0.0,177172000.0,126387000.0,,25595000.0,,278667000.0,9415000.0,,,,,,,34743000.0,,,0.0,158820000.0,11866000.0,,856522000.0,279377000.0,255215000.0,71039000.0,29905000.0,139967000.0,,,24585000.0,0.0,,275330000.0,275330000.0,,0.0,,,314000.0,,,14288000.0,7678000.0,292955000.0,57197000.0,,-44966000.0,-101391000.0,,0.0,,
2009-03-31,811802000.0,508896000.0,-13.271820000000002,0.0,161208000.0,118874000.0,,24307000.0,,260736000.0,6937000.0,,,,,,,-5167000.0,,,0.0,147640000.0,11220000.0,,811802000.0,295652000.0,148775000.0,64010000.0,19194000.0,177798000.0,,,24833000.0,16472000.0,,228420000.0,228420000.0,,0.0,,,8407000.0,,,10726000.0,4099000.0,271462000.0,54110000.0,,-43387000.0,-83707000.0,,0.0,,
2009-06-30,745126000.0,463356000.0,15.44749,0.0,152387000.0,99772000.0,,21330000.0,,278474000.0,6625000.0,,,,,,,-4557000.0,,,0.0,149953000.0,10206000.0,,745126000.0,269779000.0,159792000.0,70688000.0,24776000.0,148444000.0,,,18437000.0,16472000.0,,165223000.0,165223000.0,,0.0,,,8711000.0,,,17499000.0,4476000.0,295973000.0,59916000.0,,-44834000.0,35580000.0,,0.0,,
2009-09-30,687717000.0,422887000.0,10.11295,0.0,112661000.0,89124000.0,,17817000.0,,283367000.0,6336000.0,,,,,,,-2656000.0,,,0.0,142980000.0,9360000.0,,687717000.0,213221000.0,124968000.0,55274000.0,17383000.0,115614000.0,,,18367000.0,16293000.0,,161280000.0,161280000.0,,0.0,,,8338000.0,,,16221000.0,4998000.0,299588000.0,58406000.0,,-36184000.0,40625000.0,,0.0,,
2009-09-30,687716.9920000001,422887.008,191320.0,0.0,134718.0,86203.0,0.0,0.0,0.0,10646.0,15598.0,0.0,0.0,15598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142980.0,106252.0,0.0,687716.9920000001,213220.992,0.0,55274.0,11031.0,115614.0,0.0,0.0,12935.0,18367.0,0.0,174908.0,161280.0,0.0,5290.0,0.0,0.0,8338.0,0.0,0.0,16221.0,283367.00800000003,238588.0,0.0,4154.0,0.0,17270.0,23355.0,0.0,0.0,0.0
2009-12-31,719756.032,451256.992,180407.008,0.0,174099.008,83967.0,0.0,0.0,0.0,12784.0,14289.0,0.0,0.0,14289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139111.008,115099.0,0.0,719756.032,244650.0,0.0,74717.0,17209.0,100610.0,0.0,1869.0,31126.0,19119.0,0.0,195524.0,190312.992,0.0,4846.0,0.0,0.0,365.0,0.0,0.0,7849.0,271732.99199999997,238588.0,0.0,0.0,19612.0,0.0,13533.0,0.0,0.0,0.0
