,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2004-03-31,890779.0,655287.0,24221.0,0.0,277454.0,151026.0,,,0.0,0.0,0.0,,,,96185.0,0.0,,,,,0.0,6817.0,0.0,,890779.0,421449.0,0.0,26713.0,0.0,161347.0,0.0,,-6073.0,0.0,,720397.0,30204.0,,262068.0,6676.0,,115884.0,,,0.0,170382.0,86514.0,83868.0,,,0.0,,,,,,,107982.0,0.0,0.0007600399999999999,11797.0,0.0,,,10909.0,0.0007600399999999999,529.0,0.0,0.0,,,,0.0007600399999999999,0.0,219823.0,,,0.0,10909.0
2004-06-30,875488.0,657786.0,24752.0,0.0,277377.0,142803.0,,,0.0,0.0,0.0,,,,99491.0,0.0,,,,,0.0,6571.0,0.0,,875488.0,416739.0,0.0,25390.0,0.0,137401.0,0.0,,-6410.0,0.0,,700132.0,29520.0,,246647.0,7226.0,,119558.0,,,0.0,175356.0,86514.0,88842.0,,,0.0,,,,,,,106844.0,0.0,0.00034641,7336.0,0.0,,,4972.0,0.00034641,1005.0,0.0,0.0,,,,0.00034641,0.0,202509.0,,,0.0,4972.0
2004-09-30,812590.0,606753.0,26056.0,0.0,226245.0,152962.0,,,0.0,0.0,0.0,,,,107406.0,0.0,,,,,0.0,5552.0,0.0,,812590.0,367337.0,0.0,25059.0,0.0,96147.0,0.0,,-8024.0,0.0,,628577.0,20323.0,,231313.0,9604.0,,132128.0,,,0.0,184013.0,86514.0,97499.0,,,0.0,,,,,,,119622.0,0.0,0.0006038399999999999,12219.0,0.0,,,8667.0,0.0006038399999999999,1183.0,0.0,0.0,,,,0.0006038399999999999,0.0,191896.0,,,0.0,8667.0
2004-12-31,748508.0,611107.0,45886.0,0.0,229490.0,237113.0,,,0.0,0.0,0.0,,,,83322.0,0.0,,,,,0.0,7399.0,0.0,,748508.0,405133.0,0.0,21994.0,0.0,103355.0,0.0,,0.0,0.0,,602039.0,48181.0,,142034.0,6691.0,,94706.0,,,0.0,146469.0,86514.0,59955.0,,,0.0,,,,,,,82428.0,0.0,-0.00030683,-2330.0,0.0,,,-1101.0,-0.00030683,0.0,0.0,0.0,,,,-0.00030683,0.0,124203.0,,,0.0,-1101.0
2005-03-31,775319.0,650397.0,42937.0,0.0,226667.0,198115.0,,,0.0,0.0,0.0,,,,98403.0,0.0,,,,,0.0,4755.0,0.0,,775319.0,433959.0,0.0,23708.0,0.0,112771.0,0.0,,-7399.0,0.0,,589518.0,44918.0,,108471.0,2170.0,,121110.0,,,0.0,185801.0,86514.0,99287.0,,,0.0,,,,,,,108876.0,0.0,0.00042639,8831.0,0.0,,,6120.0,0.00042639,804.0,0.0,0.0,,,,0.00042639,0.0,112237.0,,,0.0,6120.0
2005-06-30,865308.0,753977.0,119117.0,0.0,243736.0,207318.0,,,0.0,0.0,0.0,,,,97366.0,0.0,,,,,0.0,4621.0,0.0,,865308.0,320222.0,0.0,24663.0,0.0,38242.0,0.0,,-7742.0,0.0,,544469.0,101694.0,,114436.0,8117.0,,113167.0,,,0.0,320839.0,221694.0,99145.0,,,0.0,,,,,,,103420.0,0.0,0.00013302,4055.0,0.0,,,2776.0,0.00013302,668.0,0.0,0.0,,,,0.00013302,0.0,98117.0,,,0.0,2776.0
2005-09-30,871298.0,751761.0,65235.0,0.0,278193.0,231360.0,,,0.0,0.0,0.0,,,,122808.0,0.0,,,,,0.0,5203.0,0.0,,871298.0,314412.0,0.0,22284.0,0.0,54000.0,0.0,,-8266.0,0.0,,538172.0,92634.0,,116088.0,15038.0,,153495.0,,,0.0,333126.0,221694.0,111432.0,,,0.0,,,,,,,133443.0,0.0,0.00056045,10450.0,0.0,,,10801.0,0.00056045,641.0,0.0,0.0,,,,0.00056045,0.0,98902.0,,,0.0,10801.0
2005-12-31,944619.0,803499.0,133891.0,0.0,274390.0,304329.0,,,0.0,0.0,0.0,,,,110151.0,0.0,,,,,0.0,6412.0,0.0,,944619.0,305549.0,0.0,27878.0,0.0,54404.0,0.0,,0.0,0.0,,674432.0,262528.0,,93471.0,12884.0,,124883.0,,,0.0,270187.0,227363.0,42824.0,,,0.0,,,,,,,111285.0,0.0,0.00239031,3936.0,0.0,,,10980.0,0.00239031,0.0,0.0,0.0,,,,0.00239031,0.0,99606.0,,,0.0,10980.0
2006-03-31,1380459.0,1249280.0,481071.0,0.0,278302.0,269538.0,,,0.0,0.0,0.0,,,,146765.0,0.0,,,,,0.0,6770.0,0.0,,1380459.0,293363.0,0.0,25935.0,0.0,85517.0,0.0,,0.0,0.0,,592109.0,199117.0,,73343.0,26286.0,,144961.0,,,0.0,788350.0,585930.0,202420.0,,,0.0,,,,,,,132225.0,1169.0,-0.00073398,-14540.0,0.0,,,-14778.0,-0.00073398,0.0,0.0,0.0,,,,-0.00073398,0.0,85121.0,,,0.0,-14778.0
2006-06-30,1406612.0,1255702.0,422779.0,0.0,311648.0,326174.0,,,0.0,0.0,0.0,,,,131245.0,27797.0,,,,,554.0,7014.0,0.0,,1406612.0,309335.0,0.0,25209.0,0.0,84904.0,0.0,,0.0,0.0,,598979.0,190830.0,,69427.0,29387.0,,171611.0,,,0.0,807633.0,585930.0,221703.0,,,0.0,,,,,,,152548.0,1185.0,0.00100918,21303.0,0.0,,,19282.0,0.00100918,0.0,0.0,0.0,,,,0.00100918,0.0,74099.0,,,0.0,19282.0
2006-09-30,1348111.0,1190828.0,330206.0,0.0,356370.0,383136.0,,,0.0,0.0,0.0,,,,133163.0,27797.0,,,,,2838.0,8177.0,0.0,,1348111.0,449904.0,0.0,36717.0,0.0,224954.0,0.0,,0.0,-349.0,,538309.0,36527.0,,30899.0,20979.0,,168690.0,,,0.0,809802.0,591315.0,218487.0,,,0.0,,,,,,,161542.0,962.0,0.0014356100000000001,28379.0,0.0,,,27667.0,0.0014356100000000001,0.0,0.0,0.0,,,,0.0014356100000000001,-349.0,87857.0,,,0.0,27667.0
2006-12-31,1558590.0,1403195.0,45231.0,220928.0,533203.0,486397.0,,,0.0,1518.56,18089.0,,,,200594.0,0.0,,,,,2544.0,22111.0,0.0,,1558590.0,412916.0,0.0,28381.0,0.0,28344.0,115590.0,,0.0,0.0,,759998.0,267101.0,,45426.0,32259.0,,248018.0,,,2296.0,798592.0,573719.0,271899.0,,,0.0,,,,,,,217532.0,1023.0,0.00072011,16938.0,0.0,,,13885.0,0.00072011,0.0,0.0,0.0,,,,0.00072011,0.0,83276.0,,,0.0,13885.0
2007-03-31,2241757.0,1717864.0,621252.0,0.0,392634.0,559459.0,,,0.0,582.91,0.0,,,,231467.0,27979.0,,,,,171602.0,11507.0,0.0,,2241757.0,416643.0,0.0,62144.0,0.0,56379.0,0.0,,0.0,1551.0,,817435.0,299469.0,,110812.0,0.0,,235340.0,,,-9489.0,1424322.0,1214580.0,209742.0,,,0.0,,,,,,,224316.0,-259.0,-0.00052068,-7151.0,0.0,,,-11994.0,-0.00052068,0.0,0.0,0.0,,,,-0.00052068,1551.0,252884.0,,,-1701.0,-12554.0
2007-06-30,2295382.0,1683830.0,496016.0,0.0,435887.0,594013.0,,,0.0,582.91,0.0,,,,236032.0,27979.0,,,,,167709.0,15169.0,0.0,,2295382.0,402305.0,0.0,75638.0,0.0,62191.0,0.0,,0.0,-5703.0,,833011.0,308566.0,,118524.0,0.0,,280121.0,,,3616.0,1462371.0,1202440.0,259931.0,,,0.0,,,,,,,266548.0,-37.0,0.00133311,30516.0,0.0,,,32702.0,0.00133311,0.0,0.0,0.0,,,,0.00133311,-5703.0,326782.0,,,-1743.0,32142.0
