,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2001-03-31,7304035.0,2808193.0,0.0,639976.0,893498.0,1028536.0,,161842.0,,22361.0,38575.0,,,,,,1678177.0,65962.0,83304.0,180769.0,308531.0,0.0,0.0,,7304035.0,2357679.0,0.0,379213.0,0.0,91477.0,,,0.0,90869.0,,1719173.0,1719173.0,0.0,0.0,334789.0,,0.0,,,1369798.0,1205991.0,520280.0,2575789.0,,17878.0,-247.0,0.0,,,,,,0.0,0.00012753,183213.0,685711.0,-608.0,24650.0,271462.0,0.00012753,6098044.0,-608.0,0.0,0.0,,,,118640.0,0.0,161151.0,,,-43749.0,47728.0
2001-06-30,7517050.0,2949760.0,0.0,676874.0,927411.0,1105996.0,,166001.0,,25277.0,54924.0,,,,,,1717972.0,83049.0,94706.0,0.0,333803.0,0.0,0.0,,7517050.0,2474113.0,0.0,398085.0,0.0,132374.0,,,0.0,149075.0,,1725447.0,1725447.0,0.0,0.0,351797.0,,0.0,,,1390824.0,1258575.0,520280.0,2649399.0,,20425.0,-1364.0,0.0,,,,,,0.0,0.00019662,100263.0,738295.0,16701.0,18362.0,279886.0,0.00019662,6258475.0,16701.0,0.0,0.0,,,,126591.0,0.0,195593.0,,,-53796.0,73586.0
2001-09-30,8096542.0,3294043.0,0.0,882575.0,1012296.0,1156082.0,,165689.0,,26522.0,39779.0,,,,,,1925989.0,92283.0,121954.0,0.0,375428.0,0.0,0.0,,8096542.0,2829216.0,0.0,490465.0,0.0,161158.0,,,0.0,203620.0,,1797593.0,1797593.0,0.0,0.0,384293.0,,0.0,,,1412684.0,1339314.0,520280.0,2751998.0,,20551.0,-4026.0,0.0,,,,,,0.0,0.00021538,284427.0,819034.0,42462.0,27031.0,281623.0,0.00021538,6757228.0,42462.0,0.0,0.0,,,,131616.0,0.0,199163.0,,,-76577.0,80608.0
2001-12-31,9780720.0,3414859.0,0.0,994691.0,863821.0,1331155.0,,190666.0,,0.0,108650.0,,,,,,2123716.0,88680.0,99123.0,124633.0,313269.0,0.0,0.0,,9780720.0,3180268.0,0.0,579714.0,0.0,178639.0,,,0.0,140603.0,,2045171.0,2045171.0,0.0,0.0,368413.0,,0.0,,,2551643.0,1328706.0,520280.0,3880349.0,,9712.0,2440.0,0.0,,,,,,0.0,0.00013731,-81717.0,808426.0,-38036.0,8693.0,289272.0,0.00013731,8452014.0,-38036.0,0.0,0.0,,,,139224.0,0.0,206274.0,,,-123448.0,51390.0
2002-03-31,9888911.0,3446388.0,0.0,885689.0,990921.0,1359660.0,,148010.0,,26153.0,145092.0,,,,,,1905666.0,73114.0,147956.0,115859.0,315255.0,0.0,0.0,,9888911.0,2869974.0,0.0,595713.0,0.0,126105.0,,,0.0,152566.0,,2376483.0,2376483.0,0.0,0.0,388183.0,,0.0,,,2558201.0,1393274.0,520280.0,3951475.0,,9712.0,-13501.0,0.0,,,,,,0.0,0.00017252,121064.0,872994.0,26461.0,7232.0,284622.0,0.00017252,8495637.0,26461.0,0.0,0.0,,,,140798.0,0.0,201180.0,,,-61537.0,64568.0
2002-06-30,10671239.0,3791530.0,0.0,807106.0,1055609.0,1519386.0,,299112.0,,29864.0,158729.0,,,,,,2277533.0,106826.0,167133.0,64005.0,358069.0,0.0,0.0,,10671239.0,3482297.0,0.0,699601.0,0.0,176792.0,,,0.0,205415.0,,2363049.0,2363049.0,0.0,0.0,452716.0,,0.0,,,2653571.0,1408825.0,640000.0,4062396.0,,9712.0,2534.0,0.0,,,,,,0.0,0.00026199,230376.0,768825.0,28623.0,38228.0,320186.0,0.00026199,9262414.0,28623.0,0.0,0.0,,,,150248.0,0.0,239392.0,,,-72206.0,98051.0
2002-09-30,13163426.0,5525080.0,0.0,1813292.0,1305582.0,1773620.0,,365405.0,,32171.0,182009.0,,,,,,4021003.0,138083.0,190015.0,86760.0,476578.0,0.0,0.0,,13163426.0,5289456.0,0.0,737538.0,0.0,333264.0,,,0.0,317382.0,,3118791.0,3118791.0,0.0,0.0,555026.0,,0.0,,,2269339.0,1582351.0,640000.0,3851690.0,,11565.0,-18029.0,0.0,,,,,,0.0,0.00046365,671010.0,942351.0,-15882.0,152967.0,462716.0,0.00046365,11581075.0,-15882.0,0.0,0.0,,,,181432.0,0.0,307219.0,,,-155594.0,173526.0
2002-12-31,14561913.0,5467714.0,0.0,1345717.0,1424595.0,2220055.0,,285625.0,,0.0,291319.0,,,,,,3745743.0,198898.0,198229.0,223456.0,917751.0,0.0,0.0,,14561913.0,5475429.0,0.0,924330.0,0.0,201406.0,,,0.0,249060.0,,3396955.0,3396955.0,0.0,0.0,529959.0,,0.0,,,2829489.0,1576066.0,640000.0,4405555.0,,11306.0,-41101.0,0.0,,,,,,0.0,0.00026153000000000005,21085.0,936066.0,47654.0,74519.0,452801.0,0.00026153000000000005,12985847.0,47654.0,0.0,0.0,,,,260013.0,0.0,284356.0,,,-97651.0,97883.0
2003-03-31,15000962.0,5918720.0,0.0,1203787.0,1782387.0,2390961.0,,282225.0,,0.0,310493.0,,,,,,4624017.0,132043.0,278476.0,207252.0,514875.0,0.0,0.0,,15000962.0,6470815.0,0.0,1175341.0,0.0,293389.0,,,0.0,354804.0,,2652892.0,2652892.0,0.0,0.0,516455.0,,0.0,,,2940735.0,1669322.0,640000.0,4610057.0,,11306.0,-997.0,0.0,,,,,,0.0,0.00034084,102010.0,1029322.0,61415.0,143776.0,487012.0,0.00034084,13331640.0,61415.0,0.0,0.0,,,,273918.0,0.0,292323.0,,,-160575.0,127563.0
2003-06-30,14372714.0,5596554.0,0.0,955158.0,1601089.0,2322606.0,,330729.0,,0.0,501940.0,,,,,,3298141.0,142099.0,206934.0,186864.0,445142.0,0.0,0.0,,14372714.0,4862180.0,0.0,985504.0,0.0,269045.0,,,0.0,137097.0,,3578816.0,3578816.0,0.0,0.0,451301.0,,0.0,,,3010409.0,1751750.0,1280000.0,4762159.0,,11306.0,-8625.0,0.0,,,,,,0.0,0.00028247,137707.0,471750.0,-131948.0,261885.0,444428.0,0.00028247,12620964.0,-131948.0,0.0,0.0,,,,251674.0,0.0,283095.0,,,-158138.0,105715.0
