,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2003-12-31,532661.0,145041.0,0.0,,54259.0,37452.0,,0.0,0.0,0.0,1293.0,,,0.0,79180.0,,,,719.0,0.0,0.0,209815.0,0.0,,532661.0,167482.0,,48545.0,14673.0,93204.0,0.0,69.0,0.0,10991.0,,41579.0,107011.0,107011.0,17885.0,0.0,,362519.0,,,27269.0,170142.0,197411.0,0.0,,0.0,23396.0,0.0,,7739.0,
2004-03-31,566316.0,180884.0,0.0,,56591.0,36895.0,,0.0,3087.0,0.0,1078.0,,,0.0,70200.0,,,,628.0,0.0,0.0,210054.0,0.0,,566316.0,204727.0,,43015.0,18999.0,117889.0,0.0,69.0,0.0,24755.0,,41001.0,101730.0,101730.0,18121.0,0.0,,393789.0,,,27132.0,172527.0,199659.0,0.0,,0.0,23666.0,0.0,,28562.0,
2004-06-30,577614.0,190446.0,0.0,,73147.0,39031.0,,0.0,0.0,0.0,2827.0,,,0.0,95312.0,,,,6613.0,0.0,0.0,213370.0,0.0,,577614.0,210293.0,,40856.0,16372.0,130396.0,0.0,69.0,0.0,22600.0,,40288.0,105849.0,105849.0,18531.0,0.0,,404966.0,,,27178.0,172648.0,199826.0,0.0,,0.0,24286.0,0.0,,23002.0,
2004-09-30,620548.0,232158.0,0.0,,100315.0,49108.0,,0.0,0.0,0.0,3679.0,,,0.0,120266.0,,,,13088.0,0.0,0.0,214202.0,0.0,,620548.0,241837.0,,47358.0,23081.0,144379.0,0.0,69.0,0.0,26950.0,,39669.0,98609.0,98609.0,18881.0,0.0,,431688.0,,,29013.0,188860.0,217873.0,0.0,,0.0,23914.0,0.0,,22963.0,
2004-12-31,584175.0,215335.0,0.0,,68172.0,56031.0,,0.0,0.0,0.0,4786.0,,,0.0,109025.0,,,,6693.0,0.0,0.0,214850.0,0.0,,584175.0,208529.0,,47318.0,16656.0,127445.0,0.0,3253.0,0.0,13857.0,,44669.0,107586.0,107586.0,31917.0,0.0,,421316.0,,,23829.0,162859.0,186688.0,0.0,,0.0,25376.0,0.0,,20811.0,
2005-03-31,633229.0,262601.0,0.0,,80349.0,63370.0,,0.0,0.0,0.0,5403.0,,,0.0,112311.0,,,,3181.0,0.0,0.0,214603.0,0.0,,633229.0,244119.0,,51559.0,20656.0,157009.0,0.0,3253.0,0.0,11642.0,,44220.0,110315.0,110315.0,32498.0,0.0,,462183.0,,,25628.0,171046.0,196674.0,0.0,,0.0,27296.0,0.0,,24477.0,
2005-06-30,669175.0,284965.0,0.0,,82568.0,85538.0,,0.0,0.0,0.0,4125.0,,,0.0,103031.0,,,,1646.0,0.0,0.0,227438.0,0.0,,669175.0,291944.0,,53428.0,21214.0,199284.0,0.0,3253.0,0.0,14765.0,,44455.0,92933.0,92933.0,33907.0,0.0,,492395.0,,,25031.0,176780.0,201811.0,0.0,,0.0,26855.0,0.0,,23283.0,
2005-09-30,632169.0,240683.0,0.0,,67821.0,52064.0,,0.0,0.0,0.0,4097.0,,,0.0,108522.0,,,,5293.0,0.0,0.0,230158.0,0.0,,632169.0,268701.0,,43775.0,19220.0,192128.0,0.0,1160.0,0.0,12418.0,,44129.0,86927.0,86927.0,35004.0,0.0,,461624.0,,,22766.0,170545.0,193311.0,0.0,,0.0,27084.0,0.0,,20240.0,
2005-12-31,653212.0,237080.0,0.0,,87667.0,41430.0,,0.0,0.0,0.0,4349.0,,,0.0,144206.0,,,,3272.0,0.0,0.0,278324.0,0.0,,653212.0,265935.0,,39780.0,12970.0,203705.0,0.0,135.0,0.0,9345.0,,42411.0,131818.0,131818.0,37800.0,0.0,,500725.0,,,18412.0,152487.0,170899.0,0.0,,0.0,28548.0,0.0,,6273.0,
2006-03-31,651077.0,230499.0,0.0,,76291.0,40733.0,,0.0,0.0,0.0,4387.0,,,0.0,106892.0,,,,4293.0,0.0,0.0,282465.0,0.0,,651077.0,273466.0,,43882.0,14316.0,206831.0,0.0,135.0,0.0,8302.0,,45846.0,119621.0,119621.0,39903.0,0.0,,499900.0,,,16677.0,151177.0,167854.0,0.0,,0.0,30411.0,0.0,,19266.0,
