,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2004-03-31,924492.0,747396.0,0.0,265656.0,0.0,125667.0,,0.0,995.0,6461.0,1764.0,,,1179.0,2687.0,,,0.0,0.0,,0.0,170809.0,0.0,,924492.0,101539.0,0.0,19474.0,0.0,14642.0,,0.0,13037.0,-11160.0,,119544.0,0.0,,0.0,,,0.0,,,,703409.0,296893.0,313302.7,,563159.0,0.0,,9714.0,,
2004-06-30,940999.0,770406.0,0.0,333393.0,0.0,132388.0,,0.0,936.0,5839.0,1764.0,,,0.0,2559.0,,,0.0,0.0,,0.0,165614.0,0.0,,940999.0,96618.0,0.0,17665.0,0.0,15312.0,,0.0,11041.0,-10882.0,,123359.0,0.0,,0.0,,,0.0,,,,721022.0,239275.0,313302.7,,583545.0,0.0,,7198.0,,
2004-09-30,997499.0,827849.0,0.0,267951.0,0.0,147803.0,,0.0,606.0,89.0,1764.0,,,0.0,1665.0,,,0.0,0.0,,20496.0,165254.0,0.0,,997499.0,130200.0,0.0,17761.0,0.0,15381.0,,8171.0,16573.0,-16458.0,,127976.0,0.0,,269.0,,,0.0,,,,739054.0,363511.0,900000.0,,118474.0,0.0,,12084.0,,
2004-12-31,1050068.0,876194.0,0.0,309240.0,0.0,134546.0,,0.0,4735.0,25135.0,1764.0,,,0.0,0.0,,,0.0,0.0,,27221.0,170296.0,0.0,,1050068.0,183783.0,0.0,24059.0,0.0,19732.0,,64151.0,20311.0,-16186.0,,128911.0,0.0,,88.0,,,0.0,,,,737286.0,371749.0,900000.0,,116706.0,0.0,,11333.0,,
2005-03-31,1072778.0,896428.0,0.0,455557.0,0.0,120346.0,,0.0,1829.0,26976.0,1764.0,,,0.0,0.0,,,0.0,0.0,,6604.0,173140.0,0.0,,1072778.0,167813.0,0.0,17638.0,0.0,21675.0,,64151.0,13924.0,-10754.0,,130398.0,0.0,,29.0,,,0.0,,,,774538.0,270617.0,900000.0,,153958.0,0.0,,10598.0,,
2005-06-30,1018529.0,833897.0,0.0,441901.0,0.0,120927.0,,0.0,2596.0,18917.0,1758.0,,,0.0,75.0,,,0.0,0.0,,6539.0,181529.0,0.0,,1018529.0,103965.0,0.0,20806.0,0.0,23245.0,,0.0,10658.0,-9430.0,,131039.0,0.0,,0.0,,,0.0,,,,783525.0,232612.0,900000.0,,49781.0,0.0,,7716.0,,
2005-09-30,1134065.0,945869.0,0.0,465130.0,0.0,119290.0,,0.0,2499.0,9646.0,1759.0,,,0.0,150.0,,,0.0,0.0,,19966.0,185010.0,0.0,,1134065.0,139392.0,0.0,25151.0,0.0,31277.0,,0.0,15471.0,-13374.0,,140989.0,0.0,,0.0,,,0.0,,,,853684.0,330102.0,900000.0,,119809.0,0.0,,13101.0,,
2005-12-31,1159440.0,970105.0,0.0,487721.0,0.0,100320.0,,0.0,1549.0,19195.0,1764.0,,,0.0,0.0,,,0.0,0.0,,7123.0,181603.0,0.0,,1159440.0,157255.0,0.0,16680.0,0.0,27223.0,,43181.0,17047.0,0.0,,150850.0,0.0,,0.0,,,0.0,,,,851335.0,329319.0,900000.0,,117387.0,0.0,,11296.0,,
2006-03-31,1189831.0,1004389.0,0.0,616430.0,0.0,85111.0,,0.0,1744.0,19486.0,1764.0,,,0.0,0.0,,,0.0,0.0,,7035.0,176134.0,0.0,,1189831.0,144239.0,0.0,13726.0,0.0,26286.0,,43181.0,12143.0,0.0,,152829.0,0.0,,0.0,,,0.0,,,,892763.0,255695.0,900000.0,,158843.0,0.0,,10535.0,,
2006-06-30,1192986.0,1011887.0,0.0,644626.0,0.0,91831.0,,0.0,2576.0,20446.0,1764.0,,,0.0,0.0,,,0.0,0.0,,6917.0,172510.0,0.0,,1192986.0,105259.0,0.0,15644.0,0.0,27070.0,,2.0,9973.0,0.0,,153173.0,0.0,,0.0,,,0.0,,,,934554.0,225761.0,900000.0,,90990.0,0.0,,9376.0,,
2006-09-30,1367500.0,1190754.0,0.0,685017.0,0.0,98057.0,,0.0,1462.0,30482.0,1764.0,,,0.0,0.0,,,0.0,0.0,,6758.0,145248.0,0.0,,1367500.0,179571.0,0.0,24664.0,0.0,58372.0,,0.0,15363.0,0.0,,215648.0,0.0,,0.0,,,0.0,,,,972281.0,344531.0,900000.0,,128670.0,0.0,,17216.0,,
2006-12-31,1417403.0,1244818.0,0.0,635465.0,0.0,114248.0,,0.0,845.0,23625.0,1743.0,,,0.0,0.0,,,0.0,738.0,,6597.0,157413.0,7203.0,,1417403.0,268328.0,0.0,29120.0,0.0,108907.0,,48261.0,25121.0,0.0,,169845.0,0.0,,0.0,,,0.0,,,,979230.0,422304.0,900000.0,,135582.0,0.0,,12182.0,,
2007-03-31,1439665.0,1264075.0,0.0,817028.0,0.0,95929.0,,0.0,1339.0,26211.0,1743.0,,,0.0,0.0,,,0.0,738.0,,4978.0,155040.0,7318.0,,1439665.0,251042.0,0.0,16679.0,7948.0,116475.0,,48261.0,12058.0,0.0,,162009.0,0.0,,0.0,,,0.0,,,,1026614.0,290633.0,900000.0,,183015.0,11226.0,,10732.0,,
2007-06-30,1423465.0,1247495.0,0.0,872685.0,0.0,103727.0,,0.0,1010.0,29746.0,849.0,,,0.0,0.0,,,0.0,738.0,,4956.0,154993.0,7102.0,,1423465.0,212636.0,0.0,18260.0,7073.0,127597.0,,0.0,10645.0,0.0,,153010.0,0.0,,0.0,,,0.0,,,,1057819.0,223257.0,900000.0,,93117.0,6994.0,,9749.0,,
2007-09-30,1472496.0,1296420.0,0.0,753297.0,0.0,123855.0,,0.0,992.0,25860.0,1209.0,,,0.0,0.0,,,0.0,738.0,,4934.0,156154.0,7007.0,,1472496.0,232655.0,0.0,32797.0,17905.0,103397.0,,0.0,16902.0,0.0,,130309.0,0.0,,0.0,,,0.0,,,,1109532.0,372223.0,900000.0,,144744.0,12939.0,,14717.0,,
