,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,793531.0,410287.0,193849.0,0.0,252266.0,92941.0,,0.0,,13152.0,0.0,,,,,,,0.0,,0.0,0.0,314532.0,0.0,,793531.0,119811.0,0.0,33523.0,0.0,12393.0,,,51928.0,,,112.0,112.0,,0.0,,,0.0,,,,566047.0,466.0,0.00020999999999999998,,0.0,9922.0,0.0,,,
2002-03-31,732523.0,319235.0,119840.0,0.0,183674.0,89758.0,,0.0,,13321.0,2934.0,,,,,,,0.0,,0.0,0.0,342313.0,0.0,,732523.0,69824.0,0.0,39656.0,0.0,0.0,,,32482.0,,,124.0,124.0,,0.0,,,0.0,,,,572903.0,265.0,0.0,,0.0,12685.0,0.0,,,
2002-06-30,809370.0,382809.0,188468.0,0.0,197387.0,134607.0,,0.0,,24761.0,2934.0,,,,,,,0.0,,0.0,0.0,363799.0,0.0,,809370.0,128625.0,0.0,26161.0,0.0,0.0,,,26054.0,,,124.0,124.0,,0.0,,,0.0,,,,594617.0,54.0,0.0,,0.0,18295.0,0.0,,,
2002-09-30,833747.0,373730.0,168105.0,0.0,219742.0,125189.0,,0.0,,24241.0,3410.0,,,,,,,0.0,,0.0,0.0,392291.0,0.0,,833747.0,95763.0,0.0,46424.0,0.0,0.0,,,4558.0,,,135.0,135.0,,0.0,,,0.0,,,,619083.0,4515.0,0.0,,0.0,21187.0,0.0,,,
2002-12-31,929734.0,449433.0,230170.0,0.0,288963.0,128910.0,,0.0,,10172.0,0.0,,,,,,,0.0,,0.0,0.0,408022.0,0.0,,929734.0,144106.0,0.0,56657.0,0.0,18408.0,,,21388.0,,,137.0,137.0,,0.0,,,0.0,,,,642770.0,157.0,0.00031,,0.0,12397.0,0.0,,,
2003-03-31,849153.0,365561.0,145660.0,0.0,209241.0,129952.0,,0.0,,14151.0,3206.0,,,,,,,0.0,,0.0,0.0,412086.0,0.0,,849153.0,81797.0,0.0,58019.0,0.0,0.0,,,12217.0,,,149.0,149.0,,0.0,,,0.0,,,,645325.0,193.0,0.0,,0.0,16636.0,0.0,,,
2003-06-30,920899.0,430554.0,200339.0,0.0,234180.0,137524.0,,0.0,,22920.0,3206.0,,,,,,,0.0,,0.0,0.0,413970.0,0.0,,920899.0,127176.0,0.0,59345.0,0.0,0.0,,,35930.0,,,149.0,149.0,,0.0,,,0.0,,,,661066.0,97.0,0.0,,0.0,19324.0,0.0,,,
2003-09-30,909307.0,410251.0,164358.0,0.0,238139.0,131244.0,,0.0,,26942.0,3206.0,,,,,,,0.0,,0.0,0.0,420274.0,0.0,,909307.0,105209.0,0.0,75062.0,0.0,0.0,,,13926.0,,,157.0,157.0,,0.0,,,0.0,,,,669730.0,2440.0,0.0,,0.0,25039.0,0.0,,,
2003-12-31,987540.0,484833.0,228273.0,0.0,313627.0,109906.0,,0.0,,13799.0,0.0,,,,,,,0.0,,0.0,0.0,430557.0,0.0,,987540.0,132433.0,0.0,65437.0,0.0,11232.0,,,47501.0,,,3400.0,3400.0,,0.0,,,0.0,,,,690430.0,190.0,0.00019,,0.0,13756.0,0.0,,,
2004-03-31,923367.0,411376.0,159844.0,0.0,231864.0,116280.0,,0.0,,18087.0,9162.0,,,,,,,0.0,,0.0,0.0,440342.0,0.0,,923367.0,97754.0,0.0,66294.0,0.0,0.0,,,45145.0,,,4942.0,4942.0,,0.0,,,0.0,,,,692287.0,87.0,0.0,,0.0,6532.0,0.0,,,
2004-06-30,1020314.0,494914.0,220696.0,0.0,233960.0,141917.0,,0.0,,20712.0,10169.0,,,,,,,0.0,,0.0,0.0,449433.0,0.0,,1020314.0,150752.0,0.0,70828.0,0.0,0.0,,,98325.0,,,7226.0,7226.0,,0.0,,,0.0,,,,721564.0,101.0,0.0,,0.0,9487.0,0.0,,,
2004-09-30,1101561.0,567810.0,275384.0,0.0,246514.0,172475.0,,0.0,,22583.0,3376.0,,,,,,,0.0,,0.0,0.0,458844.0,0.0,,1101561.0,184613.0,0.0,69974.0,0.0,0.0,,,126238.0,,,179.0,179.0,,0.0,,,0.0,,,,756024.0,15775.0,0.0,,0.0,28737.0,0.0,,,
2004-12-31,1220351.0,678103.0,339540.0,0.0,354011.0,161248.0,,0.0,,26981.0,0.0,,,,,,,0.0,,0.0,0.0,471819.0,0.0,,1220351.0,181187.0,0.0,74629.0,0.0,29640.0,,,135863.0,,,0.0,0.0,,0.0,,,0.0,,,,806182.0,60.0,0.0005,,0.0,23564.0,0.0,,,
2005-03-31,1149985.0,595566.0,243771.0,0.0,265088.0,192130.0,,0.0,,27412.0,0.0,,,,,,,0.0,,0.0,0.0,486136.0,0.0,,1149985.0,146133.0,0.0,75752.0,0.0,0.0,,,110936.0,,,0.0,0.0,,0.0,,,0.0,,,,830462.0,31.0,0.0,,0.0,27855.0,0.0,,,
2005-06-30,1252405.0,686044.0,295203.0,0.0,325834.0,204119.0,,0.0,,672.0,0.0,,,,,,,0.0,,0.0,0.0,495563.0,0.0,,1252405.0,178111.0,0.0,183648.0,0.0,0.0,,,155419.0,,,0.0,0.0,,0.0,,,0.0,,,,773554.0,49.0,0.0,,0.0,14331.0,0.0,,,
2005-09-30,1280121.0,696569.0,289797.0,0.0,354270.0,204017.0,,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,353637.0,0.0,,1280121.0,169299.0,0.0,166339.0,0.0,0.0,,,138282.0,,,0.0,0.0,,0.0,,,0.0,,,,823985.0,58.0,0.0,,0.0,35156.0,0.0,,,
2005-12-31,1487711.0,869793.0,436607.0,0.0,391952.0,173223.0,,0.0,,29423.0,0.0,,,,,,,0.0,,0.0,0.0,384947.0,0.0,,1487711.0,211536.0,0.0,164510.0,0.0,29640.0,,,275195.0,,,0.0,0.0,,0.0,,,0.0,,,,886594.0,98.0,0.0005,,0.0,58344.0,0.0,,,
2006-03-31,1366171.0,735990.0,294767.0,0.0,320021.0,212771.0,,0.0,,45520.0,0.0,,,,,,,0.0,,0.0,0.0,398154.0,0.0,,1366171.0,167239.0,0.0,163396.0,0.0,0.0,,,157678.0,,,0.0,0.0,,0.0,,,0.0,,,,908008.0,35.0,0.0,,0.0,37673.0,0.0,,,
2006-06-30,1484054.0,818653.0,346177.0,0.0,332202.0,269901.0,,0.0,,44600.0,0.0,,,,,,,0.0,,0.0,0.0,431312.0,0.0,,1484054.0,209242.0,0.0,172627.0,0.0,0.0,,,171950.0,,,0.0,0.0,,0.0,,,0.0,,,,965250.0,63.0,0.0,,0.0,38647.0,0.0,,,
2006-09-30,1484505.0,781199.0,318123.0,0.0,325644.0,281072.0,,0.0,,56120.0,0.0,,,,,,,0.0,,0.0,0.0,478130.0,0.0,,1484505.0,180743.0,0.0,156970.0,0.0,0.0,,,118363.0,,,0.0,0.0,,0.0,,,0.0,,,,1009412.0,72.0,0.0,,0.0,22823.0,0.0,,,
2006-12-31,1680999.0,930022.0,461718.0,0.0,372937.0,224996.0,,0.0,,80246.0,0.0,,,,,,,0.0,,0.0,0.0,726933.0,5106.0,,1680999.0,215497.0,0.0,151499.0,0.0,48048.0,,,251843.0,,,0.0,0.0,,0.0,,,0.0,,,,1067782.0,116.0,0.0008100000000000001,,0.0,23370.0,0.0,,,
2007-03-31,1564796.0,777004.0,334314.0,0.0,323067.0,250261.0,,0.0,,46024.0,0.0,,,,,,,0.0,,0.0,0.0,763543.0,0.0,,1564796.0,170583.0,0.0,146983.0,0.0,0.0,,,157652.0,,,0.0,0.0,,0.0,,,0.0,,,,1083499.0,46.0,0.0,,0.0,15676.0,0.0,,,
2007-06-30,1656079.0,825371.0,333091.0,0.0,350041.0,254402.0,,0.0,,47301.0,0.0,,,,,,,0.0,,0.0,0.0,794912.0,0.0,,1656079.0,183399.0,0.0,177202.0,0.0,0.0,,,173627.0,,,0.0,0.0,,0.0,,,0.0,,,,1145786.0,74.0,0.0,,0.0,31092.0,0.0,,,
2007-09-30,1715680.0,868458.0,341428.0,0.0,360459.0,292510.0,,0.0,,62794.0,0.0,,,,,,,0.0,,0.0,0.0,805255.0,0.0,,1715680.0,196174.0,0.0,175961.0,0.0,0.0,,,152695.0,,,0.0,0.0,,0.0,,,150.0,,,,1198141.0,103.0,0.0,,0.0,39033.0,0.0,,,
2007-12-31,1830207.0,980717.0,495157.0,0.0,434211.0,302982.0,,0.0,,46500.0,0.0,,,,,,,0.0,,0.0,0.0,814044.0,12987.0,,1830207.0,272037.0,0.0,102054.0,0.0,44616.0,,,197024.0,,,0.0,0.0,,0.0,,,14028.0,,,,1218968.0,134.0,0.00075,,0.0,14436.0,0.0,,,
2008-03-31,1697776.0,788486.0,331368.0,0.0,285562.0,331931.0,,25350.0,,47020.0,0.0,,,,,,,0.0,,22764.0,0.0,843064.0,14420.0,,1697776.0,149643.0,333255.0,107114.0,0.0,0.0,,,98623.0,,,0.0,0.0,,0.0,,,350.0,,,,1258944.0,79.0,0.0,,0.0,23050.0,0.0,,,
2008-06-30,1777521.0,837765.0,362201.0,0.0,317002.0,345558.0,,24349.0,,45535.0,0.0,,,,,,,0.0,,81917.0,0.0,863863.0,14089.0,,1777521.0,177721.0,369595.0,110332.0,0.0,0.0,,,105321.0,,,0.0,0.0,,0.0,,,350.0,,,,1304638.0,113.0,0.0,,0.0,44414.0,0.0,,,
2008-09-30,1792179.0,805223.0,412911.0,0.0,251547.0,395803.0,,42546.0,,52028.0,0.0,,,,,,,0.0,,29689.0,0.0,911245.0,14483.0,,1792179.0,208265.0,309445.0,49831.0,0.0,0.0,,,63299.0,,,0.0,0.0,,0.0,,,350.0,,,,1329087.0,10199.0,0.0,,0.0,52219.0,0.0,,,
2008-12-31,1982483.0,957052.0,613137.0,0.0,422022.0,375803.0,,56480.0,,22538.0,0.0,,,,,,,0.0,,51535.0,0.0,926499.0,33748.0,,1982483.0,189447.0,463726.0,20266.0,-36761.0,29016.0,,,80209.0,,,0.0,0.0,,0.0,,,22282.0,,,,1326798.0,121862.0,0.00049,,0.0,40569.0,0.0,,,
2009-03-31,1872267.0,828196.0,493072.0,0.0,265199.0,382685.0,,51023.0,,68426.0,0.0,,,,,,,0.0,,89211.0,0.0,945367.0,35108.0,,1872267.0,91770.0,310663.0,9862.0,0.0,0.0,,,60863.0,,,0.0,0.0,,0.0,,,24014.0,,,,1345319.0,150027.0,0.0,,0.0,47574.0,0.0,,,
2009-06-30,2007455.0,926800.0,561964.0,0.0,356772.0,380905.0,,55674.0,,70455.0,0.0,,,,,,,0.0,,36745.0,0.0,956356.0,34984.0,,2007455.0,175599.0,432953.0,30562.0,0.0,0.0,,,62994.0,,,0.0,0.0,,0.0,,,27064.0,,,,1387865.0,141733.0,0.0,,0.0,66061.0,0.0,,,
2009-09-30,2053905.024,982710.016,59561.0,0.0,477996.0,373065.984,0.0,0.0,0.0,72087.0,83135.0,0.0,0.0,82572.0,0.0,0.0,0.0,0.0,0.0,563.0,1256.0,946792.0,36911.0,3101.0,2053905.024,558691.0079999999,0.0,178710.0,146887.008,153852.992,0.0,9306.0,35727.0,34208.0,0.0,54949.0,0.0,23395.0,2323.0,0.0,0.0,29231.0,0.0,604.0,0.0,1439661.0559999999,1300000.0,0.0,0.0,139660.992,0.0,0.0,0.0,0.0,0.0
2009-12-31,2268521.984,1175729.024,82828.0,0.0,736595.968,339601.984,0.0,0.0,0.0,16703.0,87131.0,0.0,0.0,65034.0,0.0,0.0,0.0,0.0,0.0,22097.0,1256.0,963046.9759999999,38465.0,2894.0,2268521.984,708851.968,0.0,233790.0,100984.0,101054.0,0.0,41972.0,116283.0,114769.0,0.0,60184.0,0.0,21547.0,2648.0,0.0,0.0,35989.0,0.0,0.0,0.0,1499485.9519999998,1300000.0,0.0,0.0,199486.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,2222555.904,1126157.952,113171.0,0.0,559080.0,382904.992,0.0,0.0,0.0,71002.0,73270.0,0.0,0.0,65034.0,0.0,0.0,0.0,0.0,0.0,8236.0,1256.0,980867.0079999999,38317.0,2688.0,2222555.904,537987.968,0.0,176720.0,78113.0,103127.0,0.0,41969.0,29296.0,108763.0,0.0,132758.0,74244.0,18012.0,2510.0,0.0,0.0,37992.0,0.0,0.0,0.0,1551810.0480000002,1300000.0,0.0,0.0,204428.992,47381.0,0.0,0.0,0.0,0.0
2010-06-30,2349659.904,1230429.952,107496.0,0.0,636305.9839999999,403497.984,0.0,0.0,0.0,83130.0,72703.0,0.0,0.0,64564.0,0.0,0.0,0.0,0.0,0.0,8139.0,1256.0,1003731.0079999999,39059.0,2481.0,2349659.904,438896.0,0.0,197299.008,117206.0,7701.0,0.0,637.0,41179.0,74874.0,0.0,300740.0,238970.0,18321.0,2440.0,0.0,0.0,41009.0,0.0,0.0,0.0,1610023.936,1500000.0,0.0,0.0,13771.0,96253.0,0.0,0.0,0.0,0.0
2010-09-30,2574891.008,1394300.032,237440.992,0.0,629030.976,461392.0,0.0,0.0,0.0,66436.0,116535.0,0.0,0.0,17116.0,0.0,0.0,0.0,0.0,0.0,99419.0,907.0,1023537.984,37337.0,2274.0,2574891.008,476795.008,0.0,197940.0,116821.0,6850.0,0.0,457.0,40026.0,114701.0,0.0,424336.0,357380.992,16096.0,3596.0,0.0,0.0,47263.0,0.0,0.0,0.0,1673760.0,1500000.0,0.0,0.0,26208.0,147552.0,0.0,0.0,0.0,0.0
2010-12-31,3169164.0319999997,1638456.96,131051.0,194619.008,843137.984,428128.0,0.0,11007.0,0.0,30514.0,124094.0,0.0,0.0,0.0,0.0,0.0,94700.0,0.0,0.0,29394.0,907.0,1367905.024,37801.0,0.0,3169164.0319999997,696699.0079999999,83203.0,208527.008,181610.0,75304.0,0.0,0.0,148055.008,0.0,0.0,522987.008,318727.00800000003,0.0,19417.0,95848.0,0.0,81850.0,0.0,7145.0,0.0,1949478.0159999998,1500000.0,0.0,0.0,272764.99199999997,0.0,176712.992,0.0,0.0,0.0
2011-03-31,2999924.992,1404973.0559999999,27284.0,199747.008,657196.9920000001,471369.984,0.0,17973.0,0.0,31402.0,138488.0,0.0,0.0,0.0,0.0,0.0,109528.0,0.0,0.0,28960.0,230998.0,1187852.0320000001,37614.0,0.0,2999924.992,490920.0,94251.0,169320.992,45605.0,65355.0,0.0,0.0,116388.0,0.0,0.0,500158.016,327511.00800000003,0.0,17984.0,94609.0,0.0,53046.0,0.0,7008.0,0.0,2008846.976,1500000.0,0.0,0.0,272764.99199999997,0.0,174360.0,0.0,61722.0,0.0
2011-06-30,3217393.92,1561726.976,11461.0,150279.008,768720.0,547436.032,0.0,36107.0,0.0,47724.0,138787.008,0.0,0.0,0.0,0.0,0.0,106060.0,0.0,0.0,32727.0,228528.992,1252339.9679999999,36011.0,0.0,3217393.92,614147.0079999999,118043.0,208040.992,79944.0,143300.0,0.0,548.0,64271.0,0.0,0.0,495591.008,281708.99199999997,0.0,60686.0,93370.0,0.0,52915.0,0.0,6911.0,0.0,2107655.9359999998,1700000.0,0.0,0.0,72628.0,0.0,171936.992,0.0,163091.008,0.0
