,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,12265000.0,12267000.0,476000.0,1818000.0,838000.0,742000.0,,0.0,27000.0,,123000.0,2720000.0,,,,,,,,,-0.15227000000000002,7893000.0,,,0.0,725000.0,0.0,20271000.0,45766000.0,18036000.0,,,0.0,1044000.0,,82714000.0,16677000.0,,0.0,,,,,,,-92952000.0,-70447000.0,2770000.0,0.0,,-70447000.0,,,,
2002-03-31,12853000.0,12853000.0,1026000.0,2196000.0,958000.0,862000.0,,0.0,36000.0,,373000.0,2065000.0,,,,,,,,,-0.12983,7726000.0,,,0.0,939000.0,0.0,20788000.0,46705000.0,18442000.0,,,0.0,1071000.0,,84845000.0,17352000.0,,0.0,,,,,,,-94440000.0,-71992000.0,2596000.0,0.0,,-71992000.0,,,,
2002-06-30,12471000.0,12470000.0,830000.0,2124000.0,632000.0,903000.0,,0.0,31000.0,,384000.0,2214000.0,,,,,,,,,-0.09403,7556000.0,,,0.0,930000.0,0.0,19994000.0,47558000.0,18017000.0,,,0.0,1507000.0,,85581000.0,18029000.0,,0.0,,,,,,,-95481000.0,-73111000.0,2532000.0,0.0,,-73111000.0,,,,
2002-09-30,12583000.0,12583000.0,719000.0,2290000.0,478000.0,1168000.0,,0.0,24000.0,,394000.0,2364000.0,,,,,,,,,-0.15059,7477000.0,,,0.0,725000.0,0.0,20203000.0,48532000.0,18444000.0,,,0.0,1068000.0,,87487000.0,18752000.0,,0.0,,,,,,,-97218000.0,-74904000.0,2566000.0,0.0,,-74904000.0,,,,
2002-12-31,12306000.0,12305000.0,697000.0,2297000.0,544000.0,1144000.0,,0.0,25000.0,,168000.0,3116000.0,,,,,,,,,-0.19134,7447000.0,,,0.0,699000.0,0.0,21583000.0,48940000.0,19389000.0,,,0.0,967000.0,,89486000.0,18963000.0,,0.0,,,,,,,-99438000.0,-77181000.0,2591000.0,0.0,,-77181000.0,,,,
2003-03-31,12792000.0,12792000.0,465000.0,2503000.0,547000.0,1281000.0,,0.0,35000.0,,472000.0,2656000.0,,,,,,,,,-0.16403,7318000.0,,,0.0,1016000.0,0.0,22055000.0,50080000.0,19858000.0,,,0.0,1246000.0,,91924000.0,19789000.0,,0.0,,,,,,,-101334000.0,-79132000.0,2986000.0,0.0,,-79132000.0,,,,
2003-06-30,12569000.0,12567000.0,884000.0,2631000.0,530000.0,1220000.0,,0.0,0.0,,551000.0,2318000.0,,,,,,,,,-0.21311,7229000.0,,,0.0,938000.0,0.0,22309000.0,51226000.0,20330000.0,,,0.0,1198000.0,,94234000.0,20699000.0,,0.0,,,,,,,-103813000.0,-81667000.0,2450000.0,0.0,,-81667000.0,,,,
2003-09-30,12989000.0,12988000.0,1291000.0,2692000.0,622000.0,1301000.0,,0.0,55000.0,,647000.0,2458000.0,,,,,,,,,-0.18571,6956000.0,,,0.0,816000.0,0.0,22848000.0,52371000.0,20829000.0,,,0.0,1166000.0,,96866000.0,21647000.0,,0.0,,,,,,,-105969000.0,-83878000.0,2504000.0,0.0,,-83878000.0,,,,
2003-12-31,12797000.0,12797000.0,1133000.0,2650000.0,526000.0,1162000.0,,0.0,67000.0,,259000.0,2836000.0,,,,,,,,,-0.19756,6904000.0,,,0.0,762000.0,0.0,24237000.0,52870000.0,21775000.0,,,0.0,950000.0,,99026000.0,21919000.0,,0.0,,,,,,,-108265000.0,-86229000.0,3037000.0,0.0,,-86229000.0,,,,
2004-03-31,13337000.0,13336000.0,1299000.0,2462000.0,714000.0,1418000.0,,0.0,82000.0,,284000.0,2429000.0,,,,,,,,,-0.16521,6777000.0,,,0.0,667000.0,0.0,24880000.0,53822000.0,22305000.0,,,0.0,1133000.0,,101532000.0,22830000.0,,0.0,,,,,,,-110177000.0,-88196000.0,3242000.0,0.0,,-88196000.0,,,,
