,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2017-12-31,2614945.024,1517774.976,104209.0,802814.016,421844.992,14226.0,0.0,26505.0,0.0,148176.0,760590.016,539313.9839999999,0.0,0.0,0.0,0.0,153440.0,58507.0,9182.0,147.0,0.0,290622.016,45958.0,0.0,2614945.024,1818792.96,96198.0,56139.0,113728.0,0.0,0.0,836337.984,78123.00799999991,638267.0079999999,0.0,324148.99199999997,0.0,48016.0,0.0,21653.0,0.0,254480.0,0.0,0.0,124.0,471879.008,280000.0,0.0,0.0,191879.008,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,2694052.0960000004,1493476.9919999999,347750.016,572822.976,363758.016,12553.0,0.0,21589.0,0.0,175004.0,820726.016,582755.0079999999,0.0,0.0,0.0,0.0,163504.992,65238.0,9012.0,216.0,0.0,331185.984,48663.0,0.0,2694052.0960000004,1695143.04,88738.0,61626.0,115263.0,0.0,0.0,766219.0079999999,69315.968,593980.9920000001,0.0,313254.016,0.0,48312.0,0.0,11258.0,0.0,253684.0,0.0,0.0,124.0,685530.9759999999,280000.0,55558.0,0.0,136320.992,213652.0,0.0,0.0,0.0,0.0,0.0,0.0,1089872.0,-597990.0160000001,491881.984,-121935.0,-96787.0,0.0,329.0,0.0,0.0,21770.0,34116.0,-12346.0,0.0,0.0,0.0,295259.00800000003,-91071.0,9883.0,0.0,0.0,-419.0,213652.0
2018-06-30,5033259.008,1412876.032,113049.0,671929.984,407408.0,14906.0,0.0,23336.0,0.0,182247.008,3173541.8880000003,0.0,2938418.9439999997,0.0,0.0,0.0,0.0,138707.008,0.0,3416.0,0.0,361595.008,85246.0,0.0,5033259.008,1359945.9840000002,105389.0,63513.0,94523.0,6102.0,0.0,367304.992,74276.0,648838.0160000001,0.0,307891.00800000003,0.0,42616.0,0.0,11856.0,0.0,253419.008,0.0,0.0,202.0,3365220.08,2809987.0719999997,55558.0,0.0,136320.992,363353.984,0.0,0.0,0.0,0.0,0.0,0.0,1110948.992,-678065.984,432883.008,-111374.0,-132240.0,0.0,9464.0,0.0,0.0,37255.0,50500.0,-13245.0,0.0,0.0,0.0,235988.0,-75265.0,-10695.0,0.0,0.0,-326.0,149702.0
2018-09-30,4925211.136,1385730.9440000001,89154.0,619961.024,443134.016,12407.0,0.0,35935.0,0.0,185140.0,3048262.912,0.0,2784760.064,0.0,0.0,0.0,0.0,170579.008,0.0,3336.0,0.0,395668.0,95549.0,0.0,4925211.136,1050105.9840000002,118083.0,58343.0,93199.0,4113.0,0.0,14563.0,72541.0,689264.0,0.0,319254.016,0.0,42616.0,0.0,11935.0,0.0,264703.00800000003,0.0,0.0,480.0,3555371.008,2810219.008,55558.0,0.0,136320.992,553273.024,0.0,0.0,0.0,0.0,0.0,0.0,1163735.04,-728489.984,435244.992,-116639.0,-139086.0,0.0,-424.0,0.0,0.0,59066.0,65074.0,-6008.0,0.0,0.0,0.0,238162.0,-66533.0,18551.0,0.0,0.0,-262.0,189918.0
2018-12-31,4876674.048,1275954.048,185484.0,702363.0079999999,152747.008,19187.0,0.0,65287.0,103766.0,47120.0,3071098.1119999997,0.0,2685643.008,0.0,0.0,0.0,0.0,247628.992,96891.0,3337.0,0.0,414528.0,115094.0,0.0,4876674.048,987496.0,112947.0,61381.0,89750.0,0.0,42657.0,184512.992,88123.008,408124.992,0.0,283323.00800000003,0.0,0.0,19882.0,0.0,0.0,263440.99199999997,0.0,0.0,3311.0,3602543.9760000003,2810219.008,0.0,0.0,792324.9920000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1211342.336,-750115.968,461225.984,-93466.016,-139064.96,0.0,-9498.0,0.0,0.0,53729.0,63398.992,-9670.0,0.0,0.0,0.0,272925.952,-82220.0,43349.0,0.0,0.0,143.0,234198.016
2019-03-31,5978750.976,1227313.024,143035.008,639817.024,167571.008,17749.0,0.0,68602.0,121949.0,68590.0,3353656.064,0.0,2981245.952,0.0,0.0,0.0,0.0,229384.0,101240.0,3332.0,0.0,1256855.04,140927.008,0.0,5978750.976,1088827.008,110321.0,62505.0,153514.0,0.0,42657.0,184512.992,121015.008,414302.016,0.0,1069675.008,0.0,0.0,797385.0240000001,0.0,0.0,272289.984,0.0,0.0,12552.0,3807697.088,2810219.008,0.0,0.0,792324.9920000001,205152.992,0.0,0.0,0.0,0.0,0.0,0.0,1256999.936,-726411.0079999999,530588.9920000001,-118732.0,-139279.008,0.0,-550.0,0.0,0.0,35074.0,60276.0,-25202.0,0.0,0.0,0.0,307102.016,-103032.0,1324.0,0.0,0.0,-241.0,205152.992
2019-06-30,6087942.143999999,1926258.0480000002,142951.008,1093972.992,173708.992,20271.0,0.0,83122.0,104832.0,307400.0,2682149.12,0.0,2258435.0719999997,0.0,0.0,0.0,0.0,153472.992,0.0,3333.0,0.0,1344302.976,135232.0,0.0,6087942.143999999,1024576.0,125661.0,45302.0,164772.992,0.0,42667.0,104556.0,123620.0,417996.992,0.0,1134183.04,0.0,0.0,850686.9759999999,0.0,0.0,283496.0,0.0,0.0,21310.0,3907872.9760000003,2810219.008,0.0,0.0,773745.984,323908.0,0.0,0.0,0.0,0.0,0.0,0.0,1276257.024,-751360.0,524896.9920000001,-129387.0,-128855.0,0.0,-1956.0,0.0,0.0,40621.0,65700.0,-25079.0,0.0,0.0,0.0,305320.0,-108055.0,26144.0,0.0,0.0,-258.0,223151.008
2019-09-30,10896094.207999999,1934209.024,169620.0,1151588.992,146128.992,21051.0,0.0,82582.0,107428.0,255810.0,7401285.12,0.0,6924444.16,0.0,0.0,0.0,0.0,176762.0,0.0,3415.0,0.0,1382034.0480000002,178566.0,0.0,10896094.207999999,1039203.968,142704.992,40198.0,143075.008,21006.0,4038.0,102104.0,73896.992,512180.992,0.0,3149357.0560000003,1996744.96,0.0,859465.0240000001,0.0,0.0,293147.00800000003,0.0,0.0,-693.0,6708225.8,5400242.176,0.0,0.0,771627.0079999999,536356.9920000001,0.0,0.0,0.0,0.0,0.0,0.0,1315771.008,-818579.0079999999,497192.0,-125079.0,-138424.992,0.0,-1977.0,0.0,0.0,50569.0,102504.0,-51935.0,0.0,0.0,0.0,282280.0,-93134.0,23289.0,0.0,0.0,14.0,212448.992
2019-12-31,12453686.272,2161302.016,224228.992,1180418.048,296987.00800000003,72704.0,0.0,160483.008,145168.992,81312.0,2886209.0239999997,0.0,2225562.88,0.0,0.0,0.0,0.0,289488.99199999997,0.0,8135.0,0.0,2100318.976,5305856.0,0.0,12453686.272,1745422.976,172474.0,95032.0,214414.0,75038.0,4040.0,220020.0,106261.984,858142.9759999999,0.0,3446377.9839999997,2036955.0080000001,0.0,1020764.9920000001,0.0,0.0,388657.984,0.0,0.0,2282.0,7259602.927999999,5650526.208,222915.008,0.0,1386162.0480000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1785354.7519999999,-1104075.008,681280.0,-146528.992,-269520.99199999997,0.0,-192.0,0.0,0.0,-30269.0,82100.0,-112368.992,0.0,0.0,0.0,234768.96,-58596.992,34436.0,0.0,0.0,-1536.0,209072.0
2020-03-31,12798019.584,2754238.9760000003,497971.008,1390963.968,358752.992,85958.0,0.0,167659.008,0.0,252934.0,2646501.8880000003,0.0,1916963.968,0.0,0.0,0.0,0.0,332211.00800000003,0.0,3576.0,0.0,2107160.96,5290118.143999999,0.0,12798019.584,1931155.968,189444.0,112512.0,230932.992,42230.0,4187.0,220020.0,141045.984,990784.0,0.0,3440427.008,2029639.936,0.0,1021827.0079999999,0.0,0.0,388960.0,0.0,0.0,2405.0,7424032.12,5650526.208,222915.008,0.0,1386162.0480000002,164428.992,0.0,0.0,0.0,0.0,0.0,0.0,2078787.968,-1279595.008,799193.0240000001,-154568.992,-333383.00800000003,0.0,554.0,0.0,0.0,-56690.0,49554.0,-106244.0,0.0,0.0,0.0,255104.992,-133264.0,42722.0,0.0,0.0,-134.0,164428.992
