,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2007-03-31,352047000.0,215322000.0,10238000.0,0.0,55191000.0,110396000.0,,0.0,0.0,0.0,0.0,,,,70731000.0,25973000.0,,,0.0,,0.0,1244000.0,0.0,,352047000.0,196703000.0,0.0,7028000.0,7862000.0,5248000.0,257690000.0,,0.0,0.0,,5248000.0,18313000.0,,9480000.0,0.0,,10903000.0,,,22291000.0,94357000.0,206460440.0,0.0,,,0.0,0.0,,,
2007-06-30,376689000.0,218452000.0,5776000.0,0.0,53757000.0,118496000.0,,0.0,0.0,0.0,0.0,,,,91917000.0,30741000.0,,,0.0,,0.0,1302000.0,0.0,,376689000.0,202139000.0,0.0,7238000.0,11578000.0,13928000.0,273652000.0,,0.0,0.0,,8680000.0,21386000.0,,15949000.0,0.0,,12099000.0,,,22079000.0,103037000.0,206460440.0,0.0,,,0.0,0.0,,,
2007-09-30,542842000.0,327941000.0,5110000.0,0.0,60818000.0,87695000.0,,0.0,0.0,0.0,44416000.0,,,,104096000.0,18482000.0,,,0.0,,0.0,1289000.0,0.0,,542842000.0,203906000.0,0.0,7857000.0,8436000.0,19957000.0,433776000.0,,3453000.0,0.0,,6029000.0,179014000.0,,12979000.0,0.0,,13099000.0,,,24778000.0,109066000.0,206460440.0,0.0,,,0.0,0.0,,,
2007-12-31,741892000.0,514365000.0,5540000.0,5535000.0,135876000.0,131537000.0,,2888000.0,0.0,0.0,97197000.0,,,,71139000.0,36666000.0,,,0.0,,0.0,4391000.0,45541000.0,,741892000.0,119659000.0,0.0,14546000.0,6071000.0,136000.0,414051000.0,,1904000.0,0.0,,5446000.0,167972000.0,,116882000.0,5340000.0,,4143000.0,,,55000.0,327841000.0,213613230.0,0.0,,,0.0,0.0,,,
2008-03-31,743936000.0,445471000.0,5937000.0,12974000.0,146509000.0,73840000.0,,3655000.0,0.0,0.0,165125000.0,,,,71557000.0,46117000.0,,,0.0,,0.0,1140000.0,0.0,,743936000.0,138770000.0,0.0,18359000.0,14583000.0,11388000.0,391607000.0,,1107000.0,0.0,,10545000.0,163805000.0,,58287000.0,5251000.0,,2358000.0,,,23136000.0,352329000.0,213613230.0,0.0,,,-912000.0,0.0,,,
2008-06-30,832194000.0,433012000.0,6038000.0,13270000.0,172241000.0,72403000.0,,4034000.0,0.0,0.0,242530000.0,,,,99015000.0,56196000.0,,,0.0,,0.0,1167000.0,0.0,,832194000.0,179313000.0,0.0,24219000.0,19767000.0,20839000.0,470414000.0,,282000.0,0.0,,15303000.0,157604000.0,,95633000.0,6395000.0,,2777000.0,,,28692000.0,361780000.0,213613230.0,0.0,,,-1009000.0,0.0,,,
2008-09-30,914158000.0,413510000.0,6788000.0,15726000.0,163004000.0,97033000.0,,4625000.0,0.0,0.0,297488000.0,,,,144099000.0,33022000.0,,,0.0,,0.0,1175000.0,0.0,,914158000.0,183934000.0,0.0,32399000.0,25747000.0,48126000.0,525091000.0,,0.0,0.0,,20945000.0,169816000.0,,128072000.0,9187000.0,,2777000.0,,,31305000.0,389067000.0,213613230.0,0.0,,,-1084000.0,0.0,,,
2008-12-31,937375000.0,635619000.0,4859000.0,0.0,172785000.0,330491000.0,,5252000.0,0.0,0.0,103548000.0,,,,152253000.0,43015000.0,,,0.0,,0.0,10336000.0,34132000.0,,937375000.0,167067000.0,0.0,29040000.0,19829000.0,37027000.0,572643000.0,,0.0,0.0,,14075000.0,186055000.0,,196636000.0,0.0,,16443000.0,,,6442000.0,364732000.0,213613230.0,0.0,,,-4411000.0,0.0,,,
2009-03-31,948815000.0,747639000.0,5910000.0,0.0,181592000.0,437227000.0,,5143000.0,0.0,0.0,48000.0,,,,154470000.0,74516000.0,,,0.0,,0.0,11633000.0,33522000.0,,948815000.0,226287000.0,0.0,29648000.0,16306000.0,47966000.0,573144000.0,,7000.0,0.0,,10939000.0,172577000.0,,150487000.0,0.0,,16684000.0,,,7109000.0,375671000.0,213613230.0,0.0,,,-5494000.0,0.0,,,
2009-06-30,999227000.0,768975000.0,5306000.0,0.0,213026000.0,439345000.0,,5620000.0,0.0,0.0,10000.0,,,,180154000.0,115121000.0,,,0.0,,0.0,15259000.0,33109000.0,,999227000.0,282537000.0,0.0,41322000.0,21369000.0,63433000.0,608089000.0,,25446000.0,0.0,,15467000.0,166456000.0,,133881000.0,0.0,,18462000.0,,,6753000.0,391138000.0,213613230.0,0.0,,,-7444000.0,0.0,,,
