,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,844682.0,337507.0,1623.0,,72294.0,231365.0,,844682.0,696.0,,346335.0,,,5355.0,7646.0,1048.0,,,,673.0,44149.0,80411.0,0.0,,-3927.0,194796.0,0.0,9652.0,2426.0,166642.0,,0.0,22412.0,,,1082.0,472453.0,,0.0,-348.0,,42271.0,,,1082.0,128725.0,129807.0,0.0,,0.0,28687.0,0.0,,,
2002-03-31,860377.0,337046.0,912.0,,77951.0,224051.0,,860377.0,198.0,,349959.0,,,4940.0,17900.0,0.0,,,,671.0,46578.0,81774.0,0.0,,7098.0,197600.0,0.0,8043.0,2159.0,167394.0,,0.0,37619.0,,,1120.0,484852.0,,0.0,-4249.0,,47080.0,,,1120.0,124785.0,125905.0,0.0,,0.0,28852.0,0.0,,,
2002-06-30,865244.0,343003.0,506.0,,72134.0,222480.0,,865244.0,47.0,,354382.0,,,3414.0,17025.0,0.0,,,,380.0,43662.0,81873.0,0.0,,3989.0,197376.0,0.0,6965.0,2751.0,168612.0,,0.0,8182.0,,,1395.0,497921.0,,0.0,-6364.0,,42507.0,,,1395.0,122631.0,124026.0,0.0,,0.0,35613.0,0.0,,,
2002-09-30,796523.0,277780.0,3758.0,,47949.0,199512.0,,796523.0,5097.0,,350340.0,,,3543.0,15702.0,0.0,,,,327.0,43085.0,81851.0,0.0,,8967.0,145783.0,0.0,5140.0,2574.0,120118.0,,0.0,4234.0,,,1431.0,485534.0,,0.0,-8231.0,,39506.0,,,1431.0,120726.0,122157.0,0.0,,0.0,24168.0,0.0,,,
2002-12-31,740406.0,293982.0,5442.0,,54395.0,214043.0,,740406.0,1203.0,,279974.0,,,7080.0,5042.0,1231.0,,,,372.0,42606.0,82232.0,0.0,,-363.0,85853.0,0.0,8645.0,2568.0,60888.0,,0.0,23521.0,,,991.0,384923.0,,0.0,-1553.0,,134195.0,,,991.0,127364.0,128355.0,0.0,,0.0,40668.0,0.0,,,
2003-03-31,751576.0,383078.0,8164.0,,50201.0,305714.0,,751576.0,726.0,,204158.0,,,100238.0,4132.0,0.0,,,,369.0,45017.0,79851.0,0.0,,5569.0,140837.0,0.0,10380.0,2070.0,118207.0,,0.0,23339.0,,,979.0,339203.0,,0.0,-928.0,,42368.0,,,979.0,127951.0,128930.0,0.0,,0.0,32595.0,0.0,,,
2003-06-30,724316.0,359544.0,1197.0,,41554.0,300469.0,,724316.0,593.0,,197638.0,,,110618.0,2878.0,0.0,,,,369.0,47293.0,79599.0,0.0,,3574.0,130434.0,0.0,20729.0,1813.0,101324.0,,0.0,23314.0,,,949.0,305865.0,,0.0,508.0,,47102.0,,,949.0,129348.0,130297.0,0.0,,0.0,32889.0,0.0,,,
2003-09-30,690391.0,346826.0,1420.0,,35267.0,294637.0,,690391.0,539.0,,196778.0,,,111311.0,3577.0,0.0,,,,369.0,38158.0,72945.0,0.0,,391.0,99887.0,0.0,16317.0,1494.0,74925.0,,0.0,22587.0,,,-1601.0,306507.0,,0.0,828.0,,44658.0,,,-1601.0,129629.0,128028.0,0.0,,0.0,16542.0,0.0,,,
2003-12-31,694167.0,344819.0,1682.0,,39165.0,293352.0,,694167.0,482.0,,195052.0,,,8773.0,4038.0,1421.0,,,,1575.0,46122.0,71691.0,0.0,,652.0,97282.0,0.0,13788.0,1608.0,74504.0,,0.0,24759.0,,,4472.0,305756.0,,0.0,1676.0,,147447.0,,,4472.0,130437.0,134909.0,0.0,,0.0,4811.0,0.0,,,
2004-03-31,701191.0,338303.0,159.0,,35222.0,291701.0,,701191.0,490.0,,206113.0,,,8120.0,4355.0,0.0,,,,1719.0,47991.0,71155.0,0.0,,1507.0,97869.0,0.0,14116.0,1638.0,74463.0,,0.0,25981.0,,,4175.0,305756.0,,0.0,2390.0,,154159.0,,,4175.0,131112.0,135287.0,0.0,,0.0,16005.0,0.0,,,
2004-06-30,697227.0,326908.0,502.0,,25051.0,287945.0,,697227.0,432.0,,204889.0,,,7673.0,7124.0,0.0,,,,1719.0,49558.0,70400.0,0.0,,1760.0,95043.0,0.0,8475.0,1568.0,74235.0,,0.0,29381.0,,,4209.0,306202.0,,0.0,3717.0,,151700.0,,,4209.0,132400.0,136609.0,0.0,,0.0,14171.0,0.0,,,
2004-09-30,704676.0,352603.0,661.0,,39557.0,295233.0,,704676.0,413.0,,196076.0,,,7999.0,6488.0,0.0,,,,1078.0,51147.0,69869.0,0.0,,4242.0,102891.0,0.0,8903.0,1485.0,76085.0,,0.0,26861.0,,,4882.0,305756.0,,0.0,3456.0,,151048.0,,,4882.0,132100.0,136982.0,0.0,,0.0,23410.0,0.0,,,
