,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2002-03-31,663815000.0,342832000.0,0.0,,0.0,64736000.0,,342000.0,7221000.0,,968000.0,,-688000.0,5255000.0,24684000.0,,141838000.0,0.0,,0.0,,0.0,15439000.0,,663815000.0,248243000.0,58255000.0,578514000.0,13119000.0,139402000.0,,0.0,9733000.0,13126000.0,,227954000.0,309033000.0,,0.0,,,0.0,,,,85370000.0,146005000.0,1683000.0,,0.0,0.0,27237000.0,,0.0,
2002-06-30,527513000.0,213288000.0,0.0,,0.0,55587000.0,,342000.0,4642000.0,,923000.0,,-2655000.0,4313000.0,24795000.0,,109253000.0,0.0,,0.0,,0.0,11559000.0,,527513000.0,207998000.0,46779000.0,499304000.0,13051000.0,109829000.0,,0.0,11611000.0,12948000.0,,184114000.0,271643000.0,,0.0,,,0.0,,,,28279000.0,146005000.0,1683000.0,,0.0,0.0,27118000.0,,0.0,
2002-09-30,504789000.0,186984000.0,0.0,,0.0,50200000.0,,342000.0,4254000.0,,900000.0,,-764000.0,3467000.0,24885000.0,,109253000.0,0.0,,0.0,,0.0,8964000.0,,504789000.0,220251000.0,40207000.0,580306000.0,11621000.0,125849000.0,,0.0,10173000.0,13877000.0,,180170000.0,339122000.0,,0.0,,,0.0,,,,-75446000.0,146005000.0,1683000.0,,0.0,0.0,27118000.0,,0.0,
2002-12-31,729204000.0,181110000.0,0.0,,0.0,51259000.0,,378000.0,5633000.0,,532000.0,,-962000.0,4207000.0,25050000.0,,127186000.0,0.0,,0.0,,0.0,7762000.0,,729204000.0,190233000.0,41595000.0,722001000.0,12489000.0,101475000.0,,0.0,6264000.0,14574000.0,,239389000.0,491535000.0,,0.0,,,0.0,,,,7275000.0,146005000.0,156027000.0,,0.0,0.0,42235000.0,,0.0,
2003-03-31,697564000.0,157015000.0,0.0,,0.0,42726000.0,,372000.0,4269000.0,,604000.0,,0.0,3721000.0,25924000.0,,127532000.0,0.0,,0.0,,0.0,6742000.0,,697564000.0,154081000.0,35870000.0,688700000.0,14491000.0,76620000.0,,0.0,5974000.0,13928000.0,,238057000.0,487641000.0,,0.0,,,0.0,,,,8906000.0,146005000.0,153141000.0,,0.0,0.0,42235000.0,,0.0,
2003-06-30,647769000.0,133030000.0,0.0,,0.0,39635000.0,,373000.0,3224000.0,,524000.0,,-1511000.0,3990000.0,25946000.0,,104169000.0,0.0,,0.0,,0.0,5710000.0,,647769000.0,134599000.0,33005000.0,612010000.0,13539000.0,62504000.0,,0.0,5756000.0,15456000.0,,236942000.0,426836000.0,,0.0,,,0.0,,,,35802000.0,146005000.0,135377000.0,,0.0,0.0,42648000.0,,0.0,
2003-09-30,665369000.0,146454000.0,0.0,,0.0,42423000.0,,385000.0,4585000.0,,514000.0,,-985000.0,4670000.0,26346000.0,,104170000.0,0.0,,0.0,,0.0,4745000.0,,665369000.0,156410000.0,45315000.0,642799000.0,13602000.0,68913000.0,,0.0,8210000.0,15791000.0,,234891000.0,425805000.0,,0.0,,,0.0,,,,22613000.0,146005000.0,139937000.0,,0.0,0.0,42648000.0,,0.0,
2003-12-31,668805000.0,154217000.0,0.0,,0.0,34902000.0,,415000.0,4780000.0,,469000.0,,-2418000.0,4187000.0,26734000.0,,104170000.0,0.0,,0.0,,0.0,3115000.0,,668805000.0,143068000.0,40474000.0,650000000.0,13388000.0,58336000.0,,0.0,12235000.0,12708000.0,,234510000.0,420636000.0,,0.0,,,0.0,,,,18848000.0,146005000.0,142263000.0,,0.0,0.0,42648000.0,,0.0,
2004-03-31,665783000.0,147302000.0,0.0,,0.0,36730000.0,,431000.0,2618000.0,,510000.0,,0.0,3881000.0,27013000.0,,104187000.0,0.0,,0.0,,0.0,2408000.0,,665783000.0,141447000.0,45259000.0,658906000.0,14023000.0,50978000.0,,0.0,10315000.0,14120000.0,,233134000.0,429281000.0,,0.0,,,0.0,,,,6920000.0,146005000.0,147474000.0,,0.0,0.0,42648000.0,,0.0,
2004-06-30,686165000.0,154627000.0,0.0,,0.0,34440000.0,,430000.0,3081000.0,,534000.0,,0.0,3550000.0,27049000.0,,104241000.0,0.0,,0.0,,0.0,1680000.0,,686165000.0,159967000.0,38134000.0,708436000.0,13329000.0,74072000.0,,0.0,9479000.0,18881000.0,,231016000.0,455298000.0,,0.0,,,0.0,,,,-22228000.0,146005000.0,161991000.0,,0.0,0.0,42648000.0,,0.0,
