,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2009-09-30,407171.008,26647.0,539.0,0.0,22552.0,1685.0,0.0,0.0,0.0,1871.0,48764.0,0.0,0.0,12319.0,0.0,0.0,0.0,0.0,36337.0,108.0,155600.0,176016.0,0.0,144.0,407171.008,155095.008,0.0,18529.0,81797.0,10014.0,0.0,0.0,10770.0,33985.0,0.0,315097.984,2703.0,16205.0,19380.0,0.0,0.0,276809.984,0.0,0.0,0.0,-63022.0,31984.0,0.0,190436.0,0.0,-285441.984,0.0,0.0,0.0,0.0
2009-12-31,423012.0,38296.0,6510.0,0.0,29275.0,1696.0,0.0,0.0,0.0,815.0,59750.0,0.0,0.0,10087.0,0.0,0.0,0.0,0.0,49663.0,0.0,917.0,324048.99199999997,0.0,0.0,423012.0,114271.0,0.0,27748.0,45820.0,11851.0,0.0,0.0,16341.0,12511.0,0.0,370272.0,0.0,15054.0,28438.0,0.0,0.0,326780.0,0.0,0.0,3736.0,-65267.0,31984.0,0.0,189835.008,0.0,-287086.016,0.0,0.0,0.0,0.0
2010-03-31,424528.992,39576.0,4500.0,0.0,28947.0,1686.0,0.0,0.0,0.0,4443.0,60965.0,0.0,0.0,10681.0,0.0,0.0,0.0,0.0,50284.0,0.0,916.0,323072.0,0.0,0.0,424528.992,120832.0,0.0,28867.0,45617.0,12815.0,0.0,0.0,18226.0,15307.0,0.0,367320.992,0.0,14693.0,25174.0,0.0,0.0,327454.016,0.0,0.0,3785.0,-67409.0,31984.0,0.0,189235.008,0.0,-288628.0,0.0,0.0,0.0,0.0
2010-06-30,430625.984,42402.0,7229.0,0.0,29452.0,1713.0,0.0,0.0,0.0,4008.0,64635.0,0.0,0.0,11839.0,0.0,0.0,0.0,0.0,52796.0,0.0,956.0,322632.99199999997,0.0,0.0,430625.984,130745.0,0.0,29052.0,47414.0,12873.0,0.0,0.0,22793.0,18613.0,0.0,369460.0,0.0,14083.0,26430.0,0.0,0.0,328947.00800000003,0.0,0.0,3841.0,-73420.0,31984.0,0.0,188635.008,0.0,-294039.00800000003,0.0,0.0,0.0,0.0
2010-09-30,432044.0,41829.0,2925.0,0.0,35389.0,1654.0,0.0,0.0,0.0,1861.0,66517.0,0.0,0.0,13419.0,0.0,0.0,0.0,0.0,53098.0,0.0,952.0,322745.984,0.0,0.0,432044.0,138898.0,0.0,31792.0,47742.0,11222.0,0.0,0.0,26369.0,21773.0,0.0,365324.0,0.0,13603.0,27784.0,0.0,0.0,323936.99199999997,0.0,0.0,3740.0,-75918.0,31984.0,0.0,188032.992,0.0,-295935.00800000003,0.0,0.0,0.0,0.0
2010-12-31,556393.9839999999,55300.0,3571.0,0.0,46323.0,2278.0,0.0,2803.0,325.0,0.0,78671.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,65949.0,12612.0,1157.0,421265.984,0.0,0.0,556393.9839999999,165330.0,0.0,85931.0,66883.0,12516.0,0.0,0.0,0.0,0.0,0.0,429574.016,6388.0,21742.0,0.0,141910.0,0.0,259534.0,0.0,0.0,3099.0,-41609.0,31984.0,0.0,199732.0,0.0,-316807.00800000003,43482.0,0.0,0.0,0.0
2011-03-31,559622.976,58355.0,2255.0,0.0,47291.0,2010.0,0.0,2868.0,3931.0,0.0,80618.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,66981.0,13527.0,1037.0,419612.992,0.0,0.0,559622.976,165608.0,0.0,108597.0,47126.0,9885.0,0.0,0.0,0.0,0.0,0.0,438388.992,8165.0,22689.0,0.0,141455.008,0.0,266080.0,0.0,0.0,-711.0,-43663.0,31984.0,0.0,200083.008,0.0,-318758.016,43028.0,0.0,0.0,0.0
2011-06-30,572851.968,70044.0,12541.0,0.0,49482.0,2060.0,0.0,3083.0,2878.0,0.0,82723.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,68955.0,13658.0,1285.0,418800.0,0.0,0.0,572851.968,182799.008,0.0,65124.0,75827.0,12603.0,0.0,0.0,0.0,29245.0,0.0,432953.984,6768.0,23310.0,0.0,140936.0,0.0,261940.0,0.0,0.0,-642.0,-42259.0,31984.0,0.0,201656.992,0.0,-318473.984,42574.0,0.0,0.0,0.0
2011-09-30,575886.0160000001,89472.0,7203.0,0.0,74603.0,2128.0,0.0,3888.0,1650.0,0.0,67685.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,49923.0,17652.0,1245.0,417484.0,0.0,0.0,575886.0160000001,189368.0,0.0,43449.0,85547.0,11448.0,224.0,0.0,15768.0,32932.0,0.0,430999.008,4719.0,24211.0,0.0,140460.0,0.0,261608.992,0.0,0.0,-683.0,-43798.0,31984.0,0.0,200910.0,0.0,-319129.984,42438.0,0.0,0.0,0.0
2011-12-31,520337.984,54337.0,2499.0,0.0,45306.0,2599.0,0.0,3518.0,415.0,0.0,49592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32233.0,17359.0,1087.0,415321.984,0.0,0.0,520337.984,182019.008,0.0,48094.0,78060.0,12043.0,1.0,0.0,8091.0,35730.0,0.0,471785.984,2731.0,24859.0,0.0,139984.0,0.0,304212.0,0.0,0.0,-247.0,-133220.0,31984.0,0.0,200376.0,0.0,-407671.008,42091.0,0.0,0.0,0.0
2012-03-31,525222.0160000001,59308.0,3487.0,0.0,45714.0,2239.0,0.0,3876.0,3992.0,0.0,49338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31086.0,18252.0,1157.0,415419.008,0.0,0.0,525222.0160000001,192396.992,0.0,47807.0,86217.0,12504.0,20.0,0.0,5741.0,40108.0,0.0,474415.008,2981.0,27297.0,0.0,139508.0,0.0,304628.99199999997,0.0,0.0,-2295.0,-139295.0,31984.0,0.0,171496.0,0.0,-412864.0,70089.0,0.0,0.0,0.0
2012-06-30,524435.0079999999,56909.0,2692.0,0.0,45088.0,2351.0,0.0,3909.0,2869.0,0.0,51494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32476.0,19018.0,1154.0,414878.016,0.0,0.0,524435.0079999999,200048.0,0.0,45578.0,89301.0,11180.0,425.0,0.0,9185.0,44379.0,0.0,472324.0,2055.0,27174.0,0.0,139032.992,0.0,304062.016,0.0,0.0,-2554.0,-145382.992,31984.0,0.0,199308.992,0.0,-418072.0,41396.0,0.0,0.0,0.0
2012-09-30,517700.992,57495.0,1641.0,0.0,47557.0,2178.0,0.0,4641.0,1478.0,0.0,44885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34614.0,10271.0,1041.0,414204.0,76.0,0.0,517700.992,181352.0,0.0,14927.0,99175.0,9640.0,156.0,0.0,12286.0,45168.0,0.0,485436.0,3032.0,27527.0,0.0,138556.992,0.0,316320.0,0.0,0.0,-3097.0,-145990.008,31984.0,0.0,198774.0,0.0,-417796.992,41049.0,0.0,0.0,0.0
2012-12-31,517900.0,56349.0,2771.0,0.0,46007.0,2328.0,0.0,4944.0,299.0,0.0,47003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38542.0,8461.0,1042.0,413433.984,72.0,0.0,517900.0,186832.0,0.0,16920.0,102234.0,9241.0,3.0,0.0,15461.0,42973.0,0.0,496935.008,1900.0,25870.0,0.0,138080.992,0.0,331084.0,0.0,0.0,-4758.0,-161109.008,31984.0,0.0,198240.0,0.0,-432035.008,40702.0,0.0,0.0,0.0
2013-03-31,512240.992,61939.0,13485.0,0.0,33829.0,2302.0,0.0,7899.0,4424.0,0.0,36463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27429.0,9034.0,1008.0,412763.008,68.0,0.0,512240.992,193603.008,0.0,16371.0,104524.0,7802.0,2222.0,0.0,18153.0,44531.0,0.0,486721.984,786.0,13887.0,0.0,137604.992,0.0,334444.0,0.0,0.0,-5210.0,-162874.0,31984.0,0.0,197706.0,0.0,-432918.016,40354.0,0.0,0.0,0.0
2013-06-30,505195.008,53723.0,9260.0,0.0,33365.0,2455.0,0.0,5612.0,3031.0,0.0,38072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28119.0,9953.0,1012.0,412129.984,258.0,0.0,505195.008,148427.008,0.0,13469.0,65160.0,6872.0,1584.0,0.0,15919.0,45423.0,0.0,513992.0,310.0,12772.0,0.0,137128.992,0.0,363780.992,0.0,0.0,-5457.0,-151767.0,31984.0,0.0,197172.0,0.0,-420929.984,40007.0,0.0,0.0,0.0
