,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2002-12-31,16526.0,1691.0,608.0,,333.0,,,0.0,714.0,,0.0,71.0,,,0.0,,,124.0,,,6214.0,811.0,14304.0,,16524.0,829.0,0.0,0.0,167.0,,,,538.0,,,2220.0,,,,,,0.0,,,,14304.0,0.0,-37219.0,,,0.0,0.0,,,,,,,,,,0.0,,2620.0,3092.0,470.0,-102.0,0.0,-102.0,,,,0.00016151,-629.0,1188.0,,,,-111.0
2003-03-31,16566.0,848.0,8.0,,319.0,,,0.0,521.0,,0.0,0.0,,,0.0,,,64.0,,,-718.0,344.0,14811.0,,16566.0,523.0,0.0,0.0,67.0,,,,357.0,,,1755.0,,,,,,0.0,,,,14811.0,0.0,-36712.0,,,0.0,0.0,,,,,,,,,,0.0,,352.0,796.0,-648.0,-648.0,0.0,-648.0,,,,-0.00022267,0.0,648.0,,,,-648.0
2003-06-30,14675.0,1853.0,1004.0,,339.0,,,0.0,510.0,,0.0,0.0,,,0.0,,,42.0,,,-2805.0,334.0,12964.0,,14675.0,464.0,0.0,0.0,65.0,,,,357.0,,,1711.0,,,,,,0.0,,,,12964.0,0.0,-39213.0,,,0.0,0.0,,,,,,,,,,0.0,,378.0,4457.0,-2498.0,-2498.0,0.0,-2498.0,,,,-0.00075698,0.0,2499.0,,,,-2498.0
2003-09-30,14501.0,1660.0,584.0,,552.0,,,0.0,524.0,,0.0,0.0,,,0.0,,,53.0,,,208.0,318.0,12598.0,,14500.0,651.0,0.0,0.0,241.0,,,,357.0,,,1902.0,,,,,,0.0,,,,12598.0,0.0,-39664.0,,,0.0,0.0,,,,,,,,,,0.0,,298.0,726.0,-451.0,-451.0,0.0,-451.0,,,,-0.00013667,0.0,451.0,,,,-451.0
2003-12-31,13817.0,1314.0,205.0,,1104.0,,,0.0,5.0,,0.0,0.0,,,0.0,,,236.0,,,-281.0,303.0,11683.0,,13817.0,2134.0,0.0,0.0,242.0,,,,1656.0,,,2134.0,,,,,,0.0,,,,11683.0,0.0,-1387.0,,,0.0,0.0,,,,,,,,,,0.0,,282.0,-6044.0,-877.0,-877.0,0.0,-877.0,,,,-0.00026576,0.0,874.0,,,,-877.0
2004-03-31,13407.0,1163.0,22.0,,585.0,,,0.0,556.0,,0.0,0.0,,,0.0,,,54.0,,,-34.0,287.0,11138.0,,13407.0,2109.0,0.0,0.0,264.0,,,,1791.0,,,2269.0,,,,,,0.0,,,,11138.0,0.0,-1932.0,,,0.0,0.0,,,,,,,,,,0.0,,239.0,283.0,-544.0,-544.0,0.0,-544.0,,,,-0.00016485,0.0,544.0,,,,-544.0
2004-06-30,13555.0,1072.0,23.0,,465.0,,,0.0,584.0,,0.0,0.0,,,0.0,,,77.0,,,597.0,270.0,10406.0,,13554.0,2203.0,0.0,0.0,257.0,,,,1869.0,,,3148.0,,,,,,0.0,,,,10406.0,0.0,-2664.0,,,0.0,0.0,,,,,,,,,,0.0,,388.0,880.0,-732.0,-732.0,0.0,-732.0,,,,-0.00022182,0.0,732.0,,,,-732.0
2004-09-30,14062.0,2189.0,1108.0,,474.0,,,0.0,607.0,,0.0,0.0,,,0.0,,,23.0,,,-1785.0,256.0,11769.0,,14060.0,1698.0,0.0,0.0,278.0,,,,1397.0,,,2291.0,,,,,,0.0,,,,11769.0,0.0,-4301.0,,,0.0,0.0,,,,,,,,,,0.0,,213.0,0.0,-1637.0,-1637.0,0.0,-1637.0,,,,-0.00039292,0.0,1637.0,,,,-1637.0
2004-12-31,33581.0,8421.0,7326.0,,1080.0,,,0.0,15.0,,0.0,0.0,,,0.0,,,283.0,,,-311.0,240.0,23915.0,,33581.0,2171.0,0.0,0.0,1861.0,,,,0.0,,,9666.0,,,,,,0.0,,,,23915.0,0.0,-11113.0,,,0.0,0.0,,,,,,,,,,0.0,,697.0,4424.0,-6813.0,-6813.0,0.0,-6813.0,,,,-0.00104466,0.0,6813.0,,,,-6813.0
2005-03-31,35907.0,9391.0,8311.0,,416.0,,,0.0,664.0,,0.0,0.0,,,0.0,,,15.0,,,-67.0,228.0,23013.0,,35907.0,1276.0,0.0,0.0,413.0,,,,848.0,,,12894.0,,,,,,0.0,,,,23013.0,0.0,-12015.0,,,0.0,0.0,,,,,,,,,,0.0,,364.0,664.0,-875.0,-875.0,0.0,-875.0,,,,-0.00013417000000000002,0.0,875.0,,,,-875.0
