,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,685634000.0,571339000.0,249213000.0,,19721000.0,177986000.0,,685634000.0,,13723000.0,625000.0,,,27397000.0,-19322000.0,,,,,,,104296000.0,310161000.0,,-82935000.0,224642000.0,0.0,71398000.0,375478000.0,,,,,,,112686000.0,112686000.0,229000.0,,,,37916000.0,,,,200021000.0,5207000.0,,,,310156000.0,110135000.0,,,
2002-03-31,623926000.0,505697000.0,232255000.0,,17461000.0,112264000.0,,623926000.0,,55453000.0,6656000.0,,,2805000.0,-2407000.0,,,,,,,107903000.0,267410000.0,,-20945000.0,217448000.0,0.0,60160000.0,356519000.0,,,,,,,101655000.0,101655000.0,161000.0,,,,37252000.0,,,,157272000.0,7373000.0,,,,267407000.0,110135000.0,,,
2002-06-30,647868000.0,525555000.0,232234000.0,,22933000.0,132335000.0,,647868000.0,,37882000.0,5179000.0,,,2190000.0,-5605000.0,,,,,,,113724000.0,275709000.0,,8301000.0,230337000.0,0.0,81352000.0,372160000.0,,,,,,,108028000.0,108028000.0,160000.0,,,,33634000.0,,,,165573000.0,4306000.0,,,,275708000.0,110135000.0,,,
2002-09-30,568024000.0,439586000.0,126562000.0,,25863000.0,156600000.0,,568023000.0,,13791000.0,5995000.0,,,9067000.0,0.0,,,,,,,119075000.0,291946000.0,,16235000.0,220798000.0,0.0,71640000.0,276080000.0,,,,,,,16029000.0,16029000.0,164000.0,,,,39086000.0,,,,181808000.0,5056000.0,,,,291943000.0,110135000.0,,,
2002-12-31,532494000.0,408811000.0,100199000.0,,64705000.0,127234000.0,,532494000.0,,7106000.0,947000.0,,,25471000.0,-47672000.0,,,,,,,113647000.0,272475000.0,,-19468000.0,212987000.0,0.0,52569000.0,260019000.0,,,,,,,5345000.0,5345000.0,149000.0,,,,41538000.0,,,,162340000.0,5371000.0,,,,272475000.0,110135000.0,,,
2003-03-31,491556000.0,369903000.0,86146000.0,,61977000.0,139426000.0,,491556000.0,,5806000.0,899000.0,,,3760000.0,-1825000.0,,,,,,,110746000.0,235442000.0,,-37033000.0,206916000.0,0.0,44275000.0,256114000.0,,,,,,,8165000.0,8165000.0,142000.0,,,,40891000.0,,,,125307000.0,3133000.0,,,,235442000.0,110135000.0,,,
2003-06-30,433407000.0,316275000.0,49327000.0,,59550000.0,131752000.0,,433407000.0,,4474000.0,770000.0,,,11578000.0,-1774000.0,,,,,,,105183000.0,181980000.0,,-53462000.0,200429000.0,0.0,44072000.0,251427000.0,,,,,,,8689000.0,8689000.0,81000.0,,,,42228000.0,,,,-40911000.0,5167000.0,,,,181980000.0,222891000.0,,,
2003-09-30,409063000.0,276231000.0,27705000.0,,48281000.0,111532000.0,,409063000.0,,4742000.0,8345000.0,,,2749000.0,-395000.0,,,,,,,103793000.0,153581000.0,,-28399000.0,202834000.0,0.0,54442000.0,255482000.0,,,,,,,11158000.0,11158000.0,41000.0,,,,41449000.0,,,,-69310000.0,7276000.0,,,,153581000.0,222891000.0,,,
2003-12-31,351615000.0,231391000.0,27114000.0,,44012000.0,85044000.0,,351615000.0,,4694000.0,6317000.0,,,40645000.0,-1444000.0,,,,,,,103002000.0,91657000.0,,-61924000.0,209153000.0,0.0,34279000.0,259958000.0,,,,,,,12442000.0,12442000.0,41000.0,,,,38322000.0,,,,-131234000.0,5653000.0,,,,91657000.0,222891000.0,,,
2004-03-31,390325000.0,270690000.0,39972000.0,,35912000.0,100197000.0,,390325000.0,,3734000.0,6323000.0,,,3705000.0,-358000.0,,,,,,,102161000.0,86178000.0,,-5479000.0,262328000.0,0.0,77480000.0,304147000.0,,,,,,,4930000.0,4930000.0,0.0,,,,36889000.0,,,,-136713000.0,10727000.0,,,,86178000.0,222891000.0,,,
2004-06-30,458192000.0,336477000.0,43357000.0,,47428000.0,98615000.0,,458192000.0,,3193000.0,3526000.0,,,6558000.0,-20529000.0,,,,,,,105228000.0,99269000.0,,12279000.0,323120000.0,0.0,117927000.0,358923000.0,,,,,,,2895000.0,2895000.0,0.0,,,,32908000.0,,,,-123622000.0,16450000.0,,,,99269000.0,222891000.0,,,
2004-09-30,489185000.0,364900000.0,36780000.0,,41591000.0,134125000.0,,489185000.0,,3776000.0,3526000.0,,,8844000.0,-3314000.0,,,,,,,107238000.0,82744000.0,,-15891000.0,371815000.0,0.0,137180000.0,406442000.0,,,,,,,472000.0,472000.0,0.0,,,,34154000.0,,,,-140148000.0,28554000.0,,,,82743000.0,222891000.0,,,
2004-12-31,503551000.0,362821000.0,43060000.0,,22853000.0,129623000.0,,503551000.0,,3434000.0,16021000.0,,,14196000.0,-2138000.0,,,,,,,112972000.0,71780000.0,,-10963000.0,388712000.0,0.0,147079000.0,431771000.0,,,,,,,0.0,0.0,5760000.0,,,,37299000.0,,,,-151111000.0,20738000.0,,,,71780000.0,222891000.0,,,
2005-03-31,487819000.0,340489000.0,49896000.0,,10459000.0,151009000.0,,487819000.0,,2666000.0,16785000.0,,,8126000.0,-5500000.0,,,,,,,115022000.0,58115000.0,,-13665000.0,284912000.0,0.0,113704000.0,429704000.0,,,,,,,100271000.0,100271000.0,5298000.0,,,,39223000.0,,,,-164776000.0,19667000.0,,,,58115000.0,222891000.0,,,
2005-06-30,524012000.0,382392000.0,49587000.0,,6642000.0,138764000.0,,524012000.0,,13105000.0,15201000.0,,,7647000.0,-10945000.0,,,,,,,112445000.0,70861000.0,,12382000.0,320651000.0,0.0,124068000.0,453151000.0,,,,,,,77921000.0,77921000.0,4558000.0,,,,50021000.0,,,,-152030000.0,20782000.0,,,,70861000.0,222891000.0,,,
2005-09-30,583421000.0,435075000.0,55851000.0,,10925000.0,187993000.0,,583421000.0,,4177000.0,15610000.0,,,7522000.0,3214000.0,,,,,,,113437000.0,75751000.0,,2313000.0,373132000.0,0.0,170854000.0,507670000.0,,,,,,,53641000.0,53641000.0,3636000.0,,,,77261000.0,,,,-147140000.0,24742000.0,,,,75751000.0,222891000.0,,,
2005-12-31,727117000.0,542478000.0,43649000.0,,15870000.0,125488000.0,,727117000.0,,15791000.0,42691000.0,,,21263000.0,495000.0,,,,,,,136882000.0,106167000.0,,23010000.0,444287000.0,0.0,174438000.0,620953000.0,,,,,,,75522000.0,75522000.0,66870000.0,,,,34271000.0,,,,-116727000.0,39599000.0,,,,106164000.0,222891000.0,,,
2006-03-31,766719000.0,568308000.0,58053000.0,,55784000.0,152375000.0,,766719000.0,,21836000.0,42691000.0,,,18814000.0,-40562000.0,,,,,,,140591000.0,97847000.0,,-8315000.0,469780000.0,0.0,173597000.0,668872000.0,,,,,,,44612000.0,44612000.0,110611000.0,,,,43869000.0,,,,-125044000.0,51728000.0,,,,97847000.0,222891000.0,,,
2006-06-30,934373000.0,730396000.0,113113000.0,,27370000.0,218278000.0,,934373000.0,,14328000.0,50722000.0,,,30279000.0,5134000.0,,,,,,,138037000.0,54480000.0,,-43367000.0,635044000.0,0.0,286139000.0,879893000.0,,,,,,,112545000.0,112545000.0,87059000.0,,,,45245000.0,,,,-168411000.0,37531000.0,,,,54480000.0,222891000.0,,,
2006-09-30,841827000.0,637054000.0,24916000.0,,25156000.0,262853000.0,,841827000.0,,32050000.0,52672000.0,,,16775000.0,2057000.0,,,,,,,136654000.0,3317000.0,,-51163000.0,613708000.0,0.0,267652000.0,838510000.0,,,,,,,97981000.0,97981000.0,83933000.0,,,,42888000.0,,,,-219574000.0,53826000.0,,,,3317000.0,222891000.0,,,
2006-12-31,736535000.0,517183000.0,39649000.0,,0.0,153288000.0,,736535000.0,,83254000.0,27939000.0,,,-65868000.0,11014000.0,,,,,,,125151000.0,3944000.0,,-11643000.0,512347000.0,0.0,221914000.0,732591000.0,,,,,,,118087000.0,118087000.0,81994000.0,,,,20163000.0,,,,-218947000.0,58370000.0,,,,3944000.0,222891000.0,,,
