,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2001-12-31,1631726.0,469830.0,25708.0,1359495.0,110958.0,134092.0,,,402576.0,185755.0,238236.0,,,47596.0,235604.0,,,,47596.0,16202.0,0.0,253308.0,0.0,,1631726.0,707355.0,,4269.0,,105919.0,,,40728.0,473755.0,,163291.0,163291.0,-338520.0,255490.0,31927.0,,31835.0,,,,272231.0,39802.0,0.0,275893.0,,0.0,511726.0,-864.0,,,,,0.0,40097.0,0.0,0.0,0.0,91335.0,570949.0,1317.0,0.0,0.0,0.0,-55927.0,,,,-79425.0,,0.0,,,0.0,-73886.0
2002-03-31,1602025.0,440213.0,6999.0,1362247.0,97523.0,122764.0,,,394436.0,199215.0,287763.0,,,45525.0,129775.0,,,,45525.0,16922.0,0.0,245928.0,0.0,,1602025.0,687162.0,,10026.0,,73537.0,,,47570.0,431320.0,,168481.0,168481.0,-370371.0,291168.0,29636.0,,23894.0,,,,239778.0,39200.0,0.0,160039.0,,0.0,508146.0,7153.0,,,,,4951.0,46019.0,0.0,0.0,0.0,88320.0,570949.0,3939.0,0.0,0.0,0.0,-803.0,,,,-42485.0,,0.0,,,0.0,-32452.0
2002-06-30,1580618.0,400117.0,9400.0,1402370.0,97258.0,90795.0,,,442691.0,200597.0,375520.0,,,49377.0,151441.0,,,,49377.0,18359.0,0.0,236486.0,0.0,,1580618.0,708439.0,,19720.0,,77539.0,,,23810.0,350119.0,,173883.0,173883.0,-431261.0,325478.0,29641.0,,22699.0,,,,178248.0,38560.0,0.0,186573.0,,0.0,447443.0,2922.0,,,,,5773.0,37643.0,0.0,0.0,0.0,79534.0,570949.0,27411.0,0.0,0.0,0.0,306.0,,,,-81039.0,,0.0,,,0.0,-61530.0
2002-09-30,1542196.0,378526.0,9199.0,1456453.0,108842.0,91165.0,,,485250.0,160683.0,419794.0,,,50365.0,85186.0,,,,50365.0,18946.0,0.0,230783.0,0.0,,1542196.0,755209.0,,35094.0,,71237.0,,,26381.0,222520.0,,182492.0,182492.0,-523172.0,360869.0,29617.0,,21106.0,,,,85743.0,37966.0,0.0,126429.0,,0.0,391353.0,10946.0,,,,,8288.0,36951.0,0.0,0.0,0.0,70123.0,570949.0,48110.0,0.0,0.0,0.0,-151.0,,,,-127650.0,,0.0,,,0.0,-92505.0
2002-12-31,1568564.0,415463.0,14680.0,1517880.0,110566.0,85622.0,,,498567.0,174329.0,458423.0,,,55926.0,161282.0,,,,55926.0,19557.0,0.0,232966.0,0.0,,1568564.0,786627.0,,8175.0,,87430.0,,,24174.0,179297.0,,168627.0,168627.0,-558653.0,383579.0,3209.0,,50434.0,,,,50684.0,38388.0,0.0,224348.0,,0.0,376667.0,5146.0,,,,,5383.0,31131.0,0.0,0.0,0.0,62248.0,570949.0,10437.0,0.0,0.0,0.0,-3795.0,,,,-12265.0,,0.0,,,0.0,-37617.0
2003-03-31,1597303.0,385314.0,15086.0,1591849.0,92073.0,84976.0,,,505085.0,179304.0,550746.0,,,23484.0,108715.0,,,,23484.0,0.0,0.0,202964.0,0.0,,1597303.0,761239.0,,10331.0,,96404.0,,,26309.0,123726.0,,138089.0,138089.0,-604678.0,521041.0,0.0,,53208.0,,,,5454.0,39183.0,0.0,138436.0,,0.0,275266.0,812.0,,,,,5910.0,24373.0,0.0,0.0,0.0,63934.0,570949.0,17262.0,0.0,0.0,0.0,-312.0,,,,-55006.0,,0.0,,,0.0,-45230.0
2003-06-30,1656899.0,390110.0,12834.0,1653907.0,81692.0,88509.0,,,508760.0,204635.0,601579.0,,,28004.0,102549.0,,,,28004.0,0.0,0.0,198441.0,0.0,,1656899.0,791110.0,,4198.0,,111349.0,,,27233.0,117066.0,,130004.0,130004.0,-605831.0,564584.0,0.0,,54135.0,,,,2992.0,37874.0,0.0,140314.0,,0.0,278459.0,-529.0,,,,,6008.0,22026.0,0.0,0.0,0.0,56892.0,570949.0,2630.0,0.0,0.0,0.0,-62.0,,,,-5995.0,,0.0,,,0.0,-2462.0
2003-09-30,1670951.0,401520.0,11468.0,1686217.0,96012.0,96712.0,,,474083.0,195183.0,615507.0,,,36935.0,92463.0,,,,36935.0,0.0,0.0,193475.0,0.0,,1670951.0,771756.0,,8140.0,,106197.0,,,33779.0,90669.0,,177403.0,177403.0,-623585.0,583275.0,0.0,,47848.0,,,,-15266.0,37370.0,0.0,112783.0,,0.0,269791.0,1904.0,,,,,5161.0,28642.0,0.0,0.0,0.0,57394.0,570949.0,6465.0,0.0,0.0,0.0,-152.0,,,,-25787.0,,0.0,,,0.0,-18258.0
2003-12-31,1467230.0,381342.0,11147.0,1507493.0,91005.0,92854.0,,,399605.0,184799.0,517473.0,,,65539.0,77775.0,,,,65539.0,15329.0,0.0,158243.0,0.0,,1467230.0,734919.0,,8817.0,,76071.0,,,25372.0,61056.0,,152898.0,152898.0,-648574.0,482480.0,5541.0,,35877.0,,,,-40263.0,37362.0,0.0,101524.0,,0.0,349725.0,-7546.0,,,,,5424.0,30147.0,0.0,0.0,0.0,48749.0,570949.0,7435.0,0.0,0.0,0.0,1372.0,,,,-33854.0,,0.0,,,0.0,-24997.0
2004-03-31,1520861.0,401862.0,10937.0,1453964.0,73332.0,119692.0,,,406869.0,193293.0,443939.0,,,80421.0,64521.0,,,,80421.0,20375.0,0.0,221868.0,0.0,,1520861.0,745497.0,,10147.0,,86164.0,,,28870.0,158069.0,,157634.0,157634.0,-582768.0,423871.0,27456.0,,35790.0,,,,66897.0,78716.0,0.0,90279.0,,0.0,368344.0,-16797.0,,,,,5109.0,33684.0,0.0,0.0,0.0,56011.0,570949.0,8591.0,0.0,0.0,0.0,-42.0,,,,35007.0,,0.0,,,0.0,64426.0
