,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2000-03-31,56101888000.0,52212325000.0,1607066000.0,20353096000.0,2856437000.0,261335000.0,,0.0,,154616000.0,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,63032000.0,,56101888000.0,46643253000.0,0.0,0.0,0.0,0.0,,0.0,2856437000.0,,,0.0,8957915000.0,,0.0,0.0,,1904201000.0,,,3700220000.0,3664016000.0,0.0,0.0,7364236000.0,2076105000.0,,,,0.0,
2000-06-30,56606925000.0,52714499000.0,1666289000.0,21279039000.0,3754871000.0,307115000.0,,0.0,,234060000.0,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,56606925000.0,46747006000.0,0.0,0.0,0.0,0.0,,0.0,3754871000.0,,,0.0,8219741000.0,,0.0,0.0,,1982963000.0,,,3816774000.0,3891650000.0,0.0,0.0,7708424000.0,2091650000.0,,,,0.0,
2000-09-30,59460488000.0,55529576000.0,1507110000.0,22300179000.0,3564143000.0,325238000.0,,0.0,,233291000.0,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,59460488000.0,48926394000.0,0.0,0.0,0.0,0.0,,0.0,3513506000.0,,,0.0,8211064000.0,,0.0,0.0,,2142251000.0,,,4067622000.0,4142564000.0,0.0,0.0,8210186000.0,2342564000.0,,,,0.0,
2000-12-31,72284373000.0,50425343000.0,1666261000.0,22990996000.0,5097524000.0,341466000.0,,0.0,,667366000.0,0.0,,,,,0.0,0.0,433174000.0,,0.03315,0.0,0.0,55532000.0,,72284373000.0,53977395000.0,0.0,0.0,0.0,0.0,,0.0,5300427000.0,,,0.0,8176030000.0,,433174000.0,11109715000.0,,2336555000.0,,,4130460000.0,4114261000.0,0.0,0.0,8244721000.0,2314261000.0,,,,0.0,
2001-03-31,77494091000.0,73194330000.0,1619886000.0,27944494000.0,5225625000.0,396022000.0,,0.0,,250836000.0,0.0,,,,,140534000.0,0.0,0.0,,0.0,0.0,0.0,54275000.0,,77494091000.0,66142586000.0,0.0,0.0,0.0,0.0,,0.0,5081473000.0,,,0.0,14006540000.0,,0.0,0.0,,2344225000.0,,,4326822000.0,4520744000.0,0.0,0.0,8847566000.0,2720744000.0,,,,0.0,
2001-06-30,77879907000.0,73539917000.0,1663849000.0,27188272000.0,5380926000.0,425478000.0,,0.0,,426845000.0,0.0,,,,,142283000.0,0.0,0.0,,0.0,0.0,0.0,0.0,,77879907000.0,65877950000.0,0.0,0.0,0.0,0.0,,0.0,5158667000.0,,,0.0,15338461000.0,,0.0,0.0,,2412245000.0,,,4520890000.0,4891834000.0,0.0,0.0,9412724000.0,2574895000.0,,,,0.0,
2001-09-30,84447449000.0,80036991000.0,1887322000.0,28589584000.0,7734419000.0,403640000.0,,0.0,,543203000.0,0.0,,,,,145550000.0,0.0,0.0,,0.0,0.0,0.0,0.0,,84447449000.0,71792474000.0,0.0,0.0,0.0,0.0,,0.0,7665664000.0,,,0.0,16627396000.0,,0.0,0.0,,2532438000.0,,,4758707000.0,5175835000.0,0.0,0.0,9934542000.0,2858896000.0,,,,0.0,
2001-12-31,84472160000.0,57839136000.0,1958408000.0,21008376000.0,1852007000.0,375650000.0,,0.0,,750873000.0,0.0,,,,,156491000.0,0.0,1727208000.0,,0.03685,425219000.0,0.0,0.0,,84472160000.0,62924373000.0,0.0,0.0,0.0,0.0,,0.0,2217559000.0,,,0.0,14119493000.0,,1727208000.0,13040966000.0,,2732086000.0,,,4628503000.0,5054694000.0,0.0,0.0,9683197000.0,2737755000.0,,,,0.0,
2002-03-31,82466576000.0,77977709000.0,1989374000.0,29189236000.0,4691279000.0,370998000.0,,0.0,,316854000.0,0.0,,,,,155557000.0,0.0,0.0,,0.0,428191000.0,0.0,0.0,,82466576000.0,72424813000.0,0.0,0.0,0.0,0.0,,0.0,4725367000.0,,,0.0,15430725000.0,,0.0,0.0,,0.0,,,4725612000.0,5229803000.0,0.0,0.0,9955415000.0,2912864000.0,,,,0.0,
2002-09-30,102354055000.0,97523065000.0,2872380000.0,34851448000.0,13466203000.0,436254000.0,,0.0,,277904000.0,0.0,,,,,167191000.0,0.0,0.0,,0.0,799750000.0,0.0,0.0,,102354055000.0,91258426000.0,0.0,0.0,0.0,0.0,,0.0,13465856000.0,,,0.0,16307515000.0,,0.0,0.0,,0.0,,,5100938000.0,5910845000.0,0.0,0.0,11011783000.0,3020573000.0,,,,-109728000.0,
