,Ativo Total,Ativo Circulante,Disponibilidades,Aplicações Interfinanceiras de Liquidez,Títulos e Valores Mobiliários,Relações Interfinanceiras,Relações Interdependências,Operações de Crédito,Operações de Arrendamento Mercantil,Outros Créditos,Outros Valores e Bens,Ativo Realizável a Longo Prazo,Aplicações Interfinanceiras de Liquidez.1,Títulos e Valores Mobiliários.1,Relações Interfinanceiras.1,Relações Interdependências.1,Operações de Crédito.1,Operações de Arrendamento Mercantil.1,Outros Créditos.1,Outros Valores e Bens.1,Ativo Permanente,Investimentos,Imobilizado de Uso,Imobilizado de Arrendamento,Intangível,Diferido,Passivo Total,Passivo Circulante,Depósitos,Captações no Mercado Aberto,Recursos de Aceites e Emissão de Títulos,Relações Interfinanceiras.2,Relações Interdependências.2,Obrigações por Empréstimos,Obrigações por Repasse do País,Obrigações por Repasse do Exterior,Outras Obrigações,Passivo Exigível a Longo Prazo,Depósitos.1,Captações no Mercado Aberto.1,Recursos de Aceites e Emissão de Títulos.1,Relações Interfinanceiras.3,Relações Interdependências.3,Obrigações por Empréstimos.1,Obrigações por Repasse do País.1,Obrigações por Repasse do Exterior.1,Outras Obrigações.1,Resultados de Exercícios Futuros,Part. de Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucro,Ajustes de Avaliação Patrimonial,Lucros/Prejuízos Acumulados
2000-03-31,0.0,0.0,0.0,0.0,0.0,,,,,5.132e-05,5.132e-05,4150139.0,0.0,0.0,,,,,0.0,,-516626.0,0.0,0.0,,,,0.0,0.0,0.0,,-1924490.0,,,,,,0.0,3570308.0,0.0,,90279.8,,,,,,3570308.0,,,6124818.0,0.0,6519540.0,,3735531.0,0.0,
2000-06-30,0.0,0.0,0.0,0.0,0.0,,,,,6.119e-05,6.119e-05,4212939.0,0.0,0.0,,,,,0.0,,-526723.0,0.0,0.0,,,,0.0,0.0,0.0,,-1975715.0,,,,,,0.0,3274995.0,0.0,,99194.89,,,,,,3274995.0,,,6352839.0,0.0,6797915.0,,3454631.0,0.0,
2000-09-30,0.0,0.0,0.0,0.0,0.0,,,,,6.497999999999999e-05,6.497999999999999e-05,4228971.0,0.0,0.0,,,,,0.0,,-542175.0,0.0,0.0,,,,0.0,0.0,0.0,,-2014634.0,,,,,,0.0,3332299.0,0.0,,98587.34,,,,,,3332299.0,,,6678429.0,0.0,7119909.0,,3769028.0,0.0,
2000-12-31,0.0,0.0,0.0,0.0,0.0,,,,,8.511e-05,8.511e-05,4501064.0,0.0,0.0,,,,,0.0,,-725017.0,0.0,0.0,,,,0.0,0.0,0.0,,-2165980.0,,,,,,0.0,3651907.0,0.0,,103632.66,,,,,,3651907.0,,,6642077.0,0.0,7187877.0,,3953450.0,0.0,
2001-03-31,0.0,0.0,0.0,0.0,0.0,,,,,9.122e-05,9.122e-05,4550809.0,0.0,0.0,,,,,0.0,,-612390.0,0.0,0.0,,,,0.0,0.0,0.0,,-2200193.0,,,,,,0.0,5284300.0,0.0,,103632.66,,,,,,5284300.0,,,6815626.0,0.0,7387742.0,,3994674.0,0.0,
2001-06-30,0.0,0.0,0.0,0.0,0.0,,,,,0.00012261,0.00012261,4587336.0,0.0,0.0,,,,,0.0,,-641726.0,0.0,0.0,,,,0.0,0.0,0.0,,-2249211.0,,,,,,0.0,5567201.0,0.0,,103632.66,,,,,,5567201.0,,,7310904.0,0.0,7882269.0,,3950422.0,0.0,
2001-09-30,0.0,0.0,0.0,0.0,0.0,,,,,0.00010274999999999999,0.00010274999999999999,2572249.0,0.0,0.0,,,,,0.0,,-806138.0,0.0,0.0,,,,0.0,0.0,0.0,,-2318152.0,,,,,,2058847.0,10103502.0,0.0,,103632.66,,,,,,10103502.0,,,7747254.0,0.0,8407930.0,,4407749.0,0.0,
2001-12-31,0.0,0.0,0.0,0.0,0.0,,,,,3.5799999999999996e-05,3.5799999999999996e-05,2520123.0,0.0,0.0,,,,,0.0,,-690177.0,0.0,0.0,,,,0.0,0.0,0.0,,-2291031.0,,,,,,2132106.0,3779129.0,0.0,,141418.76,,,,,,3779129.0,,,7578222.0,0.0,8188114.0,,4171540.0,0.0,
2002-03-31,0.0,0.0,0.0,0.0,0.0,,,,,7.489e-05,7.489e-05,2436258.0,0.0,0.0,,,,,0.0,,-716595.0,0.0,0.0,,,,0.0,0.0,0.0,,-2249054.0,,,,,,2078372.0,7782350.0,0.0,,125692.39,,,,,,7782350.0,,,7842448.0,0.0,8424390.0,,4522966.0,0.0,
2002-06-30,0.0,0.0,0.0,0.0,0.0,,,,,8.101e-05,8.101e-05,2432534.0,0.0,0.0,,,,,0.0,,-800102.0,0.0,0.0,,,,0.0,0.0,0.0,,-2286161.0,,,,,,2141291.0,3567698.0,0.0,,128381.09,,,,,,3567698.0,,,8288313.0,0.0,9035845.0,,4323236.0,0.0,
