,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2001-09-30,52163.0,42772.0,969.0,,314.0,,,,,,18071.0,,,,0.0,,,,,13.0,0.01,11081.0,,,52163.0,50813.0,-408.0,488.0,13.0,3.0,0.0,,,,,51194.0,,,,,,-10011.0,,,,969.0,10980.0,0.0,,0.0,0.0,,,,,,,,,,,0.03,,0.01,0.0,,-19.064627690000002,16426.0,-19.064627690000002,,,,-19.064627690000002,,,,,,-408.0
2001-12-31,51883.0,42772.0,624.0,,303.0,,,,,,18065.0,,,,0.0,,,,,10.0,0.01,11123.0,,,51883.0,50867.0,-349.0,419.0,-1.0,-1.0,0.0,,,,,51259.0,,,,,,-10356.0,,,,624.0,10980.0,0.0,,0.0,0.0,,,,,,,,,,,0.03,,0.01,0.0,,-16.307733,16106.0,-16.307733,,,,-4.95306504,,,,,,-349.0
2002-03-31,51799.0,42768.0,554.0,,279.0,,,,,,18042.0,,,,0.0,,,,,13.0,0.01,11076.0,,,51799.0,50853.0,-199.0,249.0,0.0,38.0,0.0,,,,,51245.0,,,,,,-10426.0,,,,554.0,10980.0,0.0,,0.0,0.0,,,,,,,,,,,0.03,,0.01,0.0,,-9.2986787,16105.0,-9.2986787,,,,-9.2986787,,,,,,-199.0
2002-06-30,51508.0,42768.0,256.0,,257.0,,,,,,18009.0,,,,0.0,,,,,16.0,0.01,11076.0,,,51508.0,50860.0,-170.0,199.0,0.0,47.0,0.0,,,,,51252.0,,,,,,-10724.0,,,,256.0,10980.0,0.0,,0.0,0.0,,,,,,,,,,,0.03,,0.01,0.0,,-7.94359487,15845.0,-7.94359487,,,,-7.94359487,,,,,,-170.0
2002-09-30,52239.0,42768.0,504.0,,245.0,,,,,,18483.0,,,,0.0,,,,,19.0,0.01,11167.0,,,52239.0,50862.0,48.0,112.0,17.0,2.0,0.0,,,,,51735.0,,,,,,-10476.0,,,,504.0,10980.0,0.0,,0.0,0.0,,,,,,,,,,,0.03,,0.01,0.0,,2.24289737,16014.0,2.24289737,,,,2.24289737,,,,,,48.0
2002-12-31,53039.0,43435.0,764.0,,106.0,,,,,,22425.0,,,,0.0,,,,,17.0,0.01,36.0,,,53039.0,51402.0,260.0,140.0,375.0,0.0,0.0,,,,,52275.0,,,,,,-10216.0,,,,764.0,10980.0,670.0,,0.0,0.0,,,,,,,,,,,0.03,,0.01,0.0,,12.14902745,12293.0,12.14902745,,,,22.101884549999998,,,,,,260.0
2003-03-31,53001.0,43435.0,1148.0,,106.0,,,,,,22425.0,,,,0.0,,,,,20.0,0.03,36.0,,,53001.0,51312.0,-46.0,75.0,0.0,34.0,0.0,,,,,51853.0,,,,,,-10272.0,,,,1148.0,11420.0,664.0,,0.0,0.0,,,,,,,,,,,0.05,,0.02,0.0,,-1.07567414,12263.0,-1.07567414,,,,-1.07567414,,,,,,-46.0
2003-06-30,52973.0,43258.0,1119.0,,99.0,,,,,,22425.0,,,,0.0,,,,,20.0,0.03,36.0,,,52973.0,51119.0,-39.0,68.0,0.0,30.0,0.0,,,,,51854.0,,,,,,-10301.0,,,,1119.0,11420.0,665.0,,0.0,0.0,,,,,,,,,,,0.05,,0.02,0.0,,-0.9119846,12234.0,-0.9119846,,,,-0.9119846,,,,,,-39.0
2003-09-30,52945.0,43220.0,1128.0,,99.0,,,,,,22425.0,,,,0.0,,,,,20.0,0.03,36.0,,,52945.0,51082.0,-10.0,61.0,22.0,30.0,0.0,,,,,51817.0,,,,,,-10292.0,,,,1128.0,11420.0,667.0,,0.0,0.0,,,,,,,,,,,0.05,,0.02,0.0,,-0.23384221,12204.0,-0.23384221,,,,-0.23384221,,,,,,-10.0
2003-12-31,45583.0,41117.0,2113.0,,53.0,,,,,,7890.0,,,,0.0,,,,,0.0,0.03,36.0,,,45583.0,41745.0,1014.0,-967.0,20.0,-81.0,0.0,,,,,43470.0,,,,,,-9307.0,,,,2113.0,11420.0,670.0,,0.0,0.0,,,,,,,,,,,0.05,,0.02,0.0,,23.711599600000003,26818.0,23.711599600000003,,,,26.56447451,,,,,,1014.0
