,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2006-12-31,0.0,111348.0,19203.0,3479.0,0.0,276015.0,,19937.0,0.0,2382.0,0.0,,2938.0,,19505.0,157172.0,,,,2626.0,668.0,67910.0,61310.0,,363430.0,68997.0,23933.0,31480.0,10594.73,0.0,,,87415.0,0.0,,0.0,130284.0,30974.0,0.0,0.0,,0.0,,,0.0,56929.0,363430.0,0.0,,,98162.0,,,0.0,,,,6165.0,3101.0,23933.0,39848.0,0.0,,10594.73,0.0,0.0,30974.0,0.0,19816.0,,,,5582.0,0.0,0.0,,,5023.0,0.0
2007-03-31,0.0,112533.0,44185.0,2833.0,0.0,278008.0,,32624.0,0.0,3440.0,0.0,,3233.0,,21396.0,152558.0,,,,2626.0,412.0,67910.0,73324.0,,367314.0,76940.0,23227.0,31094.0,10594.73,0.0,,,89306.0,0.0,,0.0,150327.0,26273.0,0.0,0.0,,0.0,,,0.0,62879.0,367314.0,0.0,,,67441.0,,,0.0,,,,13427.0,3098.0,23227.0,31619.0,0.0,,10594.73,0.0,0.0,26273.0,0.0,10805.0,,,,13858.0,0.0,0.0,,,1893.0,0.0
2007-06-30,415091.008,106262.0,32227.0,0.0,9498.0,32426.0,0.0,0.0,0.0,32111.0,206056.0,0.0,0.0,190652.0,0.0,0.0,0.0,0.0,0.0,15404.0,412.0,90759.0,0.0,11602.0,415091.008,78870.0,0.0,2747.0,2437.0,38193.0,13878.0,2461.0,17938.0,1216.0,0.0,154580.0,39444.0,0.0,112510.0,0.0,0.0,2626.0,0.0,61319.0,28898.0,91424.0,71984.0,538.0,0.0,18902.0,0.0,0.0,0.0,0.0,0.0,30727.0,-1874.0,28853.0,-20276.0,8577.0,-710.0,-6230.0,0.0,0.0,0.0,0.0,362.0,5334.0,-4972.0,860.0,0.0,0.0,2859.0,-223.0,0.0,-519.0,0.0,0.0,2117.0
2008-12-31,443776.992,191440.992,11757.0,0.0,69248.0,103118.0,0.0,0.0,0.0,7318.0,224696.0,0.0,0.0,213864.992,0.0,0.0,0.0,0.0,7262.0,3569.0,23587.0,4053.0,0.0,0.0,443776.992,121668.0,0.0,3040.0,39170.0,58277.0,0.0,576.0,20605.0,0.0,0.0,141936.992,35163.0,0.0,101788.0,0.0,0.0,4986.0,0.0,0.0,8061.0,172111.008,274681.984,537.0,0.0,0.0,-103108.0,0.0,0.0,0.0,0.0,-33354.0,-7742.0,-41096.0,26441.0,-14655.0,4741.0,-10285.0,0.0,24065.0,-260.0,-274.0,-17106.0,-23012.0,5906.0,-1075.0,0.0,0.0,-14849.0,1149.0,-5684.0,470.0,0.0,551.0,-18363.0
2009-03-31,486310.016,212227.008,26067.0,0.0,64207.0,114716.0,0.0,0.0,0.0,7237.0,246496.0,0.0,0.0,234528.0,0.0,0.0,0.0,0.0,7564.0,4404.0,23209.0,4378.0,0.0,0.0,486310.016,179794.0,0.0,2910.0,45263.0,79977.0,0.0,576.0,51068.0,0.0,0.0,129411.0,31469.0,0.0,88745.0,0.0,0.0,9197.0,0.0,0.0,8116.0,168988.992,274681.984,537.0,0.0,0.0,-106230.0,0.0,0.0,0.0,0.0,76406.0,-2912.0,73494.0,-52182.0,21312.0,-1269.0,-10223.0,0.0,10.0,-6314.0,-491.0,-4982.0,1043.0,-6025.0,0.0,0.0,0.0,-1957.0,-1111.0,0.0,0.0,0.0,-54.0,-3122.0
2009-06-30,454300.0,198636.992,6960.0,0.0,76022.0,108493.0,0.0,0.0,0.0,7162.0,224586.0,0.0,0.0,210366.0,0.0,0.0,0.0,0.0,8455.0,5765.0,26047.0,5030.0,0.0,0.0,454300.0,158146.0,0.0,4409.0,45282.0,66539.0,0.0,0.0,41916.0,0.0,0.0,116763.0,27082.0,0.0,81958.0,0.0,0.0,7723.0,0.0,0.0,8212.0,171179.008,274681.984,537.0,0.0,0.0,-104040.0,0.0,0.0,0.0,0.0,59172.0,-931.0,58241.0,-52042.0,6199.0,-3978.0,-11398.0,0.0,15225.0,0.0,1776.0,-3599.0,318.0,-3917.0,0.0,0.0,0.0,4225.0,-1998.0,0.0,0.0,0.0,-35.0,2192.0
2009-09-30,515324.0,224696.992,16045.0,0.0,72344.0,115389.0,0.0,0.0,0.0,20919.0,257496.992,0.0,0.0,235804.0,0.0,0.0,0.0,0.0,9112.0,12581.0,27657.0,4990.0,483.0,0.0,515324.0,142316.0,0.0,5316.0,45303.0,45153.0,0.0,0.0,46544.0,0.0,0.0,194498.0,98872.0,0.0,93264.0,0.0,0.0,2362.0,0.0,8199.0,170311.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47104.0,-2153.0,44951.0,-31625.0,13326.0,-2639.0,-6371.0,0.0,804.0,31.0,1197.0,-6850.0,1731.0,-8581.0,0.0,0.0,0.0,-502.0,-381.0,0.0,0.0,0.0,15.0,-868.0
2009-12-31,617774.0160000001,390974.016,16062.0,0.0,136900.992,227964.992,0.0,0.0,0.0,10046.0,216884.0,0.0,0.0,185332.0,0.0,0.0,0.0,0.0,10834.0,20718.0,176.0,5998.0,3742.0,0.0,617774.0160000001,207446.0,0.0,8102.0,15950.0,117997.0,0.0,321.0,64181.0,895.0,0.0,168007.008,93565.0,0.0,71129.0,0.0,0.0,3313.0,0.0,0.0,4366.0,237955.008,274681.984,537.0,0.0,0.0,-37264.0,0.0,0.0,0.0,0.0,116513.008,-2916.0,113597.008,-84046.016,29551.0,-6385.0,-11049.0,0.0,66623.0,589.0,601.0,-2988.0,2192.0,-5180.0,0.0,0.0,0.0,76942.0,-5025.0,-4413.0,0.0,0.0,138.0,67642.0
2010-03-31,700080.0,495772.0,28458.0,0.0,210534.0,234684.0,0.0,0.0,0.0,22096.0,193596.992,0.0,0.0,163182.0,0.0,0.0,0.0,0.0,11650.0,18765.0,176.0,6770.0,3765.0,0.0,700080.0,322835.00800000003,0.0,6019.0,12201.0,241412.992,0.0,321.0,62096.0,785.0,0.0,114472.0,44572.0,0.0,66023.0,0.0,0.0,3877.0,0.0,0.0,10233.0,252540.0,274681.984,537.0,0.0,0.0,-22679.0,0.0,0.0,0.0,0.0,94403.0,-3970.0,90433.0,-61692.0,28741.0,-4105.0,-9346.0,0.0,5054.0,0.0,0.0,-4156.0,2754.0,-6910.0,0.0,0.0,0.0,16188.0,-2370.0,-3148.0,0.0,0.0,329.0,10999.0
2010-06-30,858414.016,429696.992,27338.0,0.0,202868.992,172826.0,0.0,0.0,0.0,26664.0,417747.008,0.0,0.0,378776.0,0.0,0.0,0.0,0.0,14128.0,24843.0,176.0,6983.0,3811.0,0.0,858414.016,353673.984,0.0,5799.0,12808.0,263480.0,0.0,1913.0,68930.0,744.0,0.0,169983.008,73596.0,0.0,92634.0,0.0,0.0,3753.0,0.0,0.0,12055.0,322702.016,274681.984,0.0,0.0,537.0,47483.0,0.0,0.0,0.0,0.0,313920.0,-10835.0,303084.99199999997,-195042.0,108043.0,-4445.0,-10647.0,0.0,3153.0,0.0,0.0,-7726.0,1062.0,-8788.0,0.0,0.0,0.0,88378.0,-1068.0,-17803.0,0.0,0.0,655.0,70162.0
