,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2002-03-31,286862.0,86389.0,2051.0,5807.0,36046.0,25011.0,,27308.0,79178.0,7160.0,1248.0,,,,,,,20811.0,,-1545.0,0.0,152180.0,6539.0,,286862.0,111881.0,236371.0,30828.0,5017.0,57955.0,,2608.0,6842.0,953.0,,79178.0,5801.0,50491.0,9260.0,0.0,,8744.0,,,27308.0,0.0,77799.0,0.0,0.0,2175.0,0.0,-1520.0,,,,,,124396.0,7078.0,-1504.0,-13372.0,0.0,,1877.0,0.0,,0.0,13704.0,-338.0,,,,-1504.0,0.0,-338.0,,,5991.0,-1883.0
2002-06-30,297010.0,86185.0,1957.0,6706.0,40104.0,21803.0,,27288.0,84319.0,4862.0,13833.0,,,,,,,20811.0,,-2160.0,0.0,149179.0,6348.0,,297010.0,111245.0,248521.0,31891.0,4128.0,57355.0,,2614.0,4378.0,1084.0,,84319.0,7639.0,48489.0,16735.0,0.0,,8934.0,,,27288.0,0.0,75777.0,0.0,0.0,2094.0,0.0,-2096.0,,,,,,82202.0,5238.0,-323.0,-15213.0,0.0,,2156.0,0.0,,0.0,14612.0,-339.0,,,,-323.0,0.0,-339.0,,,6042.0,-2499.0
2002-09-30,300857.0,92762.0,4895.0,3809.0,37533.0,32856.0,,27231.0,120766.0,4609.0,13833.0,,,,,,,20811.0,,-20942.0,0.0,146015.0,6208.0,,300857.0,101119.0,273136.0,38471.0,4177.0,34092.0,,2621.0,7362.0,1250.0,,120766.0,11700.0,27721.0,16169.0,0.0,,7851.0,,,27231.0,0.0,54952.0,0.0,0.0,2012.0,0.0,-20850.0,,,,,,88923.0,6968.0,-22767.0,-35820.0,0.0,,1446.0,0.0,,0.0,15096.0,-291.0,,,,-22767.0,0.0,-291.0,,,6132.0,-21233.0
2002-12-31,306985.0,108566.0,6190.0,1360.0,41832.0,43010.0,,27385.0,124796.0,8268.0,13679.0,,,,,,,20552.0,,6800.0,0.0,143998.0,0.0,,306985.0,98744.0,273710.0,42571.0,4482.0,26433.0,,2306.0,5414.0,131.0,,124796.0,16148.0,33275.0,15881.0,0.0,,6904.0,,,27385.0,0.0,60660.0,0.0,0.0,1931.0,0.0,5266.0,,,,,,102877.0,1980.0,7885.0,-30106.0,0.0,,1259.0,0.0,,0.0,6749.0,-385.0,,,,7885.0,0.0,-385.0,,,6208.0,6415.0
2003-03-31,303003.0,106305.0,2052.0,5184.0,47257.0,35035.0,,27451.0,117834.0,8534.0,14334.0,,,,,,,20552.0,,2148.0,0.0,140428.0,5914.0,,303003.0,100039.0,267528.0,34909.0,4550.0,26113.0,,2728.0,5889.0,1184.0,,117834.0,22487.0,35475.0,15654.0,0.0,,6550.0,,,27451.0,0.0,62926.0,0.0,0.0,1849.0,0.0,2117.0,,,,,,105018.0,4166.0,2235.0,-27745.0,0.0,,2179.0,0.0,,0.0,6952.0,-529.0,,,,2235.0,0.0,-529.0,,,6265.0,1619.0
2003-06-30,337663.0,147544.0,8984.0,3971.0,57999.0,53957.0,,27418.0,108597.0,10219.0,14959.0,,,,,,,19950.0,,11854.0,0.0,138095.0,5765.0,,337663.0,132536.0,290425.0,40449.0,4593.0,42134.0,,2623.0,8510.0,1256.0,,108597.0,31687.0,47238.0,15336.0,0.0,,6538.0,,,27418.0,0.0,74656.0,0.0,0.0,1768.0,0.0,11849.0,,,,,,130869.0,-1743.0,12775.0,-15821.0,0.0,,1284.0,0.0,,0.0,2678.0,-367.0,,,,12775.0,0.0,-367.0,,,6193.0,11487.0
2003-09-30,333064.0,146104.0,3291.0,8498.0,66412.0,48857.0,,27278.0,103970.0,6800.0,14699.0,,,,,,,20025.0,,1028.0,0.0,135653.0,0.0,,333064.0,135016.0,284856.0,31552.0,3120.0,42666.0,,3299.0,12545.0,2977.0,,103970.0,37188.0,48208.0,7572.0,0.0,,11020.0,,,27278.0,0.0,75486.0,0.0,0.0,1686.0,0.0,1069.0,,,,,,140808.0,9975.0,1814.0,-14691.0,0.0,,1669.0,0.0,,0.0,3264.0,-588.0,,,,1814.0,0.0,-588.0,,,5958.0,440.0
2003-12-31,392412.0,206783.0,3986.0,13107.0,62450.0,62054.0,,27877.0,100478.0,55079.0,14837.0,,,,,,,22179.0,,-1185.0,0.0,133602.0,0.0,,392412.0,110124.0,296912.0,33561.0,3176.0,45345.0,,2716.0,8521.0,1689.0,,100478.0,13206.0,95500.0,47365.0,0.0,,11068.0,,,27877.0,0.0,123377.0,0.0,0.0,1605.0,0.0,-3056.0,,,,,,140702.0,13948.0,-5369.0,32762.0,0.0,,1910.0,0.0,,0.0,2850.0,-382.0,,,,-5369.0,0.0,-382.0,,,5762.0,-1567.0
2004-03-31,397593.0,214866.0,1191.0,43418.0,74956.0,34785.0,,27811.0,97928.0,45753.0,15116.0,,,,,,,21787.0,,2528.0,0.0,130787.0,0.0,,397593.0,113280.0,298635.0,34491.0,4046.0,47466.0,,882.0,9854.0,2134.0,,97928.0,12489.0,98958.0,48625.0,0.0,,10991.0,,,27811.0,0.0,126769.0,0.0,0.0,1523.0,0.0,3375.0,,,,,,131585.0,6963.0,3827.0,36380.0,0.0,,1918.0,0.0,,0.0,2850.0,-510.0,,,,3827.0,0.0,-510.0,,,5817.0,2018.0
2004-06-30,430165.0,251197.0,3401.0,87563.0,70002.0,39523.0,,27825.0,93135.0,37002.0,15232.0,,,,,,,21269.0,,3628.0,0.0,127337.0,0.0,,430165.0,145785.0,327035.0,40418.0,4131.0,68183.0,,445.0,9624.0,3476.0,,93135.0,18706.0,103130.0,49435.0,0.0,,10855.0,,,27825.0,0.0,130955.0,0.0,0.0,1442.0,0.0,4089.0,,,,,,141010.0,4812.0,5387.0,40713.0,0.0,,802.0,0.0,,0.0,2879.0,-339.0,,,,5387.0,0.0,-339.0,,,6325.0,3289.0
