,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2010-03-31,2036818.0480000002,597184.0,151090.0,0.0,245452.0,12501.0,0.0,0.0,0.0,188140.992,110025.0,0.0,0.0,109958.0,0.0,0.0,0.0,0.0,67.0,0.0,10.0,1204144.0,125455.0,0.0,2036818.0480000002,726974.016,0.0,52497.0,87193.0,429849.992,2820.0,0.0,154614.0,0.0,0.0,1027406.9759999999,763554.0240000001,0.0,73786.0,0.0,0.0,190067.008,0.0,0.0,0.0,282436.99199999997,139152.0,0.0,0.0,55.0,14807.0,128423.0,0.0,0.0,0.0
2010-06-30,2423267.0719999997,776393.0240000001,356060.0,0.0,259874.0,15662.0,0.0,0.0,0.0,144796.992,126624.0,0.0,0.0,126598.0,0.0,0.0,0.0,0.0,26.0,0.0,11.0,1394756.9919999999,125482.0,0.0,2423267.0719999997,566953.024,0.0,32425.0,106014.0,366070.0,748.0,0.0,61696.0,0.0,0.0,1102785.024,838512.9920000001,0.0,16885.0,0.0,0.0,247387.008,0.0,0.0,0.0,753529.0240000001,603526.0160000001,0.0,0.0,27312.0,0.0,122691.0,0.0,0.0,0.0
2010-09-30,2772612.0960000004,862798.9759999999,378942.016,0.0,312670.016,84121.0,0.0,0.0,0.0,87066.0,256064.0,0.0,0.0,256048.992,0.0,0.0,0.0,0.0,15.0,0.0,11.0,1530806.0159999998,122932.0,0.0,2772612.0960000004,683164.9920000001,0.0,65939.0,121166.0,427404.008,756.0,0.0,67900.0,0.0,0.0,1283591.936,998540.0,0.0,17209.0,0.0,0.0,267843.00800000003,0.0,0.0,0.0,805854.9759999999,602121.024,0.0,0.0,136350.0,67384.0,0.0,0.0,0.0,0.0
2010-12-31,2928483.0719999997,946422.9759999999,476215.008,0.0,344504.992,12536.0,0.0,49893.0,6781.0,56493.0,264144.0,0.0,12030.0,145735.008,0.0,0.0,78593.0,0.0,16.0,27770.0,1634.0,1590685.9519999998,125596.0,0.0,2928483.0719999997,640910.976,71037.0,54461.0,46634.0,372694.016,756.0,0.0,95329.0,0.0,0.0,1474360.064,1183132.0320000001,0.0,19734.0,238216.992,0.0,33277.0,0.0,0.0,66.0,813146.032,601220.9920000001,0.0,103491.0,108434.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,3023523.0719999997,976915.0079999999,378456.992,0.0,360996.0,34572.0,0.0,49920.0,18580.0,134390.0,284985.984,0.0,11531.0,151830.0,0.0,0.0,83985.0,0.0,41.0,37599.0,1635.0,1634649.9840000002,125337.0,0.0,3023523.0719999997,607544.0,75801.0,42241.0,45846.0,328390.016,777.0,0.0,114489.0,0.0,0.0,1608251.0080000001,1320578.048,0.0,19703.0,232952.992,0.0,35017.0,0.0,0.0,74.0,807654.0,600936.0,-20512.0,96837.0,130393.0,0.0,0.0,0.0,0.0,0.0
2011-06-30,3178007.04,1038468.9920000001,411740.0,0.0,389808.0,15960.0,0.0,70399.0,16034.0,134528.0,238024.992,11024.0,0.0,154391.008,0.0,0.0,0.0,0.0,42.0,72568.0,1634.0,1771940.9919999999,127938.0,0.0,3178007.04,631816.0,91596.0,57240.0,49964.0,337166.016,778.0,0.0,95072.0,0.0,0.0,1730444.032,1494281.9840000002,0.0,68539.0,130917.0,0.0,36706.0,0.0,0.0,80.0,815667.0079999999,600936.0,-21580.0,78161.0,158150.0,0.0,0.0,0.0,0.0,0.0
2011-09-30,3358358.0160000003,1138983.936,343528.0,114394.0,378924.992,82525.0,0.0,82016.0,11097.0,126499.0,211660.0,0.0,0.0,139040.0,0.0,0.0,33722.0,0.0,43.0,38855.0,1640.0,1878206.976,127867.0,0.0,3358358.0160000003,718958.9759999999,104921.0,74773.0,62503.0,377080.992,879.0,0.0,98802.0,0.0,0.0,1806126.976,1577996.032,0.0,65503.0,127453.0,0.0,35175.0,0.0,0.0,88.0,833184.0,600936.0,-21580.0,66015.0,187812.992,0.0,0.0,0.0,0.0,0.0
2011-12-31,3844848.896,1143035.008,399084.0,44226.0,478187.008,33220.0,0.0,82297.0,3636.0,102385.0,261996.992,0.0,0.0,164018.0,0.0,0.0,32877.0,0.0,36.0,65066.0,1713.0,2190155.008,247948.992,0.0,3844848.896,715908.9920000001,98213.0,57478.0,35347.0,435615.008,873.0,0.0,88383.0,0.0,0.0,2285454.08,1932312.064,0.0,142964.992,166644.0,0.0,43533.0,0.0,0.0,95.0,843391.016,609633.024,-21520.0,60635.0,194643.008,0.0,0.0,0.0,0.0,0.0
2012-03-31,4177554.9439999997,1347968.0,270535.00800000003,58265.0,541782.0160000001,191875.008,0.0,95412.0,33594.0,156504.992,251982.0,0.0,0.0,137524.992,0.0,0.0,38137.0,0.0,170.0,76150.0,1713.0,2289305.088,286587.00800000003,0.0,4177554.9439999997,1011777.0240000001,134314.0,177132.992,45155.0,531652.0,1537.0,0.0,121986.0,0.0,0.0,2246691.0719999997,1907233.024,0.0,136575.008,153396.992,0.0,49486.0,0.0,0.0,97.0,918989.9759999999,660494.976,-21844.0,53117.0,227222.0,0.0,0.0,0.0,0.0,0.0
2012-06-30,4501266.944,1537644.032,324648.99199999997,225212.992,563672.0,182392.992,0.0,92753.0,30589.0,118375.0,262235.00800000003,0.0,0.0,113888.0,0.0,0.0,33609.0,0.0,105.0,114633.0,1713.0,2406192.8959999997,293481.984,0.0,4501266.944,1062601.9840000002,152248.992,200923.008,48714.0,549603.0079999999,918.0,0.0,110195.0,0.0,0.0,2504263.9359999998,2155166.976,0.0,136495.008,158315.008,0.0,54287.0,0.0,0.0,99.0,934302.0240000001,660494.976,-21661.0,50519.0,244948.992,0.0,0.0,0.0,0.0,0.0
