,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2002-03-31,156293.0,73663.0,5227.0,0.0,33962.0,0.0,,10056.0,0.0,0.0,1552.0,0.0,,,,,0.0,2332.0,22552.0,0.0,615.0,35527.0,5156.0,,156293.0,61330.0,6323.0,7740.0,0.0,21163.0,,23544.0,10822.0,0.0,,23544.0,10420.0,,-645.0,,,0.0,,,,70804.0,13685.0,4768.0,85489.0,0.0,-1212.0,0.0,,,,,,52254.0,-120.0,0.0,-11244.0,8108.0,,0.0,0.0,,0.0,0.0,3098.0,,,,7303.0,0.0,70804.0,,,,4803.0
2002-06-30,143640.0,58960.0,5227.0,0.0,19004.0,0.0,,9577.0,0.0,0.0,0.0,0.0,,,,,0.0,7125.0,23708.0,0.0,543.0,37495.0,5620.0,,143640.0,57548.0,6244.0,6274.0,0.0,20870.0,,18468.0,14636.0,0.0,,18468.0,5799.0,,-714.0,,,0.0,,,,67081.0,13743.0,4768.0,76559.0,0.0,-1420.0,0.0,,,,,,37870.0,-159.0,0.0,-8640.0,7436.0,,0.0,0.0,,0.0,0.0,3532.0,,,,-3909.0,0.0,67081.0,,,,-3747.0
2002-09-30,191978.0,108497.0,5227.0,0.0,36431.0,0.0,,11288.0,0.0,0.0,0.0,0.0,,,,,0.0,7990.0,32503.0,0.0,516.0,38128.0,6094.0,,191978.0,95899.0,8159.0,7346.0,0.0,34212.0,,26541.0,23624.0,0.0,,26541.0,18446.0,,-967.0,,,0.0,,,,69022.0,13743.0,4768.0,122956.0,0.0,-1224.0,0.0,,,,,,54705.0,-296.0,0.0,-9234.0,10993.0,,0.0,0.0,,0.0,0.0,5434.0,,,,2842.0,0.0,69022.0,,,,1916.0
2002-12-31,207068.0,119875.0,5227.0,0.0,41570.0,0.0,,16405.0,0.0,0.0,2485.0,0.0,,,,,0.0,710.0,33006.0,0.0,469.0,39091.0,6895.0,,207068.0,105799.0,10419.0,9758.0,0.0,40427.0,,23121.0,29531.0,0.0,,23121.0,7694.0,,-1165.0,,,0.0,,,,77679.0,16923.0,4914.0,129389.0,0.0,-870.0,0.0,,,,,,78554.0,-135.0,0.0,-12304.0,14948.0,,0.0,0.0,,0.0,0.0,4928.0,,,,14143.0,0.0,77679.0,,,,11202.0
2003-03-31,191336.0,108722.0,5227.0,0.0,41002.0,0.0,,14217.0,0.0,0.0,562.0,0.0,,,,,0.0,706.0,36954.0,0.0,450.0,38373.0,6879.0,,191336.0,87625.0,5947.0,8830.0,0.0,37694.0,,23010.0,14939.0,0.0,,23010.0,13567.0,,-1447.0,,,0.0,,,,80251.0,16924.0,4914.0,111085.0,0.0,-996.0,0.0,,,,,,66361.0,-93.0,0.0,-8616.0,16858.0,,0.0,0.0,,0.0,0.0,5731.0,,,,4125.0,0.0,80251.0,,,,2553.0
2003-06-30,186934.0,103548.0,5227.0,0.0,43934.0,0.0,,14758.0,0.0,0.0,0.0,0.0,,,,,0.0,2159.0,38323.0,0.0,438.0,38616.0,7149.0,,186934.0,84576.0,6036.0,6582.0,0.0,47086.0,,22938.0,17067.0,0.0,,22938.0,5630.0,,-1752.0,,,0.0,,,,78982.0,16923.0,5354.0,107952.0,0.0,-1042.0,0.0,,,,,,56798.0,-98.0,0.0,-9156.0,15552.0,,0.0,0.0,,0.0,0.0,5711.0,,,,-1329.0,0.0,78982.0,,,,-1420.0
2003-09-30,206626.0,124291.0,5227.0,0.0,63160.0,7624.0,,15532.0,0.0,0.0,0.0,0.0,,,,,0.0,5968.0,37463.0,0.0,414.0,38528.0,0.0,,206626.0,109055.0,11219.0,11470.0,0.0,37383.0,,8527.0,37309.0,0.0,,8527.0,7257.0,,0.0,,,0.0,,,,88630.0,16923.0,5354.0,117996.0,0.0,-938.0,0.0,,,,,,86952.0,-89.0,0.0,-13153.0,13581.0,,0.0,0.0,,0.0,0.0,5806.0,,,,13723.0,0.0,88630.0,,,,9623.0
2003-12-31,222849.0,133437.0,5227.0,0.0,70805.0,0.0,,17731.0,0.0,0.0,4027.0,0.0,,,,,0.0,8361.0,35969.0,0.0,391.0,43258.0,8789.0,,222849.0,112350.0,8222.0,9469.0,0.0,40341.0,,16018.0,31059.0,0.0,,16018.0,6481.0,,-2471.0,,,0.0,,,,94090.0,16925.0,5354.0,128759.0,0.0,-1321.0,0.0,,,,,,101068.0,-93.0,0.0,-19662.0,7685.0,,0.0,0.0,,0.0,0.0,18897.0,,,,9992.0,0.0,94090.0,,,,6580.0
2004-03-31,286306.0,176744.0,5227.0,0.0,79670.0,0.0,,21403.0,0.0,0.0,1143.0,0.0,,,,,0.0,4785.0,37844.0,0.0,397.0,63193.0,13052.0,,286306.0,146574.0,8792.0,13562.0,0.0,75286.0,,35719.0,27893.0,0.0,,35719.0,6551.0,,-2561.0,,,0.0,,,,103616.0,16925.0,5354.0,182690.0,0.0,-1508.0,0.0,,,,,,81597.0,-24.0,0.0,-9975.0,16340.0,,0.0,0.0,,0.0,0.0,7011.0,,,,14680.0,0.0,103616.0,,,,9531.0
2004-06-30,322325.0,191594.0,5227.0,0.0,94668.0,0.0,,32768.0,0.0,0.0,1143.0,0.0,,,,,0.0,8342.0,48722.0,0.0,1797.0,86768.0,11383.0,,322325.0,166459.0,11594.0,12233.0,0.0,67842.0,,46129.0,54651.0,0.0,,46129.0,8153.0,,-2921.0,,,0.0,,,,107940.0,17286.0,5354.0,214385.0,0.0,-1462.0,0.0,,,,,,81362.0,-141.0,0.0,-11262.0,24216.0,,0.0,0.0,,0.0,0.0,7596.0,,,,6545.0,0.0,107940.0,,,,4303.0
