,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2000-12-31,1045918000.0,700644000.0,24840000.0,322276000.0,144591000.0,162071000.0,,0.0,-8295000.0,464681000.0,-20872000.0,1377000.0,,,,,,101338000.0,,0.0,,90660000.0,0.0,,1045918000.0,429939000.0,0.0,212966000.0,355659000.0,108310000.0,,0.0,423000.0,51559000.0,,330582000.0,0.0,,58693000.0,,,17565000.0,,,423000.0,178451000.0,117850000.0,7857000.0,,0.0,0.0,6404000.0,,,
2001-03-31,1111955000.0,767325000.0,18876000.0,439033000.0,63759000.0,196959000.0,,0.0,6768000.0,286832000.0,8562000.0,1122000.0,,,,,,101338000.0,,0.0,,89099000.0,0.0,,1111955000.0,466283000.0,0.0,165469000.0,206585000.0,234805000.0,,0.0,2578000.0,34202000.0,,365557000.0,0.0,,62107000.0,,,16001000.0,,,2578000.0,167579000.0,117850000.0,8582000.0,,0.0,0.0,2127000.0,,,
2001-06-30,1166699000.0,816504000.0,26296000.0,508445000.0,77053000.0,155252000.0,,0.0,5036000.0,343638000.0,8805000.0,1039000.0,,,,,,101338000.0,,0.0,,86471000.0,0.0,,1166699000.0,488142000.0,0.0,134091000.0,246843000.0,284538000.0,,0.0,4354000.0,27612000.0,,374150000.0,0.0,,65118000.0,,,22797000.0,,,4354000.0,180260000.0,117850000.0,8785000.0,,0.0,0.0,1490000.0,,,
2001-09-30,1331403000.0,977972000.0,46852000.0,613646000.0,65347000.0,193705000.0,,0.0,9285000.0,329395000.0,8600000.0,936000.0,,,,,,101337000.0,,0.0,,84070000.0,0.0,,1331403000.0,531503000.0,0.0,191231000.0,236302000.0,264341000.0,,0.0,9296000.0,26046000.0,,481662000.0,0.0,,73126000.0,,,12328000.0,,,9296000.0,192778000.0,117850000.0,8600000.0,,0.0,0.0,3364000.0,,,
2001-12-31,1396531000.0,1057243000.0,34005000.0,611441000.0,150592000.0,193974000.0,,0.0,1196000.0,484150000.0,8450000.0,442000.0,,,,,,84303000.0,,0.0,,84795000.0,0.0,,1396531000.0,654149000.0,0.0,301494000.0,348039000.0,187158000.0,,18047000.0,12658000.0,50355000.0,,412941000.0,0.0,,84021000.0,,,12109000.0,,,12658000.0,220653000.0,117941000.0,8450000.0,,0.01023,0.0,-894000.0,,,
2002-03-31,1205575000.0,865541000.0,26030000.0,450281000.0,135521000.0,185885000.0,,0.0,128000.0,368330000.0,8650000.0,388000.0,,,,,,84303000.0,,0.0,,80665000.0,0.0,,1205575000.0,443543000.0,0.0,239854000.0,267765000.0,91122000.0,,14600000.0,12494000.0,30269000.0,,414525000.0,0.0,,94716000.0,,,11282000.0,,,12494000.0,229015000.0,118964000.0,8650000.0,,0.0,0.0,230000.0,,,
2002-06-30,1240612000.0,892396000.0,55137000.0,514477000.0,64867000.0,192482000.0,,0.0,4465000.0,313310000.0,8525000.0,388000.0,,,,,,84303000.0,,0.0,,85595000.0,0.0,,1240612000.0,367496000.0,0.0,202035000.0,211620000.0,67221000.0,,62000.0,12596000.0,26826000.0,,529662000.0,0.0,,89323000.0,,,10979000.0,,,12596000.0,230556000.0,118972000.0,8525000.0,,0.0,0.0,2750000.0,,,
2002-09-30,1463727000.0,1106216000.0,11962000.0,708212000.0,61908000.0,252301000.0,,0.0,57000.0,352618000.0,8580000.0,1900000.0,,,,,,84323000.0,,0.0,,86986000.0,0.0,,1463727000.0,462014000.0,0.0,251727000.0,249396000.0,116570000.0,,247000.0,13222000.0,23899000.0,,638938000.0,0.0,,94965000.0,,,6147000.0,,,13222000.0,248441000.0,119022000.0,8580000.0,,0.0,0.0,5128000.0,,,
2002-12-31,1490914000.0,1170026000.0,29693000.0,780834000.0,96953000.0,203479000.0,,0.0,-16282000.0,542981000.0,9194000.0,1982000.0,,,,,,106711000.0,,0.0,,91176000.0,0.0,,1490914000.0,610521000.0,0.0,322095000.0,383683000.0,152844000.0,,7110000.0,10521000.0,48785000.0,,555695000.0,0.0,,84853000.0,,,10734000.0,,,10521000.0,218590000.0,120146000.0,9194000.0,,0.01893,0.0,720000.0,,,
2003-03-31,1403033000.0,1082447000.0,15364000.0,617579000.0,94040000.0,278373000.0,,0.0,-2104000.0,339889000.0,9828000.0,1874000.0,,,,,,108856000.0,,0.0,,94456000.0,0.0,,1403033000.0,568298000.0,0.0,294714000.0,231146000.0,197865000.0,,0.0,9955000.0,29059000.0,,527479000.0,0.0,,74053000.0,,,9388000.0,,,9955000.0,213860000.0,120367000.0,9828000.0,,0.0,0.0,41000.0,,,
