,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2010-12-31,724.7689999999999,164.736,83.772,0.0,41.843999999999994,0.0,0.0,2.311,2.194,34.615,26.113000000000003,0.0,0.0,1.155,0.0,0.0,24.419,0.0,0.275,0.264,0.9,531.494,1.526,0.0,724.7689999999999,234.636,2.7239999999999998,49.854,3.0069999999999997,178.965,0.02,0.0,0.066,0.0,0.0,352.839,298.20799999999997,0.0,17.375,34.19,0.0,3.0660000000000003,0.0,0.0,0.0,137.29399999999998,126.307,1.431,0.0,9.556000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,715.799,136.83100000000002,43.453,0.0,52.786,0.0,0.0,2.8760000000000003,8.47,29.246,27.939,0.0,0.0,1.103,0.0,0.0,26.162,0.0,0.27699999999999997,0.397,1.048,548.211,1.77,0.0,715.799,209.19400000000002,2.35,28.439,2.39,174.231,0.0,0.0,1.784,0.0,0.0,363.93800000000005,305.168,0.0,17.726,37.957,0.0,3.0869999999999997,0.0,0.0,0.0,142.667,126.307,1.431,0.0,9.556000000000001,5.372999999999999,0.0,0.0,0.0,0.0,0.0,0.0,89.699,-53.802,35.897,-0.8909999999999999,-8.016,0.0,0.276,0.0,0.0,-19.058,0.87,-19.928,0.0,0.0,0.0,8.208,-0.8109999999999999,-2.024,0.0,0.0,0.0,5.372999999999999
2011-06-30,913.422,286.983,134.385,40.0,60.114,0.0,0.0,3.784,7.127999999999999,41.571999999999996,29.276999999999997,0.0,0.0,1.103,0.0,0.0,27.090999999999998,0.0,0.586,0.49700000000000005,1.567,593.6419999999999,1.953,0.0,913.422,244.352,3.138,48.382,3.085,187.69299999999998,0.0,0.0,2.0540000000000003,0.0,0.0,520.794,459.333,0.0,18.158,40.194,0.0,3.109,0.0,0.0,0.0,148.276,129.756,1.431,0.0,9.556000000000001,7.5329999999999995,0.0,0.0,0.0,0.0,0.0,0.0,95.851,-57.748999999999995,38.102,-1.931,-10.353,0.0,0.693,0.0,0.0,-18.993,1.839,-20.831999999999997,0.0,0.0,0.0,7.518,0.012,-1.308,0.0,0.0,0.0,6.222
2011-09-30,947.908,295.198,81.848,78.741,59.971000000000004,0.0,0.0,5.111000000000001,5.153,64.374,31.461,0.0,0.0,1.103,0.0,0.0,29.415,0.0,0.285,0.6579999999999999,1.42,617.25,2.5789999999999997,0.0,947.908,266.187,3.906,69.499,2.224,188.615,0.0,0.0,1.943,0.0,0.0,527.423,460.564,0.0,19.218,44.51,0.0,3.1310000000000002,0.0,0.0,0.0,154.298,131.519,1.661,0.0,9.556000000000001,11.562000000000001,0.0,0.0,0.0,0.0,0.0,0.0,103.368,-61.751999999999995,41.61600000000001,-2.023,-9.197000000000001,0.0,0.384,0.0,0.0,-23.386999999999997,4.2780000000000005,-27.665,0.0,0.0,0.0,7.393,0.165,-1.811,0.0,0.0,0.0,5.747000000000001
2011-12-31,929713.984,240286.0,79442.0,11305.0,70333.0,0.0,0.0,6149.0,2241.0,70816.0,36796.0,0.0,0.0,1103.0,0.0,0.0,34635.0,0.0,288.0,770.0,1785.0,647459.968,3387.0,0.0,929713.984,279943.00800000003,5522.0,73095.0,4054.0,196675.008,0.0,0.0,597.0,0.0,0.0,490855.008,417931.008,0.0,18031.0,51742.0,0.0,3151.0,0.0,0.0,0.0,158916.0,133309.0,1759.0,0.0,23848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390393.05600000004,-231525.712,158867.392,-7027.155,-39752.432,0.0,1510.6470000000002,0.0,0.0,-83135.56,11243.013,-94378.576,0.0,0.0,0.0,30462.88,-572.366,-7331.857,0.0,0.0,0.0,22558.658
2012-03-31,1084256.0,368552.992,99038.0,88190.0,77552.0,0.0,0.0,7393.0,11780.0,84600.0,42855.0,0.0,0.0,1103.0,0.0,0.0,39615.0,0.0,291.0,1846.0,1785.0,667132.9920000001,3930.0,0.0,1084256.0,265130.0,5772.0,67862.0,1679.0,175743.008,0.0,0.0,14074.0,0.0,0.0,652537.024,572129.024,0.0,17934.0,59305.0,0.0,3169.0,0.0,0.0,0.0,166588.992,135291.008,4941.0,0.0,26357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94880.0,-50316.0,44564.0,-1764.0,-9766.0,0.0,283.0,0.0,0.0,-22739.0,4941.0,-27680.0,0.0,0.0,0.0,10578.0,-82.0,-2583.0,0.0,0.0,0.0,7913.0
2012-06-30,1034233.984,323247.00800000003,29030.0,112242.0,89472.0,0.0,0.0,9556.0,10629.0,72318.0,52887.0,0.0,0.0,947.0,0.0,0.0,49067.0,0.0,164.0,2709.0,1785.0,651761.9839999999,4553.0,0.0,1034233.984,185154.0,5475.0,47363.0,1340.0,120502.0,0.0,0.0,10474.0,0.0,0.0,555081.9839999999,473843.008,0.0,17754.0,60300.0,0.0,3185.0,0.0,0.0,0.0,293998.016,298927.00800000003,-8842.0,0.0,3913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107177.0,-84830.0,22347.0,-2169.0,-10969.0,0.0,-12790.0,0.0,0.0,-27402.0,6596.0,-33998.0,0.0,0.0,0.0,-30983.0,82.0,8457.0,0.0,0.0,0.0,-22444.0
2012-09-30,1153613.952,436343.008,60933.0,187688.992,98854.0,0.0,0.0,10689.0,8378.0,69800.0,56165.0,0.0,0.0,947.0,0.0,0.0,52056.0,0.0,162.0,3000.0,1785.0,654428.9920000001,4892.0,0.0,1153613.952,173091.008,4706.0,80915.0,1773.0,78927.0,0.0,0.0,6770.0,0.0,0.0,684446.9759999999,603539.968,0.0,17627.0,60182.0,0.0,3098.0,0.0,0.0,0.0,296076.0,299006.016,-9743.0,0.0,13873.0,-7060.0,0.0,0.0,0.0,0.0,0.0,0.0,123871.0,-96724.0,27147.0,-1706.0,-10412.0,0.0,5457.0,0.0,0.0,-16122.0,4299.0,-20421.0,0.0,0.0,0.0,4364.0,0.0,3107.0,0.0,0.0,0.0,7471.0
2012-12-31,1185422.976,422351.008,92048.0,145226.0,103093.0,0.0,0.0,11909.0,5347.0,64728.0,61032.0,0.0,0.0,1431.0,0.0,0.0,55739.0,0.0,159.0,3703.0,1785.0,695134.9759999999,5120.0,0.0,1185422.976,201330.0,3332.0,105174.0,3812.0,82277.0,0.0,0.0,6735.0,0.0,0.0,682297.984,599196.032,0.0,17449.0,62602.0,0.0,3051.0,0.0,0.0,0.0,301795.00800000003,299174.016,-9632.0,0.0,12253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118135.008,-83525.008,34610.0,-6407.0,-6838.0,0.0,2765.0,0.0,0.0,-14610.0,4358.0,-18968.0,0.0,0.0,0.0,9520.0,0.0,1262.0,0.0,0.0,0.0,10782.0
2013-03-31,1138046.976,430688.992,91357.0,110064.0,110563.0,0.0,0.0,11001.0,14554.0,93150.0,62251.0,0.0,0.0,1431.0,0.0,0.0,55896.0,0.0,157.0,4767.0,1264.0,638505.9839999999,5337.0,0.0,1138046.976,161128.0,2984.0,73372.0,3970.0,75727.0,0.0,0.0,5075.0,0.0,0.0,669230.0160000001,583206.976,0.0,17158.0,65950.0,0.0,2915.0,0.0,0.0,0.0,307688.99199999997,299174.016,-9438.0,0.0,12253.0,5700.0,0.0,0.0,0.0,0.0,0.0,0.0,140935.008,-102920.0,38015.0,-3855.0,-9374.0,0.0,1376.0,0.0,0.0,-13332.0,3768.0,-17100.0,0.0,0.0,0.0,12830.0,-235.0,-3192.0,0.0,0.0,0.0,9403.0
