,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2011-12-31,356486.016,124255.0,6347.0,72782.0,38755.0,106.0,0.0,4301.0,397.0,1567.0,179.0,0.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23480.0,208572.0,0.0,356486.016,61911.0,18540.0,6024.0,3208.0,30482.0,0.0,3657.0,0.0,0.0,0.0,47420.0,40767.0,0.0,559.0,6094.0,0.0,0.0,0.0,0.0,0.0,247155.008,2688.0,210252.0,0.0,34215.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,355544.992,123769.0,6925.0,74220.0,35864.0,104.0,0.0,3856.0,749.0,2051.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25560.0,206196.0,0.0,355544.992,54207.0,17071.0,4978.0,2662.0,25839.0,0.0,3657.0,0.0,0.0,0.0,47078.0,39016.0,0.0,382.0,7680.0,0.0,0.0,0.0,0.0,0.0,254260.0,2688.0,210252.0,0.0,34215.0,7105.0,0.0,0.0,0.0,0.0,0.0,0.0,51619.0,-15149.0,36470.0,-6339.0,-14936.0,0.0,0.0,-5411.0,0.0,747.0,2225.0,-1478.0,0.0,0.0,0.0,10531.0,-1745.0,-1572.0,0.0,0.0,0.0,7105.0
2012-06-30,347879.008,119826.0,1936.0,67885.0,39990.0,121.0,0.0,5620.0,636.0,3638.0,292.0,0.0,0.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24806.0,202955.008,0.0,347879.008,55401.0,24309.0,3645.0,2444.0,25003.0,0.0,0.0,0.0,0.0,0.0,61931.0,50873.0,0.0,293.0,10765.0,0.0,0.0,0.0,0.0,0.0,230547.008,2688.0,210252.0,0.0,13924.0,3683.0,0.0,0.0,0.0,0.0,0.0,0.0,56212.0,-17056.0,39156.0,-13134.0,-16948.0,0.0,0.0,-7208.0,0.0,-131.0,1836.0,-1967.0,0.0,0.0,0.0,1735.0,-517.0,-1586.0,0.0,0.0,0.0,-3422.0
2012-09-30,359232.992,84757.0,2492.0,25343.0,45536.0,124.0,0.0,5645.0,635.0,4982.0,406.0,0.0,0.0,319.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,26088.0,247982.0,0.0,359232.992,47873.0,25625.0,3813.0,2932.0,15503.0,0.0,0.0,0.0,0.0,0.0,73771.0,59303.0,0.0,265.0,14203.0,0.0,0.0,0.0,0.0,0.0,237588.992,2688.0,210252.0,0.0,13924.0,10725.0,0.0,0.0,0.0,0.0,0.0,0.0,59951.0,-16099.0,43852.0,-7178.0,-19105.0,0.0,0.0,-6338.0,0.0,-86.0,1354.0,-1440.0,0.0,0.0,0.0,11145.0,-664.0,-1881.0,0.0,0.0,0.0,7042.0
2012-12-31,375443.008,103928.0,10392.0,37342.0,45891.0,137.0,0.0,4707.0,1107.0,4352.0,435.0,0.0,0.0,351.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,26054.0,245026.0,0.0,375443.008,47132.0,23092.0,4289.0,3304.0,16447.0,0.0,0.0,0.0,0.0,0.0,94868.0,78179.0,0.0,265.0,16424.0,0.0,0.0,0.0,0.0,0.0,233443.008,2688.0,210252.0,0.0,20503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63206.992,-17230.0,45977.008,-7840.0,-18581.0,0.0,160.0,-8368.0,0.0,-1268.0,1559.0,-2827.0,0.0,0.0,0.0,10080.0,-1280.0,-2221.0,0.0,0.0,0.0,6579.0
2013-03-31,724049.984,415252.0,30122.0,326012.0,47190.0,356.0,0.0,4512.0,583.0,6477.0,420.0,0.0,0.0,351.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,26946.0,281432.0,0.0,724049.984,62403.0,22381.0,5314.0,3145.0,5801.0,0.0,0.0,25762.0,0.0,0.0,106653.0,41392.0,0.0,47173.0,18088.0,0.0,0.0,0.0,0.0,0.0,554993.9839999999,345791.008,190231.008,0.0,7116.0,11856.0,0.0,0.0,0.0,0.0,0.0,0.0,63785.0,-18638.0,45147.0,-8585.0,-19075.0,0.0,71.0,-7324.0,0.0,4454.0,6182.0,-1728.0,0.0,0.0,0.0,14688.0,-1168.0,-1664.0,0.0,0.0,0.0,11856.0
2013-06-30,726988.032,418388.992,22090.0,331451.00800000003,53096.0,253.0,0.0,5277.0,1285.0,4937.0,546.0,0.0,0.0,392.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,28119.0,279934.016,0.0,726988.032,67523.0,23740.0,4818.0,3250.0,7220.0,0.0,0.0,28495.0,0.0,0.0,95428.0,38083.0,0.0,37892.0,19453.0,0.0,0.0,0.0,0.0,0.0,564036.9920000001,345791.008,191126.0,0.0,1231.0,25889.0,0.0,0.0,0.0,0.0,0.0,0.0,74340.0,-22495.0,51845.0,-8907.0,-22895.0,0.0,445.0,-8062.0,0.0,5352.0,6056.0,-704.0,0.0,0.0,0.0,17778.0,-2380.0,-1365.0,0.0,0.0,0.0,14033.0
2013-09-30,752182.9759999999,441672.0,24908.0,340049.984,57448.0,238.0,0.0,5025.0,1047.0,12956.0,546.0,0.0,0.0,406.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,23914.0,286051.00800000003,0.0,752182.9759999999,70680.0,24131.0,3304.0,4628.0,9210.0,0.0,0.0,29407.0,0.0,0.0,98556.0,39042.0,0.0,37486.0,22028.0,0.0,0.0,0.0,0.0,0.0,582947.0079999999,346481.984,190920.0,0.0,1231.0,44314.0,0.0,0.0,0.0,0.0,0.0,0.0,76910.0,-21265.0,55645.0,-9925.0,-22757.0,0.0,11776.0,-14841.0,0.0,4462.0,6609.0,-2147.0,0.0,0.0,0.0,24360.0,-3360.0,-2575.0,0.0,0.0,0.0,18425.0
2013-12-31,769011.0079999999,410892.992,38061.0,297272.99199999997,54933.0,242.0,0.0,10190.0,1044.0,9150.0,1138.0,0.0,0.0,417.0,0.0,0.0,526.0,195.0,0.0,0.0,0.0,29835.0,327144.99199999997,0.0,769011.0079999999,79744.0,20089.0,6941.0,5167.0,10877.0,0.0,4822.0,31848.0,0.0,0.0,102897.0,36168.0,0.0,43160.0,23569.0,0.0,0.0,0.0,0.0,0.0,586369.9839999999,346481.984,191068.992,0.0,48819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80413.984,-21834.0,58580.0,-9335.0,-23874.0,0.0,162.0,-10816.0,0.0,5204.0,8538.0,-3334.0,0.0,0.0,0.0,19921.0,-810.0,-1015.0,0.0,0.0,0.0,18096.0
2014-03-31,776496.0,421012.0,29652.0,312824.0,59027.0,219.0,0.0,8632.0,1028.0,9630.0,689.0,0.0,0.0,417.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,31429.0,323366.016,0.0,776496.0,89934.0,24926.0,4523.0,3773.0,12684.0,0.0,4822.0,39206.0,0.0,0.0,85522.0,33314.0,0.0,26565.0,25643.0,0.0,0.0,0.0,0.0,0.0,601040.0,346864.0,191591.008,0.0,48819.0,13766.0,0.0,0.0,0.0,0.0,0.0,0.0,82848.0,-22553.0,60295.0,-10662.0,-24217.0,0.0,206.0,-11596.0,0.0,6207.0,8405.0,-2198.0,0.0,0.0,0.0,20233.0,-3867.0,-2600.0,0.0,0.0,0.0,13766.0
