,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2008-03-31,118226.0,68810.0,2649.0,24536.21,62469.0,31251.0,,0.0,1396.0,,0.0,,,21972.0,16866.0,,0.0,0.0,,,,20255.0,2139.0,,118226.0,69261.0,16696.0,18754.0,18997.0,40497.0,5830.0,,4592.0,0.0,,21972.0,99229.0,,0.0,,,60.0,,,,18997.0,55.0,0.0,,0.0,2040.0,0.0,,,,,,40097.0,2139.0,-2781.0,0.0,27226.0,,1020.0,7172.0,,0.0,7.092e-05,0.0,,,,2760.0,,0.0,,,8754.0,1740.0
2008-06-30,203209.0,141513.0,71374.0,24536.21,0.0,34388.0,,0.0,530.0,,0.0,,,0.0,18616.0,,0.0,0.0,,,,25060.0,2751.0,,203209.0,29805.0,16384.0,23206.0,165911.0,0.0,9091.0,,6030.0,0.0,,0.0,37298.0,,0.0,,,59.0,,,,165911.0,81.0,0.0,,0.0,-3498.0,0.0,,,,,,47618.0,2751.0,-3314.0,0.0,30303.0,,-1749.0,7905.0,,0.0,-0.00013344,0.0,,,,-5023.0,,0.0,,,2826.0,-3274.0
2008-09-30,204437.0,125681.0,43870.0,24536.21,0.0,44625.0,,0.0,553.0,,0.0,,,0.0,18166.0,,0.0,0.0,,,,34951.0,3911.0,,204437.0,30121.0,15442.0,26680.0,166598.0,0.0,11431.0,,6124.0,0.0,,0.0,37839.0,,0.0,,,189.0,,,,166598.0,217.0,5188.0,,0.0,930.0,0.0,,,,,,48253.0,3911.0,-4502.0,0.0,28905.0,,449.0,9870.0,,0.0,0.00018242,0.0,,,,4941.0,,0.0,,,8355.0,4476.0
2008-12-31,211539.0,126673.0,38602.0,24536.21,0.0,41642.0,,14848.0,577.0,,0.0,,,0.0,17381.0,,0.00060514,0.0,,,,41925.0,25559.0,,211539.0,50476.0,12973.0,32743.0,152728.0,0.0,0.0,,9040.0,0.0,,0.0,58811.0,,0.0,,,250.0,,,,152728.0,3260.0,0.0,,0.0,2380.0,0.0,,,,,,61490.0,25559.0,0.0,0.0,39130.0,,1167.0,9743.0,,0.0,8.477e-05,14848.0,,,,3270.0,,0.0,,,6392.0,2080.0
2009-03-31,216711.0,128994.0,38868.0,24536.21,0.0,41957.0,,14848.0,1159.0,,0.0,,,0.0,16617.0,,0.0,0.0,,,,45649.0,25445.0,,216711.0,54738.0,20069.0,31042.0,154363.0,0.0,19237.0,,7832.0,0.0,,0.0,62348.0,,0.0,,,266.0,,,,154363.0,4603.0,0.0,,0.0,405.0,0.0,,,,,,60032.0,25445.0,-7895.0,0.0,38000.0,,54.0,9730.0,,0.0,1.8699999999999999e-06,0.0,,,,451.0,,0.0,,,5412.0,46.0
2009-06-30,199460.0,114746.0,25766.0,24536.21,0.0,42228.0,,0.0,805.0,,0.0,,,0.0,15602.0,,0.0,0.0,,,,44194.0,24907.0,,199460.0,36142.0,16689.0,34171.0,156449.0,0.0,19657.0,,9567.0,0.0,,0.0,43011.0,,0.0,,,289.0,,,,156449.0,4603.0,0.0,,0.0,1152.0,0.0,,,,,,64018.0,24907.0,-10169.0,0.0,0.0,,1009.0,9813.0,,0.0,7.801e-05,0.0,,,,3066.0,,0.0,,,1708.0,1914.0
2009-09-30,203976.0,122677.0,26470.0,24536.21,0.0,48913.0,,0.0,779.0,,0.0,,,0.0,13416.0,,0.0,0.0,,,,43587.0,24275.0,,203976.0,36326.0,16152.0,29255.0,160889.0,0.0,20617.0,,11246.0,0.0,,0.0,43087.0,,0.0,,,672.0,,,,160889.0,4603.0,0.0,,0.0,2496.0,0.0,,,,,,62812.0,24275.0,-12602.0,0.0,39849.0,,2186.0,10130.0,,0.0,0.00017582,0.0,,,,6810.0,,0.0,,,907.0,4314.0
2009-12-31,211196.0,129874.0,24584.0,0.0,56491.0,42064.0,0.0,0.0,0.0,6735.0,16124.0,0.0,0.0,16124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42135.0,23063.0,0.0,211196.0,51007.0,0.0,19251.0,10386.0,0.0,0.0,0.0,21370.0,0.0,0.0,6161.0,0.0,0.0,5591.0,0.0,0.0,570.0,0.0,0.0,0.0,154028.0,151188.0,1922.0,0.0,918.0,0.0,0.0,0.0,0.0,0.0,122858.016,-40648.0,82210.0,-25779.0,56431.0,-28396.0,-10974.0,0.0,-149.0,-14837.0,0.0,-1750.0,525.0,-2275.0,0.0,0.0,0.0,325.0,-2064.0,2000.0,0.0,0.0,0.0,261.0
2010-03-31,213916.0,133754.0,23441.0,0.0,57010.0,45337.0,0.0,0.0,0.0,7966.0,14717.0,0.0,0.0,14717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42775.0,22670.0,0.0,213916.0,49757.0,0.0,20877.0,10016.0,0.0,0.0,0.0,18864.0,0.0,0.0,5711.0,0.0,0.0,4991.0,0.0,0.0,720.0,0.0,0.0,0.0,158448.0,151188.0,2023.0,0.0,918.0,4319.0,0.0,0.0,0.0,0.0,112626.0,-34965.0,77661.0,-30952.0,46709.0,-24310.0,-11120.0,0.0,79.0,-3070.0,0.0,-1500.0,540.0,-2040.0,0.0,0.0,0.0,6788.0,-957.0,-1512.0,0.0,0.0,0.0,4319.0
2010-06-30,223712.0,143915.008,32173.0,0.0,49764.0,54370.0,0.0,0.0,0.0,7608.0,13554.0,0.0,0.0,13554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43268.0,22975.0,0.0,223712.0,56896.0,0.0,27883.0,5818.0,0.0,0.0,0.0,23195.0,0.0,0.0,5137.0,0.0,0.0,4360.0,0.0,0.0,777.0,0.0,0.0,0.0,161679.008,151188.0,1315.0,0.0,332.0,8844.0,0.0,0.0,0.0,0.0,118850.0,-39407.0,79443.0,-25255.0,54188.0,-26442.0,-12098.0,0.0,169.0,-3130.0,0.0,-1559.0,595.0,-2154.0,0.0,0.0,0.0,11128.0,-2231.0,-1366.0,0.0,0.0,0.0,7531.0
