,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2007-03-31,283005.0,175558.0,0.0,0.0,33.0,4125.0,,93218.0,0.0,0.0,0.0,0.0,,8232.0,0.0,,,6767.0,,,53348.0,54591.0,5.0,,283005.0,123488.0,0.0,33910.0,0.0,0.0,,,0.0,62037.0,,0.0,0.0,,0.0,5418.0,,-31892.0,,,3952.0,102217.0,106169.0,3164.0,,0.0,93985.0,,2653.0,62721.0,
2007-06-30,663446.0,562068.0,0.0,0.0,33.0,4236.0,,90500.0,0.0,0.0,0.0,0.0,,411716.0,0.0,,,4901.0,,,53104.0,51136.0,5.0,,663446.0,124633.0,0.0,45795.0,0.0,0.0,,,0.0,56474.0,,0.0,0.0,,0.0,8415.0,,-25126.0,,,509.0,485162.0,485671.0,3258.0,,0.0,73446.0,,2809.0,78655.0,
2007-09-30,731078.0,625654.0,0.0,0.0,33.0,3276.0,,91339.0,0.0,0.0,0.0,0.0,,469543.0,0.0,,,4762.0,,,49253.0,57462.0,5.0,,731078.0,115733.0,0.0,40888.0,0.0,0.0,,,0.0,52939.0,,0.0,0.0,,0.0,5734.0,,-26560.0,,,589.0,565503.0,566092.0,3515.0,,0.0,95960.0,,2881.0,48923.0,
2007-12-31,778819.0,566554.0,967.0,0.0,33.0,4666.0,,189877.0,0.0,0.0,0.0,0.0,,469543.0,0.0,,,3849.0,,,41193.0,66912.0,5.0,,778819.0,148937.0,0.0,40879.0,0.0,0.0,,,0.0,68619.0,,0.0,0.0,,0.0,9087.0,,-28419.0,,,43.0,588646.0,588689.0,3923.0,,0.0,119103.0,,3317.0,48978.0,
2008-03-31,801285.0,441204.0,0.0,0.0,33.0,4927.0,,313570.0,0.0,51220.0,0.0,0.0,,469543.0,0.0,,,27467.0,,,40512.0,70365.0,441.0,,801285.0,148902.0,0.0,38187.0,0.0,0.0,,,0.0,43124.0,,0.0,0.0,,0.0,-19395.0,,-32126.0,,,195.0,611676.0,611871.0,3589.0,,0.0,155853.0,,3388.0,76379.0,
2008-06-30,749043.0,334934.0,0.0,0.0,8.0,6884.0,,357254.0,0.0,51394.0,0.0,0.0,,469543.0,0.0,,,34068.0,,,41666.0,80378.0,2898.0,,749043.0,97185.0,0.0,24417.0,0.0,0.0,,,0.0,33574.0,,0.0,0.0,,0.0,-1131.0,,-34580.0,,,193.0,599026.0,599219.0,4076.0,,-48.0,157768.0,,3992.0,88011.0,
2008-09-30,781832.0,351148.0,0.0,0.0,8.0,8292.0,,375749.0,0.0,52374.0,0.0,0.0,,469543.0,0.0,,,31465.0,,,38457.0,95628.0,4270.0,,781832.0,88887.0,0.0,24883.0,0.0,0.0,,,0.0,30453.0,,31862.0,31862.0,,0.0,8114.0,,-39007.0,,,204.0,604047.0,604251.0,4688.0,,54.0,176259.0,,3704.0,99762.0,
2008-12-31,787374.0,303393.0,0.0,0.0,8.0,5209.0,,430742.0,0.0,61704.0,0.0,0.0,,469543.0,10900.0,,,26985.0,,,30574.0,107698.0,1396.0,,787374.0,98415.0,0.0,21267.0,0.0,0.0,,,0.0,25323.0,,34663.0,34663.0,,0.0,9468.0,,-44127.0,,,174.0,596041.0,596215.0,0.0,,155.0,177265.0,,21433.0,99906.0,
2009-03-31,777176.0,278079.0,0.0,0.0,8.0,6439.0,,451801.0,0.0,52975.0,0.0,0.0,,469543.0,0.0,,,31788.0,,,31904.0,90136.0,1457.0,,777176.0,83934.0,0.0,12867.0,0.0,0.0,,,0.0,22021.0,,35099.0,35099.0,,0.0,-197.0,,-49593.0,,,203.0,600852.0,601055.0,5257.0,,138.0,182093.0,,25011.0,104571.0,
2009-06-30,777654.0,242259.0,0.0,0.0,8.0,6185.0,,477897.0,0.0,49628.0,0.0,0.0,,469543.0,0.0,,,34015.0,,,31877.0,90459.0,8861.0,,777654.0,61385.0,0.0,17852.0,0.0,0.0,,,0.0,14613.0,,56800.0,56800.0,,0.0,3712.0,,-52152.0,,,211.0,602081.0,602292.0,4162.0,,64.0,183396.0,,28222.0,102660.0,
2009-09-30,843664.0,242599.008,108661.0,0.0,117534.0,8194.0,0.0,0.0,0.0,8210.0,50837.0,0.0,0.0,50675.0,0.0,0.0,0.0,0.0,0.0,162.0,8.0,541876.9920000001,8343.0,0.0,843664.0,64613.0,0.0,15382.0,10139.0,0.0,6628.0,0.0,32464.0,0.0,0.0,177356.0,118248.0,0.0,27652.0,0.0,0.0,31456.0,0.0,0.0,219.0,601475.968,469543.008,57017.0,0.0,74736.0,157.0,23.0,0.0,0.0,0.0
2009-12-31,925033.984,240958.0,112859.0,0.0,115980.0,5699.0,0.0,0.0,0.0,6420.0,70226.0,0.0,0.0,70088.0,0.0,0.0,0.0,0.0,0.0,138.0,8.0,602625.9839999999,11216.0,0.0,925033.984,62615.0,0.0,15810.0,10730.0,672.0,5516.0,0.0,29887.0,0.0,0.0,273316.0,201119.008,0.0,39875.0,0.0,0.0,32322.0,0.0,0.0,-207.0,589310.0160000001,469543.008,51607.0,0.0,68138.0,0.0,22.0,0.0,0.0,0.0
2010-03-31,1000190.9759999999,230212.0,89549.0,0.0,129982.0,7475.0,0.0,0.0,0.0,3206.0,74726.0,0.0,0.0,74613.0,0.0,0.0,0.0,0.0,0.0,113.0,1490.0,665764.9920000001,27998.0,0.0,1000190.9759999999,73811.0,0.0,20284.0,13278.0,1749.0,5665.0,0.0,32835.0,0.0,0.0,342080.992,262467.00800000003,0.0,47523.0,0.0,0.0,32091.0,0.0,0.0,-301.0,584600.0,469543.008,51607.0,0.0,67498.0,-3942.0,-106.0,0.0,0.0,0.0
2010-06-30,1047057.984,222256.992,92303.0,0.0,118876.0,7825.0,0.0,0.0,0.0,3253.0,77765.0,0.0,0.0,77677.0,0.0,0.0,0.0,0.0,0.0,88.0,8.0,719169.984,27858.0,0.0,1047057.984,67035.0,0.0,16562.0,5800.0,4124.0,6923.0,0.0,33626.0,0.0,0.0,393047.008,319903.00800000003,0.0,45287.0,0.0,0.0,27857.0,0.0,0.0,-346.0,587321.9839999999,469543.008,51607.0,0.0,67498.0,-1220.0,-106.0,0.0,0.0,0.0
2010-09-30,1064400.0,186622.0,42975.0,0.0,131562.0,10236.0,0.0,0.0,0.0,1849.0,72130.0,0.0,0.0,71721.0,0.0,0.0,0.0,0.0,0.0,409.0,8.0,776748.032,28892.0,0.0,1064400.0,75127.0,0.0,28394.0,4783.0,2811.0,7851.0,0.0,31288.0,0.0,0.0,390116.992,318699.00800000003,0.0,49371.0,0.0,0.0,22047.0,0.0,0.0,-325.0,599481.024,469543.008,51607.0,0.0,67498.0,10999.0,-166.0,0.0,0.0,0.0
2010-12-31,1146524.0320000001,209355.008,16514.0,48440.0,102913.0,8919.0,0.0,17237.0,4134.0,11198.0,69839.0,0.0,0.0,10694.0,0.0,0.0,45383.0,0.0,463.0,13299.0,8.0,834971.0079999999,32351.0,0.0,1146524.0320000001,66564.0,8045.0,22581.0,5060.0,7809.0,3885.0,0.0,3555.0,15629.0,0.0,468044.992,398483.008,0.0,8032.0,0.0,0.0,22802.0,0.0,38728.0,-372.0,612287.0079999999,469543.008,57017.0,0.0,85907.0,0.0,0.0,-180.0,0.0,0.0
2011-03-31,1269062.0159999998,255698.0,11284.0,94396.0,105476.0,8573.0,0.0,21340.0,0.0,14629.0,79585.0,0.0,0.0,0.0,0.0,0.0,53637.0,0.0,1901.0,24047.0,8.0,895185.984,38585.0,0.0,1269062.0159999998,141636.992,9170.0,30114.0,6345.0,62612.0,6636.0,0.0,6538.0,20222.0,0.0,524328.0,456215.008,0.0,8527.0,0.0,0.0,20917.0,0.0,38669.0,-399.0,603496.024,469543.008,57017.0,0.0,85907.0,-8732.0,0.0,-239.0,0.0,0.0
2011-06-30,1298114.9440000001,212498.0,49968.0,0.0,116986.0,12153.0,0.0,19648.0,0.0,13743.0,82408.0,0.0,0.0,0.0,0.0,0.0,55967.0,0.0,1969.0,24472.0,8.0,963182.9759999999,40018.0,0.0,1298114.9440000001,136727.008,10381.0,34479.0,6977.0,52139.0,6843.0,0.0,8106.0,17802.0,0.0,558046.976,489128.0,0.0,8524.0,0.0,0.0,21707.0,0.0,38688.0,-412.0,603752.9920000001,527000.0,0.0,0.0,85467.0,-8484.0,0.0,-230.0,0.0,0.0
2011-09-30,1392535.04,223664.992,60926.0,0.0,119032.0,13069.0,0.0,19200.0,0.0,11438.0,103632.0,0.0,0.0,0.0,0.0,0.0,76243.0,0.0,2402.0,24987.0,2.0,1020795.0079999999,44441.0,0.0,1392535.04,127467.0,11966.0,23371.0,5691.0,36013.0,6550.0,0.0,4972.0,38904.0,0.0,681624.0,613756.032,0.0,8818.0,0.0,0.0,19832.0,0.0,39218.0,-475.0,583918.968,527000.0,0.0,0.0,85467.0,-28468.0,0.0,-80.0,0.0,0.0
2011-12-31,1507111.04,215878.0,13859.0,49937.0,101798.0,12580.0,0.0,19700.0,1024.0,16980.0,152776.0,0.0,0.0,11981.0,0.0,0.0,109052.0,0.0,2482.0,29261.0,5.0,1068984.0,69468.0,0.0,1507111.04,119800.0,10909.0,33682.0,6148.0,28398.0,4537.0,0.0,3174.0,32952.0,0.0,853470.016,729185.984,0.0,42044.0,0.0,0.0,34373.0,0.0,47867.0,-483.0,534323.9920000001,527000.0,0.0,0.0,7372.0,0.0,0.0,-48.0,0.0,0.0
