,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2005-12-31,153296.0,94906.0,30644.0,,36127.0,26862.0,,55986.0,0.0,0.0,-94.0,,,,,,,0.0,,,0.0,49885.0,23488.0,,153296.0,67478.0,3412.0,11253.0,4669.0,-94.0,,,7318.0,,,7318.0,14892.0,,2346.0,0.0,,0.02818282,,,0.0,68477.0,0.0,0.0,,,12491.0,0.0,,,
2006-03-31,144443.0,80912.0,19156.0,,34888.0,25813.0,,72570.0,0.0,0.0,0.0,,,,,,,0.0,,,0.0,51152.0,22289.0,,144443.0,45976.0,0.0,10015.0,4159.0,0.0,,,13975.0,,,13975.0,13504.0,,2600.0,0.0,,0.04169716,,,0.0,82363.0,0.0,0.0,,,9793.0,0.0,,,
2006-06-30,326593.0,200784.0,108363.0,,54106.0,33932.0,,227619.0,0.0,0.0,0.0,,,,,,,0.0,,,0.0,62312.0,18897.0,,326593.0,58735.0,0.0,14782.0,4269.0,0.0,,,4522.0,,,4522.0,13093.0,,5991.0,0.0,,0.01230896,,,0.0,240787.0,0.0,0.0,,,13168.0,0.0,,,
2006-09-30,333856.0,206799.0,92546.0,,74545.0,36487.0,,227619.0,0.0,0.0,0.0,,,,,,,0.0,,,0.0,65343.0,14403.0,,333856.0,57530.0,0.0,13050.0,3935.0,0.0,,,15936.0,,,15936.0,12485.0,,4770.0,0.0,,0.03741559,,,0.0,251046.0,0.0,0.0,,,23427.0,0.0,,,
2006-12-31,569895.0,356709.0,204266.0,,76551.0,71149.0,,227619.0,0.0,0.0,0.0,,,,,,,0.0,,,0.0,71908.0,20161.0,,569895.0,73110.0,0.0,18933.0,4379.0,0.0,,,3825.0,,,3825.0,241125.0,,4647.0,0.0,,0.0018272,,,0.0,245719.0,0.0,0.0,,,18100.0,0.0,,,
2007-03-31,551099.0,333032.0,179542.0,,76169.0,73592.0,,227619.0,0.0,0.0,0.0,,,,,,,0.0,,,0.0,81904.0,7842.0,,551099.0,54566.0,1496.0,14060.0,5367.0,0.0,,,3416.0,,,9570.0,242111.0,,4226.0,0.0,,9.461e-05,,,0.0,244967.0,0.0,0.0,,,17348.0,0.0,,,
2007-06-30,631292.0,245720.0,77977.0,,78647.0,82666.0,,247790.0,0.0,0.0,59721.0,,,,,,,0.0,,,0.0,138144.0,15047.0,,631292.0,83658.0,0.0,19538.0,6471.0,59721.0,,,-10421.0,,,-3280.0,242786.0,,2363.0,0.0,,-0.03161757,,,0.0,237555.0,0.0,0.0,,,-10235.0,0.0,,,
2007-09-30,997048.0,517455.0,306601.0,,95075.0,106050.0,,247790.0,0.0,0.0,58858.0,,,,,,,0.0,,,0.0,159409.0,13361.0,,997048.0,96635.0,0.0,32455.0,11025.0,58858.0,,,-11077.0,,,-2139.0,244759.0,,369995.0,0.0,,-0.05825363,,,0.0,221545.0,0.0,0.0,,,-26245.0,0.0,,,
2007-12-31,1107913.0,537804.0,238316.0,,155096.0,125099.0,,307511.0,0.0,-94.0,0.0,,,,,,,0.0,,,0.0,186221.0,62514.0,,1107913.0,237201.0,0.0,45510.0,10904.0,0.0,,,-13399.0,,,-13399.0,603940.0,,2457.0,0.0,,-0.08135887,,,0.0,256744.0,0.0,0.0,,,-50767.0,0.0,,,
2008-03-31,1097336.0,525489.0,173527.0,,164543.0,128091.0,,307936.0,0.0,-241.0,0.0,,,,,,,12826.0,,,0.0,191905.0,99794.0,,1097336.0,235876.0,18891.0,39058.0,26948.0,0.0,,,-678.0,,,10773.0,598818.0,,2392.0,87.0,,-0.01546099,,,0.0,252666.0,0.0,0.0,,,-55270.0,0.0,,,
