,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2009-09-30,44621.0,571.0,312.0,0.0,252.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,42477.0,1564.0,0.0,0.0,44621.0,269.0,0.0,49.0,50.0,0.0,0.0,25.0,144.0,1.0,0.0,14238.0,0.0,0.0,8063.0,0.0,0.0,6175.0,0.0,0.0,0.0,30114.0,13500.0,717.0,5585.0,6258.0,4054.0,0.0,0.0,0.0,0.0
2009-12-31,81876.0,7604.0,2691.0,0.0,2147.0,1645.0,0.0,0.0,0.0,1121.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,73.0,74138.0,16.0,0.0,81876.0,7487.0,0.0,1459.0,2081.0,2603.0,0.0,692.0,652.0,0.0,0.0,46271.0,27637.0,0.0,726.0,0.0,0.0,17908.0,0.0,0.0,0.0,28118.0,13500.0,717.0,5447.0,8454.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,132902000.0,7718000.0,-101000.0,,3051000.0,1749000.0,,0.0,0.0,0.0,9486000.0,,,,,,15067000.0,0.0,,,11800000.0,112918000.0,24000.0,,132902000.0,7813000.0,1517000.0,1702000.0,59441000.0,3062000.0,,,692000.0,,0.0,7219000.0,19948000.0,,2298130.0,0.0,,0.0,,0.0,,73461000.0,0.0,,0.0,0.0,73461000.0,19948000.0,,,
2010-03-31,132902.0,7718.0,461.0,0.0,3553.0,1749.0,0.0,0.0,0.0,1955.0,36791.0,0.0,0.0,369.0,0.0,0.0,0.0,0.0,0.0,36422.0,11873.0,76496.0,24.0,0.0,132902.0,7813.0,0.0,1702.0,1764.0,3062.0,0.0,692.0,593.0,0.0,0.0,51628.0,19948.0,0.0,24461.0,0.0,0.0,7219.0,0.0,0.0,0.0,73461.0,13500.0,717.0,3060.0,40017.0,1100.0,15067.0,0.0,0.0,0.0
2010-06-30,135947.008,9748.0,3944.0,0.0,3197.0,1520.0,0.0,0.0,0.0,1087.0,36846.0,0.0,0.0,644.0,0.0,0.0,0.0,0.0,0.0,36202.0,11873.0,77451.0,29.0,0.0,135947.008,7864.0,0.0,1694.0,2557.0,2411.0,0.0,692.0,510.0,0.0,0.0,51529.0,20916.0,0.0,23430.0,0.0,0.0,7183.0,0.0,0.0,0.0,76554.0,13500.0,717.0,3002.0,40017.0,4251.0,15067.0,0.0,0.0,0.0
2010-06-30,135947000.0,9748000.0,-101000.0,,2722000.0,1520000.0,,0.0,0.0,3000.0,9456000.0,,,,,,15067000.0,0.0,,,11800000.0,113653000.0,29000.0,,135947000.0,7864000.0,2351000.0,1694000.0,59393000.0,2411000.0,,,692000.0,,0.0,7183000.0,20916000.0,,2298130.0,0.0,,0.0,,0.0,,76554000.0,0.0,,0.0,0.0,76554000.0,20916000.0,,,
2010-09-30,135466000.0,10378000.0,-101000.0,,2370000.0,1166000.0,,0.0,0.0,21000.0,9421000.0,,,,,,15067000.0,0.0,,,11800000.0,112589000.0,29000.0,,135466000.0,7176000.0,2391000.0,1654000.0,57407000.0,2328000.0,,,0.0,,0.0,7481000.0,22074000.0,,2298130.0,0.0,,0.0,,0.0,,78059000.0,0.0,,0.0,0.0,78059000.0,22074000.0,,,
2010-09-30,135466.0,10378.0,5713.0,0.0,2824.0,1166.0,0.0,0.0,0.0,675.0,36435.0,0.0,0.0,595.0,0.0,0.0,0.0,0.0,0.0,35840.0,11875.0,76749.0,29.0,0.0,135466.0,7176.0,0.0,1654.0,2693.0,2328.0,0.0,0.0,501.0,0.0,0.0,50231.0,22074.0,0.0,20676.0,0.0,0.0,7481.0,0.0,0.0,0.0,78059.0,13500.0,717.0,2933.0,40017.0,5825.0,15067.0,0.0,0.0,0.0
2010-12-31,135497000.0,11220000.0,0.0,,2386000.0,1111000.0,,213000.0,360000.0,998000.0,9293000.0,,,,,,15067000.0,0.0,,,11800000.0,111818000.0,36000.0,,135497000.0,11182000.0,4644000.0,1446000.0,60881000.0,5079000.0,,,1218000.0,,0.0,9316000.0,19357000.0,,2298130.0,518000.0,,0.0,,0.0,,74616000.0,0.0,,0.0,0.0,74616000.0,19357000.0,,,
2010-12-31,135498.0,11220.0,634.0,5891.0,2386.0,1111.0,0.0,213.0,360.0,625.0,36055.0,0.0,0.0,24.0,0.0,35513.0,0.0,0.0,0.0,518.0,11882.0,76305.0,36.0,0.0,135498.0,11182.0,2596.0,1446.0,440.0,5079.0,0.0,0.0,1621.0,0.0,0.0,49699.0,19357.0,0.0,11733.0,9293.0,0.0,9316.0,0.0,0.0,0.0,74617.0,13500.0,717.0,2685.0,42648.0,0.0,15067.0,0.0,0.0,0.0
