,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2006-03-31,1613798.0,763327.0,440034.0,0.0,168375.0,154576.0,,0.0,342.0,0.0,14364.0,,,0.0,0.0,,,,,,699202.0,730129.0,0.0,,1613798.0,520929.0,0.0,40696.0,0.0,374354.0,,0.0,0.0,,,256318.0,256318.0,,0.0,0.0,,33387.0,,,,780676.0,0.0,0.0,,0.0,16819.0,,0.0,,
2006-06-30,1647514.0,792416.0,409914.0,0.0,213934.0,168390.0,,0.0,178.0,0.0,19739.0,,,0.0,0.0,,,,,,709377.0,731226.0,0.0,,1647514.0,515927.0,0.0,57223.0,0.0,362251.0,,0.0,0.0,,,241787.0,241787.0,,0.0,0.0,,31161.0,,,,836498.0,0.0,0.0,,0.0,24960.0,,0.0,,
2006-09-30,1683866.0,742770.0,249385.0,0.0,297576.0,195704.0,,0.0,105.0,0.0,102658.0,,,0.0,0.0,,,,,,709394.0,726369.0,0.0,,1683866.0,522887.0,0.0,36660.0,0.0,385689.0,,0.0,0.0,,,242437.0,242437.0,,0.0,0.0,,30379.0,,,,869794.0,0.0,0.0,,0.0,13502.0,,0.0,,
2006-12-31,1606309.0,634821.0,242128.0,0.0,238858.0,153791.0,,0.0,44.0,0.0,20911.0,,,0.0,0.0,,,,,,0.0,716205.0,64596.0,,1606309.0,496118.0,0.0,43756.0,0.0,343789.0,,43985.0,0.0,,,204246.0,204246.0,,0.0,0.0,,30213.0,,,,865263.0,0.0,0.0,,0.0,14258.0,,0.0,,
2007-03-31,1642180.0,675177.0,272581.0,0.0,212864.0,189661.0,,0.0,71.0,0.0,35954.0,,,0.0,0.0,,,,,,732104.0,694093.0,0.0,,1642180.0,511194.0,0.0,29908.0,0.0,360679.0,,43985.0,0.0,,,198941.0,198941.0,,0.0,0.0,,28295.0,,,,893651.0,0.0,0.0,,0.0,13410.0,,0.0,,
2007-06-30,1647483.0,714921.0,278033.0,0.0,265049.0,171802.0,,0.0,37.0,0.0,14137.0,,,0.0,0.0,,,,,,730591.0,702229.0,0.0,,1647483.0,493093.0,0.0,42907.0,0.0,370593.0,,0.0,0.0,,,190564.0,190564.0,,0.0,0.0,,28869.0,,,,925233.0,0.0,0.0,,0.0,10579.0,,0.0,,
2007-09-30,1680773.0,731165.0,250780.0,0.0,248564.0,231775.0,,0.0,46.0,0.0,19238.0,,,0.0,0.0,,,,,,721525.0,680823.0,0.0,,1680773.0,519496.0,0.0,41350.0,0.0,350363.0,,0.0,0.0,,,164117.0,164117.0,,0.0,0.0,,29044.0,,,,958785.0,0.0,0.0,,0.0,12886.0,,0.0,,
2007-12-31,1670849.0,741222.0,44529.0,30255.0,162116.0,226953.0,,10753.0,53539.0,0.0,18715.0,,,0.0,0.0,,,,,,0.0,666578.0,55647.0,,1670849.0,514373.0,0.0,39375.0,0.0,368931.0,,30452.0,0.0,,,160560.0,160560.0,,0.0,0.0,,30301.0,,,,956690.0,0.0,0.0,,0.0,10706.0,,0.0,,
2008-03-31,1837362.0,941482.0,343548.0,9164.0,174125.0,305604.0,,63084.0,7753.0,-506.0,17658.0,,,0.0,0.0,,,,,,744526.0,663364.0,0.0,,1837362.0,614128.0,0.0,36141.0,0.0,447622.0,,30452.0,0.0,,,195103.0,195103.0,,0.0,0.0,,30412.0,,,,977630.0,48927.0,0.0,,0.0,4008.0,,0.0,,
2008-06-30,2429898.0,841649.0,109713.0,1596.0,226686.0,393031.0,,63148.0,7538.0,17.0,25856.0,,,0.0,0.0,,,,,,848226.0,798870.0,0.0,,2429898.0,800579.0,0.0,43803.0,0.0,632285.0,,0.0,0.0,,,543003.0,543003.0,,0.0,0.0,,32360.0,,,,1016286.0,610381.0,0.0,,0.0,12797.0,,0.0,,
2008-09-30,2450144.0,851983.0,165758.0,1958.0,245865.0,288690.0,,116008.0,4363.0,17.0,26138.0,,,0.0,0.0,,,,,,859938.0,794187.0,0.0,,2450145.0,773868.0,0.0,45276.0,0.0,597279.0,,0.0,0.0,,,561250.0,561250.0,,0.0,0.0,,34414.0,,,,1031680.0,608546.0,0.0,,0.0,5518.0,,0.0,,
