,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2008-06-30,506536.0,48193.0,23071.0,,14161.0,7954.0,,1976.0,1031.0,0.0,1813.0,5226.0,,0.0,0.0,,0.0,50606.0,,0.0,0.0,48217.0,0.0,,506536.0,63816.0,10561.0,7946.0,3784.0,173540.0,,,13974.0,,,223807.0,223807.0,32543.0,0.0,21070.0,,29228.0,,2907.0,,162393.0,0.0,59744.29,,-4033.0,0.0,,,0.0,
2008-12-31,524385.0,71309.0,43060.0,,18345.0,8487.0,,1060.0,357.0,0.0,1910.0,2522.0,,0.0,0.0,,0.0,125089.0,,0.0,0.0,45399.0,0.0,,524385.0,78692.0,10469.0,16516.0,7986.0,173540.0,,,10416.0,,,224302.0,224302.0,36345.0,12449.0,21151.0,,29476.0,,1164.0,,162731.0,0.0,59744.29,,4134.0,0.0,,,0.0,
2009-06-30,503626.0,44331.0,21042.0,,11932.0,8326.0,,2123.0,908.0,0.0,1270.0,6370.0,,0.0,0.0,,0.0,96280.0,,0.0,0.0,48780.0,0.0,,503626.0,61099.0,10642.0,8881.0,45.0,173540.0,,,2143.0,,,224549.0,224549.0,22383.0,16188.0,31957.0,,29012.0,,2911.0,,160727.0,0.0,59744.29,,3721.0,0.0,,,0.0,
2009-09-30,693930.0,73668.0,30520.0,,18932.0,10174.0,,7187.0,6855.0,0.0,6154.0,0.0,,0.0,0.0,,0.0,115714.0,,0.0,0.0,79935.0,0.0,,693930.0,93392.0,18377.0,17086.0,4243.0,182177.0,,,1595.0,,,301023.0,301023.0,40182.0,30371.0,50787.0,,69348.0,,2492.0,,206054.0,0.0,59744.29,,-809.0,0.0,,,0.0,
2009-12-31,967400.0,103155.0,39971.0,,30984.0,14933.0,,9370.0,3099.0,4798.0,10456.0,0.0,,0.0,0.0,,0.0,177733.0,,0.0,0.0,133844.0,0.0,,967400.0,142322.0,25290.0,49535.0,11735.0,337688.0,,,5417.0,,,395768.0,395768.0,40181.0,0.0,61155.0,,207581.0,,4756.0,,321950.0,0.0,59744.29,,-11116.0,0.0,,,-1047.0,
2011-03-31,1363139.0,423742.0,3056.0,,38728.0,15787.0,,5353.0,4852.0,9196.0,26182.0,0.0,,-844.0,15.63,,0.0,214231.0,,0.0,0.0,177785.0,0.0,,1363139.0,160423.0,31167.0,49682.0,6765.0,606314.0,,,8.63,,,304510.0,304510.0,21877.0,20545.0,87011.0,,209429.0,,3509.0,,782720.0,0.0,81958.96,,-5918.0,0.0,,,992.0,
2011-06-30,1265187.0,273134.0,9360.0,,34797.0,16560.0,,7973.0,4449.0,3177.0,27018.0,0.0,,-2539.0,32378.63,,0.0,628383.0,,0.0,-69936.0,203305.0,291681.0,,1265187.0,118632.0,35673.0,43422.0,8263.0,616956.0,,,14274.63,,,216253.0,216253.0,26804.0,24197.0,91350.0,,221745.0,,3680.0,,788900.0,0.0,83680.8,,-15846.0,0.0,,,-12767.0,
2011-09-30,1307467.0,253717.0,11599.0,,37954.0,16956.0,,7606.0,5738.0,8339.0,27154.0,0.0,,-973.0,19200.0,,0.0,212480.0,,0.0,-83084.0,230672.0,326918.0,,1307467.0,133663.0,32746.0,43626.0,6726.0,616182.0,,,12229.0,,,210233.0,210233.0,30653.0,25990.0,94045.0,,243834.0,,3668.0,,813958.0,0.0,83680.8,,-3623.0,0.0,,,6227.0,
2011-12-31,245348.0,26240.0,7503.0,0.0,12503.0,3945.0,0.0,564.0,363.0,1362.0,14185.0,1700.0,0.0,0.0,0.0,0.0,5218.0,0.0,1559.0,5708.0,0.0,36703.0,168220.0,0.0,245348.0,42727.0,9683.0,10813.0,3158.0,18396.0,0.0,0.0,677.0,0.0,0.0,96303.0,27642.0,23.0,20981.0,30843.0,0.0,16687.0,0.0,127.0,0.0,106318.0,67637.0,0.0,0.0,0.0,38681.0,0.0,0.0,0.0,0.0
2012-12-31,253936.0,34068.0,6003.0,0.0,17457.0,4732.0,0.0,1614.0,1077.0,3185.0,22471.0,1700.0,0.0,0.0,0.0,0.0,1509.0,0.0,12107.0,7155.0,0.0,37554.0,159843.008,0.0,253936.0,47079.0,10126.0,10793.0,2898.0,21958.0,0.0,0.0,1304.0,0.0,0.0,72095.0,6166.0,0.0,21062.0,36198.0,0.0,7519.0,0.0,1150.0,0.0,134762.0,68537.0,0.0,0.0,0.0,66225.0,0.0,0.0,0.0,0.0
