,Ativo Total,Ativo Circulante,Disponibilidades,Aplicações Interfinanceiras de Liquidez,Títulos e Valores Mobiliários,Relações Interfinanceiras,Relações Interdependências,Operações de Crédito,Operações de Arrendamento Mercantil,Outros Créditos,Outros Valores e Bens,Ativo Realizável a Longo Prazo,Aplicações Interfinanceiras de Liquidez.1,Títulos e Valores Mobiliários.1,Relações Interfinanceiras.1,Relações Interdependências.1,Operações de Crédito.1,Operações de Arrendamento Mercantil.1,Outros Créditos.1,Outros Valores e Bens.1,Ativo Permanente,Investimentos,Imobilizado de Uso,Imobilizado de Arrendamento,Intangível,Diferido,Passivo Total,Passivo Circulante,Depósitos,Captações no Mercado Aberto,Recursos de Aceites e Emissão de Títulos,Relações Interfinanceiras.2,Relações Interdependências.2,Obrigações por Empréstimos,Obrigações por Repasse do País,Obrigações por Repasse do Exterior,Outras Obrigações,Passivo Exigível a Longo Prazo,Depósitos.1,Captações no Mercado Aberto.1,Recursos de Aceites e Emissão de Títulos.1,Relações Interfinanceiras.3,Relações Interdependências.3,Obrigações por Empréstimos.1,Obrigações por Repasse do País.1,Obrigações por Repasse do Exterior.1,Outras Obrigações.1,Resultados de Exercícios Futuros,Part. de Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucro,Ajustes de Avaliação Patrimonial,Lucros/Prejuízos Acumulados
2002-12-31,124607000.0,0.19,0.0,-33000.0,0.0,,,0.21948,,0.18576,55880000.0,59000.0,2419000.0,36975000.0,,,0.21948,,0.0,0.0,-33000.0,-135000.0,124607000.0,,,,0.0,0.0,68727000.0,,,,,,,,3590000.0,0.0,0.0,,,,,,,,3590000.0,,,71146000.0,0.0,5113040.0,,0.0,,917000.0
2003-03-31,121780000.0,0.0,0.0,2000.0,0.0,,,0.21474,,0.0,50470000.0,55000.0,2417000.0,39558000.0,,,0.21474,,0.0,0.0,2000.0,-128000.0,121780000.0,,,,0.0,0.0,71310000.0,,,,,,,,3901000.0,0.0,0.0,,,,,,,,3901000.0,,,73727000.0,0.0,5113040.0,,0.0,,1320000.0
2003-06-30,134252000.0,0.0,0.0,4000.0,0.0,,,0.24791,,0.0,61703000.0,50000.0,2414000.0,38445000.0,,,0.24791,,0.0,0.0,4000.0,-112000.0,134252000.0,,,,0.0,0.0,72549000.0,,,,,,,,3575000.0,0.0,0.0,,,,,,,,3575000.0,,,74963000.0,0.0,5113040.0,,0.0,,597000.0
2003-09-30,124955000.0,0.0,0.0,-1000.0,0.0,,,0.22023,,0.0,49757000.0,46000.0,2415000.0,41094000.0,,,0.22023,,0.0,0.0,-1000.0,-110000.0,124955000.0,,,,0.0,0.0,75198000.0,,,,,,,,4035000.0,0.0,0.0,,,,,,,,4035000.0,,,77613000.0,0.0,5113040.0,,0.0,,1385000.0
2003-12-31,136004000.0,0.3246,0.0,12000.0,0.0,,,0.26138,,0.29154,59539000.0,43000.0,2317000.0,42361000.0,,,0.26138,,0.0,-90000.0,12000.0,-120000.0,136004000.0,,,,0.0,0.0,76465000.0,,,,,,,,3870000.0,0.0,0.0,,,,,,,,3870000.0,,,78782000.0,0.0,5113040.0,,0.0,,648000.0
2004-03-31,153100000.0,0.0,0.0,21000.0,0.0,,,0.24467,,0.0,73692000.0,40000.0,2296000.0,45304000.0,,,0.24467,,0.0,0.0,21000.0,-117000.0,153100000.0,,,,0.0,0.0,79408000.0,,,,,,,,4440000.0,0.0,0.0,,,,,,,,4440000.0,,,81704000.0,0.0,5113040.0,,0.0,,1518000.0
2004-06-30,171719000.0,0.19,0.0,16000.0,0.0,,,0.31816,,0.16621,90599000.0,37000.0,2280000.0,42312000.0,,,0.31816,,0.0,-67000.0,16000.0,-116000.0,171719000.0,,,,0.0,0.0,81120000.0,,,,,,,,4734000.0,0.0,0.0,,,,,,,,4734000.0,,,83400000.0,0.0,5113040.0,,0.0,,856000.0
2004-09-30,177946000.0,0.0,0.0,8000.0,0.0,,,0.21241,,0.0,94271000.0,33000.0,2272000.0,44867000.0,,,0.21241,,0.0,0.0,8000.0,-116000.0,177946000.0,,,,0.0,0.0,83675000.0,,,,,,,,3880000.0,0.0,0.0,,,,,,,,3880000.0,,,85947000.0,0.0,5113040.0,,0.0,,1333000.0
2004-12-31,185093000.0,0.21,0.0,29000.0,0.0,,,0.40221,,0.18772,98916000.0,31000.0,2244000.0,47369000.0,,,0.40221,,0.0,0.0,29000.0,-166000.0,185093000.0,,,,0.0,0.0,86177000.0,,,,,,,,6046000.0,0.0,0.0,,,,,,,,6046000.0,,,88421000.0,0.0,5113040.0,,0.0,,1237000.0
2005-03-31,162908000.0,0.0,0.0,-2000.0,0.0,,,0.27285,,0.0,73449000.0,28000.0,2246000.0,50651000.0,,,0.27285,,0.0,0.0,-2000.0,-99000.0,162908000.0,,,,0.0,0.0,89459000.0,,,,,,,,4460000.0,0.0,0.0,,,,,,,,4460000.0,,,91705000.0,0.0,5113040.0,,0.0,,1176000.0
2005-06-30,160567000.0,0.192,0.0,44000.0,0.0,,,0.29247,,0.17012,69728000.0,26000.0,2137000.0,47327000.0,,,0.29247,,0.0,0.0,44000.0,-343000.0,160567000.0,,,,0.0,0.0,90839000.0,,,,,,,,4139000.0,0.0,0.0,,,,,,,,4139000.0,,,92976000.0,0.0,5113040.0,,0.0,,665000.0
2005-09-30,158292000.0,0.0,0.0,-2000.0,0.0,,,0.3155,,0.0,63658000.0,23000.0,2139000.0,51122000.0,,,0.3155,,0.0,0.0,-2000.0,-576000.0,158292000.0,,,,0.0,0.0,94634000.0,,,,,,,,5695000.0,0.0,0.0,,,,,,,,5695000.0,,,96773000.0,0.0,5113040.0,,0.0,,1898000.0
2005-12-31,163419000.0,0.0,0.0,-51000.0,0.0,,,0.28732,,0.0,67666000.0,21000.0,2190000.0,52241000.0,,,0.28732,,0.0,-21000.0,-51000.0,-718000.0,163419000.0,,,,0.0,0.0,95753000.0,,,,,,,,4154000.0,0.0,0.0,,,,,,,,4154000.0,,,97943000.0,0.0,5113040.0,,0.0,,626000.0
2006-03-31,171236000.0,0.0,0.0,-3000.0,0.0,,,0.25631,,0.0,72400000.0,19000.0,2190000.0,55324000.0,,,0.25631,,0.0,0.0,-3000.0,-615000.0,171236000.0,,,,0.0,0.0,98836000.0,,,,,,,,4632000.0,0.0,0.0,,,,,,,,4632000.0,,,101026000.0,0.0,5113040.0,,0.0,,1546000.0
2006-06-30,181161000.0,0.0166,0.0,-5000.0,0.0,,,0.21166,,0.01467,81625000.0,18000.0,2193000.0,50144000.0,,,0.21166,,0.0,-45000.0,-5000.0,-615000.0,181161000.0,,,,0.0,0.0,99536000.0,,,,,,,,2891000.0,0.0,0.0,,,,,,,,2891000.0,,,101729000.0,0.0,5113040.0,,0.0,,295000.0
2006-09-30,191461000.0,0.0,0.0,-7000.0,0.0,,,0.20659,,0.0,89440000.0,17000.0,2166000.0,52629000.0,,,0.20659,,0.0,0.0,-7000.0,-753000.0,191461000.0,,,,0.0,0.0,102021000.0,,,,,,,,3791000.0,0.0,0.0,,,,,,,,3791000.0,,,104187000.0,0.0,5113040.0,,0.0,,1299000.0
