,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2001-12-31,353100.0,155059.0,70958.0,0.0,33659.0,32928.0,,12132.0,,0.0,0.0,,,,,,,,,-855.0,,164249.0,0.0,,353100.0,126753.0,6706.0,34814.0,0.0,0.0,,,4459.0,,,51270.0,51270.0,,0.0,,,13193.0,,,,146876.0,54824.0,,2531.0,,12692.0,0.0,,,,,,58362.0,0.0,0.0,0.0,0.0,-246.0,164249.0,0.0,,0.0,-855.0,0.0,,,,-609.0,0.0,0.0,,,0.0,-609.0
2002-03-31,349004.0,154091.0,56876.0,0.0,45039.0,34171.0,,10357.0,,0.0,0.0,,,,,,,,,-943.0,,163107.0,0.0,,349004.0,129849.0,17519.0,45232.0,0.0,0.0,,,4399.0,,,52231.0,52231.0,,0.0,,,4129.0,,,,145933.0,54252.0,,4628.0,,12321.0,0.0,,,,,,64674.0,0.0,0.0,0.0,738.0,0.0,163107.0,0.0,,0.0,-943.0,0.0,,,,-943.0,0.0,0.0,,,0.0,-943.0
2002-06-30,364416.0,171221.0,61210.0,0.0,51488.0,38693.0,,11530.0,,0.0,0.0,,,,,,,,,-1516.0,,162295.0,0.0,,364416.0,153077.0,19772.0,48701.0,0.0,0.0,,,5249.0,,,48071.0,48071.0,,0.0,,,4168.0,,,,144417.0,53760.0,,2688.0,,11297.0,0.0,,,,,,77248.0,0.0,0.0,0.0,604.0,0.0,162295.0,0.0,,0.0,-1516.0,0.0,,,,-1516.0,0.0,0.0,,,0.0,-1516.0
2002-09-30,376297.0,183381.0,69969.0,0.0,50535.0,39067.0,,13986.0,,0.0,0.0,,,,,,,,,-6253.0,,161940.0,0.0,,376297.0,171836.0,22368.0,52665.0,0.0,0.0,,,7064.0,,,48810.0,48810.0,,0.0,,,4260.0,,,,138164.0,53262.0,,1477.0,,5542.0,0.0,,,,,,81912.0,0.0,0.0,0.0,173.0,0.0,161940.0,0.0,,0.0,-6253.0,0.0,,,,-6253.0,0.0,0.0,,,0.0,-6253.0
2002-12-31,366233.0,176427.0,58207.0,0.0,48914.0,42888.0,,18018.0,,0.0,0.0,,,,,,,,,4392.0,,161480.0,0.0,,366233.0,152103.0,10070.0,60896.0,0.0,0.0,,,6277.0,,,40756.0,40756.0,,0.0,,,18784.0,,,,142406.0,52789.0,,668.0,,10257.0,0.0,,,,,,87658.0,0.0,0.0,0.0,0.0,150.0,161480.0,0.0,,0.0,4392.0,0.0,,,,4242.0,0.0,0.0,,,0.0,4242.0
2003-03-31,380059.0,192373.0,50346.0,0.0,64779.0,49282.0,,19673.0,,0.0,0.0,,,,,,,,,2672.0,,161672.0,0.0,,380059.0,156790.0,12670.0,69332.0,0.0,0.0,,,5874.0,,,47863.0,47863.0,,0.0,,,19211.0,,,,144239.0,51952.0,,668.0,,12927.0,0.0,,,,,,99724.0,0.0,0.0,0.0,505.0,839.0,161672.0,0.0,,0.0,2672.0,0.0,,,,1833.0,0.0,0.0,,,0.0,1833.0
2003-06-30,368984.0,184172.0,33535.0,0.0,62650.0,57210.0,,21549.0,,0.0,0.0,,,,,,,,,6291.0,,160787.0,0.0,,368984.0,139966.0,15144.0,57585.0,0.0,0.0,,,4908.0,,,48382.0,48382.0,,0.0,,,20533.0,,,,148488.0,50950.0,,591.0,,18178.0,0.0,,,,,,110529.0,0.0,0.0,0.0,504.0,2042.0,160787.0,0.0,,0.0,6291.0,0.0,,,,4249.0,0.0,0.0,,,0.0,4249.0
2003-09-30,356567.0,172801.0,38091.0,0.0,49016.0,56593.0,,20932.0,,0.0,0.0,,,,,,,,,2192.0,,160081.0,0.0,,356567.0,129921.0,16766.0,44574.0,0.0,0.0,,,4508.0,,,44979.0,44979.0,,0.0,,,4318.0,,,,150089.0,50015.0,,16476.0,,20714.0,0.0,,,,,,94721.0,0.0,0.0,0.0,386.0,591.0,160081.0,0.0,,0.0,2192.0,0.0,,,,1601.0,0.0,0.0,,,0.0,1601.0
2003-12-31,381852.0,174010.0,53254.0,0.0,38873.0,50698.0,,22569.0,,0.0,0.0,,,,,,,,,158.0,,175873.0,0.0,,381852.0,119209.0,10288.0,35944.0,0.0,0.0,,,3779.0,,,54086.0,54086.0,,0.0,,,20952.0,,,,156604.0,59071.0,,12770.0,,18173.0,0.0,,,,,,90612.0,0.0,0.0,0.0,0.0,-70.0,175873.0,0.0,,0.0,158.0,0.0,,,,228.0,0.0,0.0,,,0.0,228.0
2004-03-31,412684.0,207846.0,59404.0,0.0,45571.0,65423.0,,29706.0,,0.0,0.0,,,,,,,,,2921.0,,175208.0,0.0,,412684.0,135836.0,8988.0,56859.0,0.0,0.0,,,3231.0,,,64625.0,64625.0,,0.0,,,23078.0,,,,158257.0,58641.0,,12868.0,,20256.0,0.0,,,,,,100000.0,0.0,0.0,3331.0,0.0,1268.0,175208.0,0.0,,0.0,2921.0,0.0,,,,1653.0,0.0,0.0,,,0.0,1653.0
2004-06-30,435294.0,223210.0,75600.0,0.0,44665.0,71391.0,,25189.0,,0.0,0.0,,,,,,,,,6672.0,,171443.0,0.0,,435294.0,137594.0,11402.0,56675.0,0.0,0.0,,,15780.0,,,80821.0,80821.0,,0.0,,,24457.0,,,,162179.0,54841.0,,12696.0,,27978.0,0.0,,,,,,120890.0,0.0,0.0,2813.0,0.0,2751.0,171443.0,0.0,,0.0,6672.0,0.0,,,,3921.0,0.0,0.0,,,0.0,3921.0
2004-09-30,461692.0,251561.0,74674.0,0.0,52641.0,86111.0,,28897.0,,0.0,0.0,,,,,,,,,13354.0,,171529.0,0.0,,461692.0,159945.0,14850.0,74975.0,0.0,0.0,,,14606.0,,,72986.0,72986.0,,0.0,,,29566.0,,,,169344.0,54198.0,,12635.0,,35786.0,0.0,,,,,,144568.0,0.0,0.0,3631.0,0.0,6189.0,171529.0,0.0,,0.0,13354.0,0.0,,,,7165.0,0.0,0.0,,,0.0,7165.0
2004-12-31,459080.0,247348.0,63170.0,0.0,58292.0,85446.0,,24962.0,,0.0,0.0,,,,,,,,,3552.0,,174411.0,0.0,,459080.0,142969.0,15322.0,52154.0,0.0,0.0,,,11669.0,,,79762.0,79762.0,,0.0,,,29735.0,,,,170906.0,57977.0,,18818.0,,33569.0,0.0,,,,,,140447.0,0.0,0.0,8070.0,0.0,-2846.0,174411.0,0.0,,0.0,3552.0,0.0,,,,6398.0,0.0,0.0,,,0.0,6398.0
2005-03-31,506237.0,293644.0,68360.0,0.0,71652.0,101922.0,,32795.0,,0.0,0.0,,,,,,,,,3435.0,,178659.0,0.0,,506237.0,153136.0,13053.0,75994.0,0.0,0.0,,,8304.0,,,114514.0,114514.0,,0.0,,,27554.0,,,,172917.0,57358.0,,21544.0,,36199.0,0.0,,,,,,123307.0,0.0,0.0,3472.0,0.0,1424.0,178659.0,0.0,,0.0,3435.0,0.0,,,,2011.0,0.0,0.0,,,0.0,2011.0
2005-06-30,487615.0,274620.0,56227.0,0.0,85171.0,91663.0,,28904.0,,0.0,0.0,,,,,,,,,19613.0,,184264.0,0.0,,487615.0,125544.0,12508.0,61208.0,0.0,0.0,,,5495.0,,,108673.0,108673.0,,0.0,,,29842.0,,,,185872.0,56725.0,,21439.0,,49787.0,0.0,,,,,,145597.0,0.0,0.0,3457.0,0.0,6658.0,184264.0,0.0,,0.0,19613.0,0.0,,,,12955.0,0.0,0.0,,,0.0,12955.0
2005-09-30,468691.0,251679.0,47590.0,0.0,71424.0,83993.0,,33024.0,,0.0,0.0,,,,,,,,,4584.0,,189478.0,0.0,,468691.0,127011.0,21302.0,51847.0,0.0,0.0,,,5197.0,,,86350.0,86350.0,,0.0,,,30113.0,,,,187949.0,56092.0,,21349.0,,52497.0,0.0,,,,,,135466.0,0.0,0.0,3709.0,0.0,2508.0,189478.0,0.0,,0.0,4584.0,0.0,,,,2076.0,0.0,0.0,,,0.0,2076.0
2005-12-31,467345.0,242646.0,57389.0,0.0,69023.0,75455.0,,25146.0,,0.0,0.0,,,,,,,,,-11455.0,,192368.0,0.0,,467345.0,99547.0,13535.0,28254.0,0.0,0.0,,,5104.0,,,127056.0,127056.0,,0.0,,,24890.0,,,,180017.0,55449.0,,20241.0,,45208.0,0.0,,,,,,116436.0,0.0,0.0,3639.0,0.0,-6479.0,192368.0,0.0,,0.0,-11455.0,0.0,,,,-4976.0,0.0,0.0,,,0.0,-4976.0
2006-03-31,570798.0,316449.0,100843.0,0.0,83168.0,85041.0,,30325.0,,0.0,0.0,,,,,,,,,4938.0,,180622.0,0.0,,570798.0,158035.0,15479.0,74020.0,0.0,0.0,,,4604.0,,,170280.0,170280.0,,0.0,,,25351.0,,,,184265.0,45338.0,,19880.0,,59567.0,0.0,,,,,,127258.0,0.0,0.0,3884.0,0.0,3005.0,180622.0,0.0,,0.0,4938.0,0.0,,,,1933.0,0.0,0.0,,,0.0,1933.0
2006-06-30,627971.0,369612.0,134941.0,0.0,108428.0,78690.0,,29142.0,,0.0,0.0,,,,,,,,,1535.0,,182255.0,0.0,,627971.0,147519.0,15267.0,74406.0,0.0,0.0,,,4957.0,,,237083.0,237083.0,,0.0,,,25714.0,,,,185472.0,44806.0,,19460.0,,61306.0,0.0,,,,,,146983.0,0.0,0.0,4166.0,0.0,329.0,182255.0,0.0,,0.0,1535.0,0.0,,,,1206.0,0.0,0.0,,,0.0,1206.0
2006-09-30,619360.0,406076.0,176466.0,0.0,102055.0,75631.0,,29400.0,,0.0,0.0,,,,,,,,,-576.0,,182490.0,0.0,,619360.0,185017.0,18765.0,64489.0,0.0,0.0,,,4143.0,,,194156.0,194156.0,,0.0,,,23540.0,,,,185168.0,44289.0,,19022.0,,61519.0,0.0,,,,,,151867.0,0.0,0.0,4580.0,0.0,-272.0,182490.0,0.0,,0.0,-576.0,0.0,,,,-304.0,0.0,0.0,,,0.0,-304.0
2006-12-31,638478.0,431861.0,210085.0,0.0,103183.0,62490.0,,27452.0,,0.0,0.0,,,,,,,,,2678.0,,176944.0,0.0,,638478.0,179956.0,14455.0,65226.0,0.0,0.0,,,4654.0,,,219524.0,219524.0,,0.0,,,21889.0,,,,186397.0,43831.0,,18512.0,,63206.0,0.0,,,,,,146605.0,0.0,0.0,4403.0,0.0,69.0,176944.0,0.0,,0.0,2678.0,0.0,,,,2609.0,0.0,0.0,,,0.0,2609.0
2007-03-31,639310.0,432576.0,206023.0,0.0,94764.0,69681.0,,29016.0,,0.0,0.0,,,,,,,,,7954.0,,179413.0,0.0,,639310.0,196506.0,15672.0,73442.0,0.0,0.0,,,4654.0,,,199773.0,199773.0,,0.0,,,22098.0,,,,190973.0,43429.0,,17968.0,,68184.0,0.0,,,,,,139847.0,0.0,0.0,4185.0,0.0,3379.0,179413.0,0.0,,0.0,7954.0,0.0,,,,4575.0,0.0,0.0,,,0.0,4575.0
2007-06-30,658803.0,450418.0,219050.0,0.0,106717.0,64408.0,,29934.0,,0.0,0.0,,,,,,,,,19306.0,,182734.0,0.0,,658803.0,197166.0,23756.0,53169.0,0.0,0.0,,,4654.0,,,204582.0,204582.0,,0.0,,,22229.0,,,,200658.0,43026.0,,17407.0,,78272.0,0.0,,,,,,161986.0,0.0,0.0,4313.0,0.0,6687.0,182734.0,0.0,,0.0,19306.0,0.0,,,,12619.0,0.0,0.0,,,0.0,12619.0
