,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2010-12-31,3927780.0960000004,2895585.0239999997,328864.99199999997,46732.0,1524670.976,849798.9759999999,0.0,46524.0,0.0,98994.0,298735.00800000003,31951.0,0.0,18714.0,0.0,0.0,168224.992,0.0,0.0,79845.0,0.0,358840.992,374619.008,0.0,3927780.0960000004,2685907.9680000003,116525.0,1140723.9679999999,39438.0,108758.0,13231.0,0.0,1267232.0,0.0,0.0,1194435.9679999999,666115.0079999999,0.0,332555.00800000003,13746.0,0.0,182020.0,0.0,0.0,0.0,47436.0,43000.0,0.0,0.0,4436.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,3681969.92,2673820.9280000003,125618.0,145338.0,1522201.9840000002,741126.016,0.0,31233.0,0.0,108304.0,278262.016,21663.0,0.0,14146.0,0.0,0.0,170842.0,0.0,0.0,71611.0,0.0,359863.008,370024.0,0.0,3681969.92,2535239.9359999998,96372.0,756723.0079999999,26171.0,350116.992,15295.0,0.0,1290562.048,0.0,0.0,1086999.04,595388.032,0.0,296143.00800000003,12982.0,0.0,182486.0,0.0,0.0,0.0,59731.0,43000.0,0.0,0.0,4436.0,12295.0,0.0,0.0,0.0,0.0
2011-06-30,4402022.912,3320698.88,48311.0,655520.0,1630621.0559999999,876603.0079999999,0.0,16755.0,0.0,92889.0,333832.99199999997,24402.0,0.0,9301.0,0.0,0.0,189654.0,0.0,0.0,110476.0,0.0,372569.984,374920.992,0.0,4402022.912,2742880.0,113891.0,923705.984,32494.0,332704.99199999997,12273.0,0.0,1327810.9440000001,0.0,0.0,1031324.9920000001,516179.008,0.0,313273.984,12303.0,0.0,189568.992,0.0,0.0,0.0,627817.9839999999,606505.024,0.0,0.0,4436.0,16877.0,0.0,0.0,0.0,0.0
2011-09-30,4439437.824,3235354.1119999997,77968.0,259474.0,1758286.976,1001019.0079999999,0.0,26140.0,0.0,112466.0,348952.992,35364.0,0.0,6259.0,0.0,0.0,183676.992,0.0,0.0,123653.0,0.0,406579.008,448552.0,0.0,4439437.824,2718266.88,133092.0,988137.0240000001,36197.0,140795.008,20969.0,0.0,1399076.9919999999,0.0,0.0,1081671.936,617148.9920000001,0.0,287176.99199999997,11538.0,0.0,165808.0,0.0,0.0,0.0,639499.0079999999,606505.024,0.0,0.0,4436.0,28558.0,0.0,0.0,0.0,0.0
2011-12-31,4877353.984,3567127.04,173116.992,74957.0,1927827.968,1264657.024,0.0,24608.0,0.0,101960.0,371380.992,43267.0,0.0,9407.0,0.0,0.0,178907.008,0.0,0.0,139800.0,0.0,489937.984,448908.0,0.0,4877353.984,3167134.9760000003,121596.0,1267773.952,49324.0,129671.0,25492.0,1662.0,1571615.9519999998,0.0,0.0,1089273.9840000002,581664.0,0.0,323440.99199999997,10765.0,0.0,173404.0,0.0,0.0,0.0,620945.024,606505.024,0.0,0.0,14440.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,4854808.063999999,3504613.8880000003,176122.0,162700.992,1884416.0,1134219.008,0.0,27826.0,0.0,119330.0,389318.016,37433.0,0.0,3616.0,0.0,0.0,191552.0,0.0,0.0,156716.992,0.0,513743.008,447132.992,0.0,4854808.063999999,2891720.96,112561.0,1040998.016,34128.0,122375.0,13565.0,1662.0,1566431.9519999998,0.0,0.0,1382082.9440000001,863233.0240000001,0.0,30668.0,11932.0,0.0,188088.992,0.0,288160.99199999997,0.0,581004.032,606505.024,705.0,0.0,14440.0,-40715.0,0.0,0.0,69.0,0.0
2012-06-30,5118172.16,3742740.992,140300.0,255055.008,1966529.024,1131270.0159999998,0.0,26499.0,0.0,223088.0,403043.008,26037.0,0.0,2610.0,0.0,0.0,206868.0,0.0,0.0,167528.0,0.0,529156.9920000001,443231.008,0.0,5118172.16,3071645.952,128313.0,1018443.0079999999,31696.0,225902.0,32362.0,0.0,1634930.0480000002,0.0,0.0,1443992.96,901004.9920000001,0.0,29481.0,8079.0,0.0,185748.992,0.0,319679.00800000003,0.0,602532.9920000001,606505.024,1410.0,0.0,13331.0,-18803.0,0.0,0.0,90.0,0.0
2012-09-30,5229006.848,3827405.0560000003,99026.0,274331.00800000003,1963587.968,1306919.04,0.0,42417.0,0.0,141124.0,408543.008,27353.0,0.0,2265.0,0.0,0.0,205076.0,0.0,0.0,173848.992,0.0,552025.9839999999,441032.992,0.0,5229006.848,3213056.0,139984.992,1175623.04,34489.0,222983.008,13799.0,0.0,1626177.024,0.0,0.0,1410387.968,892566.016,0.0,25486.0,6594.0,0.0,185460.0,0.0,300281.984,0.0,605563.0079999999,606505.024,2115.0,0.0,13331.0,-16455.0,0.0,0.0,67.0,0.0
2012-12-31,5664755.2,4069969.92,423128.0,175227.008,2104478.976,1068761.9840000002,0.0,214771.008,0.0,83603.0,578862.0160000001,59255.0,0.0,1771.0,0.0,0.0,201730.0,0.0,0.0,316105.984,0.0,575185.024,440737.984,0.0,5664755.2,3607013.8880000003,139536.992,1328155.008,80174.0,317198.016,25989.0,0.0,1715960.96,0.0,0.0,1441748.9919999999,918766.016,0.0,323780.99199999997,0.0,0.0,199202.0,0.0,0.0,0.0,615992.0,606505.024,2820.0,0.0,6586.0,0.0,0.0,0.0,81.0,0.0
2013-03-31,4109117.952,2390970.1119999997,152276.0,476231.008,448828.992,974924.032,0.0,190402.0,0.0,148308.0,481776.0,0.0,0.0,3365.0,0.0,0.0,156480.0,0.0,0.0,321931.00800000003,224620.992,575513.9839999999,436236.992,0.0,4109117.952,1910428.032,115821.0,1169848.064,20406.0,404340.0,41742.0,0.0,158271.008,0.0,0.0,1581799.04,1016201.0240000001,0.0,369364.0,0.0,0.0,196234.0,0.0,0.0,0.0,616891.0079999999,606505.024,3525.0,0.0,6586.0,802.0,0.0,0.0,-527.0,0.0
