,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2010-03-31,491068.0,109380.0,1796.0,0.0,84600.0,2049.0,0.0,0.0,0.0,20935.0,20082.0,0.0,0.0,20082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322302.016,39304.0,0.0,491068.0,129842.0,0.0,23313.0,6011.0,58992.0,0.0,15528.0,25998.0,0.0,0.0,169171.008,147198.0,0.0,13191.0,0.0,0.0,8782.0,0.0,0.0,0.0,192055.008,97527.0,5815.0,0.0,70031.0,18682.0,0.0,0.0,0.0,0.0,135360.992,-19671.0,115690.0,-49621.0,66069.0,0.0,-32055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5939.0,469.0,-6408.0,28075.0,-8888.0,-505.0,0.0,0.0,0.0,18682.0
2010-06-30,878054.016,424536.992,302027.00800000003,0.0,96730.0,2440.0,0.0,0.0,0.0,23340.0,19474.0,0.0,0.0,19474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394716.0,39327.0,0.0,878054.016,106171.0,0.0,21013.0,5804.0,47399.0,0.0,0.0,31955.0,0.0,0.0,142555.008,120246.0,0.0,12745.0,0.0,0.0,9564.0,0.0,0.0,0.0,629328.0,523452.992,-8415.0,0.0,70031.0,44767.0,-508.0,0.0,0.0,0.0,151523.008,-20240.0,131283.0,-58208.0,73075.0,0.0,-33194.0,0.0,0.0,0.0,0.0,-259.0,6295.0,-6554.0,0.0,0.0,0.0,39622.0,-12870.0,-667.0,0.0,0.0,0.0,26085.0
2010-09-30,898286.016,339932.992,196930.0,0.0,107090.0,3944.0,0.0,0.0,0.0,31969.0,22941.0,0.0,0.0,22941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495791.008,39621.0,0.0,898286.016,127302.0,0.0,28606.0,7530.0,45970.0,0.0,0.0,45196.0,0.0,0.0,116546.0,96526.0,0.0,10943.0,0.0,0.0,9077.0,0.0,0.0,0.0,654438.0160000001,523452.992,-8089.0,0.0,70031.0,73222.0,-4179.0,0.0,0.0,0.0,169360.992,-20480.0,148880.992,-70489.0,78392.0,0.0,-35455.0,0.0,0.0,0.0,0.0,-90.0,7090.0,-7180.0,0.0,0.0,0.0,42847.0,-13652.0,-740.0,0.0,0.0,0.0,28455.0
2010-12-31,924092.9920000001,307915.00800000003,6192.0,136146.0,122136.0,5630.0,0.0,26157.0,312.0,11342.0,23109.0,0.0,0.0,3781.0,0.0,0.0,8057.0,0.0,0.0,11271.0,0.0,551174.0160000001,41895.0,0.0,924092.9920000001,160790.0,21264.0,32743.0,5074.0,46698.0,0.0,0.0,55011.0,0.0,0.0,108151.0,85925.0,0.0,11087.0,0.0,0.0,11139.0,0.0,0.0,0.0,655152.0,525123.0079999999,-8170.0,0.0,145202.0,0.0,0.0,0.0,-7003.0,0.0,0.0,0.0,154030.016,-76480.0,77550.016,0.0,-46919.008,0.0,0.0,0.0,0.0,-5284.0,5288.0,-10572.0,0.0,0.0,0.0,31286.0,-1155.0,-70.0,0.0,0.0,0.0,30061.0
2011-03-31,952465.984,176452.0,4300.0,11041.0,122643.0,6742.0,0.0,19042.0,0.0,12684.0,23057.0,0.0,0.0,3438.0,0.0,0.0,8357.0,0.0,0.0,11262.0,90000.0,621174.0160000001,41783.0,0.0,952465.984,174968.992,26887.0,24314.0,7633.0,78229.0,0.0,0.0,37906.0,0.0,0.0,101296.0,78738.0,0.0,11231.0,0.0,0.0,11327.0,0.0,0.0,0.0,676201.0240000001,525123.0079999999,-7729.0,0.0,144822.0,22578.0,0.0,0.0,-8593.0,0.0,0.0,0.0,144990.0,-71320.0,73670.0,0.0,-36846.0,0.0,0.0,0.0,0.0,-3057.0,2061.0,-5118.0,0.0,0.0,0.0,33767.0,0.0,0.0,0.0,0.0,0.0,22198.0
2011-06-30,1211346.9440000001,352944.0,179039.008,0.0,127537.0,10075.0,0.0,22180.0,0.0,14113.0,30053.0,0.0,0.0,3126.0,0.0,0.0,16468.0,0.0,0.0,10459.0,87965.0,698366.016,42019.0,0.0,1211346.9440000001,132999.0,28698.0,32325.0,7631.0,47008.0,0.0,0.0,17337.0,0.0,0.0,380851.008,349755.008,0.0,11428.0,7953.0,0.0,11715.0,0.0,0.0,0.0,697497.0240000001,525123.0079999999,-6899.0,0.0,144442.0,45515.0,0.0,0.0,-10684.0,0.0,0.0,0.0,163995.008,-81203.0,82792.0,0.0,-42045.0,0.0,0.0,0.0,0.0,-6951.0,5363.0,-12314.0,0.0,0.0,0.0,33796.0,0.0,0.0,0.0,0.0,0.0,22557.0
2011-09-30,1228115.9679999999,245448.0,72241.0,0.0,126549.0,11838.0,0.0,21169.0,0.0,13651.0,61423.0,0.0,0.0,3173.0,0.0,0.0,21968.0,0.0,0.0,36282.0,87965.0,788600.0,44680.0,0.0,1228115.9679999999,146502.0,33311.0,12138.0,10564.0,56824.0,0.0,0.0,33665.0,0.0,0.0,378556.992,345452.992,0.0,10996.0,9430.0,0.0,12678.0,0.0,0.0,0.0,703057.0240000001,526796.9920000001,-6502.0,0.0,144062.0,41772.0,0.0,0.0,-3072.0,0.0,0.0,0.0,175059.008,-92263.0,82796.0,0.0,-52071.0,0.0,0.0,0.0,0.0,-11965.0,4619.0,-16584.0,0.0,0.0,0.0,18760.0,-3563.0,2680.0,0.0,0.0,0.0,17877.0
2011-12-31,1288603.008,224868.992,35179.0,0.0,139142.0,11191.0,0.0,22051.0,0.0,17306.0,57968.0,0.0,0.0,2608.0,0.0,0.0,16117.0,0.0,0.0,39243.0,87392.0,872886.016,45488.0,0.0,1288603.008,177736.992,24967.0,35898.0,11214.0,71408.0,0.0,0.0,34250.0,0.0,0.0,374726.016,339537.984,0.0,11125.0,11229.0,0.0,12834.0,0.0,0.0,0.0,736140.032,527587.0079999999,-5581.0,0.0,212032.0,0.0,0.0,0.0,2102.0,0.0,0.0,0.0,193547.968,-95636.016,97911.984,0.0,-44240.0,0.0,0.0,0.0,0.0,-9868.0,2671.0,-12539.0,0.0,0.0,0.0,43804.0,3563.0,-2680.0,0.0,0.0,0.0,29545.0
2012-03-31,1310172.0320000001,216272.992,30261.0,0.0,140118.0,15054.0,0.0,22792.0,0.0,8048.0,62151.0,0.0,0.0,2416.0,0.0,0.0,17820.0,0.0,0.0,41915.0,87392.0,897176.0,47180.0,0.0,1310172.0320000001,168247.008,26277.0,19791.0,13510.0,77901.0,0.0,0.0,30768.0,0.0,0.0,373721.984,336779.008,0.0,11245.0,10989.0,0.0,14709.0,0.0,0.0,0.0,768203.0079999999,527990.0160000001,-4660.0,0.0,211652.0,33045.0,176.0,0.0,0.0,0.0,0.0,0.0,199140.0,-87380.0,111760.0,0.0,-50194.0,0.0,0.0,0.0,0.0,-11255.0,1364.0,-12619.0,0.0,0.0,0.0,50311.0,0.0,0.0,0.0,0.0,0.0,32665.0
2012-06-30,1372098.0480000002,241228.0,29262.0,0.0,156478.0,14979.0,0.0,27547.0,0.0,12962.0,51359.0,0.0,0.0,2529.0,0.0,0.0,6965.0,0.0,0.0,41865.0,87392.0,943038.016,49081.0,0.0,1372098.0480000002,241712.992,32094.0,47289.0,11351.0,119474.0,0.0,0.0,31505.0,0.0,0.0,337276.992,310608.99199999997,0.0,10672.0,0.0,0.0,15996.0,0.0,0.0,0.0,793107.968,533608.0,-3762.0,0.0,211272.0,50889.0,1101.0,0.0,0.0,0.0,0.0,0.0,211098.0,-98197.0,112901.0,0.0,-54890.0,0.0,0.0,0.0,0.0,-10241.0,1046.0,-11287.0,0.0,0.0,0.0,47770.0,0.0,0.0,0.0,0.0,0.0,39244.0
