,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2006-06-30,425815.0,52430.0,0.0,,144.0,,,2823.0,,0.0,425815.0,,,,0.0,0.0,388.0,0.0,,0.0,6.0,,,,0.0,300200.0,0.0,7897.0,3622.0,198452.0,0.0,,89891.0,,409914.0,-3705.0,,,72050.0,,,1473.0,,,8158.0,-7719.0,24059.0,0.0,,,15901.0,0.0,,,
2006-09-30,1607142.0,1173160.0,0.0,,220.0,,,5690.0,,0.0,1607142.0,,,,0.0,0.0,754.0,0.0,,0.0,-1262.0,,,,0.0,342596.0,0.0,33710.0,6245.0,236895.0,0.0,,65408.0,,568030.0,-95684.0,,,91937.0,,,129696.0,,,4130.0,-103403.0,1043242.0,0.0,,,1039112.0,0.0,,,
2007-03-31,1791529.0,988955.0,0.0,,13872.0,,,26685.0,,0.0,1791529.0,,,,0.0,4190.0,25067.0,0.0,,0.0,0.0,,,,0.0,558921.0,0.0,73804.0,18702.0,405790.0,0.0,,60625.0,,739962.0,3786.0,,,54315.0,,,146799.0,,,1202.0,-90948.0,1052769.0,200.0,,,1051567.0,0.0,,,
2007-06-30,2011232.0,976074.0,0.0,,6854.0,,,20251.0,,0.0,2011232.0,,,,0.0,3542.0,24883.0,0.0,,0.0,0.0,,,,0.0,736586.0,0.0,96793.0,27666.0,547085.0,0.0,,65042.0,,955381.0,4285.0,,,49966.0,,,41259.0,,,51445.0,-86664.0,1107296.0,465.0,,,1055851.0,0.0,,,
2007-09-30,3006201.0,1784637.0,0.0,,35056.0,,,22748.0,,0.0,3006201.0,,,,0.0,968.0,58339.0,0.0,,0.0,831019.0,,,,0.0,970235.0,0.0,108810.0,40234.0,712531.0,0.0,,108660.0,,1124276.0,825784.0,,,84864.0,,,42052.0,,,50007.0,739121.0,1931932.0,406.0,,,1881925.0,0.0,,,
2007-12-31,4168691.0,1749701.0,0.0,,40510.0,,,36479.0,,0.0,4168691.0,,,,0.0,3736.0,95814.0,0.0,,0.0,-543.0,,,,0.0,1220761.0,0.0,129116.0,61420.0,701900.0,0.0,,328325.0,,2355019.0,-68252.0,,,702435.0,,,44360.0,,,43584.0,670868.0,1857256.0,611.0,,,1813672.0,0.0,,,
2008-03-31,4713257.0,1789429.0,0.0,,85332.0,,,48604.0,,0.0,4713257.0,,,,0.0,1191.0,160080.0,0.0,,242.0,0.0,,,,0.0,1793167.0,108460.0,100681.0,57333.0,1263553.0,0.0,,263140.0,,2715618.0,184215.0,,,776017.0,,,45898.0,,,131357.0,854835.0,2128996.0,85603.0,,,1997639.0,1269.0,,,
2008-06-30,1894634.0,809748.0,0.0,,61104.0,,,43606.0,,0.0,1894634.0,,,,0.0,9430.0,90078.0,0.0,,4042.0,0.0,,,,0.0,638921.0,5569.0,35745.0,27580.0,41050.0,0.0,,528433.0,,1116242.0,-181622.0,,,371182.0,,,12015.0,,,-5972.0,2593.0,772420.0,306.0,,,778392.0,1203.0,,,
2008-09-30,2177871.0,602954.0,0.0,,95901.0,,,64992.0,,0.0,2177871.0,,,,0.0,9739.0,240059.0,0.0,,3800.0,0.0,,,,3445.0,1023362.0,2723.0,47992.0,25780.0,51221.0,0.0,,894606.0,,1742872.0,-328581.0,,,378140.0,,,12661.0,,,-2780.0,-340800.0,432219.0,340.0,,,434999.0,1195.0,,,
2008-12-31,2328652.0,714811.0,0.0,,57858.0,,,83952.0,,0.0,2328652.0,,,,0.0,636.0,162217.0,0.0,,1435.0,0.0,,,,-12625.0,1285518.0,2132.0,78634.0,24857.0,78046.0,0.0,,1097492.0,,2393723.0,-492411.0,,,331276.0,,,1403.0,,,-36008.0,-845102.0,-101079.0,915.0,,,-65071.0,0.0,,,
