,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2009-09-30,842803.0079999999,120708.0,6704.0,0.0,75549.0,20168.0,0.0,0.0,0.0,18287.0,384528.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249624.992,134904.0,76026.0,236892.992,24647.0,0.0,842803.0079999999,189412.992,0.0,24189.0,42862.0,94208.0,0.0,0.0,28154.0,0.0,0.0,513679.008,34089.0,8866.0,464696.0,0.0,0.0,6028.0,0.0,0.0,0.0,139711.008,28794.0,0.0,110700.0,2337.0,-1307.0,-813.0,0.0,0.0,0.0
2009-12-31,852835.0079999999,161010.0,14566.0,0.0,77440.0,33543.0,0.0,0.0,0.0,35461.0,358324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246376.992,111947.0,14401.0,294267.00800000003,24833.0,0.0,852835.0079999999,246556.0,0.0,30258.0,56688.0,134894.0,0.0,0.0,24716.0,0.0,0.0,522936.992,36499.0,0.0,478576.992,0.0,0.0,7861.0,0.0,0.0,230.0,83112.0,29009.0,0.0,111389.0,1548.0,-57829.0,-1005.0,0.0,0.0,0.0
2010-03-31,825489.0240000001,113075.0,7598.0,0.0,65076.0,22644.0,0.0,0.0,0.0,17757.0,366721.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259256.992,107465.0,76885.0,244064.992,24742.0,0.0,825489.0240000001,202398.0,0.0,26565.0,50819.0,101967.0,0.0,0.0,23047.0,0.0,0.0,504836.992,32779.0,11272.0,456352.992,0.0,0.0,4433.0,0.0,0.0,0.0,118254.0,28794.0,0.0,110837.0,2337.0,-22791.0,-923.0,0.0,0.0,0.0
2010-06-30,842368.0,130199.0,4224.0,0.0,73942.0,24287.0,0.0,0.0,0.0,27746.0,367759.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264058.0,103701.0,76493.0,243152.992,24764.0,0.0,842368.0,218394.0,0.0,30228.0,54725.0,108015.0,0.0,0.0,25426.0,0.0,0.0,505668.992,31804.0,10669.0,458767.008,0.0,0.0,4429.0,0.0,0.0,0.0,118305.0,28794.0,0.0,110133.0,2337.0,-22059.0,-900.0,0.0,0.0,0.0
2010-09-30,858054.9759999999,145020.0,4637.0,0.0,91069.0,28730.0,0.0,0.0,0.0,20584.0,368467.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265454.0,103013.0,75889.0,243886.0,24793.0,0.0,858054.9759999999,236747.008,0.0,41363.0,57456.0,109369.0,0.0,0.0,28559.0,0.0,0.0,466960.992,31321.0,11956.0,419192.992,0.0,0.0,4491.0,0.0,0.0,0.0,154347.008,28794.0,0.0,109442.0,2337.0,15042.0,-1268.0,0.0,0.0,0.0
2010-12-31,879891.968,192096.992,2543.0,5065.0,112761.0,38863.0,0.0,1516.0,0.0,31349.0,385910.016,669.0,0.0,89877.0,0.0,0.0,19928.0,0.0,275436.0,0.0,59184.0,192747.008,49954.0,0.0,879891.968,306984.99199999997,75512.0,44470.0,0.0,168715.008,0.0,0.0,18288.0,0.0,0.0,480931.008,31728.0,0.0,383145.984,63054.0,0.0,3003.0,0.0,0.0,335.0,91641.0,29692.0,0.0,81975.0,27271.0,-45774.0,-1523.0,0.0,0.0,0.0
2011-03-31,888595.0079999999,197632.992,1805.0,4647.0,109407.0,44222.0,0.0,5110.0,0.0,32442.0,446267.008,732.0,0.0,6478.0,0.0,0.0,12743.0,0.0,286792.0,139522.0,661.0,194370.0,49664.0,0.0,888595.0079999999,317094.016,37580.0,44114.0,42779.0,177366.0,0.0,1729.0,13526.0,0.0,0.0,485204.0,27090.0,0.0,391696.992,62778.0,0.0,3639.0,0.0,0.0,340.0,85957.0,29693.0,0.0,81611.0,27100.0,-50951.0,-1496.0,0.0,0.0,0.0
2011-06-30,894750.016,198674.0,3115.0,4067.0,114321.0,44801.0,0.0,1740.0,0.0,30630.0,449366.016,747.0,0.0,6566.0,0.0,0.0,10488.0,0.0,291832.0,139732.992,661.0,196430.0,49619.0,0.0,894750.016,350217.984,49554.0,45156.0,57120.0,182891.008,1860.0,1449.0,12188.0,0.0,0.0,468087.008,24591.0,0.0,378524.992,61058.0,0.0,3913.0,0.0,0.0,331.0,76114.0,29693.0,0.0,81331.0,27100.0,-60310.0,-1700.0,0.0,0.0,0.0
2011-09-30,901161.0240000001,197372.0,2174.0,4885.0,113636.0,44944.0,0.0,1651.0,0.0,30082.0,456745.984,733.0,0.0,5967.0,0.0,0.0,11032.0,0.0,299422.016,139592.0,581.0,197034.0,49428.0,0.0,901161.0240000001,354488.0,58783.0,44383.0,60175.0,173084.992,4805.0,532.0,12725.0,0.0,0.0,477558.016,29140.0,249.0,383662.016,60899.0,0.0,3608.0,0.0,0.0,201.0,68914.0,29693.0,0.0,81023.0,27100.0,-67928.0,-974.0,0.0,0.0,0.0
2011-12-31,887486.9759999999,223434.0,1768.0,4688.0,107361.0,40274.0,0.0,1987.0,0.0,67356.0,404438.016,0.0,840.0,75900.0,0.0,0.0,18323.0,0.0,309375.00800000003,0.0,27440.0,196044.992,36130.0,0.0,887486.9759999999,367481.984,62656.0,46746.0,69256.0,173808.992,5056.0,0.0,9959.0,0.0,0.0,480331.008,25053.0,249.0,393192.992,58833.0,0.0,3003.0,0.0,0.0,238.0,39436.0,28794.0,0.0,68342.0,26934.0,-83653.0,-981.0,0.0,0.0,0.0
