,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2007-03-31,552710000.0,112057000.0,505000.0,106597000.0,0.0,0.0,,0.0,,0.0,1480000.0,,0.0,-2160000.0,0.0,23244000.0,,,-25404000.0,0.0,514048000.0,10941000.0,0.0,,552710000.0,668000.0,0.0,,250000.0,0.0,,73000.0,2000.0,,,0.0,0.0,551432000.0,0.0,0.0,,0.0,,,0.0,551432000.0,725000.0,,,304619000.0,0.0,0.0,,,
2007-06-30,586925000.0,118361000.0,82000.0,113553000.0,0.0,0.0,,0.0,,0.0,1500000.0,,0.0,-1349000.0,0.0,29243000.0,,,-30878000.0,0.0,542613000.0,10720000.0,0.0,,586925000.0,1041000.0,0.0,,75000.0,0.0,,60000.0,2000.0,,,0.0,0.0,580675000.0,0.0,0.0,,0.0,,,0.0,580675000.0,725000.0,,,333862000.0,0.0,0.0,,,
2007-09-30,589658000.0,127090000.0,40000.0,122010000.0,0.0,0.0,,0.0,,0.0,1524000.0,,0.0,-239000.0,0.0,27950000.0,,,-28647000.0,0.0,536276000.0,10483000.0,0.0,,589658000.0,938000.0,0.0,,152000.0,0.0,,65000.0,2000.0,,,0.0,0.0,587258000.0,0.0,0.0,,0.0,,,0.0,587258000.0,1269000.0,,,340445000.0,0.0,0.0,,,
2007-12-31,669034000.0,149065000.0,186000.0,118910000.0,0.0,0.0,,0.0,,0.0,3724000.0,,0.0,2633000.0,0.0,79443000.0,,,-77718000.0,0.0,592031000.0,10403000.0,0.0,,669034000.0,21215000.0,0.0,,500000.0,0.0,,20065000.0,25303000.0,,,0.0,0.0,646701000.0,0.0,0.0,,0.0,,,0.0,646701000.0,784000.0,,,399888000.0,0.0,0.0,,,
2008-03-31,668545000.0,130267000.0,251000.0,112640000.0,0.0,0.0,,0.0,,0.0,4625000.0,,0.0,0.0,0.0,15806000.0,,,-15951000.0,0.0,609553000.0,10209000.0,0.0,,668545000.0,1042000.0,0.0,,263000.0,0.0,,70000.0,12480000.0,,,0.0,0.0,663369000.0,0.0,0.0,,0.0,,,0.0,663369000.0,835000.0,,,416556000.0,0.0,0.0,,,
2008-06-30,679826000.0,124013000.0,172000.0,119262000.0,0.0,0.0,,0.0,,0.0,5325000.0,,0.0,-2130000.0,0.0,27652000.0,,,-30271000.0,0.0,626114000.0,10460000.0,0.0,,679826000.0,962000.0,0.0,,0.0,0.0,,75000.0,2000.0,,,0.0,0.0,678175000.0,0.0,0.0,,0.0,,,0.0,678175000.0,836000.0,,,431362000.0,0.0,0.0,,,
2008-09-30,644749000.0,114886000.0,60000.0,98046000.0,0.0,0.0,,0.0,,0.0,3413000.0,,0.0,-34000.0,0.0,-15128000.0,,,14604000.0,0.0,593784000.0,10876000.0,0.0,,644749000.0,1054000.0,0.0,,0.0,0.0,,80000.0,12162000.0,,,0.0,0.0,643083000.0,0.0,0.0,,0.0,,,0.0,643083000.0,3092000.0,,,396270000.0,0.0,0.0,,,
2008-12-31,610765000.0,123735000.0,320000.0,111284000.0,0.0,0.0,,0.0,,0.0,2092000.0,,0.0,2164000.0,0.0,-29653000.0,,,30862000.0,0.0,554361000.0,10537000.0,0.0,,610765000.0,19023000.0,0.0,,977000.0,0.0,,17081000.0,7693000.0,,,0.0,0.0,591132000.0,0.0,0.0,,0.0,,,0.0,591132000.0,3092000.0,,,244258000.0,0.0,61000.0,,,
2009-03-31,600538000.0,103122000.0,144000.0,91133000.0,0.0,0.0,,0.0,,0.0,2287000.0,,0.0,0.0,0.0,8003000.0,,,-7949000.0,54000.0,564497000.0,10239000.0,0.0,,600538000.0,1121000.0,557000.0,,140000.0,0.0,,85000.0,7689000.0,,,0.0,0.0,598807000.0,0.0,0.0,,0.0,,,0.0,598807000.0,3159000.0,,,252261000.0,0.0,-267000.0,,,
2009-06-30,626302000.0,108453000.0,30000.0,103973000.0,0.0,0.0,,0.0,,0.0,2652000.0,,0.0,0.0,0.0,41280000.0,,,-41280000.0,0.0,583170000.0,10061000.0,0.0,,626302000.0,1469000.0,664000.0,,136000.0,0.0,,49000.0,176000.0,,,0.0,0.0,624223000.0,0.0,0.0,,0.0,,,0.0,624223000.0,3105000.0,,,278582000.0,0.0,-1172000.0,,,
2009-09-30,640035000.0,100856000.0,18000.0,96082000.0,0.0,0.0,,0.0,,0.0,2747000.0,,0.0,0.0,0.0,24458000.0,,,-24478000.0,0.0,602430000.0,9797000.0,0.0,,640035000.0,1311000.0,768000.0,,144000.0,0.0,,54000.0,174000.0,,,0.0,0.0,638114000.0,0.0,0.0,,0.0,,,0.0,638114000.0,3237000.0,,,293173000.0,0.0,-1872000.0,,,
2009-09-30,640035.0079999999,100856.0,96100.0,0.0,4756.0,0.0,0.0,0.0,0.0,0.0,12469.0,0.0,0.0,8722.0,0.0,0.0,0.0,0.0,1002.0,2745.0,516912.992,9797.0,0.0,0.0,640035.0079999999,1311.0,0.0,0.0,144.0,0.0,0.0,54.0,345.0,768.0,0.0,610.0,0.0,30.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,638113.9839999999,350000.0,0.0,0.0,209071.008,80915.0,-1872.0,0.0,0.0,0.0
2009-12-31,637872.0,122568.0,102606.0,0.0,19962.0,0.0,0.0,0.0,0.0,0.0,25925.0,0.0,0.0,9932.0,0.0,0.0,0.0,0.0,208.0,15785.0,478851.008,10528.0,0.0,0.0,637872.0,14359.0,0.0,0.0,779.0,0.0,0.0,12545.0,334.0,701.0,0.0,4509.0,0.0,560.0,3949.0,0.0,0.0,0.0,0.0,0.0,58.0,618945.9839999999,350000.0,0.0,0.0,270720.99199999997,0.0,-1775.0,0.0,0.0,0.0
2009-12-31,633857000.0,121346000.0,173000.0,101478000.0,0.0,0.0,,0.0,,0.0,1714000.0,,0.0,0.0,0.0,-6773000.0,,,6773000.0,0.0,575767000.0,9600000.0,0.0,,633857000.0,14301000.0,0.0,,725000.0,0.0,,12545000.0,14938000.0,,,0.0,0.0,618946000.0,0.0,0.0,,0.0,,,0.0,618946000.0,3293000.0,,,273908000.0,0.0,-1775000.0,,,
2010-03-31,639865.024,108029.0,95328.0,0.0,12687.0,0.0,0.0,0.0,0.0,14.0,26646.0,0.0,0.0,10004.0,0.0,0.0,0.0,0.0,791.0,15851.0,494656.0,10394.0,140.0,0.0,639865.024,10429.0,0.0,97.0,310.0,0.0,0.0,9049.0,250.0,723.0,0.0,5384.0,0.0,1460.0,3924.0,0.0,0.0,0.0,0.0,0.0,58.0,623993.9839999999,350000.0,0.0,0.0,261720.992,14596.0,-2323.0,0.0,0.0,0.0
2010-03-31,639865000.0,108029000.0,472000.0,94856000.0,0.0,0.0,,0.0,,14000.0,890000.0,,0.0,2127000.0,97000.0,14139000.0,,,-12054000.0,0.0,490917000.0,10394000.0,140000.0,,639865000.0,10429000.0,0.0,,310000.0,0.0,,9049000.0,8150000.0,,,0.0,0.0,624052000.0,0.0,0.0,,0.0,,,58000.0,623994000.0,3739000.0,,,279504000.0,7536000.0,-2323000.0,,,
2010-06-30,633779000.0,97858000.0,319000.0,91964000.0,0.0,0.0,,0.0,,21000.0,922000.0,,0.0,1518000.0,49000.0,19708000.0,,,-18221000.0,0.0,495244000.0,10190000.0,344000.0,,633779000.0,1551000.0,0.0,,304000.0,0.0,,52000.0,998000.0,,,0.0,0.0,626323000.0,0.0,0.0,,0.0,,,58000.0,626265000.0,3781000.0,,,285480000.0,7603000.0,-2456000.0,,,
2010-06-30,633779.0079999999,97858.0,92283.0,0.0,5554.0,0.0,0.0,0.0,0.0,21.0,26362.0,0.0,0.0,9140.0,0.0,0.0,0.0,0.0,1471.0,15751.0,499024.992,10190.0,344.0,0.0,633779.0079999999,1551.0,0.0,49.0,304.0,0.0,0.0,52.0,269.0,877.0,0.0,5905.0,0.0,2295.0,3610.0,0.0,0.0,0.0,0.0,0.0,58.0,626265.024,350000.0,0.0,0.0,245962.0,32759.0,-2456.0,0.0,0.0,0.0
2010-09-30,1019818000.0,119041000.0,441000.0,105176000.0,0.0,0.0,,0.0,,53000.0,11690000.0,,0.0,4098000.0,111000.0,31421000.0,,,-27362000.0,0.0,835687000.0,24137000.0,479000.0,,1019818000.0,11303000.0,0.0,,297000.0,0.0,,9552000.0,7291000.0,,,0.0,0.0,997045000.0,0.0,9398000.0,,0.0,,,0.0,997045000.0,27861000.0,,,645282000.0,4431000.0,8522000.0,,,
