,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2014-12-31,1373003.0080000001,240432.0,15544.0,47771.0,94092.0,0.0,0.0,5151.0,22880.0,54994.0,4707.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,4580.0,0.0,1116702.976,11161.0,0.0,1373003.0080000001,572083.0079999999,6767.0,474116.992,2319.0,75810.0,0.0,0.0,13070.0,0.0,0.0,173036.0,155911.008,0.0,872.0,16205.0,0.0,48.0,0.0,0.0,0.0,627884.032,600241.024,24009.0,0.0,3634.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,1424615.936,283312.99199999997,20313.0,32181.0,123210.0,0.0,0.0,4808.0,21513.0,81288.0,844.0,0.0,0.0,0.0,0.0,0.0,648.0,0.0,0.0,196.0,0.0,1128637.0559999999,11822.0,0.0,1424615.936,510777.984,9161.0,397732.0,4215.0,81924.0,0.0,0.0,17746.0,0.0,0.0,196602.0,174422.0,0.0,574.0,21536.0,0.0,70.0,0.0,0.0,0.0,717235.968,624249.9839999999,63993.0,0.0,28993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228404.992,-158364.992,70040.0,0.0,-20786.0,0.0,-1383.0,-153.0,0.0,-11796.0,2698.0,-14494.0,0.0,0.0,0.0,35922.0,-11695.0,0.0,0.0,0.0,0.0,24227.0
2015-06-30,1809209.9840000002,355257.984,33575.0,74836.0,149192.992,0.0,0.0,5055.0,25071.0,67528.0,844.0,0.0,0.0,0.0,0.0,0.0,648.0,0.0,0.0,196.0,-4.0,1441451.0080000001,11661.0,0.0,1809209.9840000002,793134.9759999999,12990.0,660017.9839999999,4337.0,102965.0,0.0,0.0,12825.0,0.0,0.0,231634.0,207200.992,0.0,90.0,24266.0,0.0,77.0,0.0,0.0,0.0,784441.0240000001,624249.9839999999,118365.0,0.0,41826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300703.00800000003,-241118.0,59585.0,0.0,-25369.0,0.0,931.0,-235.0,0.0,-15516.0,2964.0,-18480.0,0.0,0.0,0.0,19396.0,0.0,0.0,0.0,0.0,0.0,12833.0
2015-09-30,2338561.024,628572.032,306560.0,42496.0,174656.0,0.0,0.0,4541.0,19270.0,81049.0,16864.0,16659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,1681463.04,11662.0,0.0,2338561.024,1168178.048,16223.0,1006387.968,3816.0,127798.0,0.0,0.0,13953.0,0.0,0.0,373681.984,342305.984,0.0,3722.0,27644.0,0.0,10.0,0.0,0.0,0.0,796700.9920000001,624249.9839999999,118382.0,0.0,54069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350752.992,-273428.0,77325.0,0.0,-24144.0,0.0,-5522.0,-337.0,0.0,-28020.0,8218.0,-36238.0,0.0,0.0,0.0,19302.0,0.0,0.0,0.0,0.0,0.0,12243.0
2015-12-31,2618608.8959999997,777772.9920000001,460579.008,23337.0,179542.0,0.0,0.0,12599.0,4678.0,97038.0,246000.992,0.0,15459.0,0.0,0.0,0.0,0.0,0.0,0.0,230542.0,0.0,1582022.0159999998,12813.0,0.0,2618608.8959999997,1117336.064,14194.0,335760.992,8518.0,702440.0,0.0,0.0,56423.0,0.0,0.0,706784.0,557379.968,0.0,118849.0,30544.0,0.0,11.0,0.0,0.0,0.0,794489.0240000001,624249.9839999999,118392.0,0.0,51847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333640.96,-275276.032,58365.008,0.0,-30797.0,0.0,-5388.0,-112.0,0.0,-32320.0,14436.0,-46756.0,0.0,0.0,0.0,-10252.0,-5105.0,0.0,0.0,0.0,0.0,17747.0
2016-03-31,2571513.088,741622.9759999999,314399.00800000003,52937.0,162826.0,0.0,0.0,17023.0,26924.0,167514.0,138475.008,0.0,12070.0,0.0,0.0,0.0,1067.0,0.0,0.0,125338.0,0.0,1678315.0080000001,13100.0,0.0,2571513.088,1121302.0159999998,17022.0,425343.008,8207.0,606467.0079999999,5680.0,28830.0,29753.0,0.0,0.0,689123.968,542160.0,0.0,0.0,39277.0,0.0,61.0,107626.0,0.0,0.0,761086.9759999999,624249.9839999999,118392.0,0.0,18445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421300.0,-318385.984,102914.0,0.0,-41339.0,0.0,0.0,-9026.0,0.0,-32272.0,13274.0,-45546.0,0.0,0.0,0.0,20277.0,598.0,-7666.0,0.0,0.0,0.0,14371.0
2016-06-30,2482124.0319999997,581030.0160000001,73018.0,52762.0,211391.008,0.0,0.0,16295.0,21848.0,205716.0,120619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120619.0,0.0,1766278.0159999998,14197.0,0.0,2482124.0319999997,1026657.984,19914.0,535928.9920000001,2967.0,403156.0,0.0,47773.0,16919.0,0.0,0.0,679681.0240000001,526704.0,0.0,108231.0,44653.0,0.0,93.0,0.0,0.0,0.0,775785.0240000001,624249.9839999999,121304.0,0.0,30231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480168.0,-378260.992,101907.0,0.0,-49173.0,0.0,0.0,-10544.0,0.0,-33275.0,11686.0,-44961.0,0.0,0.0,0.0,8915.0,3167.0,-6443.0,0.0,0.0,0.0,11786.0
2016-09-30,2563567.1040000003,637422.976,65347.0,77861.0,235984.992,0.0,0.0,16765.0,16621.0,224844.0,8936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8936.0,0.0,1901051.0080000001,16157.0,0.0,2563567.1040000003,1244918.0159999998,25054.0,564240.0,5936.0,590668.032,0.0,0.0,59020.0,0.0,0.0,559332.9920000001,512915.008,0.0,5114.0,41156.0,0.0,148.0,0.0,0.0,0.0,759315.968,715628.9920000001,0.0,0.0,43687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498683.008,-378040.992,120642.0,0.0,-52905.0,0.0,-14161.0,-82.0,0.0,-34927.0,26170.0,-61097.0,0.0,0.0,0.0,18567.0,0.0,-6384.0,0.0,0.0,0.0,13456.0
2016-12-31,2789712.896,565337.9839999999,53576.0,69935.0,215516.0,0.0,0.0,12891.0,6020.0,207400.0,5163.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,4933.0,0.0,2202889.984,16322.0,0.0,2789712.896,1497200.0,21221.0,848918.9759999999,8130.0,511156.992,0.0,91909.0,15864.0,0.0,0.0,570748.032,529028.9920000001,0.0,3585.0,37940.0,0.0,194.0,0.0,0.0,0.0,721764.9920000001,715628.9920000001,0.0,0.0,6136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493028.992,-374226.94399999996,118802.016,0.0,-61963.008,0.0,-33281.0,19491.0,0.0,-41448.0,-697.0,-40751.008,0.0,0.0,0.0,1601.0,-6904.0,6432.0,0.0,0.0,0.0,84.0
2017-03-31,3313639.936,1062260.992,196756.992,379532.0,234554.0,194795.008,0.0,8856.0,29582.0,18185.0,3588.0,0.0,0.0,3138.0,0.0,0.0,230.0,0.0,0.0,220.0,0.0,2230796.0319999997,16995.0,0.0,3313639.936,1399688.96,24602.0,742380.9920000001,8106.0,611974.0160000001,9286.0,0.0,3340.0,0.0,0.0,665054.976,615414.976,0.0,0.0,46065.0,0.0,962.0,2613.0,0.0,0.0,1248896.0,1171773.0559999999,50000.0,0.0,27123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615110.976,-446710.016,168400.992,0.0,-75489.0,0.0,0.0,-25228.0,0.0,-36360.0,9775.0,-46135.0,0.0,0.0,0.0,31324.0,0.0,-10693.0,0.0,0.0,0.0,20987.0
