,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2007-03-31,2206971000.0,1485320000.0,575666000.0,0.0,540787000.0,355132000.0,635769000.0,0.0,,224899000.0,0.0,,,,,,0.0,0.0,,-45000.0,0.0,562452000.0,0.0,,2206971000.0,464839000.0,0.0,201405000.0,19226000.0,188000000.0,,,0.0,,,0.0,1152652000.0,,322813000.0,0.0,,31224000.0,,,10544000.0,0.0,140000000.0,235443000.0,,0.0,1152652000.0,,,0.0,
2007-06-30,2925474000.0,1996779000.0,987151000.0,0.0,599664000.0,394988000.0,768176000.0,0.0,,1211170000.0,0.0,,,,,,0.0,0.0,,-144000.0,0.0,696977000.0,0.0,,2925474000.0,450671000.0,0.0,204890000.0,22487000.0,112388000.0,,,0.0,,,0.0,1063250000.0,,145276000.0,0.0,,46056000.0,,,9051000.0,0.0,1124760000.0,1220221000.0,,0.0,1063250000.0,,,0.0,
2007-09-30,3051001000.0,2106201000.0,859125000.0,0.0,782185000.0,447417000.0,763429000.0,0.0,,1295483000.0,0.0,,,,,,0.0,0.0,,0.0,0.0,719690000.0,0.0,,3051001000.0,538451000.0,0.0,208693000.0,20436000.0,190757000.0,,,0.0,,,0.0,1052437000.0,,116182000.0,0.0,,44811000.0,,,3637000.0,0.0,1183826000.0,1299120000.0,,0.0,1052437000.0,,,0.0,
2007-12-31,4330666000.0,2681417000.0,1049806000.0,0.0,1035241000.0,594571000.0,1096375000.0,0.0,,1282327000.0,0.0,,,,,,0.0,0.0,,-2421000.0,0.0,947842000.0,0.0,,4330666000.0,1207325000.0,0.0,335396000.0,40465000.0,428105000.0,,,0.0,,,0.0,1645856000.0,,171788000.0,0.0,,0.0,,,23370000.0,0.0,1183826000.0,1305697000.0,,0.0,1645856000.0,,,0.0,
2008-03-31,4646093000.0,2956407000.0,1184588000.0,0.0,743077000.0,657776000.0,1023648000.0,0.0,,1303312000.0,860723000.0,,,,,,0.0,0.0,,-3995000.0,598556000.0,1032385000.0,0.0,,4646092000.0,1119252000.0,0.0,208640000.0,44738000.0,510271000.0,,,0.0,,,32453000.0,2020376000.0,,127715000.0,364030000.0,,49276000.0,,,26161000.0,0.0,1183826000.0,1329473000.0,,0.0,2020376000.0,,,0.0,
2008-06-30,5218000000.0,2817910000.0,227978000.0,513059000.0,719225000.0,896090000.0,1124354000.0,92660000.0,,1343999000.0,738350000.0,,,,,,0.0,0.0,,-3305000.0,961466000.0,1314353000.0,0.0,,5218000000.0,1647624000.0,193306000.0,347342000.0,246187000.0,624106000.0,,,0.0,,,47120000.0,1896441000.0,,136245000.0,458613000.0,,87983000.0,,,13048000.0,0.0,1183826000.0,1357047000.0,,0.0,1896441000.0,,,0.0,
2008-09-30,6880037000.0,3750103000.0,178482000.0,993731000.0,1035781000.0,996644000.0,1585030000.0,99615000.0,,2225472000.0,1052768000.0,,,,,,0.0,0.0,,0.0,1040053000.0,1395108000.0,0.0,,6880037000.0,1779760000.0,218626000.0,366695000.0,240792000.0,772657000.0,,,0.0,,,58284000.0,2525345000.0,,146650000.0,542949000.0,,87698000.0,,,15497000.0,0.0,2111374000.0,2240969000.0,,0.0,2525345000.0,,,0.0,
2008-12-31,9155172000.0,4370445000.0,395662000.0,676002000.0,1001912000.0,1581934000.0,2707239000.0,109019000.0,,2729851000.0,1030146000.0,,,,,,0.0,0.0,,-10835000.0,0.0,2235688000.0,83872000.0,,9155172000.0,2799493000.0,269793000.0,760155000.0,274543000.0,1232097000.0,,,0.0,,,73432000.0,3081377000.0,,309040000.0,689698000.0,,108475000.0,,,17917000.0,0.0,2559718000.0,2747768000.0,,0.0,3081377000.0,,,0.0,
2009-03-31,9239444000.0,4420738000.0,162676000.0,962406000.0,872368000.0,1626524000.0,2328433000.0,108532000.0,,2663125000.0,1004286000.0,,,,,,0.0,0.0,,-664000.0,0.0,2223822000.0,84498000.0,,9239444000.0,2740401000.0,291805000.0,775798000.0,243978000.0,1294620000.0,,,0.0,,,0.0,3296628000.0,,319289000.0,756593000.0,,96031000.0,,,15438000.0,0.0,2559718000.0,2678563000.0,,0.0,3296628000.0,,,0.0,
2009-06-30,9336327000.0,4795303000.0,363824000.0,920546000.0,987371000.0,1679832000.0,1914283000.0,103313000.0,,2792931000.0,1061165000.0,,,,,,0.0,0.0,,-4803000.0,0.0,2175559000.0,74493000.0,,9336327000.0,2777072000.0,315964000.0,817257000.0,234322000.0,1260148000.0,,,0.0,,,75845000.0,3264570000.0,,290743000.0,805055000.0,,93236000.0,,,14462000.0,0.0,2559718000.0,2807393000.0,,0.0,3264570000.0,,,0.0,
