,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2007-03-31,567369000.0,413268000.0,0.0,,73056000.0,234030000.0,,0.0,35687000.0,0.0,282102000.0,,,,84210000.0,44734000.0,,,0.0,38741000.0,306000.0,2870000.0,0.0,,567369000.0,172237000.0,0.0,0.0,0.0,15110000.0,,,0.0,0.0,,282102000.0,14583000.0,,6750000.0,0.0,,101261000.0,,,0.0,272538000.0,238337000.0,0.0,,0.0,53350000.0,,,,
2007-06-30,652648000.0,366240000.0,0.0,,107623000.0,213348000.0,,0.0,31633000.0,0.0,282102000.0,,,,97956000.0,173927000.0,,,0.0,49883000.0,446000.0,3603000.0,0.0,,652648000.0,235925000.0,0.0,0.0,0.0,36726000.0,,,0.0,0.0,,282102000.0,14016000.0,,6750000.0,0.0,,108880000.0,,,0.0,287077000.0,249991000.0,0.0,,0.0,60150000.0,,,,
2007-09-30,1768220000.0,1506267000.0,0.0,,144930000.0,471456000.0,,0.0,29165000.0,0.0,405698240.0,,,,144314000.0,95611000.0,,,0.0,67426000.0,587000.0,5782000.0,0.0,,1768220000.0,300106000.0,0.0,0.0,0.0,15919000.0,,,0.0,0.0,,405698240.0,9295000.0,,8459000.0,0.0,,106392000.0,,,5243000.0,1338725000.0,1321146000.0,0.0,,0.0,125511000.0,,,,
2007-12-31,1897184000.0,1469077000.0,0.0,,209804000.0,608943000.0,,13078000.0,29137000.0,594819000.0,405698240.0,,,,198550000.0,189243000.0,,,0.0,97348000.0,824000.0,11339000.0,2504000.0,,1897184000.0,429480000.0,14386000.0,0.0,0.0,15347000.0,,,282916000.0,0.0,,405698240.0,7092000.0,,63803000.0,13592000.0,,7126000.0,,,8318000.0,1367773000.0,1321146000.0,0.0,,0.0,112148000.0,,,,
2008-03-31,1986932000.0,1481558000.0,0.0,,289348000.0,761916000.0,,8373000.0,37811000.0,359031000.0,405698240.0,,,,448622000.0,16177000.0,,,0.0,118400000.0,70000.0,13108000.0,8367000.0,,1986932000.0,446251000.0,20253000.0,0.0,41000.0,15471000.0,,,277055000.0,-1336000.0,,405698240.0,5133000.0,,51473000.0,18005000.0,,7777000.0,,,34558000.0,1423735000.0,1321146000.0,0.0,,0.0,137998000.0,,,,
2008-06-30,2124167000.0,1562537000.0,0.0,,400453000.0,950278000.0,,10932000.0,45519000.0,119336000.0,407980130.0,,,,476570000.0,14630000.0,,,0.0,178171000.0,11468000.0,32714000.0,10110000.0,,2124167000.0,495838000.0,26004000.0,0.0,1021000.0,14117000.0,,,315554000.0,-1652000.0,,407980130.0,5609000.0,,43472000.0,24889000.0,,8640000.0,,,54484000.0,1491235000.0,1321910000.0,0.0,,0.0,209294000.0,,,,
2008-09-30,2553854000.0,1796813000.0,0.0,,588547000.0,838413000.0,,9825000.0,57313000.0,226455000.0,407980130.0,,,,680427000.0,14630000.0,,,0.0,201454000.0,10727000.0,30864000.0,11066000.0,,2553854000.0,475649000.0,32546000.0,0.0,2594000.0,32242000.0,,,237397000.0,-2132000.0,,407980130.0,313287000.0,,80837000.0,42518000.0,,11499000.0,,,73833000.0,1556231000.0,1321910000.0,0.0,,0.0,235938000.0,,,,
2008-12-31,2682420000.0,1896160000.0,0.0,,701481000.0,962230000.0,,24126000.0,49423000.0,99012000.0,407339330.0,,,,501261000.0,201982000.0,,,0.0,192126000.0,10838000.0,49733000.0,9836000.0,,2682420000.0,535383000.0,29489000.0,0.0,6059000.0,67721000.0,,,202579000.0,-10919000.0,,407339330.0,359210000.0,,84001000.0,51908000.0,,16791000.0,,,83366000.0,1551761000.0,1321910000.0,0.0,,0.0,228720000.0,,,,
2009-03-31,2940425000.0,2172898000.0,0.0,,877449000.0,993667000.0,,24365000.0,47456000.0,170386000.0,407810630.0,,,,487565000.0,201676000.0,,,0.0,180753000.0,3065000.0,52119000.0,13526000.0,,2940425000.0,608301000.0,29345000.0,0.0,7229000.0,106302000.0,,,215324000.0,-13108000.0,,407810630.0,492309000.0,,92061000.0,35847000.0,,16387000.0,,,92283000.0,1603237000.0,1321910000.0,0.0,,0.0,215490000.0,,,,
2009-06-30,3593768000.0,2823836000.0,0.0,,1087123000.0,989997000.0,,22333000.0,40815000.0,631193000.0,473299660.0,,,,563125000.0,132106000.0,,,0.0,260812000.0,14000.0,51355000.0,15134000.0,,3593768000.0,703316000.0,28088000.0,0.0,169000.0,166143000.0,,,221479000.0,-16425000.0,,473299660.0,500789000.0,,50020000.0,35791000.0,,21317000.0,,,96199000.0,2186336000.0,1851284000.0,0.0,,0.0,301144000.0,,,,
2009-09-30,3986537000.0,3127127000.0,0.0,,1219210000.0,1040699000.0,,19836000.0,70713000.0,639000000.0,473299660.0,,,,622100000.0,169382000.0,,,0.0,287614000.0,0.0,45906000.0,16483000.0,,3986537000.0,860377000.0,32254000.0,0.0,265000.0,246284000.0,,,270860000.0,-18204000.0,,473299660.0,503848000.0,,112551000.0,37969000.0,,16770000.0,,,102422000.0,2352600000.0,1917434000.0,0.0,,0.0,322173000.0,,,,
2009-09-30,3986536.96,3127127.04,766646.016,0.0,1220024.064,1067009.9840000002,0.0,0.0,0.0,73447.0,793784.0,0.0,0.0,696972.9920000001,0.0,0.0,0.0,0.0,78043.0,18768.0,0.0,45906.0,19720.0,0.0,3986536.96,860377.0240000001,0.0,70713.0,6933.0,246284.008,0.0,0.0,525438.0160000001,11009.0,0.0,671137.984,503848.0,0.0,150520.0,0.0,0.0,16770.0,0.0,0.0,102422.0,2352600.0640000002,1891970.9440000001,36287.0,0.0,198802.0,225528.0,12.0,0.0,0.0,0.0
2009-12-31,4358965.248,3167664.896,713368.0,0.0,1449954.9440000001,946612.9920000001,0.0,0.0,0.0,57729.0,1120653.0559999999,0.0,0.0,995121.984,0.0,0.0,0.0,0.0,84786.0,40745.0,0.0,49537.0,21110.0,0.0,4358965.248,1194472.96,0.0,96514.0,10995.0,303592.0,0.0,82513.0,696857.0240000001,4002.0,0.0,647968.0,482864.992,0.0,136595.008,0.0,0.0,28508.0,0.0,0.0,123604.0,2392920.0640000002,1917433.9840000002,11775.0,0.0,463711.008,0.0,0.0,0.0,0.0,0.0
2009-12-31,4358965000.0,3167665000.0,0.0,,1449373000.0,920318000.0,,22678000.0,96514000.0,530395000.0,481399660.0,,,,712152000.0,407748000.0,,,0.0,340560000.0,0.0,49537000.0,17873000.0,,4358965000.0,1194473000.0,34222000.0,0.0,236000.0,303592000.0,,,387534000.0,-19371000.0,,481399660.0,482865000.0,,91112000.0,45320000.0,,28671000.0,,,123604000.0,2392920000.0,1917434000.0,0.0,,0.0,383448000.0,,,,
2010-03-31,5312398.848,3889412.0960000004,1205544.96,0.0,1745587.968,883246.016,0.0,0.0,0.0,55033.0,1353172.9919999999,0.0,0.0,1238502.0159999998,0.0,0.0,0.0,0.0,69018.0,45653.0,23495.0,24838.0,21481.0,0.0,5312398.848,1340514.9440000001,0.0,96639.0,19514.0,372376.992,0.0,82513.0,763843.968,5628.0,0.0,1321750.0159999998,1002268.0,0.0,285303.00800000003,0.0,0.0,34179.0,0.0,0.0,133558.0,2516576.0,1917597.0559999999,12646.0,0.0,463711.008,122622.0,0.0,0.0,0.0,0.0
2010-03-31,5311103000.0,3889412000.0,0.0,,1724722000.0,853278000.0,,45573000.0,96639000.0,987583000.0,481420680.0,,,,749605000.0,601757000.0,,,0.0,372843000.0,0.0,48333000.0,18244000.0,,5311103000.0,1496854000.0,48466000.0,0.0,236000.0,372377000.0,,,513363000.0,-15963000.0,,481420680.0,1002268000.0,,90579000.0,45135000.0,,32883000.0,,,133558000.0,2509826000.0,1917607000.0,0.0,,0.0,439733000.0,,,,
2010-06-30,5680201000.0,4023297000.0,0.0,,2024863000.0,897815000.0,,85967000.0,125376000.0,646139000.0,482396850.0,,,,869301000.0,654420000.0,,,0.0,473091000.0,0.0,101008000.0,20912000.0,,5680201000.0,1746887000.0,54143000.0,0.0,362000.0,496952000.0,,,547804000.0,-18103000.0,,482396850.0,935363000.0,,105693000.0,51445000.0,,40904000.0,,,136589000.0,2663320000.0,1917920000.0,0.0,,0.0,542359000.0,,,,
2010-06-30,5681509.887999999,4023297.0239999997,927616.0,0.0,2079431.936,930524.9920000001,0.0,0.0,0.0,85724.0,1533056.0,0.0,0.0,1425939.968,0.0,0.0,0.0,0.0,68935.0,38181.0,65827.0,35181.0,24149.0,0.0,5681509.887999999,1561245.9519999998,0.0,125376.0,30704.0,496951.984,0.0,0.0,901713.0240000001,6501.0,0.0,1313604.992,935362.9920000001,0.0,336028.992,0.0,0.0,42213.0,0.0,0.0,136588.992,2670070.016,1917910.0159999998,13547.0,0.0,463711.008,273088.99199999997,1813.0,0.0,0.0,0.0
2010-09-30,6345442000.0,4371447000.0,0.0,,2014390000.0,1190197000.0,,83237000.0,132793000.0,583561000.0,482396850.0,,,,1300990000.0,496960000.0,,,0.0,567562000.0,0.0,145561000.0,23524000.0,,6345442000.0,1969717000.0,72141000.0,0.0,0.0,490271000.0,,,650961000.0,0.0,,482396850.0,1101577000.0,,116086000.0,58360000.0,,52398000.0,,,166863000.0,2880441000.0,1917920000.0,0.0,,0.0,650724000.0,,,,
2010-09-30,6346734.08,4371446.784,957422.9759999999,0.0,2070631.04,1272999.04,0.0,0.0,0.0,70394.0,1802964.9919999999,0.0,0.0,1703331.968,0.0,0.0,0.0,0.0,55881.0,43752.0,107544.0,38017.0,26761.0,0.0,6346734.08,1782256.0,0.0,132793.0,40026.0,490271.008,0.0,0.0,1111556.992,7609.0,0.0,1510424.064,1101576.96,0.0,355156.992,0.0,0.0,53690.0,0.0,0.0,166863.008,2887191.04,1917910.0159999998,14888.0,0.0,463711.008,489116.0,1566.0,0.0,0.0,0.0
2010-12-31,6791338000.0,4585296000.0,403551000.0,,1954982000.0,1283971000.0,,34891000.0,154501000.0,302028000.0,482435340.0,,,,1366250000.0,602821000.0,,,0.0,630611000.0,0.0,51180000.0,26211000.0,,6791338000.0,1822378000.0,73058000.0,0.0,5711000.0,544506000.0,,,277012000.0,-19860000.0,,482435340.0,1394837000.0,,185398000.0,264395000.0,,71580000.0,,,177897000.0,2874853000.0,2350012000.0,34873000.0,,0.0,718262000.0,,,,
2010-12-31,6791337.984,4585295.8719999995,864936.0,0.0,1954982.0159999998,1360888.96,0.0,34891.0,0.0,369598.016,1969709.0559999999,0.0,0.0,1305336.96,545155.0079999999,0.0,638.0,18358.0,60913.0,39308.0,155704.992,51180.0,29448.0,0.0,6791337.984,1822377.9840000002,73058.0,154500.992,55940.0,544505.9839999999,0.0,64892.0,921234.016,8247.0,0.0,1916210.0480000002,1394836.9919999999,0.0,185398.0,264395.00800000003,0.0,71580.0,0.0,0.0,177896.992,2874853.088,2350011.904,16229.0,0.0,508612.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,7338828000.0,4899973000.0,452847000.0,,2124437000.0,1241830000.0,,37496000.0,161423000.0,310880000.0,482435340.0,,,,1339560000.0,828974000.0,,,0.0,547078000.0,0.0,54967000.0,26905000.0,,7338828000.0,1848618000.0,117453000.0,0.0,5351000.0,561804000.0,,,310821000.0,-20054000.0,,482435340.0,1622363000.0,,287955000.0,273177000.0,,83553000.0,,,194558000.0,3028604000.0,2350012000.0,37042000.0,,0.0,631266000.0,,,,
2011-03-31,7338827.776000001,4899973.12,1032451.0079999999,310880.0,2124436.992,1323677.952,0.0,37496.0,0.0,71031.0,2169220.096,0.0,0.0,1278484.992,752697.0240000001,0.0,686.0,20925.0,61075.0,55352.0,184526.0,54967.0,30142.0,0.0,7338827.776000001,1848617.9840000002,80897.0,161423.008,46514.0,561804.032,0.0,151848.992,837656.032,8475.0,0.0,2267047.9359999998,1622363.0080000001,0.0,287955.00800000003,273176.99199999997,0.0,83553.0,0.0,0.0,194558.0,3028604.1119999997,2350011.904,17420.0,0.0,508612.0,152560.0,0.0,0.0,0.0,0.0
