,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2003-12-31,891208.0,113875.0,0.0,,192298.0,24068.0,,760711.0,0.0,,1032.0,,,,0.0,,,,,0.0,4159.0,0.0,0.0,,891208.0,161284.0,4791.0,32711.0,0.0,70478.0,,,0.0,,,675376.0,319450.0,,0.0,0.0,,0.0,,,,218176.0,0.0,0.0,,-195.0,0.0,0.0,,,
2004-03-31,903849.0,123542.0,0.0,,194689.0,20347.0,,764074.0,22139.0,,1001.0,,,,0.0,,,,,0.0,3680.0,22139.0,0.0,,903849.0,146387.0,4972.0,29905.0,0.0,49668.0,,,0.0,,,691783.0,326313.0,,0.0,0.0,,0.0,,,,214321.0,0.0,0.0,,-115.0,0.0,0.0,,,
2004-06-30,908864.0,125249.0,0.0,,197080.0,22985.0,,768467.0,21080.0,,679.0,,,,0.0,,,,,0.0,2883.0,21080.0,0.0,,908864.0,153560.0,5605.0,32050.0,0.0,50334.0,,,0.0,,,701097.0,327162.0,,0.0,0.0,,0.0,,,,209982.0,0.0,0.0,,206.0,0.0,0.0,,,
2004-09-30,910440.0,124244.0,0.0,,200308.0,22023.0,,771297.0,20295.0,,701.0,,,,0.0,,,,,0.0,3008.0,20295.0,0.0,,910440.0,158227.0,6495.0,32520.0,0.0,47672.0,,,0.0,,,712098.0,331467.0,,0.0,0.0,,0.0,,,,200143.0,0.0,0.0,,-717.0,0.0,0.0,,,
2004-12-31,917743.0,130447.0,0.0,,179729.0,26975.0,,773023.0,20016.0,,671.0,,,,0.0,,,,,0.0,2414.0,20016.0,0.0,,917743.0,166323.0,5167.0,32381.0,0.0,54345.0,,,0.0,,,698187.0,329843.0,,0.0,0.0,,0.0,,,,221832.0,0.0,0.0,,2.0,0.0,0.0,,,
2005-03-31,920956.0,133735.0,0.0,,181199.0,27831.0,,772763.0,18322.0,,660.0,,,,0.0,,,,,0.0,2447.0,18322.0,0.0,,920956.0,181281.0,5853.0,36740.0,0.0,57996.0,,,0.0,,,714029.0,331280.0,,0.0,0.0,,0.0,,,,208874.0,0.0,0.0,,-33.0,0.0,0.0,,,
2005-06-30,925444.0,135841.0,0.0,,173755.0,27970.0,,774764.0,16699.0,,651.0,,,,0.0,,,,,0.0,2783.0,16699.0,0.0,,925444.0,197997.0,6787.0,40900.0,0.0,61001.0,,,0.0,,,722585.0,332252.0,,0.0,0.0,,0.0,,,,204741.0,0.0,0.0,,-337.0,0.0,0.0,,,
2005-09-30,925530.0,133710.0,0.0,,182583.0,27398.0,,777402.0,9804.0,,557.0,,,,0.0,,,,,0.0,2485.0,9804.0,0.0,,925530.0,206843.0,7638.0,36052.0,0.0,64396.0,,,0.0,,,734099.0,333348.0,,0.0,0.0,,0.0,,,,192952.0,0.0,0.0,,299.0,0.0,0.0,,,
2005-12-31,936796.0,140452.0,0.0,,178214.0,30059.0,,778672.0,7660.0,,506.0,,,,0.0,,,,,0.0,4048.0,7660.0,0.0,,936796.0,229409.0,5795.0,40530.0,0.0,70450.0,,,0.0,,,757239.0,340888.0,,0.0,0.0,,0.0,,,,180625.0,0.0,0.0,,-210.0,0.0,0.0,,,
2006-03-31,935656.0,140751.0,0.0,,181483.0,28379.0,,776881.0,6261.0,,601.0,,,,0.0,,,,,0.0,4210.0,6261.0,0.0,,935656.0,233721.0,6383.0,41996.0,0.0,69547.0,,,0.0,,,764412.0,342146.0,,0.0,0.0,,163.0,,,,172045.0,0.0,0.0,,-163.0,0.0,0.0,,,
2006-06-30,939354.0,149490.0,0.0,,184325.0,27877.0,,773903.0,12183.0,,474.0,,,,0.0,,,,,0.0,0.0,12183.0,0.0,,939354.0,229733.0,8171.0,35377.0,0.0,69007.0,,,0.0,,,773375.0,346536.0,,0.0,0.0,,0.0,,,,166577.0,0.0,0.0,,0.0,0.0,0.0,,,
2006-09-30,940895.0,152369.0,0.0,,187424.0,29210.0,,772487.0,10223.0,,411.0,,,,0.0,,,,,0.0,0.0,10223.0,0.0,,940895.0,237698.0,0.0,39607.0,0.0,68113.0,,,0.0,,,783033.0,347256.0,,0.0,0.0,,0.0,,,,158294.0,0.0,0.0,,0.0,0.0,0.0,,,
2006-12-31,950927.0,161745.0,0.0,,168380.0,31004.0,,772939.0,3337.0,,405.0,,,,0.0,,,,,0.0,0.0,3337.0,0.0,,950927.0,252097.0,8108.0,46892.0,0.0,81286.0,,,0.0,,,768409.0,343609.0,,0.0,0.0,,0.0,,,,183504.0,0.0,0.0,,0.0,0.0,0.0,,,
2007-03-31,947442.0,157503.0,0.0,,170318.0,30228.0,,773805.0,3337.0,,366.0,,,,0.0,,,,,0.0,0.0,3337.0,0.0,,947442.0,248119.0,8239.0,44262.0,0.0,80345.0,,,0.0,,,767599.0,344856.0,,0.0,0.0,,0.0,,,,180812.0,0.0,0.0,,0.0,0.0,0.0,,,
2007-06-30,946512.0,156871.0,0.0,,171724.0,30031.0,,773426.0,3399.0,,319.0,,,,0.0,,,,,0.0,0.0,3399.0,0.0,,946512.0,189117.0,9578.0,43367.0,0.0,80694.0,,,0.0,,,766376.0,401063.0,,0.0,0.0,,0.0,,,,181209.0,0.0,0.0,,0.0,0.0,0.0,,,
2007-09-30,937872.0,152311.0,0.0,,177781.0,27974.0,,770285.0,9049.0,,292.0,,,,0.0,,,,,0.0,0.0,9049.0,0.0,,937872.0,160735.0,10619.0,40268.0,0.0,68076.0,,,0.0,,,760403.0,411760.0,,0.0,0.0,,0.0,,,,178547.0,0.0,0.0,,0.0,0.0,0.0,,,
2008-03-31,975233.0,174302.0,-204721.0,,156223.0,33119.0,,783544.0,52854.0,,7258.0,,,,221860.0,,,,,0.0,0.0,52854.0,0.0,,975233.0,136493.0,10684.0,45070.0,0.0,35937.0,,,0.0,,,808383.0,429795.0,,32199.0,0.0,,0.0,,,,167669.0,0.0,0.0,,0.0,0.0,0.0,,,
2008-06-30,979116.0,174514.0,-211304.0,,156001.0,33527.0,,786855.0,44224.0,,8549.0,,,,224023.0,,,,,0.0,0.0,44224.0,0.0,,979116.0,144167.0,10687.0,43141.0,0.0,45555.0,,,0.0,,,814026.0,437071.0,,31682.0,0.0,,0.0,,,,165971.0,0.0,0.0,,0.0,0.0,0.0,,,
2008-09-30,987617.0,172305.0,-218509.0,,155780.0,33790.0,,796031.0,35840.0,,8745.0,,,,226917.0,,,,,0.0,0.0,35840.0,0.0,,987617.0,163510.0,11751.0,48821.0,0.0,59926.0,,,0.0,,,823590.0,435913.0,,31712.0,0.0,,0.0,,,,164862.0,0.0,0.0,,0.0,0.0,0.0,,,
2008-12-31,989267.0,149699.0,-217739.0,,155559.0,33766.0,,764214.0,27781.0,,30792.0,,,,199621.0,,,,,0.0,0.0,27781.0,33935.0,,989267.0,176376.0,12909.0,49428.0,0.0,71379.0,,,0.0,,,794941.0,409777.0,,25028.0,0.0,,0.0,,,,194746.0,0.0,33935.0,,0.0,0.0,0.0,,,
2009-03-31,982763.0079999999,147044.0,4813.0,0.0,83436.0,32885.0,0.0,0.0,0.0,25910.0,40151.0,0.0,0.0,24568.0,0.0,0.0,0.0,0.0,0.0,15583.0,144.0,761374.016,34050.0,0.0,982763.0079999999,179863.008,0.0,49916.0,34013.0,75234.0,0.0,0.0,20700.0,0.0,0.0,610329.9839999999,19674.0,0.0,412016.992,0.0,0.0,178639.008,0.0,0.0,386.0,192184.0,36153.0,7765.0,341468.992,0.0,-193203.008,0.0,0.0,0.0,0.0
2009-09-30,783296.0,96080.0,37180.0,0.0,13468.0,18956.0,0.0,0.0,0.0,26476.0,81085.0,0.0,0.0,12511.0,0.0,0.0,0.0,0.0,0.0,68574.0,144.0,605457.9839999999,529.0,0.0,783296.0,39402.0,0.0,9314.0,8249.0,10525.0,0.0,0.0,11314.0,0.0,0.0,423888.992,0.0,0.0,212264.992,0.0,0.0,211624.0,0.0,0.0,1528.0,318476.99199999997,36153.0,7765.0,338830.016,0.0,-64271.0,0.0,0.0,0.0,0.0
2009-12-31,760384.0,76182.0,22046.0,0.0,16997.0,19840.0,0.0,0.0,0.0,17299.0,75982.0,0.0,0.0,8709.0,0.0,0.0,0.0,0.0,0.0,67273.0,144.0,607585.9839999999,490.0,0.0,760384.0,43618.0,0.0,10909.0,10813.0,5110.0,0.0,0.0,16786.0,0.0,0.0,408441.984,0.0,0.0,196098.0,0.0,0.0,212344.0,0.0,0.0,1356.0,306968.0,36153.0,7765.0,338830.016,0.0,-75780.0,0.0,0.0,0.0,0.0
