,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2000-12-31,659817.0,233160.0,10219.0,,79020.0,60191.0,,18198.0,6313.0,0.0,168558.0,,,,,,,83189.0,,27177.0,0.0,0.0,0.0,,659817.0,263591.0,0.0,47063.0,13561.0,139984.0,,3527.0,30177.0,,,185636.0,185636.0,,26841.0,0.0,,0.0,,,136.0,167389.0,161463.0,0.0,,0.0,6092.0,0.0,0.0,0.0,,,,162436.0,0.0,0.0,0.0,-4759.0,,167525.0,0.0,0.0,0.0,0.0,0.0,,,,-6532.0,10325.0,0.0,,,518.0,-7239.0
2001-03-31,633147.0,250781.0,6897.0,,64962.0,41655.0,,7395.0,1391.0,0.0,120676.0,,,,,,,80642.0,,25760.0,0.0,0.0,0.0,,633147.0,215123.0,0.0,32526.0,8811.0,136692.0,,28.0,36186.0,,,163180.0,163180.0,,27786.0,0.0,,0.0,,,-453.0,210722.0,161463.0,0.0,,0.0,49494.0,0.0,0.0,0.0,,,,96735.0,0.0,0.0,0.0,45192.0,,210269.0,0.0,0.0,0.0,0.0,0.0,,,,65759.0,10257.0,0.0,,,585.0,43402.0
2001-06-30,613541.0,236440.0,4775.0,,61859.0,36937.0,,8942.0,1528.0,0.0,119602.0,,,,,,,79213.0,,26024.0,0.0,0.0,0.0,,613541.0,188861.0,0.0,28725.0,11165.0,124067.0,,27.0,32969.0,,,170752.0,170752.0,,27331.0,0.0,,0.0,,,-889.0,212014.0,161463.0,0.0,,0.0,50786.0,0.0,0.0,0.0,,,,106906.0,0.0,0.0,0.0,2189.0,,211125.0,0.0,0.0,0.0,0.0,0.0,,,,3323.0,10380.0,0.0,,,441.0,1785.0
2001-09-30,616813.0,212706.0,6689.0,,63591.0,35957.0,,8202.0,1591.0,0.0,119178.0,,,,,,,77780.0,,24881.0,0.0,0.0,0.0,,616813.0,180113.0,0.0,25596.0,11648.0,116594.0,,27.0,56511.0,,,190210.0,190210.0,,26769.0,0.0,,0.0,,,-2037.0,206203.0,161463.0,0.0,,0.0,44975.0,0.0,0.0,0.0,,,,98791.0,0.0,0.0,0.0,-5331.0,,204166.0,0.0,0.0,0.0,0.0,0.0,,,,-4127.0,11077.0,0.0,,,1147.0,-5811.0
2001-12-31,516916.0,253455.0,7935.0,,48569.0,32423.0,,11858.0,0.0,4121.0,117894.0,,,,,,,76352.0,,22639.0,0.0,0.0,22369.0,,516916.0,240397.0,0.0,21371.0,8992.0,170658.0,,9777.0,0.0,,,55794.0,55794.0,,25091.0,0.0,,0.0,,,-1917.0,181801.0,161463.0,50961.0,,0.0,20573.0,0.0,0.0,0.0,,,,71273.0,0.0,0.0,0.0,-13543.0,,179884.0,0.0,0.0,0.0,0.0,0.0,,,,-11484.0,10563.0,9.139e-05,,,-123.0,-14650.0
2002-03-31,539187.0,266680.0,6644.0,,59817.0,40633.0,,12347.0,1221.0,0.0,132267.0,,,,,,,74231.0,,22774.0,0.0,0.0,0.0,,539187.0,266965.0,0.0,34298.0,8426.0,186064.0,,9777.0,10450.0,,,56030.0,56030.0,,24954.0,0.0,,0.0,,,-2269.0,174460.0,161463.0,0.0,,0.0,13232.0,0.0,0.0,0.0,,,,84652.0,0.0,98387.0,0.0,-6624.0,,172191.0,0.0,0.0,0.0,0.0,0.0,,,,-4503.0,10796.0,0.0,,,320.0,-7341.0
2002-06-30,557007.0,289129.0,7351.0,,64194.0,45753.0,,10185.0,817.0,0.0,129992.0,,,,,,,72108.0,,21764.0,0.0,0.0,0.0,,557007.0,290269.0,0.0,40286.0,11083.0,204794.0,,9777.0,53632.0,,,58220.0,58220.0,,24306.0,0.0,,0.0,,,-3798.0,168415.0,161463.0,0.0,,0.0,7420.0,0.0,0.0,0.0,,,,110198.0,0.0,128242.0,0.0,-6436.0,,164617.0,0.0,0.0,0.0,0.0,0.0,,,,-4239.0,11170.0,0.0,,,1526.0,-5811.0
2002-09-30,613283.0,353215.0,8002.0,,72076.0,44299.0,,9968.0,526.0,0.0,123649.0,,,,,,,70257.0,,21042.0,0.0,0.0,0.0,,613283.0,358974.0,0.0,22398.0,11660.0,278480.0,,51.0,96271.0,,,44095.0,44095.0,,22618.0,0.0,,0.0,,,615.0,167979.0,161463.0,0.0,,0.0,6516.0,0.0,0.0,0.0,,,,107075.0,0.0,122868.0,0.0,-2102.0,,168594.0,0.0,0.0,0.0,0.0,0.0,,,,522.0,11784.0,0.0,,,3029.0,260.0
2002-12-31,399288.0,163606.0,12485.0,,82111.0,55368.0,,9102.0,0.0,-13235.0,124526.0,,,,,,,49575.0,,19331.0,0.0,0.0,0.0,,399288.0,154614.0,0.0,29797.0,7959.0,61304.0,,0.0,0.0,,,51457.0,51457.0,,36069.0,0.0,,0.0,,,512.0,156636.0,161463.0,0.0,,0.0,-4827.0,0.0,0.0,0.0,,,,109299.0,0.0,0.0,0.0,-10285.0,,157148.0,0.0,0.0,0.0,0.0,0.0,,,,254.0,10505.0,0.0,,,100.0,-11343.0
2003-03-31,455856.0,221288.0,9077.0,,87777.0,67545.0,,13287.0,1430.0,0.0,123781.0,,,,,,,51631.0,,17975.0,0.0,0.0,0.0,,455856.0,201406.0,0.0,34012.0,10973.0,96916.0,,50.0,8343.0,,,55242.0,55242.0,,23632.0,0.0,,0.0,,,428.0,160000.0,161463.0,0.0,,0.0,-1463.0,0.0,0.0,0.0,,,,148299.0,0.0,166483.0,0.0,3283.0,,160428.0,0.0,0.0,0.0,0.0,0.0,,,,7079.0,10717.0,0.0,,,81.0,3364.0
