,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2003-03-31,78649000.0,676000.0,121000.0,,0.0,,,,,,50953000.0,,,,,,,,,0.0,-12753000.0,121000.0,,,78648000.0,24052000.0,-0.48811,305000.0,581000.0,0.0,,,10888000.0,,,67350000.0,91402000.0,,0.0,,,-120591000.0,,,,-12753000.0,0.0,6621490.0,,,240000.0,,,,
2003-06-30,78430000.0,594000.0,48000.0,,0.0,,,,,,50953000.0,,,,,,,,,0.0,-13780000.0,121000.0,,,78430000.0,24583000.0,-0.1551,277000.0,577000.0,0.0,,,11090000.0,,,67627000.0,92210000.0,,0.0,,,-121618000.0,,,,-13780000.0,0.0,6621490.0,,,653000.0,,,,
2003-09-30,78270000.0,558000.0,13000.0,,0.0,,,,,,50953000.0,,,,,,,,,0.0,-15592000.0,121000.0,,,78270000.0,25949000.0,-0.27365,299000.0,609000.0,0.0,,,12019000.0,,,67913000.0,93862000.0,,0.0,,,-123430000.0,,,,-15592000.0,0.0,6621490.0,,,1249000.0,,,,
2003-12-31,89577000.0,565000.0,12000.0,,0.0,,,,,,75947000.0,,,,,,,,,0.0,-16120000.0,121000.0,,,89577000.0,26092000.0,-0.07959,279000.0,491000.0,0.0,,,11909000.0,,,79605000.0,105697000.0,,0.0,,,-123958000.0,,,,-16120000.0,0.0,6621490.0,,,-462000.0,,,,
2004-03-31,89383000.0,572000.0,21000.0,,0.0,,,,,,62392000.0,,,,,,,,,0.0,-17760000.0,121000.0,,,89383000.0,27308000.0,-0.24768,274000.0,640000.0,0.0,,,12571000.0,,,79835000.0,107143000.0,,0.0,,,-125598000.0,,,,-17760000.0,0.0,6621490.0,,,1107000.0,,,,
2004-06-30,89255000.0,566000.0,14000.0,,0.0,,,,,,62392000.0,,,,,,,,,0.0,-18395000.0,121000.0,,,89255000.0,27808000.0,-0.09605,283000.0,656000.0,0.0,,,12627000.0,,,79842000.0,107650000.0,,0.0,,,-126233000.0,,,,-18395000.0,0.0,6621490.0,,,357000.0,,,,
2004-09-30,89300000.0,720000.0,169000.0,,0.0,,,,,,62392000.0,,,,,,,,,0.0,-18121000.0,121000.0,,,89300000.0,27534000.0,0.04138,277000.0,648000.0,0.0,,,11936000.0,,,79887000.0,107421000.0,,0.0,,,-125959000.0,,,,-18121000.0,0.0,6621490.0,,,-533000.0,,,,
2004-12-31,89080000.0,620000.0,68000.0,,0.0,,,,,,75799000.0,,,,,,,,,0.0,-20107000.0,121000.0,,,89080000.0,29305000.0,-0.29993000000000003,273000.0,532000.0,13099000.0,,,13386000.0,,,66783000.0,109187000.0,,0.0,,,-127945000.0,,,,-20107000.0,0.0,6621490.0,,,1394000.0,,,,
2005-03-31,88917000.0,640000.0,88000.0,,0.0,,,,,,62392000.0,,,,,,,,,0.0,-20782000.0,52000.0,,,88917000.0,29821000.0,-0.10179,273000.0,648000.0,13099000.0,,,13324000.0,,,66779000.0,109699000.0,,0.0,,,-128620000.0,,,,-20782000.0,0.0,6621490.0,,,302000.0,,,,
2005-06-30,88681000.0,563000.0,8000.0,,0.0,,,,,,62392000.0,,,,,,,,,0.0,-21549000.0,52000.0,,,88681000.0,30349000.0,-0.11599,277000.0,674000.0,13099000.0,,,13350000.0,,,66782000.0,110230000.0,,0.0,,,-129387000.0,,,,-21549000.0,0.0,6621490.0,,,415000.0,,,,
2005-09-30,88556000.0,565000.0,14000.0,,0.0,,,,,,62392000.0,,,,,,,,,0.0,-22690000.0,52000.0,,,88556000.0,31371000.0,-0.17232,281000.0,700000.0,0.0,,,13856000.0,,,79875000.0,111246000.0,,0.0,,,-130528000.0,,,,-22690000.0,0.0,6621490.0,,,822000.0,,,,
