,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2004-03-31,0.0,20935.0,0.0,0.0,351618.0,475649.0,,20935.0,,0.0,0.0,,,,,,,32446.0,,,,0.0,0.0,,84605.0,0.0,72771.0,0.0,28823.0,0.0,5.4070000000000016e-05,0.0,0.0,825857.75,,257087.0,429224.0,,167248.0,39716.0,,0.0,,,,127642.0,0.0,2839.0,,5.4070000000000016e-05,,,,72771.0,
2004-06-30,0.0,15562.0,0.0,0.0,390161.0,617101.0,,15562.0,,0.0,0.0,,,,,,,43168.0,,,,0.0,0.0,,92345.0,0.0,94379.0,0.0,30326.0,0.0,9.299e-05,0.0,0.0,847585.01,,333588.0,502268.0,,162445.0,24300.0,,0.0,,,,127669.0,0.0,1016.0,,9.299e-05,,,,94379.0,
2004-09-30,0.0,20108.0,0.0,0.0,460377.0,645656.0,,20108.0,,0.0,0.0,,,,,,,57712.0,,,,0.0,0.0,,117322.0,0.0,97495.0,0.0,32120.0,0.0,9.130000000000001e-05,0.0,0.0,847585.01,,349737.0,516747.0,,190565.0,25423.0,,0.0,,,,127699.0,0.0,4857.0,,9.130000000000001e-05,,,,97495.0,
2004-12-31,0.0,30497.0,0.0,0.0,436064.0,801251.0,,30497.0,,0.0,0.0,,,,,,,52455.0,,,,0.0,0.0,,127647.0,0.0,129928.0,0.0,31170.0,0.0,0.00011731,0.0,0.0,847936.55,,433811.0,656439.0,,250066.0,62407.0,,0.0,,,,127764.0,0.0,6138.0,,0.00011731,,,,129928.0,
2005-03-31,0.0,21567.0,0.0,9509.0,505980.0,610985.0,,21567.0,,0.0,0.0,,,,,,,57776.0,,,,0.0,0.0,,107516.0,0.0,91247.0,0.0,32081.0,0.0,8.217000000000001e-05,0.0,0.0,848033.93,,334777.0,718933.0,,206877.0,85595.0,,0.0,,,,127764.0,0.0,3662.0,,8.217000000000001e-05,,,,91247.0,
2005-06-30,0.0,27539.0,0.0,10628.0,491212.0,793167.0,,27539.0,,0.0,0.0,,,,,,,61446.0,,,,0.0,0.0,,113516.0,0.0,115413.0,0.0,40693.0,0.0,0.00010353999999999999,0.0,0.0,848657.54,,441237.0,716217.0,,241935.0,36500.0,,0.0,,,,141996.0,0.0,3118.0,,0.00010353999999999999,,,,115413.0,
2005-09-30,0.0,33853.0,0.0,11184.0,584792.0,809798.0,,33853.0,,3807.0,0.0,,,,,,,63645.0,,,,0.0,0.0,,153111.0,0.0,134737.0,0.0,49666.0,0.0,0.00011886,0.0,0.0,848788.96,,436436.0,737734.0,,238817.0,33683.0,,0.0,,,,144245.0,0.0,3392.0,,0.00011886,,,,134737.0,
2005-12-31,0.0,51788.0,0.0,12714.0,521397.0,1029661.0,,51788.0,,0.0,0.0,,,,,,,43522.0,,,,0.0,0.0,,89125.0,0.0,190232.0,0.0,69854.0,0.0,0.00016285,0.0,0.0,850129.11,,536843.0,924864.0,,316264.0,68309.0,,0.0,,,,0.0,0.0,2703.0,,0.00016285,,,,190232.0,
2006-03-31,0.0,24784.0,0.0,13106.0,606887.0,722638.0,,24784.0,,0.0,0.0,,,,,,,76412.0,,,,0.0,0.0,,129543.0,0.0,106437.0,0.0,58368.0,0.0,9.601e-05,0.0,0.0,850495.14,,405531.0,713009.0,,247854.0,94871.0,,0.0,,,,144889.0,0.0,12098.0,,9.601e-05,,,,106437.0,
2006-06-30,0.0,38710.0,0.0,13413.0,629253.0,980825.0,,38710.0,,4061.0,0.0,,,,,,,74811.0,,,,0.0,0.0,,147000.0,0.0,167963.0,0.0,63589.0,0.0,0.00015110000000000001,0.0,0.0,855409.54,,528738.0,879178.0,,287289.0,108028.0,,0.0,,,,0.0,0.0,7330.0,,0.00015110000000000001,,,,167963.0,
