,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2005-09-30,51944.0,43742.0,0.0,26668.0,5298.0,0.0,,10421.0,0.0,,4263.0,,,0.0,,,,748.0,,,1.0,3190.0,0.0,,51944.0,26152.0,3074.0,0.0,8559.0,,,0.0,0.0,5109.0,,11819.0,,,0.0,,,31030.0,,,0.0,22173.0,3908.0,0.0,,700.0,0.0,,,,
2005-12-31,48210.0,41376.0,0.0,20692.0,6315.0,0.0,,13752.0,0.0,,2926.0,,,0.0,,,,712.0,,,1.0,3195.0,0.0,,48210.0,35185.0,2662.0,0.0,11738.0,,,6000.0,0.0,5426.0,,12033.0,,,0.0,,,33255.0,,,0.0,10341.0,3925.0,0.0,,265.0,0.0,,,,
2006-03-31,49079.0,41807.0,0.0,0.0,5720.0,0.0,,7260.0,0.0,,3011.0,,,0.0,,,,651.0,,,1.0,3609.0,0.0,,49079.0,28819.0,2458.0,0.0,5192.0,,,6000.0,0.0,5609.0,,11126.0,,,0.0,,,29645.0,,,0.0,17482.0,3925.0,0.0,,162.0,0.0,,,,
2006-06-30,48725.0,41659.0,0.0,0.0,6117.0,0.0,,10138.0,0.0,,2229.0,,,0.0,,,,572.0,,,1.0,4264.0,0.0,,48725.0,27422.0,2795.0,0.0,8289.0,,,0.0,0.0,5849.0,,14820.0,,,0.0,,,36039.0,,,0.0,18437.0,3925.0,0.0,,989.0,0.0,,,,
2006-09-30,59315.0,50403.0,0.0,26471.0,7326.0,0.0,,14095.0,0.0,,2326.0,,,0.0,,,,553.0,,,1.0,6032.0,0.0,,59315.0,33817.0,3248.0,0.0,10681.0,,,0.0,0.0,8675.0,,17692.0,,,0.0,,,40025.0,,,0.0,22548.0,3925.0,0.0,,1467.0,0.0,,,,
2006-12-31,244086.0,234545.0,0.0,203303.0,9665.0,0.0,,18103.0,1289.0,,2338.0,,,0.0,,,,0.0,,,1.0,6671.0,531.0,,244086.0,44707.0,2752.0,0.0,11583.0,,,8160.0,0.0,9554.0,,30679.0,,,0.0,,,53855.0,,,0.0,196218.0,190125.0,0.0,,2039.0,0.0,,,,
2007-03-31,263030.0,219689.0,0.0,196266.0,10453.0,0.0,,10018.0,381.0,,11376.0,,,0.0,,,,527.0,,,24031.0,7407.0,0.0,,263030.0,42668.0,3342.0,0.0,7937.0,,,8160.0,0.0,10748.0,,24212.0,,,0.0,,,45564.0,,,0.0,208093.0,190125.0,0.0,,1534.0,0.0,,,,
2007-06-30,274967.0,232534.0,0.0,201403.0,10637.0,0.0,,15515.0,390.0,,11660.0,,,0.0,,,,531.0,,,22788.0,7454.0,0.0,,274967.0,42923.0,3630.0,0.0,13506.0,,,0.0,0.0,11129.0,,23984.0,,,0.0,,,52362.0,,,0.0,219431.0,190125.0,0.0,,2049.0,0.0,,,,
2007-09-30,283086.0,241464.0,0.0,197621.0,10864.0,0.0,,21547.0,0.0,,11957.0,,,0.0,,,,520.0,,,21545.0,7600.0,0.0,,283086.0,49569.0,4423.0,0.0,18468.0,,,0.0,0.0,11552.0,,25715.0,,,0.0,,,56192.0,,,0.0,220488.0,190125.0,0.0,,1494.0,0.0,,,,
2007-12-31,306139.0,255967.0,0.0,200333.0,13777.0,0.0,,29739.0,6409.0,,15001.0,,,0.0,,,,0.0,,,18.0,7610.0,27543.0,,306139.0,62266.0,5501.0,0.0,24054.0,,,5209.0,0.0,12362.0,,26219.0,,,0.0,,,57397.0,,,0.0,227499.0,190125.0,0.0,,2434.0,0.0,,,,
2008-03-31,300937.0,241458.0,15414.0,202218.0,12769.0,0.0,,13471.0,1995.0,,12284.0,,,10518.0,,,,1406.0,,,0.0,7397.0,24956.0,,300937.0,41225.0,4075.0,-4972.0,9701.0,,,0.0,0.0,12388.0,,22288.0,,,0.0,,,47849.0,,,0.0,243254.0,190125.0,0.0,,1665.0,0.0,,,,
2008-06-30,336361.0,254497.0,16378.0,213988.0,13219.0,0.0,,20398.0,2588.0,,13640.0,,,1518.0,,,,3544.0,,,0.0,7500.0,52679.0,,336361.0,61814.0,4987.0,-6465.0,17221.0,,,349.0,0.0,13708.0,,24295.0,,,0.0,,,54854.0,,,0.0,256561.0,190125.0,0.0,,2662.0,0.0,,,,
2008-09-30,330605.0,246432.0,17553.0,200653.0,13817.0,0.0,,29488.0,3816.0,,14221.0,,,2013.0,,,,4086.0,,,0.0,8241.0,52127.0,,330605.0,58806.0,5908.0,2933.0,19661.0,,,18.0,0.0,14067.0,,27387.0,,,0.0,,,72140.0,,,531.0,253839.0,190125.0,0.0,,1694.0,0.0,,,,
2008-12-31,339047.0,248596.0,18320.0,199394.0,12415.0,0.0,,33452.0,4036.0,,15309.0,,,1020.0,,,,0.0,,,0.0,8472.0,62836.0,,339047.0,77018.0,5377.0,-1570.0,24750.0,,,15373.0,0.0,14233.0,,31044.0,,,0.0,,,75333.0,,,510.0,244414.0,190125.0,0.0,,1893.0,0.0,,,,
2009-03-31,353051.0,232814.0,20053.0,190170.0,13254.0,0.0,,25612.0,533.0,,15186.0,,,68.0,,,,0.0,,,0.0,8807.0,93326.0,,353051.0,78154.0,5971.0,-5907.0,17006.0,,,17738.0,0.0,16043.0,,30638.0,,,0.0,,,62147.0,,,485.0,256927.0,190125.0,0.0,,849.0,0.0,,,,
2009-06-30,358600.0,237231.0,19948.0,182911.0,13418.0,128.0,,34845.0,522.0,,14914.0,,,18.0,,,,0.0,,,0.0,8672.0,94644.0,,358600.0,69114.0,6812.0,-3222.0,23555.0,,,528.0,0.0,16210.0,,31120.0,,,0.0,,,73585.0,,,590.0,271380.0,190125.0,0.0,,1906.0,0.0,,,,
2009-09-30,372375.0,252119.0,20259.0,191795.0,15868.0,292.0,,37075.0,1250.0,,14322.0,,,68.0,,,,0.0,,,0.0,8229.0,4093.0,,372375.0,75491.0,7954.0,6341.0,25767.0,,,528.0,0.0,17072.0,,37818.0,,,0.0,,,89417.0,,,641.0,278802.0,190125.0,0.0,,1212.0,0.0,,,,
2009-12-31,1140630.0159999998,632014.0160000001,538702.976,0.0,88262.0,742.0,0.0,0.0,0.0,4307.0,45402.0,0.0,0.0,34247.0,0.0,0.0,0.0,0.0,0.0,11155.0,18.0,8080.0,455116.0,0.0,1140630.0159999998,320958.016,0.0,18417.0,49904.0,0.0,0.0,187872.992,17157.0,47607.0,0.0,38987.0,0.0,0.0,0.0,0.0,0.0,38987.0,0.0,0.0,663.0,780022.016,284611.00800000003,474128.992,0.0,21282.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,1093031.04,575646.976,498048.0,0.0,72879.0,363.0,0.0,0.0,0.0,4357.0,54231.0,0.0,0.0,43109.0,0.0,0.0,0.0,0.0,0.0,11122.0,48.0,7843.0,455262.016,0.0,1093031.04,248083.008,0.0,4439.0,50963.0,0.0,0.0,115207.0,50685.0,26789.0,0.0,44485.0,0.0,0.0,0.0,0.0,0.0,44485.0,0.0,0.0,776.0,799686.9759999999,284611.00800000003,475121.984,0.0,21354.0,18600.0,0.0,0.0,0.0,0.0
2010-06-30,752236.032,228674.0,161144.0,0.0,62353.0,311.0,0.0,0.0,0.0,4866.0,57861.0,0.0,0.0,46804.0,0.0,0.0,0.0,0.0,0.0,11057.0,757.0,9454.0,455489.984,0.0,752236.032,124608.0,0.0,4111.0,43188.0,0.0,0.0,406.0,45407.0,31496.0,0.0,50753.0,0.0,0.0,0.0,0.0,0.0,50753.0,0.0,0.0,924.0,575950.976,36611.0,476115.008,0.0,21354.0,41871.0,0.0,0.0,0.0,0.0
2010-09-30,776035.968,245978.0,176604.992,0.0,62604.0,372.0,0.0,0.0,0.0,6397.0,63233.0,0.0,0.0,52176.0,0.0,0.0,0.0,0.0,0.0,11057.0,757.0,10294.0,455774.016,0.0,776035.968,116598.0,0.0,4825.0,34582.0,0.0,0.0,52.0,46158.0,30981.0,0.0,46874.0,0.0,0.0,0.0,0.0,0.0,46874.0,0.0,0.0,981.0,611582.976,506556.992,2274.0,0.0,21354.0,81398.0,0.0,0.0,0.0,0.0
2010-12-31,912963.0079999999,194019.008,11180.0,121518.0,25345.0,355.0,0.0,35270.0,351.0,0.0,194840.0,0.0,0.0,0.0,0.0,0.0,156196.992,0.0,0.0,38643.0,758.0,11151.0,512195.008,0.0,912963.0079999999,143916.0,13305.0,12883.0,30746.0,0.0,0.0,53.0,56289.0,30640.0,0.0,49589.0,0.0,0.0,7248.0,1092.0,0.0,41249.0,0.0,0.0,1085.0,718372.984,506556.992,53095.0,0.0,158720.992,0.0,0.0,0.0,0.0,0.0
2011-03-31,960803.0079999999,241648.992,8352.0,167052.0,23545.0,210.0,0.0,42263.0,227.0,0.0,194491.008,0.0,0.0,0.0,0.0,0.0,155496.0,0.0,0.0,38995.0,758.0,11225.0,512680.0,0.0,960803.0079999999,164299.008,14892.0,13197.0,42893.0,0.0,0.0,0.0,57628.0,35689.0,0.0,57328.0,0.0,0.0,7248.0,1338.0,0.0,48742.0,0.0,0.0,1228.0,737948.0,506556.992,53889.0,0.0,141615.008,35887.0,0.0,0.0,0.0,0.0
2011-06-30,974646.9759999999,261932.992,6347.0,195912.992,21276.0,514.0,0.0,37732.0,151.0,0.0,187475.008,0.0,0.0,0.0,0.0,0.0,147884.0,0.0,0.0,39591.0,758.0,11191.0,513289.984,0.0,974646.9759999999,136538.0,13839.0,8359.0,34497.0,0.0,0.0,53.0,35240.0,44550.0,0.0,64530.0,0.0,0.0,7248.0,1561.0,0.0,55721.0,0.0,0.0,1289.0,772290.0079999999,506556.992,34269.0,0.0,160739.008,70725.0,0.0,0.0,0.0,0.0
2011-09-30,948707.968,238143.008,6857.0,169244.992,18903.0,652.0,0.0,42378.0,108.0,0.0,184448.0,0.0,0.0,0.0,0.0,0.0,144095.008,0.0,0.0,40353.0,580.0,9371.0,516166.016,0.0,948707.968,132181.0,15817.0,10610.0,35032.0,0.0,0.0,2.0,20497.0,50223.0,0.0,73918.0,0.0,0.0,7126.0,1853.0,0.0,64939.0,0.0,0.0,1345.0,741264.0240000001,506556.992,34379.0,0.0,161240.992,39087.0,0.0,0.0,0.0,0.0
