,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2001-06-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1022345.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,380183.0,,0.0,,,,1524925.0,0.0,0.0,0.0,0.0,,0.0,-0.0006271399999999999,-19210.0,0.0,0.0,0.0,,,,-22634.0,0.0,0.0,,,0.0,-33281.0
2001-12-31,14056119.0,2088203.0,0.0,0.0,1230937.0,0.0,,0.0,0.0,1018241.0,5169.0,0.0,,,,,0.0,68885.0,23716.54,235.13,331363.0,10333924.0,0.0,,14056119.0,2673743.0,0.0,1294516.0,4016.0,0.0,,280898.0,0.0,0.0,,7191806.0,3504489.0,,3504489.0,21027.0,,315075.0,,,0.0,6864313.0,3296179.0,198050.0,,,0.0,327290.0,,0.0,,,,1634398.0,133408.0,0.0,530661.0,39290.01,,0.0,0.0036354,-2711.0,1980968.0,0.0,0.0,,,,-26505.0,430244.0,0.0,,,0.0,193069.0
2002-03-31,14004546.0,2079533.0,0.0,0.0,1329142.0,4901.0,,0.0,0.0,1048002.0,15916.0,0.0,,,,,0.0,77757.0,29330.45,226.46,204147.0,10268638.0,0.0,,14004546.0,2638831.0,0.0,1111553.0,298121.0,0.0,,297766.0,0.0,0.0,,7156246.0,3413322.0,,3413322.0,0.0,,327244.0,,,0.0,6848300.0,3335770.0,236786.0,,,0.0,344039.0,,0.0,,,,1638543.0,103062.0,-12796144.0,563414.0,32636.62,,0.0,0.0011934,-10442.0,1904858.0,0.0,0.0,,,,7852.0,264915.0,0.0,,,0.0,64070.0
2002-06-30,14234698.0,2448069.0,0.0,0.0,1385360.0,4128.0,,0.0,0.0,1109687.0,16320.0,0.0,,,,,0.0,79276.0,29344.42,212.49,524546.0,10132901.0,0.0,,14234698.0,2310763.0,0.0,913724.0,310066.0,0.0,,165374.0,0.0,0.0,,7335657.0,3878627.0,,3878627.0,0.0,,334636.0,,,0.0,6899041.0,3335770.0,257266.0,,,0.0,340941.0,,0.0,,,,1737938.0,99012.0,-13201611.0,579446.0,32636.62,,0.0,0.0016875500000000001,-9474.0,1955481.0,0.0,0.0,,,,104842.0,243141.0,0.0,,,0.0,90623.0
2002-09-30,14210118.0,2625113.0,0.0,0.0,1519914.0,5352.0,,0.0,0.0,1137316.0,25208.0,0.0,,,,,0.0,79903.0,29370.82,186.09,589260.0,9887581.0,0.0,,14210118.0,2262918.0,0.0,783672.0,331031.0,0.0,,234432.0,0.0,0.0,,7321320.0,3881214.0,,3881214.0,0.0,,341072.0,,,0.0,6888798.0,3335770.0,276070.0,,,0.0,347117.0,,0.0,,,,1820957.0,99350.0,-13657296.0,552949.0,32636.62,,0.0,0.00193957,-8734.0,1945095.0,0.0,0.0,,,,10015.0,261484.0,0.0,,,0.0,104208.0
2002-12-31,15390526.0,3469740.0,0.0,0.0,1542851.0,23309.0,,0.0,0.0,1151627.0,6554.0,0.0,,,,,0.0,112219.0,29202.03,354.88,1422899.0,10040469.0,0.0,,15390526.0,2623923.0,0.0,997670.0,14679.0,0.0,,349624.0,0.0,0.0,,8426991.0,4398532.0,,4398532.0,26918.0,,385992.0,,,0.0,6963535.0,3335770.0,331364.0,,,0.0,360595.0,,0.0,,,,1873930.0,136234.0,-14036698.0,683276.0,32636.62,,0.0,0.00341152,-12737.0,2075288.0,0.0,0.0,,,,145571.0,442440.0,0.0,,,0.0,181216.0
2003-03-31,15480275.0,3702893.0,0.0,0.0,1737562.0,389.0,,0.0,0.0,1184694.0,11703.0,0.0,,,,,0.0,173833.0,29039.41,517.5,1388475.0,9863777.0,0.0,,15480275.0,2875554.0,0.0,893412.0,4380.0,0.0,,519497.0,0.0,0.0,,8642798.0,4285155.0,,4285155.0,27037.0,,377138.0,,,0.0,6837477.0,3373097.0,339536.0,,,0.0,344630.0,,0.0,,,,1873658.0,136507.0,-14383768.0,711513.0,33445.01,,0.0,0.0025370400000000004,-9732.0,1928423.0,0.0,0.0,,,,-137079.0,610245.0,0.0,,,0.0,138311.0
2003-06-30,15274721.0,3426122.0,0.0,0.0,1882323.0,9934.0,,0.0,0.0,1200161.0,12775.0,0.0,,,,,0.0,288617.0,29039.41,517.5,974917.0,9729642.0,0.0,,15274721.0,3102360.0,0.0,816712.0,5588.0,0.0,,248846.0,0.0,0.0,,8388113.0,3618130.0,,3618130.0,27262.0,,382353.0,,,29.0,6886608.0,3373097.0,351889.0,,,0.0,369063.0,,0.0,,,,1914913.0,127087.0,-14829711.0,1239103.0,33445.01,,0.0,0.00090985,-11211.0,1977553.0,0.0,0.0,,,,102690.0,665024.0,0.0,,,0.0,49131.0
2003-09-30,15475062.0,3691644.0,0.0,0.0,1991266.0,11053.0,,0.0,0.0,1220573.0,14647.0,0.0,,,,,0.0,280650.0,28923.8,633.11,1138431.0,9592882.0,0.0,,15475062.0,3612140.0,0.0,893985.0,36626.0,0.0,,247656.0,0.0,0.0,,8500998.0,3124722.0,,3124722.0,32714.0,,390107.0,,,13.0,6974064.0,3373097.0,460465.0,,,0.0,401345.0,,0.0,,,,2053433.0,116065.0,-15263910.0,1673392.0,33445.01,,0.0,0.00182768,-13996.0,2076014.0,0.0,0.0,,,,191300.0,644416.0,0.0,,,6.0,98482.0
2003-12-31,15326004.0,3985525.0,0.0,0.0,1859713.0,8042.0,,0.0,0.0,1247945.0,14478.0,0.0,,,,,0.0,286418.0,28985.03,571.88,1465765.0,9045955.0,0.0,,15326004.0,3957807.0,0.0,935656.0,22663.0,0.0,,247242.0,0.0,0.0,,8663160.0,2645563.0,,2645563.0,27005.0,,650236.0,,,7.0,6662844.0,3373097.0,417610.0,,,0.0,500235.0,,0.0,,,,2073190.0,89572.0,-13869078.0,1990276.0,33445.01,,0.0,-0.005830340000000001,33863.0,1764794.0,0.0,0.0,,,,-485363.0,672398.0,0.0,,,8.0,-311221.0
