,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2007-12-31,97.0,97.0,97.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,0.0,,97.0,5561.0,0.0,6.0,0.0,,0.0,,0.0,,,0.0,0.0,-5464.0,0.0,0.0,,0.0,,,0.0,-5464.0,0.0,,,,-5484.0,,0.0,,,,,0.0,,0.0,,7372.0,,0.0,,0.0,0.0,0.0,0.0,,,,-7372.0,0.0,0.0,,,0.0,-7372.0
2008-03-31,92.0,92.0,92.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,0.0,,92.0,10514.0,0.0,51.0,0.0,,0.0,,0.0,,,0.0,0.0,-10422.0,0.0,0.0,,0.0,,,0.0,-10422.0,0.0,,,,-10442.0,,0.0,,,,,0.0,,0.0,,4958.0,,0.0,,0.0,0.0,0.0,0.0,,,,-4958.0,0.0,0.0,,,0.0,-4958.0
2008-06-30,35.0,35.0,35.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,0.0,,35.0,6369.0,0.0,13.0,0.0,,0.0,,0.0,,,0.0,0.0,-6334.0,0.0,0.0,,0.0,,,0.0,-6334.0,0.0,,,,-9033.0,,0.0,,,,,0.0,,0.0,,-1409.0,,0.0,,0.0,0.0,0.0,0.0,,,,1409.0,0.0,0.0,,,0.0,1409.0
2008-09-30,23.0,23.0,23.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,0.0,,23.0,2799.0,0.0,14.0,0.0,,0.0,,0.0,,,0.0,0.0,-2776.0,0.0,0.0,,0.0,,,0.0,-2776.0,0.0,,,,-29985.0,,0.0,,,,,0.0,,0.0,,20952.0,,0.0,,0.0,0.0,0.0,0.0,,,,-20952.0,0.0,0.0,,,0.0,-20952.0
2008-12-31,5.0,5.0,5.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,0.0,,5.0,35950.0,0.0,6.0,0.0,,0.0,,0.0,,,0.0,0.0,-35945.0,0.0,0.0,,0.0,,,0.0,-35945.0,0.0,,,,-63154.0,,0.0,,,,,0.0,,0.0,,33169.0,,0.0,,0.0,0.0,0.0,0.0,,,,-33169.0,0.0,0.0,,,0.0,-33169.0
2009-03-31,1.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,0.0,,1.0,49.0,46768.0,48.0,0.0,,0.0,,0.0,,,0.0,0.0,-46816.0,0.0,0.0,,0.0,,,0.0,-46816.0,0.0,,,,-74025.0,,0.0,,,,,0.0,,0.0,,10871.0,,0.0,,-10825.0,0.0,0.0,0.0,,,,-10871.0,10825.0,0.0,,,0.0,-10871.0
2009-06-30,10.0,10.0,10.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,0.0,,10.0,107.0,48898.0,46.0,0.0,,0.0,,0.0,,,0.0,0.0,-48995.0,0.0,0.0,,0.0,,,0.0,-48995.0,0.0,,,,-76204.0,,0.0,,,,,0.0,,0.0,,2179.0,,0.0,,0.0,0.0,0.0,0.0,,,,-2179.0,0.0,0.0,,,0.0,-2179.0
2009-09-30,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,90.0,0.0,9.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,64805.0,0.0,0.0,0.0,0.0,0.0,64805.0,0.0,0.0,0.0,-64887.0,27209.0,0.0,0.0,0.0,-92096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,-15908.0,0.0,0.0,0.0,0.0,0.0,0.0,-15892.0,0.0,0.0,0.0,0.0,0.0,-15892.0
2009-12-31,668907.0079999999,8430.0,8162.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,3298.0,0.0,0.0,3298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657179.0079999999,0.0,0.0,668907.0079999999,640531.0079999999,0.0,363.0,306.0,627980.9920000001,2574.0,0.0,9307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28374.0,63001.0,0.0,0.0,0.0,-34608.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10527.0,0.0,0.0,-25970.0,28862.0,-80.0,0.0,-80.0,0.0,0.0,0.0,-7715.0,0.0,3298.0,0.0,0.0,0.0,-4416.0
2010-03-31,3132017.92,2351065.088,2350425.088,0.0,640.0,0.0,0.0,0.0,0.0,0.0,7382.0,0.0,0.0,7382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773571.0079999999,0.0,0.0,3132017.92,745907.968,0.0,14026.0,1884.0,724662.9759999999,3410.0,0.0,1925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2386107.904,2513400.0640000002,-79149.0,0.0,0.0,-48224.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15111.0,0.0,0.0,-78.0,0.0,-2510.0,4251.0,-6761.0,0.0,0.0,0.0,-17699.0,0.0,4083.0,0.0,0.0,0.0,-13616.0
2010-06-30,3128492.0319999997,2222085.8880000003,1789356.032,0.0,15139.0,0.0,0.0,0.0,0.0,417591.008,24786.0,0.0,0.0,24786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881619.968,0.0,0.0,3128492.0319999997,664952.0,0.0,8529.0,7674.0,639516.032,3369.0,0.0,5864.0,0.0,0.0,1110.0,0.0,0.0,1110.0,0.0,0.0,0.0,0.0,0.0,28018.0,2434412.0319999997,2432715.008,39006.0,0.0,0.0,-37733.0,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43363.0,0.0,0.0,0.0,0.0,49123.0,51948.0,-2825.0,0.0,0.0,0.0,5760.0,0.0,17364.0,0.0,0.0,-12.0,23112.0
2010-09-30,3136634.1119999997,2166809.088,1726110.976,0.0,24838.0,0.0,0.0,0.0,0.0,415860.0,37262.0,0.0,0.0,37262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932563.0079999999,0.0,0.0,3136634.1119999997,689348.9920000001,0.0,8321.0,8638.0,606800.0,3007.0,0.0,62583.0,0.0,0.0,458.0,0.0,0.0,458.0,0.0,0.0,0.0,0.0,0.0,45430.0,2401396.992,2432715.008,63432.0,0.0,0.0,-86974.0,-7776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51730.0,0.0,0.0,0.0,0.0,-9550.0,58384.0,-67934.0,0.0,0.0,0.0,-61280.0,0.0,12059.0,0.0,0.0,-20.0,-49241.0
2010-12-31,3407515.9039999996,2404378.1119999997,2237601.024,0.0,20221.0,0.0,0.0,33995.0,3928.0,108633.0,41176.0,0.0,0.0,0.0,0.0,0.0,41176.0,0.0,0.0,0.0,0.0,961961.984,0.0,0.0,3407515.9039999996,455099.008,16995.0,20231.0,6195.0,312072.99199999997,4258.0,0.0,95347.0,0.0,0.0,518400.992,506062.016,0.0,12339.0,0.0,0.0,0.0,0.0,0.0,45306.0,2388710.0,2432343.04,87858.0,0.0,0.0,-111694.0,-8007.0,-11790.0,0.0,0.0,0.0,0.0,8834.0,-8267.0,567.0,0.0,-62518.0,0.0,0.0,78.0,0.0,25212.0,55760.008,-30548.0,0.0,0.0,0.0,-36661.0,-1048.0,246.0,0.0,0.0,122.0,-37341.0
2011-03-31,3449112.064,2260729.088,2072519.936,0.0,30794.0,0.0,0.0,42299.0,6838.0,108278.0,62221.0,0.0,0.0,0.0,0.0,0.0,49341.0,0.0,0.0,12880.0,0.0,1126162.048,0.0,0.0,3449112.064,488414.016,24439.0,21066.0,11474.0,325408.0,4675.0,0.0,101352.0,0.0,0.0,493932.992,477169.984,0.0,0.0,16763.0,0.0,0.0,0.0,0.0,64813.0,2401952.056,2432343.04,111359.0,0.0,0.0,-133379.0,8506.0,-16877.0,0.0,0.0,0.0,0.0,9493.0,-6400.0,3093.0,0.0,-46830.0,0.0,0.0,-25.0,0.0,22624.0,56651.0,-34027.0,0.0,0.0,0.0,-21138.0,-666.0,-91.0,0.0,0.0,210.0,-21685.0
