,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2016-03-31,794816.0,375708.992,147786.0,0.0,188956.992,18109.0,0.0,7516.0,4002.0,9339.0,79696.0,0.0,0.0,0.0,0.0,0.0,45882.0,0.0,110.0,33704.0,379.0,202646.0,136386.0,0.0,794816.0,182603.008,25004.0,82480.0,13146.0,28833.0,0.0,0.0,33140.0,0.0,0.0,174444.0,86398.0,0.0,73948.0,2812.0,0.0,11286.0,0.0,0.0,2728.0,435040.992,148802.0,51090.0,0.0,209456.992,20859.0,4833.0,0.0,0.0,0.0
2016-03-31,794816000.0,375709000.0,141303000.0,,188957000.0,18109000.0,,7516000.0,0.0,13341000.0,73948000.0,,,,,,2728000.0,-2615000.0,,2728000.0,379000.0,202646000.0,111832000.0,,794816000.0,182603000.0,33598000.0,82480000.0,359775000.0,171171000.0,,0.0,1067000.0,,,0.0,86398000.0,,28833000.0,2812000.0,,11286000.0,,,5380000.0,435041000.0,437769000.0,0.0,,7850000.0,280702000.0,4833000.0,,,
2016-06-30,829173000.0,422870000.0,174197000.0,,190786000.0,22219000.0,,8246000.0,0.0,21158000.0,72949000.0,,,,,,2976000.0,1728000.0,,2976000.0,367000.0,197448000.0,111832000.0,,829173000.0,199397000.0,38950000.0,86397000.0,363464000.0,183064000.0,,0.0,1060000.0,,,0.0,75194000.0,,31734000.0,2695000.0,,10253000.0,,,5529000.0,465709000.0,468685000.0,0.0,,8235000.0,281953000.0,4562000.0,,,
2016-06-30,829172.9920000001,422870.016,180460.992,0.0,190786.0,22219.0,0.0,8246.0,3332.0,17826.0,71427.0,0.0,0.0,0.0,0.0,0.0,44025.0,0.0,51.0,27351.0,367.0,197448.0,137060.992,0.0,829172.9920000001,199396.992,31659.0,86397.0,15082.0,31734.0,0.0,0.0,34525.0,0.0,0.0,161091.008,75194.0,0.0,72949.0,2695.0,0.0,10253.0,0.0,0.0,2976.0,465708.992,148802.0,51090.0,0.0,209456.992,51798.0,4562.0,0.0,0.0,0.0
2016-09-30,833244000.0,434052000.0,176933000.0,,197321000.0,19482000.0,,9425000.0,0.0,24975000.0,74672000.0,,,,,,3359000.0,2661000.0,,3359000.0,368000.0,196112000.0,111832000.0,,833244000.0,182296000.0,47306000.0,81183000.0,335583000.0,195158000.0,,0.0,1095000.0,,,0.0,63034000.0,,30109000.0,2577000.0,,9645000.0,,,3971000.0,497661000.0,501020000.0,0.0,,8262000.0,292959000.0,4334000.0,,,
2016-09-30,833244.032,434052.0,182848.992,0.0,197320.992,19482.0,0.0,9425.0,2475.0,22500.0,65146.0,0.0,0.0,0.0,0.0,0.0,41244.0,0.0,0.0,23902.0,368.0,196112.0,137566.0,0.0,833244.032,182296.0,39427.0,81183.0,17523.0,30109.0,0.0,0.0,14054.0,0.0,0.0,149928.0,63034.0,0.0,74672.0,2577.0,0.0,9645.0,0.0,0.0,3359.0,497661.0,148802.0,51090.0,0.0,209456.992,83978.0,4334.0,0.0,0.0,0.0
2016-12-31,1016582.016,385703.008,124402.0,0.0,199662.0,20306.0,0.0,10268.0,2942.0,28123.0,123437.0,0.0,0.0,0.0,0.0,0.0,44715.0,0.0,0.0,78722.0,546.0,227555.008,279340.99199999997,0.0,1016582.016,373884.0,39789.0,95734.0,26105.0,106631.0,0.0,0.0,105625.0,0.0,0.0,235462.0,76906.0,0.0,118840.0,9005.0,0.0,30711.0,0.0,0.0,1257.0,405979.0,148802.0,51090.0,0.0,221466.0,0.0,-15379.0,0.0,0.0,0.0
2016-12-31,1019487000.0,383928000.0,120212000.0,,197887000.0,20306000.0,,10268000.0,2942000.0,28123000.0,116732000.0,,,,,,1257000.0,-1095000.0,,1257000.0,546000.0,226059000.0,241955000.0,,1019487000.0,377746000.0,67461000.0,97515000.0,613508000.0,198174000.0,,0.0,1114000.0,,,0.0,76906000.0,,106631000.0,9894000.0,,30973000.0,,,3960000.0,405979000.0,407236000.0,63227000.0,,8712000.0,354891000.0,-15379000.0,,,
2017-03-31,1264253.0559999999,635939.0079999999,363108.0,0.0,218108.992,20143.0,0.0,11062.0,3490.0,20027.0,121875.0,0.0,0.0,0.0,0.0,0.0,45069.0,0.0,0.0,76806.0,547.0,223876.0,282016.0,0.0,1264253.0559999999,223034.0,32565.0,94735.0,16507.0,38214.0,0.0,0.0,41013.0,0.0,0.0,424342.016,264200.0,0.0,118840.0,8746.0,0.0,32556.0,0.0,0.0,1275.0,615601.9920000001,327160.99199999997,51090.0,0.0,221466.0,31529.0,-15644.0,0.0,0.0,0.0
2017-03-31,1264253000.0,635939000.0,353326000.0,,218109000.0,20143000.0,,11062000.0,3490000.0,20027000.0,118840000.0,,,,,,1275000.0,-612000.0,,1275000.0,547000.0,223876000.0,240367000.0,,1264253000.0,223034000.0,49072000.0,94735000.0,648651000.0,215793000.0,,0.0,0.0,,,289052000.0,264200000.0,,38214000.0,8746000.0,,32556000.0,,,4055000.0,615602000.0,616877000.0,64313000.0,,10885000.0,362373000.0,-15644000.0,,,
