,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2002-12-31,68274000.0,45415000.0,2145000.0,1817000.0,17464000.0,20666000.0,,1947000.0,15000.0,1361000.0,21450000.0,,,,,,,,,,0.0,21335000.0,0.0,,68274000.0,31987000.0,-499000.0,20285000.0,1479000.0,8105000.0,,773000.0,0.0,51000.0,,6279000.0,6279000.0,4298000.0,0.0,0.0,,0.0,,,24206000.0,24206000.0,72000.0,248000.0,26105000.0,0.0,556000.0,,,,
2003-03-31,81372000.0,59095000.0,1334000.0,2896000.0,32588000.0,19817000.0,,809000.0,42000.0,1609000.0,21450000.0,,,,,,,,,,0.0,20703000.0,0.0,,81372000.0,36146000.0,-228000.0,22532000.0,3803000.0,8012000.0,,773000.0,0.0,44000.0,,5880000.0,5880000.0,4330000.0,0.0,0.0,,0.0,,,33512000.0,33512000.0,68000.0,187000.0,41719000.0,0.0,602000.0,,,,
2003-06-30,79270000.0,57242000.0,1886000.0,3312000.0,27495000.0,21669000.0,,863000.0,39000.0,1978000.0,21450000.0,,,,,,,,,,0.0,20342000.0,0.0,,79270000.0,34962000.0,-302000.0,17386000.0,2820000.0,7687000.0,,3028000.0,0.0,34000.0,,4164000.0,4164000.0,4252000.0,0.0,0.0,,0.0,,,34388000.0,34388000.0,66000.0,206000.0,38841000.0,0.0,3581000.0,,,,
2003-09-30,73636000.0,53541000.0,951000.0,5564000.0,25939000.0,19180000.0,,499000.0,50000.0,1358000.0,21450000.0,,,,,,,,,,0.0,18313000.0,0.0,,73636000.0,24949000.0,-226000.0,16715000.0,2207000.0,4458000.0,,33000.0,0.0,33000.0,,4093000.0,4093000.0,9828000.0,0.0,0.0,,0.0,,,34766000.0,34766000.0,51000.0,200000.0,38270000.0,0.0,1057000.0,,,,
2003-12-31,75650000.0,55843000.0,1373000.0,5899000.0,24068000.0,21886000.0,,1376000.0,28000.0,1213000.0,21450000.0,,,,,,,,,,0.0,17993000.0,0.0,,75650000.0,26045000.0,-311000.0,14009000.0,2405000.0,6889000.0,,1360000.0,0.0,258000.0,,3044000.0,3044000.0,10219000.0,0.0,0.0,,0.0,,,36342000.0,36342000.0,50000.0,228000.0,40152000.0,0.0,519000.0,,,,
2004-03-31,89821000.0,69630000.0,1275000.0,8853000.0,33457000.0,23261000.0,,1465000.0,48000.0,1271000.0,21450000.0,,,,,,,,,,0.0,18344000.0,0.0,,89821000.0,35377000.0,-310000.0,21324000.0,4552000.0,6541000.0,,1360000.0,0.0,214000.0,,3082000.0,3082000.0,10436000.0,0.0,0.0,,0.0,,,40926000.0,40926000.0,50000.0,219000.0,41901000.0,0.0,552000.0,,,,
2004-06-30,101451000.0,81736000.0,3289000.0,13144000.0,34470000.0,27631000.0,,1603000.0,110000.0,1489000.0,21450000.0,,,,,,,,,,0.0,17829000.0,0.0,,101451000.0,52093000.0,-373000.0,27520000.0,3239000.0,9459000.0,,10078000.0,0.0,157000.0,,2208000.0,2208000.0,10643000.0,0.0,0.0,,0.0,,,36507000.0,36507000.0,56000.0,247000.0,45386000.0,0.0,794000.0,,,,
2004-09-30,113825000.0,94442000.0,4008000.0,11915000.0,39259000.0,35175000.0,,1981000.0,229000.0,1875000.0,33757000.0,,,,,,,,,,0.0,17465000.0,0.0,,113825000.0,44563000.0,-475000.0,29279000.0,6111000.0,5831000.0,,517000.0,0.0,964000.0,,1976000.0,1976000.0,8112000.0,0.0,0.0,,0.0,,,59174000.0,59174000.0,60000.0,250000.0,51216000.0,0.0,1039000.0,,,,
2004-12-31,112571000.0,92723000.0,2629000.0,13881000.0,33616000.0,41126000.0,,597000.0,344000.0,530000.0,34152000.0,,,,,,,,,,0.0,17113000.0,0.0,,112571000.0,33096000.0,-724000.0,17055000.0,5278000.0,9024000.0,,5000.0,0.0,517000.0,,986000.0,986000.0,9954000.0,0.0,0.0,,0.0,,,68338000.0,68338000.0,57000.0,281000.0,51592000.0,0.0,481000.0,,,,
2005-03-31,124171000.0,104533000.0,1094000.0,13886000.0,43521000.0,42960000.0,,1240000.0,600000.0,1232000.0,34152000.0,,,,,,,,,,0.0,16878000.0,0.0,,124171000.0,36363000.0,-401000.0,16784000.0,4162000.0,14064000.0,,5000.0,0.0,307000.0,,1107000.0,1107000.0,9889000.0,0.0,0.0,,0.0,,,76615000.0,76615000.0,62000.0,249000.0,55742000.0,0.0,512000.0,,,,
2005-06-30,125972000.0,106651000.0,2529000.0,19829000.0,38620000.0,41639000.0,,2079000.0,513000.0,1442000.0,50635000.0,,,,,,,,,,0.0,16537000.0,0.0,,125972000.0,38259000.0,-425000.0,18678000.0,3328000.0,12830000.0,,2069000.0,0.0,230000.0,,230000.0,230000.0,9859000.0,0.0,0.0,,0.0,,,77427000.0,77427000.0,57000.0,190000.0,51784000.0,0.0,625000.0,,,,
2005-09-30,120329000.0,101493000.0,2235000.0,17623000.0,37914000.0,39097000.0,,2657000.0,466000.0,1501000.0,51752000.0,,,,,,,,,,0.0,16042000.0,0.0,,120329000.0,30412000.0,-281000.0,18379000.0,2751000.0,7634000.0,,85000.0,0.0,148000.0,,178000.0,178000.0,10645000.0,0.0,0.0,,0.0,,,78897000.0,78897000.0,54000.0,198000.0,51045000.0,0.0,662000.0,,,,
2005-12-31,119745000.0,99575000.0,1344000.0,17904000.0,35415000.0,41196000.0,,2169000.0,376000.0,1171000.0,51752000.0,,,,,,,,,,0.0,16978000.0,0.0,,119745000.0,29281000.0,-362000.0,19971000.0,1096000.0,7179000.0,,82000.0,0.0,78000.0,,538000.0,538000.0,10822000.0,0.0,0.0,,0.0,,,78892000.0,78892000.0,178000.0,217000.0,48675000.0,0.0,386000.0,,,,
2006-03-31,125093000.0,105283000.0,1045000.0,22459000.0,38898000.0,38938000.0,,2171000.0,328000.0,1444000.0,51752000.0,,,,,,,,,,0.0,16600000.0,0.0,,125093000.0,38014000.0,-348000.0,21127000.0,2380000.0,6850000.0,,6216000.0,0.0,85000.0,,687000.0,687000.0,10874000.0,0.0,0.0,,0.0,,,75306000.0,75306000.0,168000.0,202000.0,53188000.0,0.0,407000.0,,,,
2006-06-30,128154000.0,108195000.0,1125000.0,23214000.0,39084000.0,39235000.0,,2625000.0,272000.0,2640000.0,56659000.0,,,,,,,,,,0.0,16726000.0,0.0,,128154000.0,32672000.0,-393000.0,22335000.0,2457000.0,6473000.0,,96000.0,0.0,61000.0,,902000.0,902000.0,11879000.0,0.0,0.0,,0.0,,,82489000.0,82489000.0,159000.0,232000.0,51283000.0,0.0,588000.0,,,,
2006-09-30,130051000.0,105443000.0,1149000.0,23261000.0,36442000.0,39629000.0,,2914000.0,217000.0,1831000.0,56659000.0,,,,,,,,,,0.0,21352000.0,0.0,,130051000.0,30151000.0,-300000.0,17932000.0,2417000.0,8321000.0,,96000.0,0.0,59000.0,,3780000.0,3780000.0,11961000.0,0.0,0.0,,0.0,,,83947000.0,83947000.0,150000.0,225000.0,44845000.0,0.0,726000.0,,,,
2006-12-31,129878000.0,107117000.0,1624000.0,24162000.0,34288000.0,40379000.0,,2825000.0,145000.0,3694000.0,56659000.0,,,,,,,,,,0.0,19635000.0,0.0,,129878000.0,29433000.0,-305000.0,15973000.0,1420000.0,10933000.0,,95000.0,0.0,62000.0,,3331000.0,3331000.0,11979000.0,0.0,0.0,,0.0,,,84885000.0,84885000.0,131000.0,221000.0,43834000.0,0.0,320000.0,,,,
2007-03-31,142126000.0,119886000.0,2415000.0,26594000.0,42057000.0,40894000.0,,2842000.0,150000.0,4934000.0,56659000.0,,,,,,,,,,0.0,19709000.0,0.0,,142126000.0,40366000.0,-394000.0,20682000.0,2047000.0,15814000.0,,95000.0,0.0,72000.0,,2820000.0,2820000.0,11490000.0,0.0,0.0,,0.0,,,87200000.0,87200000.0,113000.0,286000.0,52469000.0,0.0,529000.0,,,,
2007-06-30,149077000.0,122338000.0,1999000.0,27705000.0,42536000.0,45112000.0,,2921000.0,476000.0,1589000.0,56659000.0,,,,,,,,,,0.0,24154000.0,0.0,,149077000.0,45032000.0,-399000.0,11207000.0,2051000.0,29543000.0,,389000.0,0.0,66000.0,,2624000.0,2624000.0,11464000.0,161000.0,0.0,,0.0,,,89707000.0,89707000.0,99000.0,307000.0,55656000.0,0.0,765000.0,,,,
2007-09-30,153434000.0,125383000.0,2279000.0,29896000.0,42537000.0,45358000.0,,3707000.0,398000.0,1208000.0,60055000.0,,,,,,,,,,0.0,25569000.0,0.0,,153434000.0,46015000.0,-436000.0,23417000.0,2182000.0,18688000.0,,107000.0,0.0,66000.0,,2090000.0,2090000.0,12560000.0,161000.0,0.0,,0.0,,,92519000.0,92519000.0,82000.0,274000.0,57231000.0,0.0,949000.0,,,,
2007-12-31,162935000.0,132819000.0,1328000.0,30333000.0,44580000.0,51308000.0,,3774000.0,296000.0,1200000.0,60055000.0,,,,,,,,,,0.0,26118000.0,826000.0,,162935000.0,52197000.0,-69000.0,27396000.0,860000.0,22500000.0,,106000.0,0.0,98000.0,,2151000.0,2151000.0,13358000.0,161000.0,0.0,,0.0,,,94979000.0,94979000.0,65000.0,313000.0,63109000.0,826000.0,591000.0,,,,
2008-03-31,171291000.0,140200000.0,2658000.0,31432000.0,49585000.0,50863000.0,,4000000.0,261000.0,1401000.0,60055000.0,,,,,,,,,,0.0,26969000.0,846000.0,,171291000.0,59608000.0,-382000.0,29551000.0,1923000.0,23839000.0,,2465000.0,0.0,218000.0,,1915000.0,1915000.0,13584000.0,161000.0,0.0,,0.0,,,95934000.0,95934000.0,49000.0,296000.0,67595000.0,846000.0,757000.0,,,,
2008-06-30,195000000.0,162076000.0,2403000.0,35823000.0,60854000.0,58021000.0,,3083000.0,284000.0,1608000.0,63058000.0,,,,,,,,,,0.0,28581000.0,875000.0,,195000000.0,74224000.0,-429000.0,36752000.0,3562000.0,29169000.0,,2462000.0,0.0,70000.0,,4727000.0,4727000.0,13805000.0,161000.0,0.0,,0.0,,,101994000.0,101994000.0,43000.0,338000.0,74291000.0,875000.0,997000.0,,,,
2008-09-30,214741000.0,180682000.0,1796000.0,37933000.0,66897000.0,66595000.0,,5248000.0,232000.0,1981000.0,66061000.0,,,,,,,,,,0.0,29371000.0,892000.0,,214741000.0,83638000.0,-419000.0,43345000.0,4313000.0,33522000.0,,111000.0,0.0,72000.0,,5140000.0,5140000.0,13295000.0,161000.0,0.0,,0.0,,,112418000.0,112418000.0,31000.0,327000.0,90770000.0,892000.0,1372000.0,,,,
2008-12-31,204818000.0,169770000.0,2536000.0,39802000.0,45137000.0,73131000.0,,0.0,0.0,9164000.0,66061000.0,,,,,,,,,,0.0,29804000.0,1247000.0,,204818000.0,72532000.0,-624000.0,19542000.0,804000.0,50764000.0,,110000.0,0.0,910000.0,,5077000.0,5077000.0,13403000.0,161000.0,0.0,,0.0,,,113548000.0,113548000.0,165000.0,0.0,71082000.0,1247000.0,402000.0,,,,
