,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2005-12-31,136670.0,109608.0,0.0,0.0,26750.0,72728.0,,1144.0,,19428.0,0.0,,,0.0,0.0,5199.0,,,,24988.0,0.0,0.0,75779.0,,136670.0,31936.0,7966.0,1520.0,9401.0,11713.0,,,0.0,0.0,,60891.0,,,0.0,,,0.0,,,511.0,-11685.0,76290.0,2110.0,,,7966.0,,,,,,,34717.0,0.0,0.0,511.0,3480.0,,,0.01336917,0.0,0.0,28444.0,0.0,,,,11291.0,1058.0,0.0,,,-3.0,9401.0
2006-03-31,12281.0,9387.0,0.0,0.0,639.0,3573.0,,40.0,,0.0,0.0,,,0.0,0.0,0.0,,,,1000.0,0.0,0.0,12260.0,,12281.0,21.0,0.0,0.0,-2.0,13.0,,,0.0,0.0,,21.0,,,0.0,,,0.0,,,0.0,0.0,12260.0,5135.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,-2.84e-06,0.0,0.0,0.0,0.0,,,,15.0,3.0,0.0,,,0.0,-2.0
2006-06-30,82744.0,54212.0,0.0,0.0,22164.0,25307.0,,0.0,,9547.0,0.0,,,0.0,0.0,0.0,,,,10271.0,4346.0,0.0,22488.0,,82744.0,23945.0,0.0,963.0,251.0,5867.0,,,0.0,0.0,,60256.0,,,0.0,,,0.0,,,1682.0,0.0,24170.0,6741.0,,,0.0,,,,,,,13800.0,0.0,0.0,1682.0,0.0,,,0.00035695,0.0,0.0,25055.0,0.0,,,,758.0,17035.0,0.0,,,-1044.0,251.0
2006-09-30,330920.0,214582.0,912.0,0.0,66024.0,91780.0,,3631.0,,910.0,0.0,,,0.0,0.0,31149.0,,,,72158.0,8433.0,662.0,177952.0,,330920.0,90778.0,2514.0,4451.0,-1494.0,10659.0,,,0.0,0.0,,152968.0,,,0.0,,,0.0,,,2019.0,-41877.0,179971.0,32418.0,,,2514.0,,,,,,,1675.0,662.0,0.0,2019.0,0.0,,,-0.00239908,0.0,0.0,42179.0,0.0,,,,-1822.0,29572.0,0.0,,,1047.0,-1687.0
2007-03-31,973303.0,749277.0,0.0,0.0,130778.0,242824.0,,26611.0,,42347.0,0.0,,,0.0,0.0,0.0,,,,217052.0,0.0,1659.0,683431.0,,973303.0,157822.0,0.0,12882.0,60.0,67352.0,,,16624.0,0.0,,289872.0,,,0.0,,,0.0,,,9915.0,1035.0,693346.0,349064.0,,,0.0,,,,,,,69575.0,1659.0,0.0,9915.0,0.0,,,-0.00126929,34.0,0.0,52012.0,0.0,,,,1270.0,62142.0,0.0,,,-393.0,-1317.0
2007-06-30,1210492.0,890540.0,0.0,0.0,196821.0,372079.0,,55748.0,,78898.0,0.0,,,0.0,0.0,0.0,,,,208915.0,0.0,3324.0,721883.0,,1210492.0,268043.0,0.0,20067.0,29847.0,124589.0,,,31071.0,0.0,,488609.0,,,0.0,,,0.0,,,34248.0,2887.0,756131.0,265892.0,,,0.0,,,,,,,124189.0,3324.0,0.0,34248.0,0.0,,,0.026369820000000002,-1020.0,0.0,102770.0,0.0,,,,38059.0,104168.0,0.0,,,-6077.0,27361.0
2007-09-30,1650480.0,1125121.0,0.0,0.0,226888.0,448480.0,,61441.0,,108937.0,0.0,,,0.0,0.0,0.0,,,,361424.0,0.0,4637.0,740531.0,,1650477.0,337685.0,0.0,20562.0,25335.0,124915.0,,,39691.0,0.0,,909946.0,,,0.0,,,0.0,,,59219.0,2887.0,799750.0,388312.0,,,0.0,,,,,,,175262.0,4637.0,0.0,59219.0,0.0,,,0.01897663,2336.0,0.0,142035.0,0.0,,,,33095.0,169852.0,0.0,,,-6636.0,19804.0
2007-12-31,2563046.0,1726768.0,0.0,0.0,287109.0,598412.0,,124866.0,,125154.0,147891.0,,,147891.0,0.0,0.0,,,,374597.0,9537.0,4987.0,1349666.0,,2563046.0,468773.0,11221.0,42684.0,31357.0,145710.0,,,44836.0,0.0,,1213380.0,,,0.0,,,0.0,,,0.0,56979.0,1349666.0,716381.0,,,0.0,,,,,,,194415.0,4987.0,0.0,0.0,0.0,,,0.019701740000000002,22343.0,0.0,354603.0,0.0,,,,50361.0,230428.0,0.0,,,-5004.0,25308.0
2008-03-31,2594955.0,1619870.0,0.0,0.0,359022.0,597182.0,,9731.0,,133648.0,0.0,,,0.0,0.0,256535.0,,,,472197.0,27646.0,7076.0,1401833.0,,2594955.0,534214.0,5236.0,41351.0,54104.0,150806.0,,,16401.0,0.0,,1193122.0,,,0.0,,,0.0,,,71752.0,6445.0,1473585.0,571973.0,,,5236.0,,,,,,,227834.0,755.0,0.0,71752.0,0.0,,,0.03694238,1449.0,0.0,166817.0,0.0,,,,65102.0,20149.0,0.0,,,-7337.0,47542.0
2008-06-30,3001416.0,1875237.0,0.0,0.0,440669.0,860888.0,,13215.0,,187226.0,936.0,,,936.0,0.0,371078.0,,,,653575.0,41861.0,6886.0,1455763.0,,3001416.0,719043.0,8098.0,59550.0,73615.0,200497.0,,,15493.0,0.0,,1545653.0,,,0.0,,,0.0,,,150739.0,6445.0,1606502.0,431781.0,,,8098.0,,,,,,,311139.0,676.0,0.0,150739.0,0.0,,,0.05345775,13276.0,0.0,222489.0,0.0,,,,87996.0,26164.0,0.0,,,-9901.0,68796.0
