,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2009-06-30,630622.0160000001,334241.984,263215.00800000003,0.0,70865.0,0.0,0.0,0.0,0.0,162.0,28400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28400.0,67834.0,200146.0,0.0,0.0,630622.0160000001,6644.0,0.0,0.0,4528.0,0.0,0.0,1654.0,3.0,459.0,0.0,33012.0,0.0,2094.0,29273.0,0.0,0.0,1645.0,0.0,0.0,0.0,590966.0160000001,400000.0,0.0,58726.0,121114.0,7120.0,4006.0,0.0,0.0,0.0
2009-09-30,666758.0160000001,372356.992,154168.0,0.0,218088.0,0.0,0.0,0.0,0.0,101.0,28868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28868.0,66148.0,199384.992,0.0,0.0,666758.0160000001,7114.0,0.0,0.0,5102.0,0.0,0.0,1504.0,12.0,496.0,0.0,33456.0,0.0,2097.0,29741.0,0.0,0.0,1618.0,0.0,0.0,0.0,626188.032,400000.0,0.0,58372.0,121114.0,6485.0,40217.0,0.0,0.0,0.0
2009-12-31,724089.984,408833.984,3001.0,0.0,399774.016,4786.0,0.0,0.0,0.0,1273.0,44292.0,0.0,0.0,44290.0,0.0,0.0,0.0,0.0,2.0,0.0,1082.0,269582.016,300.0,0.0,724089.984,55843.0,0.0,0.0,7663.0,11850.0,0.0,4063.0,12864.0,19403.0,0.0,57732.0,5656.0,0.0,34357.0,0.0,0.0,17719.0,0.0,0.0,159.0,610355.968,400000.0,0.0,58085.0,123519.0,0.0,28752.0,0.0,0.0,0.0
2010-03-31,715918.016,400400.992,1605.0,0.0,394632.0,4144.0,0.0,0.0,0.0,20.0,45154.0,0.0,0.0,45154.0,0.0,0.0,0.0,0.0,0.0,0.0,100188.0,169848.0,327.0,0.0,715918.016,50067.0,0.0,0.0,2194.0,11967.0,0.0,4063.0,10054.0,21789.0,0.0,63998.0,5002.0,1.0,34914.0,0.0,0.0,24081.0,0.0,0.0,151.0,601702.0160000001,400000.0,0.0,50370.0,123519.0,765.0,27048.0,0.0,0.0,0.0
2010-06-30,708041.0240000001,391622.016,120097.0,0.0,266332.0,5109.0,0.0,0.0,0.0,84.0,46488.0,0.0,0.0,46488.0,0.0,0.0,0.0,0.0,0.0,0.0,100980.0,168599.008,352.0,0.0,708041.0240000001,48334.0,0.0,0.0,2707.0,8063.0,0.0,1350.0,10735.0,25479.0,0.0,72005.0,19269.0,23.0,36408.0,0.0,0.0,16305.0,0.0,0.0,167.0,587534.976,400000.0,0.0,50070.0,123519.0,1653.0,12293.0,0.0,0.0,0.0
2010-09-30,765700.9920000001,449614.016,114294.0,0.0,328880.99199999997,4553.0,0.0,0.0,0.0,1886.0,46976.0,0.0,0.0,46976.0,0.0,0.0,0.0,0.0,0.0,0.0,101793.0,166918.0,400.0,0.0,765700.9920000001,51731.0,0.0,0.0,24287.0,7200.0,0.0,1273.0,14090.0,4881.0,0.0,90221.0,18553.0,0.0,37410.0,0.0,0.0,34258.0,0.0,0.0,171.0,623577.9839999999,400000.0,0.0,49769.0,123519.0,2811.0,47479.0,0.0,0.0,0.0
2010-12-31,830238.016,512742.016,152422.0,298030.016,42188.0,4938.0,0.0,14831.0,333.0,0.0,48332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,48330.0,96647.0,172103.008,414.0,0.0,830238.016,135764.992,30098.0,10632.0,0.0,17190.0,0.0,1074.0,75484.0,1287.0,0.0,75646.0,16431.0,40.0,0.0,22134.0,0.0,37041.0,0.0,0.0,176.0,618651.0079999999,400000.0,0.0,49610.0,144580.992,0.0,24460.0,0.0,0.0,0.0
2011-03-31,797086.016,468563.008,106935.0,310196.99199999997,41318.0,3999.0,0.0,6021.0,93.0,0.0,60855.0,511.0,0.0,0.0,0.0,0.0,10419.0,0.0,0.0,49925.0,96331.0,170926.0,411.0,0.0,797086.016,86449.0,17603.0,10934.0,0.0,11182.0,0.0,1062.0,44381.0,1287.0,0.0,87863.0,14849.0,0.0,0.0,35010.0,0.0,38004.0,0.0,0.0,164.0,622610.0160000001,400000.0,0.0,49403.0,144580.992,-696.0,29322.0,0.0,0.0,0.0
2011-06-30,811368.0,483804.992,101675.0,327728.99199999997,41255.0,4207.0,0.0,7931.0,801.0,207.0,60350.0,485.0,0.0,0.0,0.0,0.0,10419.0,0.0,31.0,49415.0,96601.0,170195.008,417.0,0.0,811368.0,155083.008,19911.0,11818.0,2507.0,11100.0,0.0,20805.0,87655.0,1287.0,0.0,74769.0,13207.0,5.0,0.0,23513.0,0.0,38044.0,0.0,0.0,179.0,581337.032,400000.0,0.0,49245.0,124895.0,14.0,7183.0,0.0,0.0,0.0
2011-09-30,740803.0079999999,415977.984,77926.0,281412.0,40679.0,4104.0,0.0,10798.0,849.0,210.0,58517.0,422.0,0.0,0.0,0.0,0.0,10419.0,0.0,0.0,47676.0,96650.0,169168.992,489.0,0.0,740803.0079999999,135614.0,21477.0,12177.0,3782.0,8499.0,0.0,1048.0,87344.0,1287.0,0.0,70652.0,11631.0,5.0,0.0,19865.0,0.0,39151.0,0.0,0.0,173.0,534363.9920000001,400000.0,0.0,49085.0,124895.0,-16206.0,-23410.0,0.0,0.0,0.0
