,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2002-03-31,1939909000.0,993010000.0,1939909000.0,0.0,191986000.0,505437000.0,,58517000.0,19988000.0,82122000.0,949938000.0,0.0,,,-35895000.0,,,34564180.0,0.0,,0.0,0.0,46745000.0,,1102247000.0,113692000.0,780000.0,405915000.0,0.0,608327000.0,,,0.0,,,570346000.0,570346000.0,,13795000.0,46745000.0,,0.0,,,,55708000.0,-4.57726,0.0,,,-903280000.0,0.0,,,
2002-06-30,1992107000.0,1047114000.0,1992107000.0,0.0,176933000.0,508094000.0,,61483000.0,21210000.0,210082000.0,949938000.0,0.0,,,-23638000.0,,,34564180.0,0.0,,0.0,0.0,51002000.0,,1101965000.0,161194000.0,1330000.0,502311000.0,0.0,542517000.0,,,0.0,,,638667000.0,638667000.0,,13578000.0,51002000.0,,0.0,,,,21399000.0,-4.17277,0.0,,,-935941000.0,0.0,,,
2002-09-30,2080919000.0,1141472000.0,2080919000.0,0.0,262901000.0,568230000.0,,69203000.0,21257000.0,196992000.0,949938000.0,0.0,,,-186317000.0,,,34564180.0,0.0,,0.0,0.0,53275000.0,,1329041000.0,214829000.0,847000.0,668107000.0,0.0,602699000.0,,,0.0,,,679657000.0,679657000.0,,12196000.0,53275000.0,,0.0,,,,-165552000.0,-23.55858,0.0,,,-1120338000.0,0.0,,,
2002-12-31,2065811000.0,1114386000.0,2065811000.0,0.0,257570000.0,563982000.0,,124179000.0,20033000.0,133541000.0,949938000.0,0.0,,,265482000.0,,,34564180.0,0.0,,0.0,0.0,43467000.0,,938960000.0,124494000.0,3064000.0,497128000.0,0.0,383408000.0,,,0.0,,,878780000.0,878780000.0,,11140000.0,43467000.0,,0.0,,,,108232000.0,34.45345,0.0,,,-851650000.0,0.0,,,
2003-03-31,2044418000.0,1083548000.0,2044418000.0,0.0,275713000.0,508734000.0,,122252000.0,48902000.0,94853000.0,949938000.0,0.0,,,-31778000.0,,,34564180.0,0.0,,0.0,0.0,42405000.0,,1172651000.0,146991000.0,1796000.0,334928000.0,0.0,749314000.0,,,0.0,,,648701000.0,648701000.0,,9929000.0,42405000.0,,0.0,,,,73764000.0,-4.46087,0.0,,,-886566000.0,0.0,,,
2003-06-30,2025716000.0,1042831000.0,2025716000.0,0.0,260426000.0,493350000.0,,124831000.0,37355000.0,90203000.0,949938000.0,0.0,,,17347000.0,,,34564180.0,0.0,,0.0,0.0,40002000.0,,1192778000.0,87710000.0,1826000.0,272568000.0,0.0,801098000.0,,,0.0,,,590054000.0,590054000.0,,9494000.0,40002000.0,,0.0,,,,69434000.0,-0.6684399999999999,0.0,,,-891798000.0,0.0,,,
2003-09-30,2065015000.0,1089653000.0,2065015000.0,0.0,196804000.0,530234000.0,,105503000.0,36738000.0,142800000.0,951050000.0,0.0,,,-54710000.0,,,34771720.0,0.0,,0.0,0.0,38526000.0,,1304648000.0,66663000.0,1826000.0,331058000.0,0.0,884535000.0,,,0.0,,,557751000.0,557751000.0,,9068000.0,38526000.0,,0.0,,,,21553000.0,-6.59249,0.0,,,-943551000.0,0.0,,,
2003-12-31,2101065000.0,1141411000.0,2101065000.0,0.0,298648000.0,509814000.0,,90841000.0,30533000.0,127780000.0,963692000.0,0.0,,,-83555000.0,,,34931810.0,0.0,,0.0,0.0,34503000.0,,1425911000.0,84232000.0,1126000.0,392971000.0,0.0,961982000.0,,,0.0,,,525672000.0,525672000.0,,8461000.0,34503000.0,,0.0,,,,-49712000.0,-9.83836,0.0,,,-1027540000.0,0.0,,,
2004-03-31,2255904000.0,1311141000.0,2255904000.0,0.0,416419000.0,639082000.0,,94962000.0,30935000.0,74820000.0,963692000.0,0.0,,,-20757000.0,,,34931810.0,0.0,,0.0,0.0,32641000.0,,1591439000.0,71976000.0,26914000.0,542966000.0,0.0,934308000.0,,,0.0,,,511311000.0,511311000.0,,8424000.0,32641000.0,,0.0,,,,-50465000.0,-3.19673,0.0,,,-1028750000.0,0.0,,,
2004-06-30,2359089000.0,1427071000.0,2359089000.0,0.0,440455000.0,712900000.0,,88703000.0,26380000.0,85194000.0,963692000.0,0.0,,,-19704000.0,,,34931810.0,0.0,,0.0,0.0,31263000.0,,1666732000.0,118565000.0,23375000.0,500109000.0,0.0,1060372000.0,,,0.0,,,495011000.0,495011000.0,,7025000.0,31263000.0,,0.0,,,,-36458000.0,-5.67826,0.0,,,-1015285000.0,0.0,,,
