,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2009-03-31,267936.0,219878.0,0.0,,75542.0,3.2500000000000004e-05,,2729.0,,0.0,135188.0,,,,,,0.0,77664.0,,13068.0,154.0,27977.0,3843.0,,267936.0,109524.0,121262.0,71779.0,184335.0,2390.0,,0.0,0.0,5769.0,,16349.0,132748.0,,583.0,,,0.0,,,,135188.0,124000.0,,,8104.0,3270.0,,,,
2009-06-30,296665.0,246931.0,0.0,,84676.0,6.186000000000001e-05,,2462.0,,0.0,143216.0,,,,,,0.0,86828.0,,29721.0,123.0,28973.0,4026.0,,296665.0,130450.0,123032.0,83005.0,209075.0,4333.0,,0.0,0.0,13955.0,,16259.0,153449.0,,643.0,,,0.0,,,,143216.0,129500.0,,,7130.0,3253.0,,,,
2009-09-30,306054.016,252100.0,35639.0,0.0,87229.0,120828.0,0.0,0.0,0.0,8404.0,7461.0,0.0,0.0,5948.0,0.0,0.0,0.0,0.0,0.0,1513.0,9049.0,32320.0,5124.0,0.0,306054.016,134260.992,0.0,82174.0,17640.0,1682.0,934.0,0.0,19370.0,12461.0,0.0,22974.0,15725.0,0.0,3632.0,0.0,0.0,3617.0,0.0,0.0,0.0,148819.008,129500.0,0.0,391.0,-442.0,19370.0,0.0,0.0,0.0,0.0
2009-12-31,333080.99199999997,283975.00800000003,41770.0,0.0,91372.0,146304.0,0.0,0.0,0.0,4529.0,7761.0,0.0,0.0,7464.0,0.0,0.0,0.0,0.0,0.0,297.0,147.0,36488.0,4710.0,0.0,333080.99199999997,157536.992,0.0,108290.0,16305.0,2017.0,0.0,0.0,21262.0,9663.0,0.0,24944.0,17032.0,0.0,3258.0,0.0,0.0,4654.0,0.0,0.0,0.0,150600.0,129500.0,0.0,353.0,20747.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,311863.00800000003,260348.0,19182.0,0.0,92608.0,141420.0,0.0,0.0,0.0,7138.0,9533.0,0.0,0.0,7752.0,0.0,0.0,0.0,0.0,0.0,1781.0,0.0,37543.0,4439.0,0.0,311863.00800000003,129676.0,0.0,90882.0,17821.0,2728.0,0.0,0.0,8964.0,9281.0,0.0,24025.0,16379.0,0.0,2941.0,0.0,0.0,4705.0,0.0,0.0,0.0,158162.0,129500.0,0.0,316.0,21812.0,6534.0,0.0,0.0,0.0,0.0
2010-06-30,315475.00800000003,260748.992,12189.0,0.0,103806.0,136598.0,0.0,0.0,0.0,8156.0,9441.0,0.0,0.0,7697.0,0.0,0.0,0.0,0.0,0.0,1744.0,0.0,40646.0,4639.0,0.0,315475.00800000003,126714.0,0.0,78039.0,24780.0,2432.0,0.0,0.0,10386.0,11077.0,0.0,24744.0,17318.0,0.0,2578.0,0.0,0.0,4848.0,0.0,0.0,0.0,164016.992,148000.0,0.0,278.0,1564.0,14175.0,0.0,0.0,0.0,0.0
2010-09-30,347160.992,288649.984,27303.0,0.0,110865.0,142899.008,0.0,0.0,0.0,7583.0,11785.0,0.0,0.0,9956.0,0.0,0.0,0.0,0.0,0.0,1829.0,0.0,42103.0,4623.0,0.0,347160.992,152099.008,0.0,98331.0,27555.0,2959.0,0.0,0.0,10160.0,13094.0,0.0,24271.0,17020.0,0.0,1798.0,0.0,0.0,5453.0,0.0,0.0,0.0,170791.008,148000.0,0.0,240.0,1471.0,21080.0,0.0,0.0,0.0,0.0
2010-12-31,377104.992,314471.00800000003,5668.0,16641.0,114693.0,175912.0,0.0,1557.0,0.0,0.0,11484.0,0.0,0.0,0.0,0.0,0.0,3320.0,0.0,0.0,8164.0,0.0,46343.0,4807.0,0.0,377104.992,179008.992,11854.0,129123.0,13807.0,3252.0,0.0,3465.0,15816.0,1692.0,0.0,25062.0,17611.0,0.0,1145.0,322.0,0.0,5984.0,0.0,0.0,0.0,173034.0,148000.0,0.0,276.0,24758.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,360463.008,296000.99199999997,3575.0,16291.0,108752.0,164064.0,0.0,3319.0,0.0,0.0,12023.0,0.0,0.0,0.0,0.0,0.0,4134.0,0.0,0.0,7889.0,0.0,47984.0,4455.0,0.0,360463.008,154194.0,12008.0,105846.0,17753.0,3490.0,0.0,1104.0,11591.0,2402.0,0.0,25154.0,18081.0,0.0,935.0,315.0,0.0,5823.0,0.0,0.0,0.0,181115.008,148000.0,0.0,276.0,32839.0,0.0,0.0,0.0,0.0,0.0
2011-06-30,378553.984,309784.99199999997,3805.0,11265.0,119929.0,165004.992,0.0,9781.0,0.0,0.0,13663.0,0.0,0.0,0.0,0.0,0.0,5875.0,0.0,0.0,7788.0,0.0,50735.0,4371.0,0.0,378553.984,166040.992,15239.0,107697.0,25212.0,3566.0,0.0,361.0,11414.0,2552.0,0.0,24146.0,17790.0,0.0,716.0,304.0,0.0,5336.0,0.0,0.0,0.0,188367.008,170000.0,0.0,276.0,18091.0,0.0,0.0,0.0,0.0,0.0
